DateTime,AddedIPs,RemovedIPs
1555448753,1,3
1555452338,1,0
1555455951,0,2
1555459574,3,0
1555466744,1,2
1555470342,3,0
1555473947,0,4
1555477543,2,3
1555481133,1,2
1555484730,4,0
1555488347,2,0
1555491934,3,1
1555495547,2,5
1555499146,2,1
1555502743,1,1
1555506355,3,3
1555509951,2,3
1555513531,1,1
1555517141,1,1
1555520731,2,1
1555524339,0,2
1555527943,0,2
1555531553,2,1
1555535143,2,3
1555538746,3,1
1555542342,1,2
1555545966,2,2
1555549557,1,1
1555553148,3,0
1555556751,1,0
1555560356,3,2
1555563958,2,3
1555567560,3,1
1555571141,0,4
1555574760,2,3
1555578350,2,2
1555581967,1,2
1555585551,3,0
1555589145,0,2
1555592760,3,4
1555596357,3,0
1555599950,1,3
1555603559,1,2
1555607151,0,2
1555610754,2,4
1555614343,6,2
1555617962,2,4
1555621566,4,0
1555625156,0,2
1555628756,4,0
1555632372,0,6
1555635952,3,3
1555639554,4,2
1555643148,2,2
1555646745,1,2
1555650358,2,2
1555653944,2,1
1555657567,2,0
1555661153,0,2
1555664747,1,2
1555668356,3,1
1555671964,1,1
1555675556,1,1
1555679165,1,0
1555682754,1,3
1555686353,3,1
1555689956,1,0
1555693550,1,1
1555697154,1,1
1555700749,0,3
1555704338,1,2
1555707954,1,0
1555711565,1,1
1555715155,0,1
1555718760,2,1
1555722354,0,1
1555725964,2,0
1555729550,1,0
1555733144,0,3
1555736756,1,1
1555740337,2,0
1555743949,1,0
1555747565,0,2
1555751163,1,3
1555754763,3,1
1555758350,1,1
1555761961,0,1
1555765560,3,1
1555769147,1,1
1555772744,2,0
1555776348,1,2
1555779962,1,3
1555783544,1,1
1555787148,2,1
1555790758,1,0
1555794352,1,4
1555797959,2,4
1555801542,4,0
1555805143,1,1
1555808755,1,0
1555815971,0,1
1555819559,0,5
1555823151,2,1
1555826760,3,0
1555830346,2,1
1555833963,0,2
1555837548,3,1
1555841159,0,1
1555844750,4,2
1555848343,1,0
1555851957,0,2
1555859156,1,2
1555862737,2,3
1555866353,1,0
1555869955,2,0
1555873542,1,3
1555877158,3,0
1555880763,1,0
1555884350,0,1
1555887958,1,1
1555891556,2,2
1555895151,1,3
1555898808,1,0
1555902372,2,2
1555905948,3,3
1555909544,1,1
1555913148,3,0
1555916746,0,3
1555920349,1,2
1555923942,1,1
1555927563,1,3
1555931152,1,0
1555934762,1,2
1555938355,2,0
1555941963,2,1
1555949161,2,1
1555952758,2,2
1555956356,1,2
1555959951,1,1
1555963558,1,2
1555967151,1,1
1555970735,1,3
1555974360,4,1
1555977965,2,0
1555981543,1,0
1555985140,2,0
1555988746,0,1
1555992344,0,3
1555995944,2,3
1555999548,2,1
1556003150,2,1
1556006753,2,0
1556010350,1,2
1556013945,2,1
1556017548,1,5
1556021156,3,2
1556024744,2,3
1556028341,1,1
1556031944,1,0
1556035569,0,3
1556039140,3,1
1556042743,2,1
1556046345,3,3
1556049955,1,1
1556053541,0,3
1556057141,6,2
1556060740,2,4
1556064355,3,2
1556067940,0,2
1556071548,4,2
1556075153,2,2
1556078746,3,1
1556082342,0,1
1556085931,2,4
1556089548,3,1
1556093147,2,1
1556096747,1,1
1556100350,1,3
1556103946,0,3
1556107550,4,3
1556111142,2,1
1556114748,1,0
1556118346,0,2
1556121943,2,2
1556125535,2,1
1556129142,1,5
1556132744,4,4
1556136344,6,1
1556139951,0,1
1556143554,1,3
1556147149,1,2
1556150784,3,5
1556154347,4,2
1556157954,1,0
1556161543,2,0
1556165137,1,3
1556168747,4,4
1556172350,3,1
1556175947,1,2
1556179551,2,1
1556183148,1,2
1556186753,2,2
1556190347,2,2
1556197557,2,3
1556201146,4,1
1556204744,1,1
1556208353,0,1
1556211941,1,2
1556215532,2,0
1556219145,1,1
1556226354,0,1
1556229960,1,2
1556233548,0,1
1556237166,1,1
1556240749,1,1
1556244351,1,0
1556247958,2,1
1556251555,4,0
1556255146,0,2
1556258746,1,0
1556262352,2,4
1556265946,3,3
1556269548,1,0
1556273157,0,1
1556276749,2,3
1556280342,3,3
1556283939,4,1
1556287551,2,5
1556291153,4,4
1556294756,2,0
1556298356,1,3
1556301941,0,2
1556305541,0,1
1556309148,2,2
1556312743,3,2
1556316357,1,3
1556319951,4,0
1556323561,2,2
1556327152,0,1
1556330749,2,2
1556334350,1,1
1556337950,2,0
1556341550,1,4
1556345151,0,1
1556348756,1,1
1556352353,2,0
1556355951,2,1
1556359552,1,2
1556363154,1,0
1556366754,1,3
1556370338,3,3
1556373950,3,3
1556377552,1,0
1556381155,2,2
1556384743,1,2
1556388350,2,1
1556391952,2,2
1556395553,2,3
1556399148,2,0
1556402764,2,2
1556406357,0,4
1556409945,4,1
1556413555,1,1
1556417160,1,0
1556420745,1,2
1556424367,3,0
1556427967,0,1
1556438749,0,2
1556442352,1,3
1556445969,1,3
1556449556,2,2
1556453161,3,1
1556456753,1,3
1556460350,1,0
1556463955,3,2
1556467560,1,2
1556471155,0,1
1556474761,2,0
1556478357,1,2
1556481959,3,1
1556485566,2,2
1556489159,2,1
1556492759,2,0
1556496328,1,1
1556499955,1,4
1556503565,2,0
1556507162,2,2
1556510761,2,2
1556514355,1,1
1556517964,2,4
1556521558,4,3
1556525161,3,1
1556528762,1,2
1556532348,2,3
1556535964,1,0
1556539543,2,0
1556543152,2,2
1556546761,1,5
1556550354,5,2
1556553962,3,2
1556557561,1,1
1556564769,0,1
1556568360,0,5
1556571954,3,1
1556575545,2,3
1556579161,3,1
1556582769,2,2
1556586366,2,0
1556589993,1,0
1556593556,0,3
1556597163,2,5
1556600756,7,0
1556604354,1,3
1556607964,1,1
1556611550,3,1
1556615166,0,3
1556618767,3,1
1556622355,1,1
1556625957,1,3
1556629565,3,2
1556633160,2,1
1556636755,2,4
1556640361,2,4
1556643945,4,1
1556647555,2,5
1556651154,3,1
1556654761,3,2
1556658339,2,1
