DateTime,AddedIPs,RemovedIPs
1555510336,6,5
1555513891,1,1
1555517512,3,2
1555521083,4,13
1555524690,2,4
1555528299,4,10
1555531923,5,8
1555535494,5,6
1555539126,8,4
1555542685,6,7
1555546327,7,2
1555549934,19,4
1555553490,5,2
1555557110,4,13
1555560713,5,19
1555564300,5,5
1555567919,3,3
1555571486,2,6
1555575127,6,4
1555578717,3,6
1555582330,3,9
1555585900,8,3
1555589496,2,5
1555593079,5,5
1555596691,6,1
1555600305,3,5
1555603922,4,6
1555607491,2,7
1555611117,4,5
1555614700,11,5
1555618340,6,10
1555621928,9,3
1555625492,3,5
1555629120,5,3
1555632745,10,12
1555636336,26,5
1555639916,6,3
1555643486,5,6
1555647128,11,16
1555650686,6,6
1555654282,4,5
1555657950,3,13
1555661489,2,2
1555665101,2,2
1555668723,2,2
1555672343,3,4
1555675911,1,1
1555679536,3,2
1555683105,5,3
1555686711,6,3
1555690298,2,4
1555693912,2,1
1555697526,2,4
1555701109,0,2
1555704697,1,4
1555708276,1,1
1555711949,2,2
1555715488,1,0
1555719096,7,1
1555722744,12,1
1555726303,5,2
1555729891,1,3
1555733493,3,25
1555737110,2,1
1555740691,2,5
1555744311,2,4
1555747905,1,3
1555751513,2,5
1555755089,5,1
1555758679,3,1
1555762298,0,1
1555765902,3,0
1555769488,2,2
1555773108,4,1
1555776672,1,4
1555780294,1,4
1555783869,1,4
1555787478,2,1
1555791101,5,0
1555794699,2,5
1555798309,2,6
1555801852,5,1
1555805505,5,2
1555809125,34,0
1555812707,4,0
1555816310,2,8
1555819883,3,14
1555823481,3,3
1555827108,5,5
1555830680,1,3
1555834322,0,4
1555837904,3,3
1555841492,2,2
1555845095,6,5
1555848692,2,0
1555852322,2,4
1555855906,2,0
1555859495,2,1
1555863063,4,3
1555866706,1,2
1555870282,1,1
1555873900,1,5
1555877526,3,1
1555881078,2,0
1555884681,1,2
1555888315,2,3
1555891904,5,0
1555895513,25,3
1555899118,2,2
1555902712,4,12
1555906299,5,30
1555909876,1,2
1555913513,4,4
1555917077,2,3
1555920677,2,4
1555924259,0,3
1555927907,2,4
1555931466,2,1
1555935095,2,1
1555938683,5,2
1555942329,7,2
1555945905,0,3
1555949502,2,1
1555953096,5,6
1555956711,2,4
1555960270,1,1
1555963885,5,2
1555967498,13,2
1555971067,2,3
1555974676,2,2
1555978308,10,2
1555981907,21,0
1555985462,6,1
1555989063,2,5
1555992706,5,16
1555996271,10,5
1555999892,4,4
1556003511,3,14
1556007081,6,3
1556010697,0,3
1556014290,2,3
1556017882,2,6
1556021499,6,2
1556025068,1,3
1556028663,2,4
1556032284,5,0
1556035895,1,4
1556039479,4,1
1556043065,2,4
1556046681,3,4
1556050286,2,2
1556053859,2,3
1556057478,6,3
1556061092,3,5
1556064707,12,3
1556068304,19,2
1556071887,6,7
1556075471,6,4
1556079066,7,17
1556082668,3,3
1556086286,4,7
1556089863,4,9
1556093478,4,2
1556097097,1,3
1556100668,3,7
1556104288,3,4
1556107895,6,3
1556111476,3,1
1556115063,2,2
1556118682,2,2
1556122300,2,3
1556125858,4,3
1556129468,1,8
1556133097,5,6
1556136661,7,1
1556140293,1,2
1556143907,3,4
1556147476,2,2
1556151147,8,4
1556154736,40,3
1556158299,4,3
1556161869,2,8
1556165500,5,29
1556169110,13,7
1556172690,4,5
1556176281,5,1
1556179920,3,1
1556183505,1,3
1556187072,2,3
1556190681,3,2
1556194301,2,1
1556197880,3,4
1556201482,5,2
1556205123,2,2
1556208693,2,3
1556212304,2,4
1556215857,3,1
1556219492,0,2
1556223065,0,1
1556226709,0,2
1556230341,3,1
1556237522,6,1
1556241071,8,2
1556244694,0,10
1556248279,4,12
1556251887,11,23
1556255475,3,3
1556259074,7,0
1556262707,3,18
1556266287,4,3
1556269882,1,1
1556273499,4,2
1556277056,1,3
1556280677,3,4
1556284297,4,3
1556287897,2,3
1556291496,4,3
1556295081,2,1
1556298680,1,3
1556302253,2,3
1556305858,2,3
1556309491,2,1
1556313089,0,2
1556316699,1,3
1556320266,5,2
1556323890,5,2
1556327478,15,2
1556331099,4,2
1556334667,1,6
1556338303,4,21
1556341869,1,4
1556345470,1,2
1556349081,1,2
1556352690,3,0
1556356275,2,1
1556359851,2,2
1556363501,0,1
1556367089,1,3
1556370677,3,3
1556374298,2,2
1556377888,2,1
1556381474,2,3
1556385075,1,2
1556388669,2,2
1556392278,3,1
1556395895,3,2
1556399500,2,1
1556403113,3,5
1556406692,3,7
1556410295,11,2
1556413932,36,0
1556417492,7,1
1556421102,3,6
1556424719,2,19
1556428341,0,5
1556431913,1,1
1556435497,0,8
1556439095,2,8
1556442722,3,4
1556446309,3,4
1556449908,5,4
1556453491,8,1
1556457080,5,3
1556460712,2,0
1556464320,3,5
1556467931,1,3
1556471509,3,2
1556475134,3,2
1556478707,1,4
1556482343,3,2
1556485894,4,1
1556489521,2,2
1556493106,2,0
1556496691,5,2
1556500347,13,2
1556503884,5,1
1556507527,3,4
1556511118,5,16
1556514696,3,4
1556518328,6,4
1556521897,3,7
1556525543,5,1
1556529078,1,3
1556532726,1,5
1556536306,3,1
1556539878,5,2
1556543495,6,5
1556547098,4,6
1556550691,5,5
1556554313,5,1
1556557941,5,5
1556561504,2,4
1556565107,1,6
1556568720,2,12
1556572302,5,7
1556575887,10,7
1556579502,7,5
1556583138,13,3
1556586757,14,2
1556590349,5,0
1556593881,4,15
1556597499,8,46
1556601091,17,12
1556604720,6,7
1556608281,5,6
1556611901,6,3
1556615508,1,3
1556619063,5,6
1556622710,4,1
1556626298,1,9
1556629919,5,4
1556633481,6,3
1556637115,6,4
1556640700,4,7
1556644289,7,9
1556647880,7,6
1556651502,6,4
1556655099,5,4
1556658685,5,3
1556662313,2,4
1556665875,2,6
1556669512,7,1
1556673139,28,3
1556676717,23,3
1556680295,6,9
1556683919,5,20
1556687519,4,3
1556691097,3,12
1556694721,5,2
1556698275,3,6
1556701914,6,2
1556705477,5,0
1556709124,0,2
1556712686,1,2
1556716323,3,2
1556719914,3,1
1556723494,4,4
1556727091,4,4
1556730678,2,1
1556734311,2,4
1556737891,6,7
1556741483,4,10
1556745126,5,3
1556748680,1,4
1556752283,0,1
1556755927,9,2
1556759568,15,8
1556763092,10,0
1556766727,2,6
1556770300,4,12
1556773908,2,4
1556777461,4,4
1556781105,2,3
1556784696,1,6
1556788283,4,6
1556791913,3,1
1556795485,3,2
1556799107,3,3
1556802718,2,4
1556806267,2,3
1556809904,3,2
1556813478,5,3
1556817130,2,4
1556820686,2,10
1556824302,5,6
1556827894,5,0
1556831490,1,14
1556835076,5,7
1556838705,15,4
1556842451,14,1
1556845929,16,2
1556849491,2,3
1556853094,2,13
1556856685,13,31
1556860297,9,5
1556863861,1,4
1556867477,4,9
1556871068,2,3
1556874684,3,4
1556878260,3,5
1556881883,3,5
1556885477,2,2
1556889090,5,1
1556892683,1,2
1556896263,3,3
1556899890,1,2
1556903495,0,3
1556907094,3,6
1556910682,3,2
1556914278,3,2
1556917877,3,3
1556921472,5,1
1556925067,2,2
1556928737,12,4
1556932327,16,2
1556935911,3,2
1556939471,3,7
1556943090,1,23
1556946688,3,4
1556950289,0,2
1556953881,1,7
1556957481,3,1
1556961088,1,0
1556964690,2,1
1556968299,1,2
1556971882,2,1
1556975496,5,0
1556979088,3,3
1556982667,4,3
1556986283,4,7
1556989893,4,5
1556993473,3,1
1556997099,0,2
1557000688,0,2
1557004266,0,3
1557007869,2,1
1557011489,3,2
1557015154,6,1
1557019328,35,1
1557022371,5,0
1557025890,0,8
1557029468,3,14
1557033104,5,9
1557036697,1,0
1557040267,0,4
1557043876,3,3
1557047493,0,2
1557051112,1,1
1557054696,1,0
1557058265,2,2
1557061921,3,0
1557065476,1,1
1557069091,3,1
1557072718,1,4
1557076298,4,2
1557079877,1,6
1557083500,3,2
1557087058,1,0
1557090684,1,1
1557094275,2,0
1557097906,1,0
1557101529,6,3
1557105081,32,1
1557108659,4,3
1557112277,3,18
1557115881,2,15
1557119485,2,4
1557123092,6,3
1557126707,6,3
1557130273,5,4
1557133893,1,3
1557137517,2,5
1557141082,2,4
1557144682,2,2
1557148289,3,1
1557151904,4,3
1557155499,1,3
1557159127,1,5
1557162709,3,7
1557166288,7,1
1557169869,4,2
1557173475,2,5
1557177074,3,4
1557180665,2,10
1557184290,10,0
1557188043,10,0
1557191481,20,4
1557195111,0,2
1557198681,2,5
1557202281,6,17
1557205874,4,4
1557209519,4,2
1557213118,6,10
1557216677,4,2
1557220304,2,4
1557223886,4,4
1557227475,4,3
1557231077,1,2
1557234670,3,3
1557238285,4,4
1557241899,1,8
1557245502,3,1
1557249061,2,2
1557252698,2,1
1557256292,1,2
1557259893,1,5
1557263521,1,7
1557267089,5,2
1557270705,2,1
1557274347,2,2
1557277940,12,1
1557281501,4,3
1557285097,4,6
1557288707,3,11
1557292295,3,2
1557295902,0,2
1557299512,2,9
1557303127,2,2
1557306686,2,4
1557310301,3,5
