DateTime,AddedIPs,RemovedIPs
1553691973,2,0
1553745957,2,0
1553753181,0,1
1553756790,0,1
1553760387,0,2
1553767579,0,1
1553771180,1,0
1553818031,10,0
1553821592,6,1
1553825199,1,0
1553828816,3,2
1553832385,6,4
1553835987,2,4
1553839601,3,1
1553843185,0,3
1553846786,2,1
1553854002,1,1
1553861195,1,0
1553890002,0,2
1553893578,1,1
1553897185,0,1
1553900803,1,7
1553904410,5,0
1553907984,1,3
1553911585,1,1
1553915187,1,7
1553918775,1,0
1553933173,0,1
1553983585,1,1
1553987184,1,0
1554069992,0,1
1554073602,1,0
1554077217,11,0
1554080792,1,2
1554084396,2,0
1554087988,2,1
1554091585,3,1
1554095190,1,0
1554098782,2,1
1554102392,1,0
1554109578,0,1
1554113184,0,1
1554116791,1,0
1554120373,0,3
1554123987,1,3
1554127582,0,2
1554131198,5,2
1554134777,3,1
1554138389,1,1
1554141981,2,0
1554145588,1,2
1554149192,0,1
1554152795,1,1
1554156400,2,2
1554159981,2,0
1554163630,0,1
1554167192,1,0
1554170790,0,3
1554174397,3,0
1554177996,7,4
1554181592,3,5
1554185166,4,1
1554188811,0,4
1554192394,0,2
1554196015,0,3
1554199590,4,0
1554213992,0,7
1554217592,5,1
1554221190,0,2
1554224796,5,0
1554231979,0,1
1554235576,1,0
1554239184,0,8
1554242777,2,1
1554246375,1,1
1554250010,2,4
1554253569,2,1
1554257181,2,0
1554260779,3,3
1554264383,2,9
1554267963,1,0
1554271578,0,1
1554307571,0,5
1554311177,4,1
1554314777,1,0
1554318380,2,0
1554325585,0,4
1554329175,0,4
1554332780,1,3
1554336364,1,0
1554339981,3,1
1554343587,1,1
1554347177,4,0
1554350779,2,0
1554354373,0,1
1554361587,0,5
1554365194,0,1
1554368782,0,1
1554372385,2,2
1554375982,2,0
1554386779,0,1
1554390392,1,0
1554408380,0,2
1554411983,1,0
1554419177,1,0
1554426389,4,1
1554429995,4,0
1554433597,7,1
1554437177,4,4
1554440789,3,1
1554444393,3,0
1554447995,0,1
1554451598,0,1
1554455200,2,0
1554494800,0,2
1554501981,2,0
1554505604,13,0
1554509196,1,0
1554519997,0,3
1554523572,12,13
1554527185,0,5
1554530771,0,1
1554534390,0,2
1554545185,0,1
1554548782,0,6
1554552371,6,0
1554559587,1,0
1554573982,0,3
1554577577,3,0
