DateTime,AddedIPs,RemovedIPs
1552838904,1,0
1552871313,12,0
1552878529,2,0
1552882123,0,10
1552889313,0,1
1552907301,0,1
1552914533,1,0
1552928916,0,1
1552954184,18,0
1552964921,0,23
1553011701,1,0
1553040553,15,0
1553051319,0,23
1553069344,1,0
1553090896,1,0
1553098123,1,0
1553105296,0,1
1553127130,7,0
1553137833,1,13
1553141312,1,0
1553148524,0,1
1553152114,0,1
1553162899,1,0
1553173714,0,1
1553177292,2,0
1553191707,0,2
1553213348,21,0
1553224102,0,17
1553260093,2,0
1553274499,0,2
1553303289,12,0
1553314098,0,13
1553357270,1,0
1553386151,20,0
1553396903,0,7
1553443697,1,0
1553476156,10,0
1553483317,1,0
1553486904,0,23
1553497689,1,0
1553504906,0,1
1553508482,1,0
1553512102,1,1
1553519298,3,0
1553522906,1,1
1553526493,1,1
1553530107,1,1
1553533699,1,3
1553537311,0,1
1553540914,1,1
1553544493,0,1
1553551687,0,1
1553558933,1,0
1553562493,31,1
1553569698,2,0
1553573294,1,14
1553576893,1,1
1553580490,1,1
1553584097,0,1
1553587703,0,1
1553591311,0,2
1553594892,2,0
1553598492,1,0
1553605690,1,1
1553609280,1,1
1553620086,0,1
1553634486,0,1
1553638103,1,0
1553648896,11,0
1553656101,1,0
1553659712,1,20
1553663290,1,1
1553670505,1,1
1553674118,1,1
1553677700,0,1
1553681312,0,1
1553684895,1,1
1553688529,1,0
1553695703,1,0
1553699305,1,1
1553702907,0,2
1553706500,2,1
1553710101,1,1
1553713709,1,0
1553717301,1,1
1553720914,0,1
1553724509,0,1
1553728105,0,1
1553731741,1,0
1553735295,7,0
1553742506,0,1
1553746094,0,11
1553789314,1,0
1553818252,23,0
1553828943,0,34
1553908095,9,0
1553918894,0,12
1553972903,1,0
1553990952,17,0
1554001705,0,6
1554019713,1,0
1554026892,1,0
1554037712,0,1
1554077405,24,0
1554080932,2,0
1554088103,0,25
1554091776,1,0
1554102514,0,1
1554163748,5,0
1554170931,1,0
1554174516,0,10
1554250136,0,1
1554253685,17,0
1554264505,0,12
1554332896,0,1
1554340113,14,0
1554343700,2,0
1554347286,1,0
1554350894,1,29
1554358099,0,1
1554361704,0,1
1554383296,1,0
1554397700,0,1
1554426509,15,0
1554430121,1,0
1554433725,0,1
1554437306,0,6
1554512894,11,0
1554523688,0,17
1554599309,21,0
1554602897,1,0
1554606483,1,0
1554610102,1,13
1554613694,0,1
1554617306,1,1
1554620895,1,1
1554624493,1,0
1554631690,1,1
1554638889,1,1
1554642504,0,1
1554649691,1,0
1554653288,0,1
1554656892,1,1
1554660488,1,1
1554664105,1,0
1554667697,1,1
1554671296,0,1
1554674884,1,1
1554678505,0,1
1554682114,1,0
1554685698,14,1
1554689306,1,0
1554692889,1,0
1554696500,0,17
1554700104,1,1
1554703716,1,0
1554710912,1,1
1554714511,1,1
1554718096,1,1
1554725308,0,1
1554728912,1,0
1554739709,1,1
1554743303,0,1
1554746894,1,1
1554757692,1,0
1554761315,1,1
1554764892,1,1
1554768526,1,1
1554772128,18,1
1554775723,1,1
1554779333,0,1
1554782925,1,13
1554786532,1,2
1554793716,0,1
1554797328,1,0
1554800925,1,1
1554808101,1,1
1554811717,0,1
1554815321,1,0
1554818919,1,1
1554822534,1,0
1554829725,1,1
1554836932,1,1
1554840508,1,1
1554847729,1,1
1554851322,0,1
1554854931,1,1
1554858518,8,1
1554865719,0,1
1554869314,0,22
1554944905,6,0
1554948529,1,1
1554955691,0,13
1554962900,0,1
1554970108,1,0
1555031317,20,0
1555042128,0,13
1555060112,0,1
1555117723,19,0
1555121318,2,0
1555124909,1,0
1555128499,0,9
1555132104,1,0
1555135699,1,1
1555142922,1,1
1555146511,0,1
1555150131,0,1
1555153697,0,1
1555160914,1,0
1555164521,1,1
1555171713,1,1
1555175338,1,1
1555182492,1,1
1555186110,1,0
1555189715,0,1
1555196910,1,0
1555200534,0,1
1555204105,8,1
1555207729,1,1
1555211294,1,0
1555214922,0,6
1555218505,1,1
1555225688,1,0
1555229316,1,1
1555232915,0,1
1555240082,1,2
1555247292,0,1
1555250901,1,0
1555258103,0,1
1555261706,0,1
1555265294,1,0
1555272519,1,0
1555279710,1,0
1555283301,0,1
1555286949,1,0
1555290495,10,1
1555297700,1,0
1555301308,0,19
1555304882,0,1
1555308494,1,0
1555315700,1,0
1555319308,0,1
1555322898,1,1
1555326491,1,1
1555330102,1,0
1555337306,1,1
1555340923,0,1
1555344508,0,1
1555348104,1,0
1555351698,1,1
1555355309,1,0
1555358906,0,1
1555366109,1,0
1555373338,1,1
1555376896,17,1
1555380502,1,0
1555384105,0,1
1555387700,1,21
1555391295,0,1
1555398508,1,0
1555412902,1,0
1555420108,1,0
1555423692,2,1
1555427312,0,1
1555434492,1,0
1555438094,1,2
1555441695,1,1
1555445308,0,1
1555448892,1,1
1555456109,1,0
1555459732,1,1
1555463318,21,1
1555474107,0,8
1555477707,0,1
1555484885,1,0
1555499306,0,1
1555502900,1,0
1555506511,2,0
1555510117,1,1
1555520877,1,2
1555524501,0,1
1555528093,1,1
1555531709,1,0
1555535285,0,1
1555542490,1,1
1555546123,1,1
1555549711,11,0
1555553286,0,1
1555560513,1,11
1555564115,1,0
1555571296,0,1
1555574922,1,0
1555578505,0,1
1555582127,0,1
1555589307,0,1
1555592908,1,0
1555596507,1,0
1555600110,1,0
1555603716,1,1
1555610917,1,1
1555614496,1,1
1555621724,0,1
1555628908,1,0
1555636101,20,1
1555639712,0,1
1555643297,1,1
1555646907,0,18
1555672123,0,1
1555675703,1,0
1555722505,13,0
1555733295,0,21
1555808914,12,0
1555812513,2,0
1555819702,0,10
1555823304,0,1
1555895295,24,1
1555898949,1,0
1555902520,1,0
1555906102,0,19
1555913307,1,1
1555916897,1,0
1555920498,1,1
1555924085,0,1
1555927731,1,1
1555931298,1,1
1555934913,1,0
1555938504,2,1
1555942127,1,1
