DateTime,AddedIPs,RemovedIPs
1543183281,0,2
1543212083,2,0
1543226480,0,2
1543240881,1,0
1543248084,2,0
1543255283,0,1
1543269682,0,2
1543291282,2,0
1543312883,0,2
1543334483,2,0
1543338082,1,0
1543352483,0,1
1543384882,0,2
1543392085,2,0
1543406485,1,2
1543420888,2,0
1543424485,0,1
1543431685,2,0
1543435284,0,2
1543446086,0,2
1543467684,2,0
1543482085,2,2
1543496486,0,2
1543507284,2,0
1543521684,0,2
1543528886,2,0
1543543284,0,2
1543546881,2,0
1543586480,0,2
1543618883,0,1
1546012848,0,4
1546016482,4,0
1546059652,0,4
1546063285,4,0
1546081254,0,4
1546088484,4,0
1546110053,0,4
1548860481,4,0
1549936881,1,0
1549954880,0,1
1549987281,1,0
1550001683,0,1
1550019680,1,0
1550034082,0,1
1550041280,1,0
1550055680,0,1
1550095283,1,0
1550109680,0,1
1550142083,1,0
1550156482,0,1
1550196079,1,0
1550214080,0,1
1550235683,1,0
1550250080,0,1
1550268083,1,0
1550282478,0,1
1550289677,1,0
1550372477,0,1
1550379677,1,0
1550408477,0,1
1551171685,1,0
1551186085,0,1
1551189684,1,0
1551211284,0,1
1551214886,1,0
1551272485,0,1
1551294083,1,0
1551308486,0,1
1551312075,1,0
1551326486,0,1
1551445286,1,0
1551459686,0,1
1551574869,1,0
1551589277,0,1
1551592877,1,0
1551607277,0,1
1551639677,1,0
1551679271,0,1
1551682883,1,0
1551697271,0,1
1551711680,1,0
1551740482,0,1
1551762071,1,0
1551826880,0,1
1551855681,1,0
1551870081,0,1
1551898883,1,0
1551924081,0,1
1551945682,1,0
1551960079,0,1
1551985281,1,0
1551999680,0,1
1552089673,1,0
1552104077,0,1
1552147279,1,0
1552176070,0,1
1552194078,1,0
1552208477,0,1
1552244477,1,0
1552273280,0,1
1552280483,1,0
1552323682,0,1
1552348871,1,0
1552363281,0,1
1552374082,1,0
1552388480,0,1
1552402882,1,0
1552417283,0,1
1552420882,1,0
1552435273,0,1
1552467683,1,0
1552492881,0,1
1552503682,1,0
1552554082,0,1
1552568481,1,4
1552582881,4,1
1552611672,1,0
1552626081,0,4
1552633280,4,1
1552644080,1,0
1552676449,0,5
1552680080,1,0
1552690881,4,0
1552705276,0,4
1552708877,4,1
1552723277,1,0
1552737676,0,1
1552741277,1,0
1552748476,0,4
1552755645,0,1
1552762868,4,0
1552766477,1,0
1552780870,0,1
1552791644,0,4
1552806077,4,0
1552842044,0,4
1552845677,4,0
1552870849,0,4
1552874479,1,0
1552878083,4,0
1552888880,0,1
1552910482,1,0
1552928482,1,0
1552935681,0,1
1552939281,1,0
1552942881,0,1
1552960880,0,1
1552968080,1,0
1552971681,1,0
1552993281,0,4
1552996881,4,0
1553007682,0,1
1553011281,1,4
1553025680,0,1
1553029280,4,0
1553040074,0,1
1553068849,0,4
1553072472,1,0
1553086848,0,1
1553090482,4,0
1553097681,1,0
1553122881,0,1
1553133680,1,0
1553140880,1,0
1553148080,0,4
1553155285,0,1
1553158881,4,0
1553162481,1,1
1553187681,1,0
1553202082,0,1
1553220080,0,1
1553223681,1,0
1553238082,0,1
1553245283,1,0
1553259681,1,1
1553284881,0,1
1553295679,1,0
1553313677,1,4
1553317277,4,0
1553328077,0,1
1553331676,1,0
1553342476,0,4
1553349676,4,1
1553360476,0,1
1553367677,1,0
1553382076,0,1
1553396476,1,0
1553403678,1,0
1553410877,0,4
1553418076,4,1
1553432477,1,1
1553439677,1,0
1553446876,0,4
1553457676,4,0
1553475670,0,1
1553479280,0,1
1553497283,1,0
1553515281,0,1
1553533283,1,0
1553558472,1,1
1553572885,0,1
1553594481,1,0
1553608881,0,1
1553626881,1,0
1553655680,0,1
1553659282,1,0
1553662883,1,0
1553670081,0,4
1553673680,4,1
1553677281,0,1
1553680882,1,0
1553709681,0,1
1553731273,1,4
1553742080,4,0
1553767281,0,4
1553785283,4,0
1553788880,0,1
1553799680,1,0
1553817673,1,1
1553828484,0,4
1553832085,4,0
1553846484,0,4
1553850084,4,0
1553864485,0,1
1553875285,1,0
