DateTime,Entries,UniqueIPs
1556334981,34509,34509
1556336895,34484,34484
1556338831,34484,34484
1556340738,34446,34446
1556342652,34435,34435
1556344572,34386,34386
1556346521,34360,34360
1556348429,34274,34274
1556350364,34173,34173
1556352283,34141,34141
1556354168,34095,34095
1556356091,34065,34065
1556358035,33960,33960
1556360072,33872,33872
1556361879,29986,29986
1556363775,29892,29892
1556365691,29852,29852
1556367646,29854,29854
1556369549,29842,29842
1556371450,29799,29799
1556373377,29728,29728
1556375310,29656,29656
1556377234,29607,29607
1556379151,29533,29533
1556381093,29261,29261
1556382979,29280,29280
1556384888,29381,29381
1556386843,29400,29400
1556388738,29412,29412
1556390648,29225,29225
1556392590,29240,29240
1556394524,29206,29206
1556396407,29250,29250
1556398328,29266,29266
1556400262,28737,28737
1556402173,28288,28288
1556404109,27735,27735
1556406052,27123,27123
1556407957,26516,26516
1556409864,25380,25380
1556411780,21721,21721
1556413697,19704,19704
1556415632,18847,18847
1556417544,18187,18187
1556419456,17500,17500
1556421376,16830,16830
1556423300,16136,16136
1556425235,16122,16122
1556427133,16241,16241
1556429059,17412,17412
1556430990,17423,17423
1556432897,17392,17392
1556434856,17441,17441
1556436739,17387,17387
1556438678,17475,17475
1556440580,17474,17474
1556442520,17485,17485
1556444415,17704,17704
1556446340,17697,17697
1556448260,17686,17686
1556450176,17661,17661
1556452103,17870,17870
1556454019,18985,18985
1556456198,19561,19561
1556458110,19657,19657
1556460052,19732,19732
1556461962,19811,19811
1556463877,19899,19899
1556465804,19963,19963
1556467713,20051,20051
1556469619,20017,20017
1556471534,19879,19879
1556473471,19787,19787
1556475384,19697,19697
1556477291,19595,19595
1556479239,20477,20477
1556481154,23294,23294
1556483050,25412,25412
1556486180,27870,27870
1556488107,27551,27551
1556490037,27483,27483
1556491937,27464,27464
1556493864,27469,27469
1556495802,27596,27596
1556497695,28685,28685
1556499656,30064,30064
1556501569,31078,31078
1556503477,32133,32133
1556505396,33216,33216
1556507319,34167,34167
1556509224,35132,35132
1556511142,35976,35976
1556513076,36919,36919
1556514986,37145,37145
1556516915,37911,37911
1556518832,38705,38705
1556520794,39413,39413
1556522653,39406,39406
1556524570,39483,39483
1556526772,39458,39458
1556528684,39405,39405
1556530576,39220,39220
1556532510,39184,39184
1556534440,39133,39133
1556536352,39138,39138
1556538277,39178,39178
1556540181,38697,38697
1556542101,38335,38335
1556544017,38437,38437
1556545946,38668,38668
1556547876,38880,38880
1556549788,39094,39094
1556551713,39062,39062
1556554573,38980,38980
1556556494,38963,38963
1556558416,39005,39005
1556560367,39108,39108
1556562251,39195,39195
1556564177,39309,39309
1556566108,37721,37721
1556568034,35062,35062
1556569943,32934,32934
1556572130,31198,31198
1556574035,31305,31305
1556575956,31415,31415
1556578635,31896,31896
1556580497,32278,32278
1556582446,32273,32273
1556584349,31355,31355
1556586258,30336,30336
1556588457,29160,29160
1556590335,28238,28238
1556592260,27275,27275
1556594196,26447,26447
1556596098,25408,25408
1556598009,24420,24420
1556599946,23276,23276
1556601876,22612,22612
1556603772,22009,22009
1556605732,21585,21585
1556608602,21028,21028
1556610494,21361,21361
1556612423,21648,21648
1556614383,21977,21977
1556616248,22194,22194
1556618177,22458,22458
1556620092,23031,23031
1556622170,24506,24506
1556624178,25228,25228
1556626125,26298,26298
1556628011,27311,27311
1556630041,28266,28266
1556631882,28926,28926
1556633802,29121,29121
1556635695,29512,29512
1556637622,30320,30320
1556639554,31190,31190
1556641456,31992,31992
1556643377,32889,32889
1556645315,33739,33739
1556647224,34572,34572
1556649155,35256,35256
1556651078,35998,35998
1556652996,36914,36914
1556654899,37155,37155
1556656813,37391,37391
1556658790,37469,37469
1556660652,37656,37656
1556662585,37919,37919
1556664515,38006,38006
1556666416,38049,38049
1556668400,38086,38086
1556670262,38018,38018
1556672455,38001,38001
1556674370,38066,38066
1556676294,38141,38141
1556678201,38186,38186
1556680114,38215,38215
1556682018,39201,39201
1556683953,40113,40113
1556685875,40309,40309
1556687782,41262,41262
1556689709,42621,42621
1556691640,42874,42874
1556693536,43330,43330
1556695469,43318,43318
1556697393,43149,43149
1556699303,42842,42842
1556701259,42589,42589
1556703165,42390,42390
1556705326,42154,42154
1556707216,41786,41786
1556709147,41710,41710
1556711078,41347,41347
1556712979,40891,40891
1556714905,40689,40689
1556716840,40312,40312
1556718752,39921,39921
1556720669,39868,39868
1556722594,40828,40828
1556724494,41735,41735
1556726496,42702,42702
1556728361,43017,43017
1556730279,42742,42742
1556732186,42519,42519
1556734126,42211,42211
1556736035,42035,42035
1556737952,41858,41858
1556739857,41489,41489
1556741800,41076,41076
1556743698,40667,40667
1556745637,40228,40228
1556747570,39800,39800
1556750434,39181,39181
1556752328,37973,37973
1556754276,36461,36461
1556756178,35132,35132
1556758366,33575,33575
1556760256,32274,32274
1556762202,31045,31045
1556764097,30126,30126
1556766035,28572,28572
1556767958,26898,26898
1556769863,25755,25755
1556771792,24511,24511
1556773707,23551,23551
1556775612,22415,22415
1556777797,21757,21757
1556779697,21125,21125
1556781643,21078,21078
1556783545,21296,21296
1556785466,21543,21543
1556787374,21734,21734
1556789330,21898,21898
1556791254,21971,21971
1556793141,21955,21955
1556795070,21631,21631
1556796896,21650,21650
1556798891,21651,21651
1556800826,21645,21645
1556802740,21683,21683
1556804737,22203,22203
1556806581,22382,22382
1556808493,20955,20955
1556810428,19353,19353
1556812337,17721,17721
1556814275,16622,16622
1556816449,17645,17645
1556818340,17643,17643
1556820265,17639,17639
1556822168,17615,17615
1556824116,17511,17511
1556826016,17403,17403
1556827930,17322,17322
1556829880,17236,17236
1556831770,17082,17082
1556833705,16990,16990
1556835649,16916,16916
1556837529,16888,16888
1556839456,16848,16848
1556841385,16830,16830
1556843296,16791,16791
1556845242,16740,16740
1556847153,16724,16724
1556849072,16716,16716
1556850994,16702,16702
1556852889,16684,16684
1556854810,16660,16660
1556856738,16629,16629
1556858682,16555,16555
1556860571,16402,16402
1556862504,16303,16303
1556864437,16353,16353
1556866367,16106,16106
1556868259,15931,15931
1556870186,15876,15876
1556872089,15902,15902
1556874974,16452,16452
1556876906,16449,16449
1556878833,16507,16507
1556880739,16695,16695
1556882650,16836,16836
1556884596,17001,17001
1556886793,17155,17155
1556888668,17235,17235
1556890577,17038,17038
1556892756,16587,16587
1556894655,16581,16581
1556896602,16537,16537
1556898500,16543,16543
1556900411,16485,16485
1556902363,15882,15882
1556904255,18105,18105
1556906173,18073,18073
1556908124,18352,18352
1556910982,18469,18469
1556912891,18470,18470
1556914836,18492,18492
1556916746,18529,18529
1556918668,18539,18539
1556920575,18576,18576
1556923164,18547,18547
1556925129,18531,18531
1556927076,18514,18514
1556928989,18523,18523
1556930890,18594,18594
1556932822,18598,18598
1556934745,18631,18631
1556936652,18636,18636
1556938574,18632,18632
1556940485,18600,18600
1556943370,18591,18591
1556945548,18541,18541
1556947454,18561,18561
1556949396,18562,18562
1556951292,18457,18457
1556954182,18268,18268
1556956126,18049,18049
1556958039,17842,17842
1556959936,17023,17023
1556961863,16855,16855
1556963773,16704,16704
1556965968,16561,16561
1556967899,16483,16483
1556969778,16401,16401
1556971646,16350,16350
1556973610,16602,16602
1556975555,16813,16813
1556977458,16852,16852
1556979385,17537,17537
1556981296,18353,18353
1556983229,19148,19148
1556985166,19856,19856
1556987052,20504,20504
1556988980,20356,20356
1556990909,19796,19796
1556993784,20768,20768
1556995719,21535,21535
1556997631,22261,22261
1556999530,23076,23076
1557001462,23274,23274
1557003367,23281,23281
1557005322,23296,23296
1557007225,23320,23320
1557009163,23315,23315
1557011085,23301,23301
1557012971,23287,23287
1557014783,23273,23273
1557016829,23330,23330
1557018737,23297,23297
1557020656,23340,23340
1557022573,23345,23345
1557024505,23360,23360
1557026437,23367,23367
1557028368,23382,23382
1557030265,23482,23482
1557032172,23511,23511
1557034111,23536,23536
1557036064,23525,23525
1557037936,23571,23571
1557040122,23575,23575
1557042031,23256,23256
1557043959,23658,23658
1557045852,23702,23702
1557048059,23766,23766
1557049942,25000,25000
1557051856,26384,26384
1557053790,27980,27980
1557055695,30678,30678
1557057647,34685,34685
1557059538,38080,38080
1557061472,39995,39995
1557063379,40961,40961
1557065253,41683,41683
1557067216,42424,42424
1557069157,43081,43081
1557071074,43743,43743
1557072975,44770,44770
1557074906,45914,45914
1557076829,46642,46642
1557078754,47236,47236
1557080662,48158,48158
1557082596,48852,48852
1557084492,50459,50459
1557086463,52612,52612
1557088358,53771,53771
1557090288,54447,54447
1557092190,54854,54854
1557094106,55315,55315
1557096034,55361,55361
1557097959,55379,55379
1557099860,55390,55390
1557101779,55867,55867
1557103714,56771,56771
1557105641,57500,57500
1557107532,58256,58256
1557109460,59029,59029
1557111397,59927,59927
1557113312,60717,60717
1557116198,61622,61622
1557118095,62242,62242
1557120018,62785,62785
1557121959,63371,63371
1557123884,63972,63972
1557125793,64651,64651
1557127711,64966,64966
1557130596,64901,64901
1557132506,64954,64954
1557134414,64942,64942
1557136358,64922,64922
1557138266,64935,64935
1557140201,64937,64937
1557142106,63194,63194
1557144059,59807,59807
1557145968,56981,56981
1557147866,55668,55668
1557149778,55409,55409
1557151733,55125,55125
1557153743,54779,54779
1557155568,54566,54566
1557157472,54260,54260
1557159401,53666,53666
1557161296,52262,52262
1557163218,51146,51146
1557165102,50064,50064
1557167072,48731,48731
1557168977,47860,47860
1557170917,46293,46293
1557172851,44468,44468
1557174769,43048,43048
1557176691,42124,42124
1557178576,41742,41742
1557180520,41123,41123
1557182444,41110,41110
1557184360,41083,41083
1557186641,41093,41093
1557188793,40221,40221
1557190843,39055,39055
1557193232,37830,37830
1557195175,36944,36944
1557197087,35824,35824
1557199001,34955,34955
1557200921,34029,34029
1557202830,33293,33293
1557204889,31973,31973
1557206901,30173,30173
1557208854,27711,27711
1557210753,25700,25700
1557212657,24250,24250
1557214577,23304,23304
1557216510,22309,22309
1557218418,21789,21789
1557220337,21417,21417
1557222302,20807,20807
1557224175,19985,19985
1557226104,19061,19061
1557228018,18842,18842
1557229985,18509,18509
1557231892,18208,18208
1557233933,17971,17971
1557235939,17913,17913
