DateTime,AddedIPs,RemovedIPs
1556329219,8,4
1556331154,12,6
1556333072,3,4
1556334981,5,5
1556336895,8,6
1556338832,1,4
1556340738,2,7
1556342652,4,2
1556344572,4,3
1556346522,6,4
1556348432,2,13
1556350364,8,5
1556352284,2,5
1556354168,3,3
1556356091,3,5
1556358036,3,3
1556360073,2,15
1556361880,5,93
1556363775,1,27
1556365692,11,9
1556367647,8,5
1556369550,9,5
1556371451,2,4
1556373378,2,2
1556375310,1,5
1556377238,9,4
1556379152,7,6
1556381099,5,70
1556382980,21,0
1556384889,24,5
1556386843,11,4
1556388739,15,33
1556390649,15,92
1556392591,9,11
1556394525,13,4
1556396408,11,3
1556398329,19,16
1556400263,24,234
1556402174,90,297
1556404109,27,256
1556406064,14,207
1556407957,12,206
1556409865,3,317
1556411780,1,530
1556413698,6,353
1556415632,6,325
1556417544,15,231
1556419457,7,304
1556421376,6,288
1556423300,5,292
1556425236,7,3
1556427134,20,3
1556429060,128,4
1556430991,2,3
1556432899,3,8
1556434883,14,3
1556436740,7,8
1556438679,5,3
1556440580,1,3
1556442520,4,4
1556444415,154,2
1556446340,4,3
1556448261,3,8
1556450177,4,2
1556452104,10,7
1556454019,67,8
1556456198,28,5
1556458110,8,2
1556461007,9,6
1556462914,12,3
1556464816,12,7
1556466761,9,4
1556468661,3,15
1556470593,8,19
1556472507,3,21
1556475384,2,23
1556477292,7,15
1556479239,169,10
1556481154,234,15
1556483051,200,10
1556486180,312,29
1556488108,15,90
1556490038,12,25
1556491937,14,22
1556493865,11,4
1556495803,85,7
1556497696,464,3
1556499667,632,4
1556501570,296,14
1556503480,309,16
1556505397,278,5
1556507320,391,3
1556509224,260,5
1556511143,334,6
1556513076,418,7
1556514987,277,72
1556516916,292,2
1556518833,298,1
1556520795,368,8
1556522654,165,43
1556524571,10,0
1556526773,8,3
1556528685,2,3
1556530577,3,118
1556532511,3,3
1556534440,5,4
1556536353,22,6
1556538278,37,9
1556540182,7,30
1556542101,3,25
1556544018,7,5
1556545947,7,7
1556547877,3,2
1556549788,7,5
1556551714,6,7
1556554574,3,7
1556556495,1,8
1556558417,3,9
1556560368,7,2
1556562252,4,1
1556564178,6,9
1556566109,9,266
1556568044,7,136
1556569944,4,222
1556572131,18,257
1556574035,11,14
1556575957,8,10
1556578649,9,19
1556580498,7,15
1556582453,13,195
1556584350,5,465
1556586265,5,598
1556588458,7,367
1556590335,3,364
1556592261,5,335
1556594196,0,341
1556596098,9,306
1556598010,7,436
1556599946,6,373
1556601876,11,266
1556603772,19,374
1556605733,46,310
1556607630,18,352
1556609540,8,123
1556611496,7,14
1556613371,7,14
1556615550,8,13
1556617468,8,6
1556620386,118,13
1556622533,172,4
1556624416,130,84
1556626332,268,6
1556628278,449,8
1556630169,386,13
1556632101,290,7
1556634021,147,10
1556635958,101,12
1556638126,206,5
1556641002,276,7
1556642895,213,5
1556644828,258,3
1556646752,287,11
1556648661,152,7
1556650581,204,9
1556652531,240,7
1556654480,76,16
1556656348,6,7
1556658276,16,21
1556660205,4,10
1556662125,9,5
1556664052,10,17
1556665935,7,5
1556668067,4,18
1556670007,6,10
1556671955,11,7
1556673855,9,4
1556675795,7,4
1556677690,2,8
1556679691,7,4
1556681537,260,6
1556683453,591,13
1556685378,94,5
1556687310,351,3
1556689211,574,15
1556691142,282,15
1556693071,70,26
1556694977,63,9
1556696901,108,8
1556698827,30,2
1556700745,18,4
1556702662,20,3
1556704587,10,6
1556706505,9,28
1556709524,25,26
1556711531,7,8
1556713462,12,4
1556715372,6,5
1556717561,14,5
1556719479,6,4
1556721379,8,13
1556723310,14,1
1556725212,2,5
1556727139,6,6
1556729076,8,4
1556730975,6,5
1556732898,4,10
1556734817,7,1
1556736749,12,5
1556738658,11,6
1556740568,4,8
1556742510,8,5
1556745382,9,17
1556747291,9,5
1556750435,14,14
1556752329,4,251
1556754277,5,375
1556756179,6,469
1556758367,4,460
1556760257,7,381
1556762203,3,211
1556764097,4,213
1556766040,4,533
1556767958,7,555
1556769879,11,578
1556771792,6,425
1556773707,2,449
1556775612,5,573
1556777798,3,278
1556779697,5,96
1556781643,20,65
1556783545,33,64
1556785467,35,28
1556787375,10,19
1556789331,4,21
1556791263,9,10
1556793142,2,14
1556795075,6,37
1556796913,10,13
1556798892,2,8
1556800827,4,9
1556802741,2,11
1556804737,12,11
1556806581,5,8
1556808493,0,24
1556810428,7,16
1556812338,8,20
1556814276,53,14
1556816458,346,10
1556818340,2,8
1556820272,7,11
1556822168,6,10
1556824117,6,15
1556826017,9,14
1556827930,4,17
1556829880,4,9
1556831771,5,16
1556833706,10,13
1556835650,9,13
1556837530,11,18
1556839457,5,11
1556841386,11,10
1556843296,10,11
1556845255,10,13
1556847153,8,10
1556849083,9,11
1556850994,10,10
1556852890,10,11
1556854811,15,16
1556856738,15,10
1556858683,8,10
1556860572,3,5
1556862505,6,10
1556864437,7,1
1556866367,6,48
1556868270,23,76
1556870210,34,12
1556872089,15,4
1556874052,529,9
1556875955,7,6
1556878834,14,11
1556880761,13,1
