DateTime,AddedIPs,RemovedIPs
1555392257,1,0
1555394209,0,1
1555398059,1,0
1555402115,1,0
1555404014,0,1
1555405957,0,1
1555407863,0,1
1555409804,2,0
1555419394,1,0
1555421297,0,2
1555423268,1,0
1555427069,1,0
1555428994,1,0
1555434736,1,0
1555436660,2,0
1555438588,2,0
1555440775,0,1
1555454744,1,0
1555458516,1,0
1555468102,0,5
1555470293,0,1
1555478458,0,3
1555486273,2,1
1555488302,2,1
1555492101,1,0
1555495936,0,2
1555497881,1,0
1555505577,0,1
1555511290,0,1
1555514384,1,1
1555516328,2,1
1555522100,0,2
1555524037,1,1
1555525955,0,2
1555527876,1,0
1555535539,1,0
1555540374,0,1
1555546149,0,1
1555548034,1,0
1555555960,1,0
1555561711,1,0
1555563659,1,0
1555571333,0,2
1555575140,0,2
1555578973,0,1
1555584732,0,1
1555594366,1,0
1555598416,1,0
1555600333,0,1
1555602264,0,1
1555604481,0,1
1555610194,0,1
1555612102,1,0
1555614995,0,1
1555620763,0,1
1555631786,2,0
1555633955,0,1
1555637803,1,0
1555641638,0,1
1555647377,0,1
1555649299,0,1
1555651238,1,0
1555655052,1,0
1555661015,2,0
1555664899,1,0
1555666831,1,0
1555672596,1,0
1555674495,2,0
1555680253,0,1
1555682356,2,0
1555684345,3,1
1555692029,3,0
1555693936,1,0
1555699716,2,1
1555701608,1,0
1555707372,1,0
1555709325,2,0
1555713154,1,0
1555716982,0,2
1555718925,1,0
1555724674,0,1
1555730436,1,0
1555734270,1,0
1555738094,0,1
1555740979,0,1
1555746762,0,2
1555750584,1,1
1555752514,0,1
1555758368,0,1
1555760206,1,1
1555762100,1,1
1555767853,1,0
1555769777,2,3
1555771731,1,1
1555775551,0,1
1555777460,0,1
1555779370,0,2
1555781315,2,1
1555786098,0,2
1555788031,0,1
1555789931,1,0
1555793790,0,1
1555795964,0,2
1555800823,1,1
1555804576,1,0
1555806498,0,1
1555809382,1,0
1555811303,1,0
1555817073,3,0
1555820889,1,1
1555826921,1,0
1555830736,0,1
1555836748,0,1
1555847568,1,2
1555849464,1,0
1555853322,2,0
1555855237,0,2
1555857383,0,2
1555867006,1,1
1555868895,3,1
1555876580,0,1
1555878529,1,0
1555882349,1,0
1555884299,1,0
1555886190,2,0
1555888100,0,1
1555890041,0,1
1555891958,1,0
1555895777,1,0
1555897716,0,1
1555903474,1,3
1555907294,0,1
1555913066,1,0
1555914986,0,1
1555916926,1,0
1555920737,1,0
1555922661,1,1
1555932630,2,0
1555934457,2,2
1555936364,2,0
1555938275,1,0
1555940191,0,1
1555942108,0,1
1555951930,1,0
1555953860,1,1
1555955769,0,3
1555957959,2,0
1555967541,0,1
1555969471,0,1
1555973297,0,1
1555978359,0,1
1555980265,1,0
1555982209,0,1
1555986035,2,0
1555989862,0,1
1555999485,0,1
1556001372,1,0
1556003309,1,1
1556007147,0,1
1556011237,1,0
1556018896,1,1
1556020869,0,3
1556022767,1,1
1556024688,1,1
1556026582,1,1
1556030440,1,0
1556032340,1,0
1556036209,1,0
1556038090,0,1
1556040027,0,1
1556043853,2,1
1556045789,0,2
1556053499,1,0
1556066897,0,1
1556068830,1,0
1556070740,0,1
1556072653,0,1
1556076513,1,0
1556078515,3,0
1556084212,0,1
1556088012,1,1
1556089944,0,1
1556091875,1,0
1556099770,0,1
1556103701,0,1
1556109370,0,1
1556111548,0,1
1556113453,0,1
1556117313,1,1
1556119248,0,1
1556124999,1,0
1556126896,1,1
1556128865,0,1
1556130768,1,1
1556134576,1,0
1556140342,0,1
1556154144,2,0
1556155965,0,1
1556161717,1,0
1556163619,1,2
1556165547,1,2
1556173247,0,1
1556178971,0,1
1556185724,1,0
1556193380,1,0
1556199151,1,1
1556203229,0,1
1556207088,1,0
1556208981,3,0
1556210980,0,1
1556213179,1,0
1556215384,1,1
1556219434,1,1
1556223405,1,0
1556229381,1,0
1556233262,1,0
1556239211,2,0
1556241132,1,1
1556243051,0,1
1556248828,0,2
1556250747,0,1
1556255795,0,1
1556261560,1,0
1556273102,0,1
1556274974,2,0
1556276894,1,0
1556280764,0,1
1556282655,1,0
1556286528,1,1
1556290340,1,0
1556292255,1,1
1556294209,1,0
1556296109,0,2
1556304062,1,1
1556305939,0,2
1556307854,2,0
1556309809,1,1
1556315550,3,1
1556317760,2,0
1556319708,1,1
1556321541,1,0
1556325388,0,2
1556327293,1,1
1556333074,1,0
1556348440,1,1
1556350366,1,0
1556352285,0,1
1556354170,1,0
1556358038,3,0
1556361882,0,2
1556363777,0,1
1556365693,1,0
1556367648,0,1
1556375312,2,1
1556379153,0,1
1556381104,1,1
1556382996,1,0
1556386845,2,0
1556390650,3,1
1556392593,1,0
1556394526,1,2
1556396409,3,1
1556400264,0,1
1556402175,1,1
1556404111,0,2
1556406086,1,1
1556407959,0,1
1556411782,1,0
1556413699,0,1
1556415634,0,1
1556417545,1,0
1556419458,0,1
1556427135,1,0
1556434917,0,1
1556436741,0,1
1556438680,1,0
1556440582,0,1
1556442521,1,0
1556444416,0,3
1556450178,1,0
1556452105,1,1
1556461963,0,2
1556463879,1,0
1556465805,1,1
1556471535,0,1
1556473472,0,1
1556475385,1,1
1556477293,0,3
1556479240,2,1
1556481155,1,0
1556483052,0,4
1556489064,2,1
1556490980,2,0
1556492914,1,0
1556498674,1,1
1556500576,1,0
1556502501,0,1
1556504414,1,1
1556514043,0,1
1556515936,1,0
1556520025,1,0
1556525802,0,1
1556529616,0,1
1556537292,0,2
1556539240,1,0
1556541157,1,0
1556548834,0,1
1556552659,0,1
1556558418,1,0
1556562253,0,1
1556564180,0,1
1556566111,2,1
1556568058,0,1
1556574036,0,1
1556578650,0,3
1556580499,1,1
1556582483,1,0
1556584351,1,1
1556586277,0,1
1556588460,2,0
1556592262,1,1
1556599947,1,0
1556601877,0,1
1556603774,1,0
1556607665,0,1
1556609541,2,0
1556615552,1,0
1556617515,1,0
1556621304,2,0
1556623245,1,0
1556627052,0,2
1556630891,1,0
1556644334,1,1
1556646263,1,0
1556650095,1,0
1556652009,1,0
1556653931,0,2
1556655907,1,0
1556659690,0,1
1556661662,2,0
1556668069,1,2
1556670009,2,0
1556671957,1,1
1556673856,0,2
1556677708,1,0
1556679726,1,1
1556685380,0,1
1556689212,1,1
1556691143,1,0
1556693073,1,0
1556694979,0,1
1556696902,1,1
1556702664,0,1
1556704589,0,1
1556706506,1,0
1556709525,0,3
1556717563,1,1
1556719483,2,0
1556730976,0,1
1556732900,0,1
1556736751,0,1
1556738660,1,1
1556742527,0,1
1556747293,0,1
1556750436,0,1
1556754294,1,1
1556756181,0,2
1556758369,0,1
1556762204,2,0
1556764099,0,1
1556766970,0,1
1556770836,1,0
1556774656,0,1
1556776584,1,1
1556780445,0,1
1556782355,0,1
