DateTime,AddedIPs,RemovedIPs
1556329220,14,6
1556331154,4,2
1556333073,9,3
1556334982,2,5
1556336896,5,4
1556338832,2,4
1556340739,1,4
1556342653,5,3
1556344573,3,1
1556346522,5,2
1556348435,4,3
1556350365,7,3
1556352285,1,2
1556354169,7,1
1556356092,3,2
1556358037,2,4
1556360073,2,2
1556361881,0,5
1556363776,2,3
1556365693,4,10
1556367647,3,4
1556369551,0,3
1556371451,3,6
1556373379,0,4
1556375311,4,3
1556377242,5,7
1556379153,2,4
1556381102,6,4
1556382980,4,4
1556384890,0,3
1556386844,2,3
1556388739,4,4
1556390649,5,7
1556392592,5,3
1556394526,4,5
1556396409,9,4
1556398329,5,8
1556400263,4,4
1556402175,3,1
1556404110,3,7
1556406073,4,4
1556407958,4,4
1556409866,4,2
1556411781,3,2
1556413698,7,2
1556415633,2,17
1556417545,13,6
1556419457,3,8
1556421377,4,3
1556423301,5,6
1556425236,4,2
1556427134,6,1
1556429060,1,6
1556430991,7,4
1556432901,6,4
1556434897,6,3
1556436740,2,7
1556438679,2,1
1556440581,0,6
1556442521,3,2
1556444416,4,4
1556446341,1,3
1556448262,2,0
1556450178,4,2
1556452104,6,6
1556454020,1,1
1556456199,1,2
1556458111,3,1
1556460065,3,0
1556461963,4,3
1556463878,2,7
1556465804,3,2
1556467714,2,3
1556469620,2,2
1556471535,2,1
1556473472,2,5
1556475385,6,3
1556477292,6,5
1556479240,5,3
1556481155,3,3
1556483051,3,10
1556486181,7,10
1556488108,9,1
1556490039,7,4
1556491938,5,3
1556493865,5,4
1556495804,3,3
1556497697,2,3
1556499684,4,7
1556501570,3,6
1556503481,5,14
1556505397,4,3
1556507321,3,3
1556509225,6,1
1556511143,7,3
1556513077,5,4
1556514987,5,1
1556516916,3,6
1556518834,2,6
1556520797,3,4
1556522655,0,3
1556524572,4,1
1556526774,8,0
1556528686,0,3
1556530577,5,4
1556532512,2,2
1556534441,1,2
1556536353,7,6
1556538279,2,6
1556540182,1,3
1556542102,3,2
1556544018,4,2
1556545948,4,4
1556547878,1,4
1556549789,2,1
1556551714,5,5
1556554574,3,4
1556556495,3,2
1556558417,2,3
1556560370,5,2
1556562252,5,9
1556564179,7,9
1556566110,5,2
1556569004,3,6
1556570918,4,3
1556572858,5,2
1556574736,5,6
1556576692,4,4
1556578650,5,5
1556580499,5,6
1556582463,4,2
1556584350,4,3
1556586271,2,3
1556588459,6,4
1556590336,3,4
1556592261,9,4
1556594197,6,3
1556596099,2,7
1556598010,5,5
1556599947,5,5
1556601877,4,7
1556603773,4,1
1556605733,3,1
1556607640,1,3
1556609540,5,1
1556611510,3,4
1556613371,3,6
1556615551,3,3
1556617470,2,7
1556620388,82,2
1556622534,73,6
1556624417,4,3
1556626332,2,3
1556628279,2,2
1556630170,2,6
1556632101,4,5
1556634035,2,2
1556635959,2,3
1556638126,0,7
1556640042,2,0
1556641944,5,6
1556643886,2,3
1556645785,0,1
1556647701,6,7
1556649630,7,13
1556651553,5,5
1556653456,4,5
1556655376,3,2
1556657323,6,6
1556659219,6,4
1556661373,5,6
1556663295,0,1
1556665226,1,3
1556668068,3,8
1556670007,3,1
1556671956,6,2
1556673855,1,4
1556675796,3,3
1556677707,7,5
1556679702,6,8
1556681538,1,6
1556683453,4,1
1556685379,4,0
1556687311,1,5
1556689211,3,4
1556691142,1,3
1556693072,2,2
1556694978,4,4
1556696901,3,4
1556698828,3,2
1556700745,3,2
1556702663,5,4
1556704588,3,2
1556706505,1,3
1556709524,4,7
1556711532,5,2
1556713462,3,5
1556715372,1,3
1556717562,7,6
1556719481,3,3
1556721379,0,1
1556725213,7,3
1556727140,0,2
1556729076,3,2
1556730975,2,2
1556732899,7,5
1556734818,4,4
1556736750,3,6
1556738659,1,4
1556740584,7,4
1556742526,3,2
1556745383,4,12
1556747292,4,6
1556750435,6,0
1556752330,3,142
1556754277,6,3
1556756180,4,3
1556758368,0,7
1556760257,2,2
1556762204,6,4
1556764098,1,7
1556766053,5,6
1556767959,2,1
1556769894,4,3
1556771793,1,4
1556773708,5,1
1556775613,3,4
1556777798,4,1
1556779698,2,3
1556781644,4,5
1556783557,2,2
1556785467,4,5
1556787375,2,4
1556789332,4,1
1556791270,8,5
1556793142,5,1
1556795078,4,1
1556796915,2,3
1556798893,2,4
1556800827,3,2
1556802741,1,3
1556804738,5,2
1556806582,3,3
1556808494,5,1
1556810429,3,4
1556812338,2,3
1556814276,1,1
1556816468,2,4
1556818342,4,0
1556820274,6,6
1556822169,4,4
1556824117,3,1
1556826017,6,5
1556827931,6,3
1556829881,0,2
1556831771,4,2
1556833706,0,5
1556835666,2,2
1556837531,5,5
1556839457,3,3
1556841387,6,7
1556843297,2,1
1556845268,1,0
1556847154,3,3
1556849088,3,6
1556850995,3,4
1556852890,1,3
1556854811,6,1
1556856739,5,3
1556858683,4,2
1556860573,2,4
1556862505,2,3
1556864438,3,3
1556866368,3,2
1556868270,3,4
1556870211,3,2
1556872090,4,4
1556874066,5,3
1556875955,3,10
1556878834,6,12
1556880762,2,4
1556882659,4,0
1556884597,3,2
1556886794,2,1
1556888672,1,2
1556890578,10,6
1556892757,2,2
1556894656,4,3
1556896603,2,5
1556898501,0,5
1556900412,0,2
1556902364,2,1
1556904256,6,4
1556906175,4,7
1556908126,1,3
1556910983,3,7
1556912893,3,7
1556914837,3,4
1556916747,5,0
1556918669,5,5
1556920576,2,1
1556923165,4,3
1556925130,2,4
1556927077,4,5
1556928991,2,3
1556930891,8,0
1556932823,2,3
1556934746,3,5
1556936653,2,5
1556938575,4,3
1556940486,1,4
1556942441,5,5
1556944359,1,4
1556946273,5,3
1556948418,6,1
1556950340,3,3
1556952282,2,3
1556954183,2,1
1556956127,5,6
1556958040,2,3
1556959937,0,5
1556961864,3,5
1556963774,2,5
1556965969,3,4
1556967907,1,1
1556969779,4,6
1556971647,1,5
1556973611,3,2
1556975556,1,4
1556977459,4,3
1556979386,2,2
1556981297,0,3
1556983232,1,2
1556985167,1,0
1556987053,5,1
1556988981,1,4
1556990910,2,4
1556992863,3,4
1556994757,0,1
1556996667,3,3
1556998582,2,3
1557000514,4,0
1557002428,5,6
1557004347,4,3
1557006249,6,4
1557008199,1,1
1557010115,3,2
1557012008,2,3
1557013953,5,3
1557015850,2,3
1557017779,5,7
1557019718,6,1
1557022574,9,7
1557024506,4,2
1557026438,7,3
1557028369,6,4
1557030266,3,2
1557032173,1,4
1557034112,4,3
1557036081,1,5
1557037937,2,2
1557040123,2,2
1557042032,5,5
1557043960,6,2
1557045853,4,0
1557048061,5,4
1557049943,145,2
1557051857,2,1
1557053791,2,1
1557055696,1,4
1557057665,5,0
1557059539,4,3
1557061474,2,1
1557063381,3,3
1557065254,1,2
1557069172,5,2
1557071106,1,1
1557072977,4,4
1557074908,4,0
1557076830,5,3
1557078756,4,3
1557080663,2,2
1557082598,3,3
1557084494,5,2
1557086485,2,5
1557088359,1,3
1557090308,3,6
1557092192,1,3
1557094107,2,3
1557096035,1,4
1557097961,0,3
1557099861,3,5
1557101781,1,1
1557103716,1,4
1557105643,2,4
1557107534,2,6
1557109461,7,3
1557111399,5,4
1557113314,7,6
1557116200,2,4
1557118097,1,2
1557120019,1,1
1557121961,4,1
1557123886,6,1
1557125796,0,2
1557127713,3,2
1557129648,4,5
1557131553,5,5
1557133480,4,6
1557135379,3,8
1557137328,7,0
1557139229,4,2
1557141161,3,2
1557143056,4,2
1557144979,0,3
1557146901,2,4
1557148841,4,4
1557150756,6,3
1557152674,4,1
1557154580,11,1
1557156523,5,4
1557159403,8,6
1557161297,4,3
1557163220,4,4
1557165104,5,4
1557167073,3,2
1557168978,6,3
1557170918,1,5
1557172864,8,4
1557174769,1,3
1557176692,1,4
1557178577,3,2
1557180521,2,2
1557182445,2,1
1557184361,2,1
1557186642,5,3
1557188794,3,1
1557190872,2,1
1557193233,4,3
1557195176,1,7
1557197087,1,5
1557199002,3,7
1557200921,6,3
1557202846,2,2
1557204890,5,146
1557206901,5,2
1557208860,3,3
1557210762,7,5
1557212657,2,0
1557214578,2,5
1557216516,4,3
1557218419,5,5
1557220348,3,5
1557222302,3,4
1557224176,1,9
1557226111,4,2
1557228018,2,1
1557229986,3,5
1557231893,3,1
1557233933,3,2
1557235939,6,4
1557237884,2,7
1557239810,3,5
1557241698,3,9
1557243612,2,4
1557245540,4,6
1557247451,5,4
1557249373,29,6
1557251300,118,2
1557253211,2,4
1557255130,4,3
1557257059,3,3
1557258971,2,5
1557260890,4,2
1557262846,1,2
1557264737,8,2
1557266680,4,4
1557268582,1,1
1557270493,4,1
1557272413,1,4
1557274353,3,5
1557276257,4,2
1557278180,1,1
1557280112,4,5
1557282031,5,1
1557283949,2,3
1557285865,2,3
1557287772,3,3
1557289695,3,3
1557291645,3,4
1557293535,4,6
1557295458,3,6
1557297379,3,5
1557299309,1,3
1557301231,3,3
1557303150,6,1
1557305074,0,3
1557306982,3,3
1557308919,5,3
1557310811,1,2
