DateTime,AddedIPs,RemovedIPs
1554308195,1,1
1554312039,3,0
1554313951,1,0
1554321705,1,0
1554323573,0,1
1554346644,0,1
1554360302,1,0
1554371796,1,0
1554385233,1,2
1554390981,1,0
1554392910,1,0
1554394836,1,1
1554396759,0,1
1554398685,0,2
1554400598,0,2
1554408528,0,1
1554418333,1,0
1554432018,1,0
1554445699,1,0
1554447768,0,1
1554457221,1,0
1554459185,0,1
1554470686,0,1
1554476571,0,1
1554478601,0,1
1554480503,0,1
1554490926,1,0
1554492933,1,0
1554502613,2,0
1554504771,1,1
1554508578,3,0
1554513394,1,0
1554517460,0,1
1554527111,1,0
1554533060,0,1
1554542666,0,1
1554546511,2,0
1554573372,1,0
1554577273,0,1
1554586818,1,0
1554588756,0,2
1554590684,0,1
1554594496,0,1
1554596430,0,1
1554600257,0,1
1554613693,0,1
1554619453,2,0
1554632915,0,2
1554640836,0,1
1554642744,1,0
1554650433,1,0
1554658089,1,0
1554660971,0,1
1554674457,0,1
1554682112,0,1
1554685950,4,0
1554707087,0,2
1554729404,0,1
1554731341,1,0
1554733250,0,1
1554737097,0,1
1554741163,1,0
1554744989,1,1
1554752676,2,0
1554756505,1,0
1554760356,2,0
1554770430,2,0
1554772335,1,4
1554793480,1,0
1554797321,1,0
1554812659,1,0
1554818464,1,1
1554822271,1,0
1554824185,1,0
1554828024,0,1
1554831875,0,1
1554833794,1,0
1554837637,2,0
1554839778,1,1
1554841690,1,0
1554843659,1,1
1554847476,0,1
1554855161,0,1
1554857051,0,1
1554859008,1,1
1554860897,2,0
1554866655,1,0
1554880126,0,1
1554884220,0,1
1554897861,0,2
1554905544,0,1
1554907453,0,1
1554909651,1,0
1554911554,0,1
1554915394,1,0
1554919322,0,1
1554921139,0,1
1554923100,1,1
1554926898,0,1
1554928843,0,1
1554930744,0,1
1554935118,1,0
1554944698,0,1
1554946582,0,2
1554948495,1,0
1554954253,0,1
1554956175,1,0
1554977292,1,0
1554983070,1,0
1554986900,2,0
1554988813,1,0
1554994572,0,1
1554998524,3,0
1555000363,1,1
1555002279,0,1
1555004181,1,0
1555009968,0,1
1555017629,1,0
1555019531,2,0
1555023419,2,0
1555042602,0,1
1555069488,0,1
1555073301,0,3
1555075239,0,1
1555084903,0,3
1555086779,1,1
1555088907,2,0
1555090833,1,1
1555096583,2,0
1555102349,1,0
1555104271,0,1
1555106195,0,2
1555110157,0,2
1555117706,1,0
1555119763,0,1
1555173875,0,2
1555175781,0,1
1555177693,0,1
1555179635,1,0
1555183469,0,2
1555187318,1,0
1555189290,0,1
1555203137,0,1
1555224422,1,0
1555240835,1,0
1555254295,1,0
1555260035,1,0
1555265792,0,1
1555267703,1,0
1555271532,1,0
1555273466,0,1
1555288828,1,0
1555310197,0,1
1555327716,0,1
1555335395,1,0
1555341405,1,2
1555345237,0,1
1555347137,1,0
1555349054,1,0
1555352906,0,1
1555356738,0,1
1555358684,1,0
