DateTime,AddedIPs,RemovedIPs
1555786595,10,0
1555788496,17,0
1555798354,4,0
1555800825,3,0
1555802677,1,0
1555806500,11,0
1555808475,1,0
1555810354,3,0
1555812280,2,0
1555814173,3,0
1555816102,3,0
1555819936,1,0
1555825691,1,0
1555829542,1,0
1555831451,1,1
1555842008,1,0
1555843957,0,1
1555845853,1,0
1555854506,1,0
1555856422,2,0
1555858364,4,0
1555867941,1,0
1555871798,0,4
1555873700,0,21
1555875640,0,5
1555883298,0,2
1555885215,0,2
1555887164,0,3
1555889058,0,1
1555893149,1,11
1555895067,0,1
1555896992,1,3
1555898902,0,3
1555900812,1,3
1555902753,0,2
1555906587,0,1
1555908495,1,0
1555912330,1,1
1555916197,0,1
1555918093,1,1
1555920073,1,0
1555929630,0,1
1555933459,0,1
1555941140,0,1
1555943061,0,2
1555944973,0,4
1555953147,0,1
1555966590,2,0
1555970475,5,0
1555972337,13,0
1555974282,28,0
1555976468,17,0
1555980267,0,1
1555982210,0,1
1555984111,1,0
1555986037,1,1
1555995715,0,1
1555999487,5,1
1556001373,17,0
1556003310,6,1
1556005235,0,1
1556009055,1,0
1556011239,1,0
1556018898,1,0
1556020892,1,0
1556028499,1,0
1556036210,2,0
1556038091,1,0
1556041950,2,0
1556053500,0,2
1556055379,25,0
1556057313,4,11
1556059338,12,12
1556061143,8,30
1556063078,0,6
1556064986,1,0
1556066899,1,0
1556068832,3,0
1556070742,2,1
1556072655,11,1
1556074585,11,0
1556076515,3,0
1556078553,1,0
1556084214,4,0
1556086119,3,6
1556088013,0,17
1556089946,2,5
1556091877,1,0
1556095720,0,1
1556097764,2,1
1556099773,3,0
1556101733,12,0
1556103729,5,0
1556105551,0,1
1556107520,0,1
1556111550,4,0
1556115399,0,1
1556117316,4,0
1556119250,1,0
1556121143,0,1
1556123056,20,1
1556125002,1,1
1556126898,30,0
1556128883,0,2
1556132677,3,0
1556136517,1,0
1556142535,2,26
1556146357,0,15
1556148260,0,5
1556150195,0,1
1556154148,0,1
1556155967,0,4
1556157938,0,2
1556159777,1,14
1556161719,0,8
1556163621,0,3
1556171296,0,6
1556173249,1,1
1556177057,0,2
1556178974,1,1
1556180924,1,0
1556183799,0,2
1556185726,0,3
1556187619,2,9
1556189532,0,7
1556191489,0,1
1556195325,1,0
1556197324,2,4
1556203231,1,4
1556205144,0,1
1556207090,4,0
1556208983,0,15
1556210982,0,12
1556213199,0,31
1556217389,1,0
1556219436,0,3
1556223407,0,1
1556225577,1,0
1556229383,0,2
1556238280,18,0
1556240171,5,0
1556242185,1,0
1556246896,0,1
1556248829,1,0
1556259620,0,1
1556263468,1,0
1556265397,0,1
1556267298,0,1
1556273107,0,2
1556274976,1,0
1556282658,1,2
1556284587,0,1
1556286530,3,0
1556288431,2,0
1556290342,1,1
1556294212,2,4
1556296112,1,0
1556300205,1,0
1556302118,2,1
1556304064,10,0
1556311715,0,1
1556325617,2,19
1556327536,0,5
1556335235,4,1
1556337136,1,0
1556339051,1,0
1556342920,1,0
1556349612,1,1
1556357322,2,0
1556361170,0,1
1556368832,0,1
1556372660,0,3
1556374594,1,2
1556376494,1,1
1556380464,0,2
1556382521,3,1
1556385394,1,1
1556387301,1,0
1556389210,0,2
1556391148,1,10
1556393066,32,0
1556394966,93,0
1556400763,2,0
1556404581,1,0
1556408420,1,0
1556410353,1,0
1556412258,1,2
1556414196,1,0
1556418011,6,0
1556419957,0,1
1556421858,0,3
1556423773,1,2
1556429558,5,1
1556431464,1,0
1556433378,3,0
1556435322,0,1
1556442981,0,2
1556444899,1,0
1556460531,0,1
1556464357,0,1
1556466252,1,0
1556468180,0,2
1556470095,2,2
1556472031,7,1
1556475851,2,0
1556477788,0,6
1556479715,5,41
1556481700,0,79
1556487641,0,2
1556491493,2,1
1556495302,2,1
1556497229,1,2
1556499133,0,1
1556504180,0,6
1556509950,4,1
1556511849,12,0
1556513784,1,0
1556515698,14,4
1556518582,81,2
1556520495,20,3
1556524372,1,0
1556530108,5,0
1556532034,0,1
1556539725,131,0
1556541623,252,0
1556543557,240,0
1556545456,250,0
1556547387,211,0
1556549293,253,0
1556551217,16,1
1556556979,0,3
1556558915,1,6
1556561792,0,2
1556563692,3,0
1556565616,2,5
1556569452,12,0
1556573294,5,0
1556576172,1,0
1556578652,0,2
1556582558,1,2
1556584570,1,1
1556590339,1,0
1556594213,1,0
1556596102,0,4
1556598013,0,8
1556599950,0,5
1556601880,1,14
1556603776,41,22
1556605736,188,79
1556607724,173,0
1556609543,71,0
1556611522,1,1
1556613387,10,0
1556615554,93,5
1556617535,91,0
1556619380,84,0
1556621306,100,0
1556623260,94,0
1556625153,66,56
1556627054,0,194
1556628997,115,265
1556630893,0,234
1556632891,60,233
1556634807,99,234
1556636689,11,74
1556638583,1,0
1556642470,1,0
1556646264,1,1
1556648199,1,0
1556650096,0,3
1556652011,0,2
1556653933,2,0
1556655908,0,12
1556657771,2,0
1556659691,0,5
1556663564,7,1
1556665496,4,0
1556670011,0,1
1556671959,0,1
1556673858,6,0
1556675799,0,1
1556677724,10,0
1556679768,0,1
1556681807,1,0
1556683710,11,0
1556685638,81,0
1556687539,65,0
1556689467,0,1
1556693301,0,1
1556695225,2,0
1556699058,1,3
1556700988,1,67
1556702889,1,84
1556704869,0,90
1556706758,0,94
1556708687,0,94
1556710580,0,98
1556712511,1,143
1556714429,0,155
1556716346,0,208
1556718254,0,164
1556720189,0,93
1556722102,1,66
1556724045,0,1
1556727867,2,0
1556729791,5,1
1556731691,3,0
1556733697,1,2
1556735554,3,0
1556737475,1,0
1556739379,0,1
1556741293,0,1
1556743162,0,2
1556745143,1,0
1556750438,1,7
1556752333,0,4
1556758371,3,0
1556760260,3,6
1556764101,0,10
1556767962,0,1
1556769908,1,11
1556771795,0,64
1556773711,0,82
1556781647,57,2
1556783560,125,0
1556785478,122,1
1556787386,147,1
1556789334,128,1
1556792425,156,0
1556800136,0,1
1556809713,1,1
1556813562,2,0
1556815455,0,7
1556817626,1,3
1556821453,0,4
1556825289,0,1
1556830094,2,0
1556832042,0,1
1556837790,0,1
1556839715,1,0
1556843539,3,0
1556845352,0,4
1556847157,1,2
1556849092,6,0
1556850998,17,0
1556856742,0,1
1556864441,96,0
1556866371,112,0
1556868273,102,65
1556870214,117,135
1556872103,102,120
1556874127,112,149
1556875959,99,126
1556878849,156,139
1556880777,110,0
1556882675,97,0
1556884609,112,0
1556886797,121,0
1556888675,94,0
1556890581,48,0
1556894659,0,1
1556900415,0,2
1556904259,0,1
1556910098,1,0
1556915774,0,2
1556917721,2,0
1556925389,0,1
1556929226,0,3
1556933061,1,1
1556934984,2,6
1556936918,0,16
1556938914,1,1
1556946532,2,0
1556950343,0,70
1556952284,0,110
1556954187,0,100
1556956130,1,119
1556958043,0,103
1556959956,0,112
1556961868,4,99
1556963777,0,113
1556965972,0,110
1556967913,0,103
1556969782,0,106
1556971650,1,103
1556973614,9,112
1556975559,1,91
1556977462,60,28
1556979390,31,0
1556996672,0,1
1557002431,2,0
1557004350,1,2
1557013956,3,0
1557015853,5,0
1557017782,3,0
1557019736,5,1
1557022577,5,2
1557024509,1,0
1557026441,5,1
1557028372,2,0
1557034131,2,2
1557036098,2,0
1557037940,1,0
1557040125,3,0
1557043963,1,1
1557048064,2,4
1557049946,5,0
1557055699,1,0
1557059541,0,10
1557063383,0,32
1557065275,0,60
1557067219,15,0
1557071109,45,0
1557072979,11,0
1557082599,1,0
1557084496,1,0
1557086512,2,0
1557090319,4,3
1557094109,4,0
1557101783,0,6
1557103718,0,3
1557105645,0,7
1557107536,0,4
1557109463,0,1
1557111400,0,2
1557113316,0,6
1557118100,1,0
1557121964,0,4
1557125798,5,4
1557131558,2,1
1557133484,2,2
1557135381,0,1
1557137331,0,4
1557139231,8,0
1557141164,2,1
1557143059,1,0
1557144982,1,0
1557146904,6,0
1557152677,2,0
1557154583,21,15
1557156525,3,3
1557158503,0,52
1557160364,0,1
1557162290,1,0
1557168044,2,1
1557171873,3,3
1557173780,33,0
1557175698,33,0
1557177649,0,4
1557179542,2,0
1557181481,0,4
1557202102,1,0
1557204022,2,0
1557205941,4,1
1557209789,57,0
1557211950,123,5
1557213872,91,0
1557215780,104,0
1557217721,102,2
1557219703,112,2
1557221559,97,0
1557223472,95,0
1557225394,104,8
1557227321,102,2
1557229217,112,1
1557231167,95,0
1557233062,101,6
1557234978,98,0
1557236908,104,0
1557238851,104,2
1557240740,105,22
1557242666,51,3
1557246493,2,0
1557248498,5,1
1557250368,3,0
1557252333,1,0
1557254182,1,1
1557256102,0,1
1557259947,5,20
1557261857,2,49
1557263776,3,0
1557265710,0,2
1557267615,1,0
1557271465,1,0
1557273376,3,0
1557277289,1,0
1557282985,1,0
1557284897,4,0
1557286829,0,1
1557288764,6,0
1557290654,1,6
1557292589,2,0
1557296431,0,72
1557298348,1,108
1557300274,5,91
1557302175,1,103
1557304095,8,102
1557306138,105,114
1557307944,84,95
1557310109,20,105
