DateTime,Entries,UniqueIPs
1546085321,5567,5567
1546107398,5564,5564
1546129258,5592,5592
1546151561,5580,5580
1546173648,5196,5196
1546195694,5196,5196
1546217568,5220,5220
1546239664,5330,5330
1546261952,5279,5279
1546284043,5582,5582
1546306093,4470,4470
1546327938,3683,3683
1546349786,3486,3486
1546371872,3541,3541
1546393933,3479,3479
1546415822,3620,3620
1546437889,4036,4036
1546459939,4036,4036
1546482023,4026,4026
1546504125,4025,4025
1546526201,4160,4160
1546548264,4163,4163
1546570333,4171,4171
1546592479,4171,4171
1546614784,4351,4351
1546637093,4351,4351
1546659151,4350,4350
1546681001,4352,4352
1546703081,4363,4363
1546725158,4345,4345
1546769326,4344,4344
1546791225,4069,4069
1546813284,4131,4131
1546835572,4136,4136
1546857859,4135,4135
1546879937,4166,4166
1546902075,3868,3868
1546924361,3809,3809
1546946443,3570,3570
1546968767,3669,3669
1546991063,3674,3674
1547012922,3529,3529
1547035000,3444,3444
1547057093,3514,3514
1547079397,3690,3690
1547101463,3634,3634
1547123573,3585,3585
1547145640,3385,3385
1547167492,3385,3385
1547189560,3233,3233
1547211657,3229,3229
1547233738,3230,3230
1547256054,6219,6219
1547278125,6225,6225
1547299980,6222,6222
1547322019,6181,6181
1547344367,6218,6218
1547366525,6274,6274
1547388530,6279,6279
1547410375,6395,6395
1547432217,6845,6845
1547454261,6678,6678
1547476370,6686,6686
1547498415,6101,6101
1547520518,6425,6425
1547542903,6423,6423
1547564924,6423,6423
1547586979,6318,6318
1547608822,6443,6443
1547630672,6575,6575
1547652735,7146,7146
1547674594,7108,7108
1547696657,7108,7108
1547718502,7109,7109
1547740601,7042,7042
1547762456,7046,7046
1547784769,7046,7046
1547807086,7071,7071
1547829171,7070,7070
1547851225,7071,7071
1547873067,7326,7326
1547895150,7325,7325
1547916999,7327,7327
1547938901,7310,7310
1547960914,7310,7310
1547983000,7311,7311
1548004850,7322,7322
1548026892,6831,6831
1548048738,6833,6833
1548070601,6823,6823
1548092683,6917,6917
1548114755,6383,6383
1548136597,6380,6380
1548158680,6448,6448
1548180748,6450,6450
1548202588,6472,6472
1548224674,6465,6465
1548246741,6174,6174
1548268593,6547,6547
1548290955,6486,6486
1548313312,6487,6487
1548335562,6488,6488
1548357616,6487,6487
1548379736,6487,6487
1548401796,6491,6491
1548423863,6491,6491
1548445969,6493,6493
1548468040,6494,6494
1548490141,6479,6479
1548512191,6286,6286
1548534531,6279,6279
1548556589,6282,6282
1548578653,6282,6282
1548600511,6331,6331
1548622597,6329,6329
1548644488,6316,6316
1548666744,6292,6292
1548688831,4688,4688
1548710671,3585,3585
1548732517,3583,3583
1548754593,3556,3556
1548776666,3950,3950
1548798734,3949,3949
1548820576,3950,3950
1548842422,4013,4013
1548864283,3377,3377
1548886362,2337,2337
1548908443,2340,2340
1548930495,2354,2354
1548952347,2316,2316
1548974189,2322,2322
1548996286,2562,2562
1549018357,3302,3302
1549040450,3743,3743
1549062550,3756,3756
1549084597,3757,3757
1549106655,3750,3750
1549128755,3757,3757
1549150844,3734,3734
1549172904,3720,3720
1549194758,3798,3798
1549216598,3776,3776
1549238707,3778,3778
1549260734,3778,3778
1549282600,3777,3777
1549304650,3980,3980
1549326747,3991,3991
1549348837,4024,4024
1549370924,4086,4086
1549392983,3784,3784
1549436904,3784,3784
1549458996,3778,3778
1549480841,3897,3897
1549502887,3899,3899
1549524743,3901,3901
1549546822,3963,3963
1549568673,4978,4978
1549590747,5079,5079
1549612892,5000,5000
1549634899,4949,4949
1549656982,4904,4904
1549678839,4900,4900
1549700890,4787,4787
1549722773,4789,4789
1549744811,4719,4719
1549766658,4683,4683
1549788752,4618,4618
1549810592,4547,4547
1549832457,4614,4614
1549854302,4555,4555
1549876346,4431,4431
1549898434,4114,4114
1549920298,4016,4016
1549942364,4212,4212
1549964475,4191,4191
1549986804,3980,3980
1550008838,3982,3982
1550030911,3790,3790
1550052981,3777,3777
1550074831,3641,3641
1550096918,3641,3641
1550119005,3724,3724
1550141059,3723,3723
