DateTime,AddedIPs,RemovedIPs
1556333313,4,4
1556335238,5,1
1556337139,5,2
1556339053,7,2
1556340990,6,0
1556342923,7,2
1556345805,5,3
1556347691,7,48
1556349615,1,59
1556351560,6,1
1556353465,6,2
1556355372,5,1
1556357325,6,4
1556359290,6,6
1556361172,3,2633
1556363087,1,1176
1556364970,7,16
1556366931,3,2
1556368834,4,2
1556370752,3,2
1556372662,1,3
1556374596,6,1
1556376496,1,4
1556378420,3,1
1556380466,2,282
1556382523,5,5
1556385397,5,52
1556387303,7,5
1556389213,2,5
1556391150,2,4
1556393069,3,3
1556394970,6,1
1556396918,4,2
1556398911,24,153
1556400765,273,616
1556402689,2,616
1556404584,7,624
1556406524,8,591
1556408423,3,654
1556410356,3,2601
1556412260,5,4746
1556414198,13,1886
1556416106,17,849
1556418013,8,703
1556419959,11,813
1556421860,9,779
1556423775,5,522
1556425691,13,9
1556427688,1779,9
1556429560,700,12
1556431466,5,8
1556433380,131,11
1556435324,31,4
1556437234,4,5
1556439146,4,4
1556441053,8,9
1556442982,239,4
1556444900,5,4
1556446836,7,5
1556448736,5,4
1556450664,8,5
1556452875,6,10
1556454755,82,8
1556456681,11,6
1556458580,60,4
1556460532,1,5
1556462413,4,8
1556464359,4,8
1556466254,4,6
1556468182,17,8
1556470097,17,6
1556472033,22,3
1556473965,11,10
1556475853,13,5
1556477790,8,4
1556479717,81,4
1556481713,3,7
1556483540,14,27
1556485724,10,7
1556487643,23,440
1556489548,19,7
1556491495,151,9
1556493377,8,11
1556495319,9,4
1556497231,10,5
1556499135,17,10
1556501063,15,13
1556503281,10,7
1556505143,14,6
1556507104,6,6
1556508969,13,3
1556510910,10,0
1556512819,22,9
1556514756,11,2590
1556516655,11,9
1556518587,14,12
1556520496,12,241
1556522463,67,410
1556524373,15,14
1556526256,17,10
1556528178,15,15
1556530110,18,364
1556532993,26,12
1556534804,12,14
1556536835,236,12
1556538730,18,7
1556540663,11,13
1556542594,20,102
1556544502,15,71
1556547389,23,3
1556549295,9,5
1556551219,9,6
1556553158,14,11
1556555075,12,26
1556556981,14,22
1556558917,12,21
1556561794,87,16
1556563693,6,11
1556565618,13,85
1556567553,16,4
1556569453,16,12
1556571378,96,19
1556573296,14,31
1556576173,28,36
1556578654,20,260
1556580504,17,5
1556582570,16,17
1556584571,13,17
1556586541,21,16
1556588464,12,18
1556590341,10,13
1556592282,16,14
1556594214,11,17
1556596103,10,16
1556598015,15,15
1556599951,21,67
1556601891,14,14
1556603778,12,11
1556605738,79,18
1556607736,9,14
1556609545,11,17
1556611528,9,13
1556613389,13,16
1556615583,19,16
1556617549,14,15
1556619390,17,18
1556621308,54,17
1556623262,13,57
1556625167,18,188
1556627055,56,15
1556629013,15,20
1556630895,10,16
1556632909,14,19
1556634809,14,13
1556636690,11,11
1556638585,18,6
1556640518,12,16
1556642471,8,8
1556644337,8,15
1556646266,17,71
1556648201,14,21
1556650098,14,6
1556652013,17,11
1556653934,19,18
1556655910,21,16
1556657773,18,94
1556659693,12,14
1556661750,10,27
1556663566,105,28
1556665499,19,15
1556668072,29,23
1556670012,19,13
1556671961,11,13
1556673860,22,15
1556675801,5,10
1556677726,16,12
1556679783,17,14
1556681808,632,10
1556683712,14,12
1556685639,554,18
1556687541,31,14
1556689469,1086,9
1556691386,8,6
1556693303,2332,64
1556695227,575,4
1556697133,260,5
1556699060,5,3
1556700990,4,9
1556702891,8,7
1556704911,8,9
1556706761,85,46
