DateTime,Entries,UniqueIPs
1556333313,21945,21945
1556335238,21949,21949
1556337139,21952,21952
1556339053,21957,21957
1556340990,21963,21963
1556342923,21968,21968
1556345805,21970,21970
1556347691,21929,21929
1556349615,21871,21871
1556351560,21876,21876
1556353465,21880,21880
1556355372,21884,21884
1556357325,21886,21886
1556359290,21886,21886
1556361172,19256,19256
1556363087,18081,18081
1556364970,18072,18072
1556366931,18073,18073
1556368834,18075,18075
1556370752,18076,18076
1556372662,18074,18074
1556374596,18079,18079
1556376496,18076,18076
1556378420,18078,18078
1556380466,17798,17798
1556382523,17798,17798
1556385397,17751,17751
1556387303,17753,17753
1556389213,17750,17750
1556391150,17748,17748
1556393069,17748,17748
1556394970,17753,17753
1556396918,17755,17755
1556398911,17626,17626
1556400765,17283,17283
1556402689,16669,16669
1556404584,16052,16052
1556406524,15469,15469
1556408423,14818,14818
1556410356,12220,12220
1556412260,7479,7479
1556414198,5606,5606
1556416106,4774,4774
1556418013,4079,4079
1556419959,3277,3277
1556421860,2507,2507
1556423775,1990,1990
1556425691,1994,1994
1556427688,3764,3764
1556429560,4452,4452
1556431466,4449,4449
1556433380,4569,4569
1556435324,4596,4596
1556437234,4595,4595
1556439146,4595,4595
1556441053,4594,4594
1556442982,4829,4829
1556444900,4830,4830
1556446836,4832,4832
1556448736,4833,4833
1556450664,4836,4836
1556452875,4832,4832
1556454755,4906,4906
1556456681,4911,4911
1556458580,4967,4967
1556460532,4963,4963
1556462413,4959,4959
1556464359,4955,4955
1556466254,4953,4953
1556468182,4962,4962
1556470097,4973,4973
1556472033,4992,4992
1556473965,4993,4993
1556475853,5001,5001
1556477790,5005,5005
1556479717,5082,5082
1556481713,5078,5078
1556483540,5065,5065
1556485724,5068,5068
1556487643,4651,4651
1556489548,4663,4663
1556491495,4805,4805
1556493377,4802,4802
1556495319,4807,4807
1556497231,4812,4812
1556499135,4819,4819
1556501063,4821,4821
1556503281,4824,4824
1556505143,4832,4832
1556507104,4832,4832
1556508969,4842,4842
1556510910,4852,4852
1556512819,4865,4865
1556514756,2286,2286
1556516655,2288,2288
1556518587,2290,2290
1556520496,2061,2061
1556522463,1718,1718
1556524373,1719,1719
1556526256,1726,1726
1556528178,1726,1726
1556530110,1380,1380
1556532993,1394,1394
1556534804,1392,1392
1556536835,1616,1616
1556538730,1627,1627
1556540663,1625,1625
1556542594,1543,1543
1556544502,1487,1487
1556547389,1507,1507
1556549295,1511,1511
1556551219,1514,1514
1556553158,1517,1517
1556555075,1503,1503
1556556981,1495,1495
1556558917,1486,1486
1556561794,1557,1557
1556563693,1552,1552
1556565618,1480,1480
1556567553,1492,1492
1556569453,1496,1496
1556571378,1573,1573
1556573296,1556,1556
1556576173,1548,1548
1556578654,1308,1308
1556580504,1320,1320
1556582570,1319,1319
1556584571,1315,1315
1556586541,1320,1320
1556588464,1314,1314
1556590341,1311,1311
1556592282,1313,1313
1556594214,1307,1307
1556596103,1301,1301
1556598015,1301,1301
1556599951,1255,1255
1556601891,1255,1255
1556603778,1256,1256
1556605738,1317,1317
1556607736,1312,1312
1556609545,1306,1306
1556611528,1302,1302
1556613389,1299,1299
1556615583,1302,1302
1556617549,1301,1301
1556619390,1300,1300
1556621308,1337,1337
1556623262,1293,1293
1556625167,1123,1123
1556627055,1164,1164
1556629013,1159,1159
1556630895,1153,1153
1556632909,1148,1148
1556634809,1149,1149
1556636690,1149,1149
1556638585,1161,1161
1556640518,1157,1157
1556642471,1157,1157
1556644337,1150,1150
1556646266,1096,1096
1556648201,1089,1089
1556650098,1097,1097
1556652013,1103,1103
1556653934,1104,1104
1556655910,1109,1109
1556657773,1033,1033
1556659693,1031,1031
1556661750,1014,1014
1556663566,1091,1091
1556665499,1095,1095
1556668072,1101,1101
1556670012,1107,1107
1556671961,1105,1105
1556673860,1112,1112
1556675801,1107,1107
1556677726,1111,1111
1556679783,1114,1114
1556681808,1736,1736
1556683712,1738,1738
1556685639,2274,2274
1556687541,2291,2291
1556689469,3368,3368
1556691386,3370,3370
1556693303,5638,5638
1556695227,6209,6209
1556697133,6464,6464
1556699060,6466,6466
1556700990,6461,6461
1556702891,6462,6462
1556704911,6461,6461
1556706761,6500,6500
1556708691,7360,7360
1556710582,7359,7359
1556712513,7319,7319
1556714431,7322,7322
1556716348,7321,7321
1556718255,7320,7320
1556720191,7327,7327
1556722103,7325,7325
1556724047,7326,7326
1556725950,7328,7328
1556727869,7330,7330
1556729793,7336,7336
1556731693,7338,7338
1556733725,7341,7341
1556735555,7340,7340
1556737477,7336,7336
1556739381,7331,7331
1556741318,7325,7325
1556743164,7310,7310
1556745145,7306,7306
1556747071,7308,7308
1556750441,7260,7260
1556752335,7258,7258
1556754298,7251,7251
1556756185,7243,7243
1556758373,7235,7235
1556760262,7230,7230
1556762209,7226,7226
1556764103,7223,7223
1556766140,7220,7220
1556767964,6743,6743
1556769910,6740,6740
1556771797,6353,6353
1556773725,6261,6261
1556775617,5816,5816
1556777803,5777,5777
1556779703,3772,3772
1556781649,3349,3349
1556783562,3305,3305
1556785494,3424,3424
1556787387,3417,3417
1556789336,3412,3412
1556791349,3397,3397
1556793397,3209,3209
1556795293,1827,1827
1556797239,1821,1821
1556799145,1815,1815
1556801059,1799,1799
1556802978,1794,1794
1556805171,1787,1787
1556807057,1774,1774
1556810189,1764,1764
1556812100,1753,1753
1556814009,1735,1735
1556815947,2960,2960
1556817870,2949,2949
1556819776,2938,2938
1556821696,2931,2931
1556823651,2932,2932
1556825560,2939,2939
1556827486,2938,2938
1556829376,2945,2945
1556831318,2950,2950
1556833210,2956,2956
1556835671,2962,2962
1556837535,2958,2958
1556839461,2956,2956
1556841391,2977,2977
1556843301,2982,2982
1556845360,2989,2989
1556847376,2999,2999
1556849311,3011,3011
1556851228,3016,3016
1556853164,3025,3025
1556855054,3032,3032
1556856974,3040,3040
1556858914,3047,3047
1556860829,3053,3053
1556862739,3060,3060
1556864661,3063,3063
1556866571,2670,2670
1556868491,2539,2539
1556871376,2590,2590
1556873308,3215,3215
1556875225,3218,3218
1556877128,3226,3226
1556879060,3229,3229
1556880996,3237,3237
1556882942,3246,3246
1556885796,3261,3261
1556887699,3272,3272
1556889640,3279,3279
1556891849,3286,3286
1556893729,3297,3297
