DateTime,AddedIPs,RemovedIPs
1556335238,6,23
1556337141,5,31
1556339054,4,24
1556340990,4,32
1556342923,3,28
1556345806,18,47
1556347692,10,20
1556349616,6,25
1556351561,3,26
1556353465,4,34
1556355374,3,35
1556357326,5,29
1556359298,5,32
1556361172,11,39
1556363088,12,66
1556364970,12,33
1556366932,12,25
1556368835,16,34
1556370754,9,27
1556372663,8,36
1556374596,4,47
1556376496,7,15
1556378421,12,3
1556380466,14,2
1556382525,30,7
1556385397,66,10
1556387304,13,6
1556389213,19,7
1556391151,16,14
1556393069,12,12
1556394971,15,4
1556396918,15,11
1556398919,20,14
1556400766,38,9
1556402692,34,12
1556404585,33,5
1556406525,11,9
1556408423,7,15
1556410356,9,9
1556412260,12,7
1556414198,6,3
1556416107,12,16
1556418013,18,8
1556419959,4,15
1556421861,2,5
1556423775,5,8
1556425692,3,6
1556427698,4,8
1556429560,1,6
1556431467,2,13
1556433380,0,19
1556435324,4,9
1556437235,1,4
1556439146,0,2
1556441053,1,8
1556442983,1,5
1556444901,2,6
1556446837,6,10
1556448737,6,16
1556450664,5,11
1556452884,11,10
1556454756,5,16
1556456682,0,7
1556458581,4,11
1556460533,7,4
1556462414,2,7
1556464360,1,13
1556466254,5,15
1556468182,6,22
1556470097,11,54
1556472034,6,21
1556473965,36,19
1556475853,6,16
1556477790,13,16
1556479717,10,13
1556481716,31,23
1556483541,11,10
1556485726,10,27
1556487643,25,37
1556489548,10,37
1556491496,16,25
1556493377,13,9
1556495320,12,10
1556497232,15,12
1556499136,12,11
1556501063,15,8
1556503292,29,20
1556505144,7,13
1556507105,5,2
1556508969,15,6
1556510911,5,2
1556512819,7,2
1556514756,1,4
1556516656,6,2
1556518587,5,2
1556520497,1,2
1556522464,4,8
1556524374,13,55
1556526256,57,1
1556528179,2,1
1556530111,1,1
1556532993,0,3
1556534805,1,4
1556536836,5,4
1556538731,5,5
1556540663,5,7
1556542594,3,2
1556544502,7,5
1556546455,4,4
1556548351,2,3
1556550282,6,0
1556552172,2,6
1556554101,4,4
1556556032,3,6
1556557933,5,11
1556559865,3,7
1556561794,3,10
1556563694,8,9
1556565619,5,11
1556567553,2,18
1556569454,10,13
1556571378,13,15
1556573296,6,17
1556576174,7,27
1556578664,5,19
1556580505,11,13
1556582571,8,17
1556584572,4,10
1556586542,7,8
1556588464,4,48
1556590342,8,17
1556592283,9,5
1556594214,10,7
1556596103,10,28
1556598015,16,5
1556599952,7,5
1556601892,9,0
1556603778,21,4
1556605738,11,5
1556607739,17,6
1556609546,11,3
1556611529,8,12
1556613389,12,1
1556615584,8,2
1556617562,16,1
1556619391,9,1
1556621312,4,2
1556623262,6,4
1556625168,2,4
1556627056,5,3
1556629014,4,3
1556630935,7,10
1556632916,7,4
1556634822,2,4
1556636691,4,8
1556638585,6,2
1556640518,3,6
1556642471,11,5
1556644338,5,8
1556646266,18,4
1556648201,8,7
1556650098,12,10
1556652013,7,10
1556653935,9,3
1556655911,10,9
1556657773,13,12
1556659693,24,6
1556661759,11,9
1556663567,9,6
1556665500,3,4
1556668072,2,12
1556670013,7,4
1556671961,9,7
1556673860,20,3
1556675802,6,10
1556677726,4,10
1556679786,2,11
1556681809,2,9
1556683712,28,18
1556685640,26,7
1556687542,7,8
1556689484,7,16
1556691386,10,17
1556693304,12,16
1556695227,21,12
1556697133,51,11
1556699060,32,10
1556700990,23,8
1556702892,49,12
1556704919,17,14
1556706762,10,4
1556708693,8,2
1556710583,11,6
1556712513,11,6
1556714431,6,5
1556716349,9,5
1556718256,13,9
1556720192,7,4
1556722104,6,3
