DateTime,AddedIPs,RemovedIPs
1556339055,9,8
1556340992,24,10
1556342924,7,7
1556344872,17,20
1556346756,25,7
1556348685,23,6
1556350572,13,17
1556352492,19,10
1556354439,14,18
1556356336,11,5
1556358265,14,19
1556360077,7,17
1556361884,17,10
1556363780,11,13
1556365696,10,8
1556367651,10,12
1556369554,19,15
1556371455,7,8
1556373382,12,21
1556375315,7,7
1556377314,12,14
1556379171,8,20
1556381111,9,7
1556382999,10,8
1556384893,12,12
1556386848,16,13
1556388743,12,16
1556390654,27,5
1556392596,15,15
1556394530,17,11
1556396413,8,21
1556398333,15,8
1556400267,7,11
1556402179,10,24
1556404114,11,22
1556406109,9,16
1556407962,18,13
1556409870,14,23
1556411785,11,10
1556413701,11,10
1556415636,19,13
1556417548,10,14
1556419460,24,17
1556421379,18,17
1556423304,25,15
1556425240,11,9
1556427153,6,24
1556429064,14,9
1556430994,10,16
1556432920,10,24
1556434961,14,23
1556436989,17,14
1556438889,13,16
1556440830,15,15
1556442738,8,11
1556444670,16,14
1556446588,9,7
1556448519,12,15
1556450426,3,11
1556452350,18,10
1556454277,15,12
1556456203,20,20
1556458114,17,6
1556460140,3,12
1556461966,8,7
1556463883,14,11
1556465808,4,9
1556467717,3,8
1556469622,6,11
1556471537,2,8
1556473490,3,18
1556475387,5,10
1556477295,4,25
1556479243,2,14
1556481157,10,16
1556483055,8,10
1556485295,2,16
1556487162,3,7
1556489073,2,12
1556490983,3,11
1556492917,4,9
1556494813,4,18
1556496757,5,11
1556498676,2,14
1556500579,4,17
1556502504,5,12
1556504416,5,15
1556506340,1,27
1556508259,3,16
1556510190,6,20
1556512103,3,10
1556514095,4,9
1556515939,9,13
1556517888,3,9
1556520027,7,18
1556521936,7,17
1556523878,7,11
1556525806,3,13
1556527697,1,15
1556529618,3,16
1556531555,4,11
1556533453,4,11
1556535384,5,9
1556537294,6,5
1556539262,6,24
1556541160,4,10
1556543091,6,20
1556545002,6,16
1556546865,1,4
1556548836,2,13
1556550740,5,10
1556552661,6,3
1556554577,2,4
1556556498,1,6
1556558420,3,2
1556560373,2,3
1556562255,2,8
1556564182,1,1
1556566113,2,6
1556568077,5,10
1556569949,3,4
1556572134,4,3
1556574051,5,3
1556575959,2,4
1556578665,6,4
1556580505,3,2
1556582574,9,6
1556584599,7,2
1556586542,2,4
1556588465,4,4
1556590343,8,7
1556592284,4,2
1556594215,4,3
1556596104,6,7
1556598017,6,2
1556599952,2,4
1556601893,6,5
1556603779,2,8
1556605739,5,5
1556607742,1,8
1556609547,2,7
1556611531,0,5
1556613390,3,0
1556615586,5,2
1556617563,5,4
1556619392,3,6
1556621320,6,3
1556623263,8,8
1556625169,8,6
1556627057,5,4
1556629015,2,4
1556630951,4,9
1556632931,4,1
1556634823,8,2
1556636692,1,3
1556638586,7,7
1556640519,3,3
