DateTime,AddedIPs,RemovedIPs
1556340993,5,1
1556342926,3,1
1556344892,3,1
1556346757,5,2
1556348686,5,1
1556350573,4,1
1556352493,2,1
1556354440,2,1
1556356337,6,0
1556358267,7,1
1556360078,4,0
1556361885,3,1
1556363781,5,0
1556365697,2,3
1556367652,9,1
1556369557,5,3
1556371456,6,1
1556373383,7,0
1556375316,5,1
1556377319,1,1
1556379172,5,3
1556381112,7,3
1556383001,8,5
1556384894,9,2
1556386850,4,3
1556388744,12,1
1556390655,9,0
1556392598,12,4
1556394531,7,3
1556396414,8,4
1556398335,9,2
1556400268,8,2
1556402180,9,4
1556404115,11,2
1556406114,7,1
1556407963,12,2
1556409871,5,7
1556411786,9,2
1556413704,7,3
1556415637,11,0
1556417549,8,3
1556419461,14,4
1556421380,9,6
1556423305,4,8
1556425241,7,5
1556427155,8,5
1556429065,12,2
1556430995,9,5
1556432934,8,5
1556434969,9,5
1556436990,6,4
1556438891,12,3
1556440832,12,2
1556442740,12,6
1556444671,6,7
1556446590,15,5
1556448521,4,3
1556450428,12,5
1556452352,14,4
1556454278,13,8
1556456204,9,4
1556458116,7,6
1556460146,9,9
1556461968,9,2
1556463885,12,1
1556465809,11,7
1556467718,14,6
1556469624,15,7
1556471539,1,9
1556473492,1,5
1556475389,0,13
1556477296,1,7
1556479244,1,13
1556481174,1,7
1556483056,1,7
1556485317,0,11
1556487164,0,8
1556489079,0,11
1556490984,0,9
1556492918,0,6
1556494815,1,14
1556496759,0,6
1556498677,0,6
1556500580,0,6
1556502505,1,14
1556504418,0,4
1556506341,0,16
1556508260,0,7
1556510192,0,6
1556512104,1,6
1556514103,0,9
1556515941,0,11
1556517890,1,9
1556520029,1,13
1556521938,1,6
1556523880,1,7
1556525807,0,12
1556527698,0,11
1556529620,0,11
1556531557,0,8
1556533455,0,13
1556535385,1,5
1556537296,3,13
1556539306,11,14
1556541162,8,11
1556543093,12,9
1556545004,12,5
1556546867,16,11
1556548838,12,10
1556550741,7,11
1556552663,16,10
1556554578,9,16
1556556500,18,11
1556558422,9,2
1556560374,11,0
1556562257,9,0
1556564183,8,2
1556566114,5,0
1556568085,10,1
1556569950,8,1
1556572136,12,0
1556574053,8,1
1556575960,10,0
1556578667,14,0
1556580507,10,1
1556582575,9,0
1556584600,10,0
1556586543,11,0
1556588467,13,1
1556590344,11,0
1556592285,7,0
1556594216,12,0
1556596105,10,1
1556598018,8,1
1556599953,5,0
1556601908,10,0
1556603780,12,0
1556605740,8,2
1556607743,9,1
1556609548,10,0
1556611559,9,1
1556613402,7,0
1556615597,7,0
1556617593,7,0
1556619407,12,0
1556621321,8,0
1556623275,6,3
1556625170,6,6
1556627058,5,11
1556629016,8,13
1556630953,6,9
1556632945,2,19
1556634837,9,10
1556636693,4,9
1556638587,3,13
1556640520,12,12
1556642473,4,15
1556644348,4,13
1556646278,5,8
1556648203,8,12
1556650101,4,5
1556652015,4,9
1556653937,12,8
1556655914,11,7
1556657775,9,11
1556659696,8,6
1556661782,10,12
1556663769,4,10
1556665689,9,10
1556668075,7,11
1556670015,7,9
1556671963,10,8
1556673863,8,13
1556675805,8,14
1556677729,7,8
1556679790,6,11
1556681812,10,14
1556683715,9,7
1556685643,7,4
1556687549,8,10
1556689486,5,13
1556691389,9,9
1556693306,9,7
1556695231,11,11
1556697136,6,13
1556699063,11,6
1556700992,7,4
1556702895,8,7
1556704946,6,12
1556706764,8,9
1556708697,6,8
1556710586,4,3
1556712516,8,8
1556714434,6,6
1556716351,7,7
1556718258,6,3
1556720194,12,4
1556722106,2,7
1556724050,3,2
1556725953,6,8
1556727873,7,10
1556729796,11,2
1556731696,9,6
1556733746,6,6
1556735559,9,6
1556737485,5,5
1556739384,9,8
1556741322,6,6
1556743174,5,13
1556745148,4,9
1556747074,7,7
1556750446,9,13
1556752338,4,8
1556754301,9,5
1556756188,5,8
1556758376,7,11
1556760265,7,7
1556762212,5,8
1556764106,4,6
1556766150,5,7
1556767968,3,10
1556769919,1,7
1556771800,7,7
1556773728,3,6
1556775620,4,8
1556777806,10,9
1556779706,8,9
1556781659,7,11
1556783575,2,7
1556785497,6,10
1556787404,3,8
1556789348,4,8
1556791377,3,4
1556793400,5,8
1556795295,7,7
1556797241,4,5
1556799149,4,7
1556801062,7,5
1556802982,8,8
1556805174,4,8
1556807059,5,10
1556810194,9,3
1556812103,5,6
1556814012,5,8
1556815950,2,9
1556817873,4,8
1556819778,7,9
1556821698,1,7
1556823680,4,4
1556825563,5,9
1556827496,5,7
1556829379,4,5
1556831321,5,4
1556833214,3,6
1556835675,5,6
1556837538,9,5
1556839464,8,8
1556841394,5,3
1556843304,6,5
1556845365,3,10
1556847379,3,7
1556849314,2,1
1556851231,7,6
1556853166,7,4
1556855058,6,3
1556856976,5,3
1556858916,3,4
1556860831,7,4
1556862742,3,5
1556864673,11,9
1556866574,8,10
1556868508,5,4
1556870491,6,8
1556872357,3,4
1556874532,6,5
1556876430,3,4
1556878357,6,1
1556880278,8,6
1556882188,3,6
1556884273,9,4
1556886285,3,7
1556888199,6,7
1556890099,3,9
1556892294,7,3
1556894173,6,8
1556896346,6,5
1556898263,2,5
1556900203,8,5
1556902093,5,3
1556904011,1,3
1556905958,7,8
1556907855,2,1
1556909770,3,3
1556911689,3,6
1556913670,3,4
1556915562,6,4
1556917480,4,6
1556919370,6,3
1556921299,5,2
1556923169,8,8
1556925135,7,9
1556927081,2,5
1556928996,7,8
1556930896,4,2
1556932828,3,4
1556934751,7,3
1556936657,9,3
1556938581,2,7
1556940490,6,6
1556942527,7,8
1556944363,10,2
1556946298,6,4
1556948426,4,6
1556950346,6,9
1556952288,5,6
1556954190,5,6
1556956133,7,6
1556958046,3,4
1556959960,6,7
1556961871,6,3
1556963781,4,3
1556965977,3,8
1556967921,4,3
1556969786,4,5
1556971653,5,8
1556973618,5,4
1556975563,6,4
1556977467,6,7
1556979394,9,3
1556981303,3,4
1556983239,3,6
1556985173,3,4
1556987060,9,6
1556988988,7,4
1556990917,6,6
1556992930,4,2
1556994764,7,2
1556996681,5,4
1556998591,6,1
1557000524,5,3
1557002435,6,6
1557004355,6,5
1557006256,9,7
1557008208,5,8
1557010123,4,9
1557012015,15,4
1557013960,10,6
1557015857,3,4
1557017786,10,3
1557019740,8,4
1557021735,7,7
1557023564,2,7
1557025489,5,3
1557027385,7,7
1557029316,4,7
1557031233,5,9
1557033147,4,6
1557035058,4,6
1557036998,6,4
1557038905,3,5
1557040812,6,4
1557042752,2,7
1557044661,3,4
1557046571,4,6
1557048500,5,6
1557050522,3,3
1557052364,4,4
1557054268,2,4
1557056196,6,4
1557058127,4,5
1557060052,1,6
1557061943,9,6
1557063856,5,6
1557065797,0,9
1557067706,3,3
1557069644,8,3
1557071535,4,3
1557073464,3,10
1557075394,9,7
1557077297,4,7
1557079282,0,4
1557081170,6,7
1557083146,5,5
1557085016,4,6
1557086926,6,5
1557088843,7,6
1557090768,4,6
1557092673,5,9
1557094597,5,5
1557096518,9,4
1557098430,7,15
1557100335,7,10
1557102283,4,3
1557104182,4,10
1557106096,5,6
1557108069,5,9
1557109968,6,2
1557111883,6,5
1557114045,3,7
1557115938,2,4
1557117865,5,6
1557119802,2,5
1557121695,0,3
1557123643,4,6
1557125564,8,2
1557127455,6,7
1557129377,10,2
1557131316,4,3
1557134191,2,7
1557136098,3,5
1557138037,5,1
1557139931,5,4
1557141871,1,5
1557143769,4,4
1557145689,6,2
1557147641,1,7
1557149581,5,6
1557151736,6,2
1557153746,3,2
1557155571,4,8
1557157475,9,4
1557159405,5,4
1557161299,4,9
1557163221,2,5
1557165106,3,1
1557167075,6,5
1557168980,3,4
1557170920,7,5
1557172880,4,7
1557174771,6,7
1557176694,6,4
1557178578,10,5
1557180522,3,4
1557182447,4,8
1557184363,3,6
1557186645,8,9
1557188797,6,5
1557190949,5,5
1557193236,11,6
1557195181,3,6
1557197094,6,4
1557199005,4,5
1557200924,4,3
1557202850,4,4
1557204893,2,4
1557206904,4,1
1557208885,4,1
1557210764,5,5
1557212661,6,7
1557214582,4,8
1557216526,4,10
1557218428,4,0
1557220351,4,2
1557222317,4,3
1557224179,3,3
1557226113,5,7
1557228022,5,1
1557229989,2,4
1557231910,8,4
1557233937,4,3
1557235959,5,4
1557237931,6,6
1557239816,2,2
1557241702,2,5
1557243617,4,9
1557245544,9,4
1557247456,5,3
1557249377,4,3
1557251305,6,4
1557253215,4,6
1557255134,8,3
1557257063,6,6
1557258975,4,5
1557260893,6,5
1557262917,6,6
1557264742,3,9
1557266685,2,4
1557268586,5,3
1557270497,5,4
1557272418,6,3
1557274357,4,8
1557276260,3,6
1557278184,2,7
1557280116,6,7
1557282035,4,4
1557283953,3,5
1557285869,5,4
