DateTime,Entries,UniqueIPs
1556340993,3643,3643
1556342925,3645,3645
1556344882,3644,3644
1556346756,3632,3632
1556348685,3633,3633
1556350572,3630,3630
1556352493,3617,3617
1556354439,3619,3619
1556356337,3613,3613
1556358266,3604,3604
1556360078,3601,3601
1556361885,3597,3597
1556363780,3598,3598
1556365697,3597,3597
1556367652,3601,3601
1556369555,3620,3620
1556371456,3618,3618
1556373383,3614,3614
1556375315,3620,3620
1556377317,3614,3614
1556379172,3603,3603
1556381112,3605,3605
1556383000,3615,3615
1556384893,3607,3607
1556386849,3598,3598
1556388744,3597,3597
1556390654,3600,3600
1556392597,3582,3582
1556394531,3587,3587
1556396413,3600,3600
1556398334,3607,3607
1556400268,3612,3612
1556402179,3607,3607
1556404114,3632,3632
1556406112,3622,3622
1556407963,3603,3603
1556409871,3604,3604
1556411786,3606,3606
1556413703,3592,3592
1556415637,3601,3601
1556417548,3596,3596
1556419461,3598,3598
1556421380,3609,3609
1556423304,3612,3612
1556425240,3613,3613
1556427154,3609,3609
1556429064,3617,3617
1556430995,3628,3628
1556432934,3631,3631
1556434968,3621,3621
1556436990,3620,3620
1556438890,3630,3630
1556440831,3627,3627
1556442739,3633,3633
1556444671,3634,3634
1556446589,3629,3629
1556448520,3631,3631
1556450427,3619,3619
1556452351,3617,3617
1556454278,3602,3602
1556456204,3598,3598
1556458115,3601,3601
1556460144,3603,3603
1556461967,3598,3598
1556463884,3585,3585
1556465809,3591,3591
1556467717,3601,3601
1556469624,3620,3620
1556471539,3599,3599
1556473492,3563,3563
1556475388,3522,3522
1556477296,3475,3475
1556479244,3446,3446
1556481158,3410,3410
1556483056,3368,3368
1556485308,3321,3321
1556487163,3276,3276
1556489077,3224,3224
1556490983,3166,3166
1556492918,3102,3102
1556494815,3056,3056
1556496758,3010,3010
1556498677,2956,2956
1556500580,2900,2900
1556502505,2847,2847
1556504417,2778,2778
1556506341,2726,2726
1556508260,2666,2666
1556510191,2594,2594
1556512104,2525,2525
1556514101,2449,2449
1556515940,2374,2374
1556517889,2293,2293
1556520028,2195,2195
1556521937,2101,2101
1556523880,2006,2006
1556525807,1923,1923
1556527698,1825,1825
1556529619,1717,1717
1556531556,1614,1614
1556533454,1511,1511
1556535385,1434,1434
1556537295,1401,1401
1556539296,1423,1423
1556541161,1420,1420
1556543092,1392,1392
1556545003,1379,1379
1556546867,1351,1351
1556548837,1330,1330
1556550740,1324,1324
1556552662,1312,1312
1556554578,1310,1310
1556556499,1304,1304
1556558422,1384,1384
1556560374,1482,1482
1556562256,1572,1572
1556564183,1642,1642
1556566114,1732,1732
1556568083,1814,1814
1556569950,1896,1896
1556572135,1992,1992
1556574052,2052,2052
1556575960,2132,2132
1556578667,2230,2230
1556580506,2297,2297
1556582575,2362,2362
1556584599,2439,2439
1556586543,2504,2504
1556588466,2552,2552
1556590344,2623,2623
1556592284,2671,2671
1556594216,2728,2728
1556596105,2791,2791
1556598017,2845,2845
1556599953,2890,2890
1556601907,2936,2936
1556603780,2986,2986
1556605740,3031,3031
1556607743,3063,3063
1556609547,3097,3097
1556611558,3133,3133
1556613401,3163,3163
1556615588,3194,3194
1556617564,3220,3220
1556619407,3237,3237
1556621320,3261,3261
1556623264,3263,3263
1556625169,3224,3224
1556627057,3215,3215
1556629015,3216,3216
1556630952,3196,3196
1556632939,3187,3187
1556634824,3172,3172
1556636693,3160,3160
1556638587,3135,3135
1556640520,3122,3122
1556642473,3102,3102
1556644347,3087,3087
1556646278,3082,3082
1556648203,3072,3072
1556650100,3062,3062
1556652015,3043,3043
1556653937,3042,3042
1556655913,3027,3027
1556657775,3013,3013
