DateTime,AddedIPs,RemovedIPs
1551081736,0,1
1551083581,0,1
1551087626,0,1
1551089545,0,1
1551097231,1,3
1551105163,0,2
1551108982,0,1
1551112826,0,1
1551121146,0,1
1551129189,0,1
1551134902,0,1
1551144527,1,0
1551162277,0,1
1551183399,0,1
1551229726,0,1
1551245299,1,0
1551278415,2,0
1551311787,1,0
1551317571,381,0
1551319489,988,0
1551321409,1591,0
1551323311,2276,0
1551325220,1621,0
1551346608,2,0
1551354270,1,0
1551381400,1,0
1551405167,0,1029
1551407028,0,1169
1551408975,0,2305
1551410847,0,2358
1551432269,0,1
1551434180,0,1
1551436122,1,0
1551439980,0,1
1551451456,1,0
1551461307,1,0
1551467393,0,1
1551521572,0,1
1551537174,1,1
1551546764,0,1
1551552981,1,0
1551580824,1,0
1551584678,1,0
1551621887,0,1
1551639373,0,1
1551651163,1,0
1551662896,1,0
1551667704,0,1
1551671558,1,1
1551677567,1,0
1551698923,1,0
1551723146,1,0
1551725074,1,0
1551727005,1,0
1551736595,0,1
1551750256,0,1
1551757945,0,1
1551763692,1,0
1551765676,0,1
1551785089,0,1
1551793700,1,0
1551805267,1,0
1551809332,0,1
1551811217,0,1
1551813142,0,1
1551838100,1,0
1551850588,0,1
1551881776,0,1
1551891379,0,1
1551905083,1,0
1551906992,5,0
1551918995,2,0
1551922842,1,0
1551924736,0,1
1551949722,1,0
1551991955,0,4
1551993869,0,2
1552006089,0,2
1552009958,0,1
1552022672,1,0
1552036344,0,1
1552107870,0,1
1552115085,1,0
1552200033,0,1
1552218273,1,0
1552254976,1,0
1552268664,1,0
1552270601,1,0
1552302291,1,0
1552306134,0,1
1552311889,1,0
1552319786,1,0
1552341177,0,1
1552355835,0,2
1552357726,1,0
1552377175,1,0
1552388674,0,1
1552398257,0,1
1552405931,0,1
1552413667,1,0
1552415558,1,0
1552419380,2,0
1552423212,3,0
1552425143,1,0
1552430912,5,0
1552434758,7,0
1552440518,3,0
1552443413,1,1
1552445319,1,0
1552447276,1,0
1552462579,0,1
1552481795,1,0
1552497646,2,0
1552499545,3,1
1552501459,4,1
1552503405,1,0
1552505318,2,0
1552507310,0,2
1552509147,1,3
1552511102,0,1
1552517112,0,5
1552520914,0,7
1552526666,0,3
1552528615,0,1
1552532687,1,1
1552534586,0,1
1552567472,0,1
1552584777,0,2
1552586698,0,5
1552588583,1,3
1552590540,0,1
1552592463,0,1
1552596284,0,1
1552619534,0,1
1552662119,1,0
1552675481,1,1
1552685053,1,0
1552707630,1,0
1552709549,1,0
1552726949,1,0
1552744575,1,0
1552748536,0,1
1552761886,0,1
1552771461,0,1
1552782992,1,0
1552794506,0,1
1552796448,0,1
1552812032,1,1
1552813943,1,0
1552817791,1,0
1552831389,0,1
1552868212,1,0
1552870102,0,1
1552877797,1,0
1552883787,1,0
1552897232,0,1
1552899131,0,1
1552902995,0,1
1552923136,1,0
1552948570,1,0
1552954371,0,1
1552963936,0,1
1552971704,0,1
1552981457,1,0
1552992994,1,0
1553009783,0,1
1553025432,1,0
1553027298,1,0
1553029319,1,0
1553034985,0,1
1553056101,1,0
1553058192,1,0
1553065943,1,0
1553067854,0,1
1553077462,1,0
1553079392,0,1
1553089234,1,0
1553111557,0,1
1553113463,0,1
1553115923,0,1
1553142981,0,1
1553144938,0,1
1553148743,1,0
1553150676,1,0
1553152568,0,1
1553162249,1,0
1553164094,0,1
1553174665,0,1
1553193901,1,0
1553205385,1,0
1553227000,1,0
1553234691,0,1
1553238533,1,1
1553240454,1,0
1553248109,0,1
1553266192,1,0
1553271949,1,0
1553279564,0,1
1553291316,0,1
1553293244,1,0
1553313379,0,1
1553317411,2,0
1553325410,0,2
1553334986,1,0
1553352493,0,1
1553358269,0,1
1553373624,1,0
1553379642,0,1
1553397138,1,0
1553402901,1,1
1553404842,0,1
1553422335,0,1
1553461492,0,1
1553470480,1,0
1553484271,0,1
1553490299,0,1
1553521239,1,0
1553534916,1,0
1553554600,0,1
1553570200,1,0
1553594192,1,0
1553600178,1,0
1553608098,0,1
1553617698,1,0
1553619889,0,1
1553648188,1,0
1553652109,1,0
1553655927,0,1
1553659742,1,0
1553678894,0,1
1553686575,0,1
1553703413,1,0
1553705548,1,1
1553709410,1,0
1553711304,1,0
1553718058,1,0
1553722250,1,0
1553726522,1,0
1553732181,1,0
1553734128,0,1
1553736020,1,0
1553740001,1,1
1553744173,1,0
1553746105,0,1
1553748033,1,0
1553753774,1,0
1553757874,1,0
1553761693,1,0
1553765576,1,0
1553769375,1,0
1553773222,1,0
1553777068,1,0
1553778996,1,0
1553782826,1,0
1553790493,0,1
1553792536,0,1
1553794471,0,1
1553798417,0,1
1553800346,1,0
1553804176,1,1
1553808032,1,1
1553812646,0,1
1553814509,1,0
1553816439,1,0
1553818375,0,1
1553822200,1,1
1553826062,0,1
1553831783,0,1
1553835763,1,1
1553839466,0,1
1553843331,0,1
1553849091,0,1
1553852905,0,1
1553856756,0,1
1553858661,0,1
1553862514,1,0
1553864493,0,1
1553866349,0,1
1553870187,0,1
1553877876,1,0
1553885800,0,1
1553889820,1,1
1553893722,0,1
1553901376,0,1
1553903541,0,1
1553909295,0,1
1553922744,0,1
1553947960,2,1
1553951785,1,0
1553965463,0,1
1553974823,1,0
1553976767,1,1
1553988284,1,0
1554033184,0,1
1554035060,0,1
1554037004,0,1
1554060052,0,1
1554061963,0,1
1554074012,0,1
1554109000,1,0
1554124363,1,0
1554169461,1,0
1554192747,1,0
1554196594,0,1
1554210172,0,1
1554238125,2,0
1554254912,0,1
1554264736,1,0
1554278169,0,1
1554291868,1,0
1554324758,0,2
1554341294,1,0
1554345168,1,0
1554351058,0,1
1554378026,0,1
1554424115,1,0
1554428210,0,1
1554430116,0,1
1554441889,1,0
1554467542,2,0
1554510509,0,1
1554514586,1,0
1554520346,1,0
1554528032,0,1
1554553457,0,1
1554555370,0,1
1554559130,1,0
1554599781,0,1
1554607454,0,1
1554644180,0,1
1554658355,1,0
1554694114,1,0
1554697978,1,0
1554746478,0,1
1554778105,1,0
1554780023,0,1
1554785785,0,1
1554793946,1,0
1554819153,1,0
1554839366,1,0
1554847008,1,0
1554857570,1,0
1554865378,0,1
1554873386,1,0
1554877453,1,0
1554881291,0,1
1554887338,1,0
1554894974,1,0
1554906509,0,1
1554921375,1,0
1554925458,0,1
1554933158,1,1
1554942993,0,1
1554958332,1,0
1554960291,0,1
1554964349,0,1
1554973942,0,1
1554981629,0,1
1554998598,1,0
1555008255,0,1
1555019793,0,1
1555025074,1,0
1555038500,1,0
1555042334,1,0
1555044276,0,1
1555084580,0,1
1555088912,1,0
1555090840,1,0
1555096589,1,0
1555110167,0,1
1555113940,1,0
1555121781,1,0
1555123727,0,1
1555127572,0,1
1555152744,3,0
1555162573,2,0
1555174095,1,0
1555176033,0,1
1555177941,0,1
1555183705,0,1
1555185749,1,0
1555187777,1,0
1555195458,1,0
1555199296,0,1
1555203141,1,0
1555206987,0,1
1555224427,1,0
1555226435,1,0
1555228337,1,0
1555236979,1,0
1555238912,0,2
1555240841,0,1
1555242734,1,0
1555248494,0,2
1555260041,0,1
1555263878,1,0
1555273471,0,2
1555281183,0,1
1555288834,0,1
1555310202,0,1
1555312128,0,1
1555314033,0,1
1555323882,0,1
1555329741,1,1
1555331571,1,0
1555337330,1,0
1555351004,0,1
1555369345,1,0
1555378839,1,0
1555380777,1,0
1555390367,1,0
1555411715,1,0
1555415545,0,1
1555417479,0,1
1555423339,0,1
1555442663,1,0
1555454751,0,1
1555464271,0,1
1555466194,0,1
1555476267,0,1
1555497889,0,1
1555503655,1,0
1555523082,1,0
1555530749,0,1
1555589138,0,1
1555608353,0,1
1555649077,1,0
1555695885,1,0
1555715102,1,0
1555736194,0,1
1555780817,0,1
1555798358,0,1
1555852604,1,0
1555937307,0,1
1555952203,1,0
1556007392,1,0
1556040032,0,1
1556047706,1,0
1556082498,1,0
1556094265,0,1
