DateTime,AddedIPs,RemovedIPs
1556339058,7,28
1556340995,7,35
1556342928,7,33
1556344935,13,35
1556346759,21,23
1556348688,13,32
1556350575,14,29
1556352495,3,38
1556354444,14,30
1556356339,5,34
1556358269,6,33
1556360082,11,38
1556361889,15,55
1556363783,12,60
1556365699,16,41
1556367654,17,33
1556369559,15,34
1556371460,12,36
1556373386,6,44
1556375318,11,48
1556377327,19,14
1556379174,15,6
1556381114,23,10
1556383003,34,9
1556384896,59,12
1556386851,16,8
1556388746,23,13
1556390658,23,21
1556392600,20,15
1556394533,20,12
1556396418,25,12
1556398336,24,26
1556400270,35,15
1556402183,41,12
1556404116,38,16
1556406120,22,15
1556407965,8,16
1556409873,16,14
1556411788,13,8
1556413706,16,7
1556415639,9,25
1556417550,37,22
1556419463,8,21
1556421382,7,13
1556423307,12,13
1556425242,7,7
1556427156,11,5
1556429066,2,16
1556430999,8,15
1556432936,8,25
1556434972,11,13
1556436993,5,13
1556438893,3,5
1556440834,1,13
1556442742,8,9
1556444673,7,10
1556446591,4,17
1556448522,10,16
1556450430,10,15
1556452356,19,13
1556454280,9,17
1556456205,4,12
1556458133,12,13
1556460150,12,5
1556461970,7,13
1556463887,2,18
1556465811,9,20
1556467721,9,20
1556469627,16,33
1556471540,10,55
1556473494,37,23
1556475392,12,23
1556477298,18,22
1556479247,16,17
1556481176,30,26
1556483059,17,25
1556485371,19,33
1556487380,27,40
1556489310,28,40
1556491210,21,29
1556493142,21,17
1556495079,14,10
1556496973,18,19
1556498907,17,14
1556500833,19,18
1556502753,30,16
1556504670,15,33
1556506572,7,6
1556508513,24,7
1556511380,17,11
1556513295,9,9
1556515215,6,3
1556517141,10,10
1556519052,8,9
1556521001,10,7
1556522903,2,181
1556525809,191,3
1556527700,9,2
1556529623,2,8
1556531559,7,6
1556533456,2,3
1556535387,7,8
1556537298,10,14
1556539361,8,20
1556541164,8,6
1556543095,6,6
1556545007,15,9
1556546871,6,10
1556548841,10,7
1556550742,6,6
1556552664,10,9
1556554580,7,10
1556556517,5,16
1556558441,9,9
1556560376,9,16
1556562259,12,15
1556564200,15,22
1556566116,11,10
1556568092,9,29
1556569952,11,12
1556572139,19,23
1556574056,17,32
1556575964,12,14
1556578671,11,31
1556580510,16,20
1556582578,12,19
1556584601,9,14
1556586546,9,11
1556588469,13,50
1556590347,11,24
1556592287,17,9
1556594219,18,10
1556596108,12,35
1556598021,23,11
1556599956,13,10
1556601925,13,8
1556603783,26,6
1556605750,17,8
1556607746,19,10
1556609551,19,5
1556611561,11,16
1556613417,15,9
1556615614,15,4
1556617624,20,8
1556619656,13,3
1556621558,154,6
1556623467,13,12
1556625381,4,6
1556627292,14,8
1556629260,4,7
1556631170,11,18
1556633362,10,8
1556635248,5,12
1556637162,5,10
1556639068,10,10
1556641004,7,8
1556642897,14,10
1556644859,13,11
1556646754,17,10
1556648663,13,14
1556650585,19,26
1556652534,15,13
1556654495,14,10
1556656350,14,9
1556658287,30,16
1556660209,33,17
1556662130,3,11
1556664054,10,13
1556665937,7,7
1556668077,6,17
1556670018,11,8
1556671968,18,8
1556673864,23,7
1556675806,12,16
1556677731,12,14
1556679793,10,23
1556681814,4,15
1556683718,35,20
1556685645,33,10
1556687552,9,14
1556689488,11,19
1556691392,12,22
1556693312,14,20
1556695233,27,16
1556697137,53,17
1556699066,40,12
1556700995,30,14
1556702898,51,17
1556704957,22,19
1556706768,13,7
1556708699,11,8
1556710589,17,12
1556712517,16,10
1556714436,8,10
1556716353,13,9
1556718266,16,12
1556720197,10,8
1556722109,6,4
1556724053,11,7
1556725956,3,10
1556727875,5,9
1556729799,16,11
1556731698,11,16
1556733750,24,21
1556735561,8,10
1556737489,10,16
1556739387,10,13
1556741324,17,17
1556743186,6,10
1556745149,12,30
1556747075,10,30
1556750449,11,12
1556752342,12,149
1556754304,10,6
1556756191,8,11
1556758378,4,21
1556760267,4,21
1556762215,14,11
1556764108,4,11
1556766153,10,13
1556767970,10,3
1556769926,21,29
1556771802,9,35
1556773731,7,9
1556775623,13,11
1556777810,6,14
1556779709,7,18
1556781671,10,28
1556783578,6,43
1556785499,6,35
1556787419,7,32
1556789361,10,50
1556791381,11,28
1556793404,11,19
1556795298,7,14
1556797243,21,13
1556799152,14,17
1556801067,7,11
1556802984,55,11
1556805189,553,21
1556807062,119,11
1556810198,50,15
1556812105,16,5
1556814015,27,3
1556815952,25,20
1556817877,20,10
1556819780,23,21
1556821701,8,7
1556823713,17,9
1556825567,16,7
1556827511,15,14
1556829381,8,4
1556831322,10,9
1556833232,14,8
1556835680,25,11
1556837539,8,8
1556839466,3,6
1556841397,11,12
1556843307,18,5
1556845367,15,3
1556847382,16,11
1556849316,18,8
1556851235,16,10
1556853169,17,8
1556855062,14,15
1556856979,22,9
1556858918,19,7
1556860833,11,8
1556862755,12,10
1556864675,9,4
1556866576,6,4
1556868509,12,20
1556870510,22,6
1556872359,14,9
1556874560,17,9
1556876459,9,10
1556878359,5,9
1556880279,9,9
1556882189,5,4
1556884274,11,20
1556886286,8,18
1556888200,8,11
1556890101,13,122
1556892299,11,582
1556894175,16,46
1556896348,8,56
1556898267,1,25
1556900205,7,30
1556902097,6,20
1556904015,9,22
1556905960,3,26
1556907856,8,10
1556909772,9,16
1556911691,11,17
1556913677,1,12
1556915563,10,12
1556917484,10,10
1556919374,11,15
1556921300,14,19
1556923171,16,12
1556925136,12,5
1556927082,12,10
1556928998,6,10
1556930898,11,13
1556932846,12,12
1556934753,10,19
1556936660,8,16
1556938584,16,14
1556940493,7,14
1556942551,12,30
1556944365,8,17
1556946300,10,16
1556948428,11,12
1556950348,18,12
1556952289,19,6
1556954192,12,9
1556956134,13,15
1556958049,10,11
1556959962,8,12
1556961873,7,12
1556963783,9,8
1556965980,14,6
1556967926,13,6
1556969787,10,10
1556971655,12,12
1556973620,17,9
1556975564,15,10
1556977469,14,8
1556979396,6,11
1556981305,3,14
1556983240,7,2
1556985175,7,1
1556987061,10,6
1556988990,2,10
1556990919,11,6
1556992932,16,7
1556994768,17,6
1556996684,17,9
1556998594,19,9
1557000525,28,2
1557002437,25,12
1557004357,27,10
1557006258,26,13
1557008212,22,13
1557010125,22,12
1557012018,14,15
1557013962,20,9
1557015859,15,6
1557017788,9,11
1557019742,11,11
1557021747,15,9
1557023566,8,15
1557025491,12,10
1557027388,19,8
1557029318,31,13
1557031234,168,13
1557033148,31,8
1557035059,17,11
1557036999,18,16
1557038906,29,14
1557040815,31,10
1557042754,22,79
1557044663,89,8
1557046573,23,5
1557048502,20,8
1557050533,155,8
1557052366,19,10
1557054269,17,8
1557056198,19,10
1557058130,18,10
1557060054,22,17
1557061945,18,13
1557063858,11,10
1557065799,16,2
1557067708,29,3
1557069647,15,9
1557071537,18,5
1557073466,23,10
1557075395,15,3
1557077299,21,11
1557079299,21,14
1557081172,75,15
1557083150,69,21
1557085018,44,17
1557086929,46,25
1557088847,52,26
1557090770,47,30
1557092676,36,23
1557094598,25,16
1557096521,34,23
1557098433,29,15
1557100337,27,18
1557102290,21,14
1557104185,12,9
1557106098,15,9
1557108141,7,13
1557109970,10,6
1557111886,10,8
1557114049,20,21
1557115940,16,15
1557117867,24,103
1557119804,18,41
1557121697,22,19
1557123647,28,21
1557125566,20,21
1557127458,19,26
1557129378,18,17
1557131317,18,25
1557134194,34,35
1557136101,21,9
1557138039,29,16
1557139933,32,18
1557141875,13,12
1557143772,24,16
1557145691,19,18
1557147679,26,19
1557149584,16,13
1557151740,26,11
1557153748,23,31
1557155573,18,13
1557157479,15,15
1557159407,15,20
1557161303,16,15
1557163224,16,16
1557165108,22,14
1557167077,22,51
1557168982,31,70
1557170922,25,43
1557172892,36,41
1557174773,20,55
1557176700,12,66
1557178580,7,40
1557180527,14,27
1557182450,18,22
1557184367,11,30
1557186647,50,29
1557188799,35,21
1557190967,15,9
1557193237,17,16
1557195185,7,10
1557197098,9,12
1557199007,13,7
1557200926,16,30
1557202853,10,36
1557204894,12,168
1557206906,18,22
1557208891,23,36
1557210766,24,24
1557212674,20,15
1557214594,32,31
1557216529,22,71
1557218431,77,22
1557220352,11,19
1557222319,18,22
1557224180,11,29
1557226115,12,19
1557228023,21,12
1557229990,25,22
1557231913,37,19
1557233939,15,25
1557235970,22,18
1557237939,15,21
1557239830,14,18
1557241705,11,21
1557243619,16,15
1557245546,19,16
1557247458,21,17
1557249381,43,21
1557251307,122,24
1557253217,19,22
1557255146,21,29
1557257065,12,23
1557258977,13,33
1557260895,47,25
1557262942,16,13
1557264743,20,8
1557266687,21,9
1557268587,13,13
1557270498,8,8
1557272420,14,53
1557274359,50,43
1557276262,15,15
1557278188,10,5
1557280117,17,11
1557282038,21,6
1557283954,26,8
1557285870,25,8
1557287777,10,11
1557289700,15,11
1557291684,21,12
1557293540,15,19
1557295464,15,22
1557297384,16,25
1557299318,9,22
1557301237,12,21
1557303158,20,27
1557305081,13,18
1557307005,25,13
1557308925,14,12
1557310818,21,9
