DateTime,AddedIPs,RemovedIPs
1553223159,1,0
1553225060,1,0
1553266238,0,1
1553289858,1,0
1553297566,0,1
1553309340,0,1
1553311468,0,1
1553321324,1,0
1553336919,1,0
1553346735,1,0
1553369783,1,0
1553371720,1,0
1553375792,0,1
1553406759,0,1
1553424267,0,1
1553432501,0,1
1553455700,0,1
1553476831,1,1
1553491490,1,0
1553531290,1,0
1553535158,1,0
1553552666,1,0
1553564422,0,1
1553575965,1,1
1553611945,2,0
1553613881,1,0
1553617703,0,1
1553619901,0,1
1553638606,0,1
1553642454,1,0
1553661619,0,1
1553697403,0,1
1553699595,1,2
1553722829,1,0
1553728835,0,1
1553751886,1,0
1553780903,1,0
1553786687,0,1
1553802277,1,0
1553806106,1,0
1553808034,0,1
1553827956,1,0
1553837575,0,1
1553866351,1,0
1553868308,1,1
1553874026,1,0
1553889889,0,1
1553891775,0,1
1553915100,0,1
1553934264,1,0
1553936172,1,0
1553951787,0,1
1553955618,0,1
1553959460,0,1
1553961402,2,0
1553996201,1,0
1554019724,0,1
1554023543,0,1
1554044926,1,0
1554048740,0,2
1554081646,0,1
1554110904,3,0
1554130102,0,1
1554163714,1,0
1554194691,1,0
1554198532,0,3
1554215785,1,0
1554249159,0,1
1554280125,0,1
1554299591,0,1
1554303422,2,0
1554309370,1,0
1554330764,1,0
1554378992,2,0
1554390511,1,2
1554396257,0,1
1554402041,2,0
1554418342,0,1
1554463699,1,0
1554465744,1,2
1554469493,1,0
1554477173,0,1
1554487014,0,1
1554488918,0,1
1554549611,0,1
1554553459,0,1
1554579620,1,1
1554651877,1,0
1554667299,0,1
1554735690,0,1
1554758475,1,0
1554821066,1,0
1554846015,0,1
1554853706,1,0
1554894978,1,0
1554900757,1,0
1554909659,0,1
1554917302,1,0
1554933161,1,0
1554938895,0,1
1554940985,1,0
1554950670,1,0
1554956413,1,0
1554964352,1,0
1554968189,1,0
1554981632,1,1
1554985462,0,1
1554996552,1,0
1555004418,0,1
1555019796,0,1
1555036576,0,1
1555042337,0,1
1555050020,0,1
1555053856,0,1
1555065374,2,0
1555069215,0,1
1555080752,0,1
1555082655,0,1
1555084582,1,0
1555092779,1,0
1555100462,1,0
1555117714,1,0
1555121786,1,0
1555129498,1,0
1555133299,1,0
1555150854,0,1
1555152747,0,1
1555170282,0,1
1555179857,0,1
1555185764,0,1
1555191649,1,0
1555199298,1,0
1555201239,1,0
1555203144,0,1
1555208911,0,1
1555214912,0,1
1555218741,0,1
1555246576,1,0
1555263880,1,0
1555277305,0,1
1555285006,0,1
1555286926,0,1
1555304512,1,0
1555310205,2,0
1555333480,0,1
1555337331,1,0
1555339241,1,0
1555349062,1,1
1555351006,1,0
1555352913,1,0
1555356985,3,0
1555376927,1,0
1555388434,1,0
1555390368,0,1
