DateTime,AddedIPs,RemovedIPs
1556339060,77,55
1556340996,68,64
1556342929,67,56
1556344945,58,84
1556346760,63,77
1556348690,71,75
1556350576,72,100
1556352496,62,74
1556354451,61,75
1556356340,54,76
1556358270,64,112
1556360089,42,107
1556361897,55,107
1556363784,71,121
1556365700,77,78
1556367655,102,87
1556369561,100,90
1556371467,65,82
1556373387,61,83
1556375319,71,89
1556377338,68,119
1556379175,59,129
1556381116,53,74
1556383004,105,103
1556384897,146,93
1556386852,123,119
1556388747,119,80
1556390659,90,117
1556392608,119,108
1556394534,159,161
1556396426,101,74
1556398337,75,76
1556400271,71,73
1556402190,58,69
1556404117,74,64
1556406123,76,102
1556407966,59,108
1556409875,87,97
1556411789,72,99
1556413708,52,91
1556415640,62,86
1556417551,64,88
1556419464,58,45
1556421383,86,59
1556423308,74,72
1556425243,59,68
1556427157,57,73
1556429067,74,63
1556431023,71,50
1556432937,63,70
1556434973,78,71
1556436994,81,68
1556438894,97,62
1556440835,82,54
1556442743,75,46
1556444674,66,54
1556446592,64,49
1556448523,53,54
1556450437,72,68
1556452357,80,82
1556454281,109,106
1556456207,123,77
1556458134,110,58
1556460164,134,67
1556461971,86,60
1556463911,77,66
1556465819,109,58
1556467728,95,50
1556469635,83,106
1556471541,68,138
1556473495,52,140
1556475415,33,128
1556477299,28,109
1556479248,385,122
1556481178,2486,162
1556483060,2193,87
1556485384,2562,93
1556487382,34,75
1556489311,39,70
1556491218,45,68
1556493143,37,77
1556495081,45,84
1556496997,26,84
1556498909,26,66
1556500841,32,73
1556502754,35,67
1556504672,38,72
1556506573,24,81
1556508521,22,92
1556511387,68,126
1556513296,44,91
1556515216,50,91
1556517148,45,83
1556519053,101,96
1556521008,30,111
1556522904,52,114
1556525810,157,203
1556527701,110,132
1556529630,100,122
1556531566,86,112
1556533457,58,91
1556535387,75,94
1556537298,103,113
1556539366,243,134
1556541633,449,198
1556543560,373,175
1556545460,376,176
1556547408,404,181
1556549304,395,138
1556551227,130,119
1556553160,141,168
1556555076,112,130
1556556989,109,100
1556558919,127,80
1556560917,128,43
1556562784,123,38
1556564703,148,52
1556566578,135,1486
1556568508,118,2403
1556570446,167,2621
1556572590,198,1223
1556574493,152,41
1556576434,120,41
1556578686,574,54
1556580511,438,63
1556582580,431,30
1556584603,640,29
1556586547,505,32
1556588470,505,33
1556590348,471,39
1556592295,368,27
1556594220,414,22
1556596109,222,36
1556598022,86,49
1556599957,81,38
1556601926,278,45
1556603784,441,51
1556605753,522,100
1556607747,548,32
1556609552,447,48
1556611563,411,87
1556613418,405,76
1556615622,378,85
1556617629,306,76
1556619657,305,41
1556621572,291,72
1556623468,294,56
1556625383,361,164
1556627306,337,284
1556629285,214,343
1556631171,304,307
1556633366,361,399
1556635256,334,323
1556637163,267,107
1556639083,343,89
1556641006,383,62
1556642898,383,75
1556644867,387,98
1556646764,355,64
1556648665,327,96
1556650592,286,100
1556652535,293,94
1556654498,316,102
1556656352,300,87
1556658289,270,154
1556660216,279,111
1556662156,302,89
1556664056,297,167
1556665939,242,203
1556668079,301,200
1556670019,238,271
1556671969,307,361
1556673866,285,260
1556675808,317,221
1556677732,282,236
1556679794,262,223
1556681815,220,266
1556683720,119,296
1556685647,133,258
1556687553,145,274
1556689490,85,284
1556691400,103,222
1556693319,78,231
1556695234,68,221
1556697139,42,382
1556699067,65,376
1556700996,66,358
1556702899,74,282
1556704959,79,307
1556706781,62,276
1556708700,54,259
1556710597,58,313
1556712519,49,471
1556714437,60,390
1556716355,55,362
1556718268,61,451
1556720198,59,278
1556722110,75,314
1556724054,79,242
1556725957,68,281
1556727877,61,309
1556729800,65,354
1556731700,65,283
1556733751,58,397
1556735562,69,280
1556737491,71,352
1556739388,48,415
1556741326,57,525
1556743188,48,501
1556745158,52,459
1556747076,38,434
1556750450,82,863
1556752349,38,452
1556754305,45,508
1556756192,55,401
1556758379,71,592
1556760268,62,506
1556762216,40,587
1556764109,56,473
1556766155,54,487
1556767971,52,374
1556769927,67,140
1556771803,94,126
1556773732,141,169
1556775624,164,86
1556777817,131,115
1556779710,127,85
1556781682,213,78
1556783585,340,52
1556785500,252,83
1556787426,262,76
1556789362,259,66
1556791384,157,79
1556793411,119,88
1556795299,79,59
1556797245,86,72
1556799160,61,63
1556801074,61,60
1556802985,86,72
1556805202,108,54
1556807063,61,60
1556809281,64,97
1556811162,50,71
1556813078,58,68
1556814995,62,52
1556816899,59,62
1556818813,67,79
1556820738,55,59
1556822687,76,68
1556824584,67,80
1556826512,68,57
1556828441,76,46
1556830332,56,50
1556832258,62,42
1556834204,44,43
1556836365,78,70
1556838293,80,36
1556840203,56,49
1556842131,87,43
1556844032,61,57
1556845938,87,56
1556847886,61,51
1556849789,63,59
1556851735,68,53
1556853618,79,48
1556855548,53,49
1556857466,50,76
1556859399,62,148
1556861296,56,157
1556863296,105,126
1556865169,177,136
1556867098,214,152
1556868984,252,226
1556870932,236,340
1556872838,271,259
1556874765,249,274
1556876685,232,242
1556878594,211,150
1556880510,214,60
1556882450,199,77
1556884276,194,61
1556886314,202,58
1556888201,178,76
1556890102,122,98
1556892300,69,86
1556894176,62,55
1556896349,70,60
1556898275,50,53
1556900206,54,58
1556902105,73,55
1556904022,50,57
1556905961,52,69
1556907857,58,59
1556909773,68,72
1556911692,64,68
1556913682,59,54
1556915564,56,73
1556917487,48,57
1556919382,71,55
1556921301,54,51
1556923173,57,72
1556925137,59,74
1556927083,41,67
1556928999,69,82
1556930899,94,64
1556932847,74,103
1556934754,55,57
1556936661,66,64
1556938592,53,75
1556940494,39,62
1556942555,58,63
1556944366,59,61
1556946301,50,70
1556948429,61,66
1556950349,66,139
1556952290,56,184
