DateTime,Entries,UniqueIPs
1546243949,2187,2187
1546265812,2179,2179
1546287878,2180,2180
1546309733,2181,2181
1546331771,2187,2187
1546353635,2191,2191
1546375730,2195,2195
1546397789,2195,2195
1546419731,2201,2201
1546441718,2204,2204
1546463776,2207,2207
1546485659,2211,2211
1546507701,2214,2214
1546529794,2207,2207
1546551637,2208,2208
1546573489,2206,2206
1546595540,2225,2225
1546617638,2232,2232
1546639492,2222,2222
1546661549,2214,2214
1546683493,2217,2217
1546705482,2226,2226
1546727608,2875,2875
1546749627,2889,2889
1546771550,2904,2904
1546793569,2054,2054
1546815643,2899,2899
1546837495,2929,2929
1546859542,2975,2975
1546881665,3016,3016
1546903960,3045,3045
1546926041,3080,3080
1546948107,3112,3112
1546970196,3136,3136
1546992040,3163,3163
1547014137,3183,3183
1547036140,3214,3214
1547058283,3243,3243
1547080417,3242,3242
1547102416,3256,3256
1547124423,3257,3257
1547146355,3227,3227
1547168202,3220,3220
1547190337,3224,3224
1547212345,3217,3217
1547234206,3227,3227
1547256057,3245,3245
1547278130,3309,3309
1547299982,3318,3318
1547322020,3329,3329
1547344373,3323,3323
1547366532,3331,3331
1547388537,3342,3342
1547410382,3355,3355
1547432225,3360,3360
1547454263,3341,3341
1547476371,3302,3302
1547498223,3255,3255
1547520253,3239,3239
1547542191,3230,3230
1547564542,3212,3212
1547586532,3189,3189
1547608824,3176,3176
1547630685,3169,3169
1547652736,3148,3148
1547674608,3130,3130
1547696659,3125,3125
1547718505,3114,3114
1547740604,3099,3099
1547762507,3092,3092
1547784770,3080,3080
1547807088,3051,3051
1547829173,3025,3025
1547851227,2753,2753
1547873068,2744,2744
1547895158,2707,2707
1547917001,2701,2701
1547938909,1882,1882
1547960917,1869,1869
1547983006,1835,1835
1548004856,1822,1822
1548026894,1798,1798
1548048745,1765,1765
1548070608,1759,1759
1548092684,1761,1761
1548114758,1756,1756
1548136846,1753,1753
1548158710,1740,1740
1548180752,1740,1740
1548202847,1732,1732
1548225158,1721,1721
1548247212,1702,1702
1548269067,1712,1712
1548290971,1713,1713
1548313327,1704,1704
1548335564,1640,1640
1548357619,1638,1638
1548379468,1629,1629
1548401537,1640,1640
1548423394,1649,1649
1548445243,1649,1649
1548467301,1650,1650
1548489162,1660,1660
1548511277,1640,1640
1548533324,1646,1646
1548555388,1654,1654
1548577460,1656,1656
1548599547,1670,1670
1548621616,1671,1671
1548643472,1669,1669
1548665557,1675,1675
1548687757,1678,1678
1548709968,1674,1674
1548732039,1679,1679
1548754105,1682,1682
1548776200,1694,1694
1548798276,1695,1695
1548820122,1697,1697
1548842197,1702,1702
1548864099,1711,1711
1548886364,1715,1715
1548908445,1718,1718
1548930498,1718,1718
1548952349,1731,1731
1548974197,1729,1729
1548996287,1726,1726
1549018359,1720,1720
1549051512,1731,1731
1549073560,1733,1733
1549095630,1729,1729
1549117484,1732,1732
1549139328,641,641
1549161642,642,642
1549183483,629,629
1549205596,1720,1720
1549227678,1725,1725
1549249729,1718,1718
1549271806,1712,1712
1549293878,1716,1716
1549315969,1726,1726
1549338062,1722,1722
1549360349,1718,1718
1549382485,1709,1709
1549404505,1724,1724
1549426371,1791,1791
1549448432,1831,1831
1549470528,1837,1837
1549493183,1854,1854
1549515129,1869,1869
1549537267,1914,1914
1549559299,1896,1896
1549581186,1904,1904
1549603213,1895,1895
1549625058,1894,1894
1549646907,1892,1892
1549668756,1884,1884
1549690833,1888,1888
1549712680,1896,1896
1549734522,1898,1898
1549756362,1898,1898
1549789475,1906,1906
1549811532,804,804
1549833419,1910,1910
1549855479,1912,1912
1549877321,1909,1909
1549899375,1903,1903
1549921216,2064,2064
1549943075,2056,2056
1549965164,2063,2063
1549987481,2073,2073
1550009562,2061,2061
1550031649,1999,1999
1550053702,1972,1972
1550075562,1964,1964
1550098357,1937,1937
1550120558,1913,1913
1550142521,1862,1862
1550164577,1859,1859
1550186446,1848,1848
1550208519,1852,1852
1550230586,1854,1854
1550252710,1858,1858
1550274749,3163,3163
1550296921,3519,3519
1550318917,3517,3517
1550340786,3525,3525
