DateTime,AddedIPs,RemovedIPs
1554317296,1,0
1554319231,0,1
1554325007,0,1
1554326919,0,2
1554328925,1,0
1554330773,1,0
1554332590,1,0
1554334575,2,2
1554338426,0,2
1554340341,0,1
1554349942,1,0
1554355716,0,1
1554359793,0,1
1554371311,0,2
1554373245,0,1
1554377096,0,1
1554380913,0,1
1554382949,1,0
1554384770,2,0
1554390513,1,0
1554392422,1,0
1554398253,1,0
1554402049,2,1
1554403937,2,0
1554415703,0,2
1554418350,0,1
1554420268,0,3
1554422190,0,1
1554426197,2,0
1554445709,2,0
1554447789,1,0
1554450036,1,1
1554457942,1,0
1554461800,1,0
1554465762,0,1
1554469718,0,2
1554471869,0,2
1554475739,0,1
1554477630,0,1
1554481488,1,0
1554485557,0,1
1554487468,1,0
1554491314,0,1
1554501166,1,0
1554503075,1,0
1554510763,1,0
1554512567,0,1
1554531878,0,3
1554533792,0,1
1554535727,0,3
1554537794,1,0
1554543865,1,0
1554545811,1,0
1554551566,1,0
1554553476,1,0
1554555373,1,0
1554557313,3,0
1554559134,1,0
1554566923,1,1
1554568833,2,0
1554572918,0,1
1554574813,1,0
1554580603,1,0
1554582519,1,0
1554588298,0,1
1554590182,0,1
1554594033,1,1
1554599784,1,0
1554605542,0,1
1554619244,0,1
1554626906,1,0
1554634572,0,1
1554636515,2,1
1554638506,0,1
1554640340,0,1
1554644183,0,1
1554646139,0,2
1554648019,0,1
1554653793,0,3
1554669141,2,1
1554671100,2,0
1554672998,2,0
1554680690,0,1
1554688342,1,0
1554701785,0,1
1554703735,0,1
1554711425,0,1
1554713320,0,1
1554719098,0,1
1554720988,0,1
1554723873,0,1
1554725837,1,0
1554729915,0,1
1554743322,1,0
1554749314,1,0
1554757000,1,0
1554758943,2,0
1554760976,1,0
1554766820,1,0
1554774503,0,1
1554782185,1,0
1554799706,1,1
1554801644,1,0
1554803565,1,1
1554822987,1,0
1554830664,1,0
1554832593,0,1
1554840308,3,0
1554844137,0,1
1554846017,1,1
1554847955,2,0
1554853708,0,1
1554855650,0,1
1554867632,0,1
1554869540,1,0
1554879411,2,0
1554889221,0,1
1554896919,0,1
1554904602,1,1
1554909661,0,1
1554911571,1,0
1554917310,0,1
1554927424,1,2
1554929435,2,0
1554931249,1,0
1554935128,1,0
1554936986,0,1
1554938897,1,1
1554940988,1,0
1554944910,0,1
1554946862,0,1
1554956415,0,1
1554972049,1,0
1554979723,0,1
1554981634,0,1
1554983551,1,0
1554985464,0,1
1554987374,0,1
1554998603,1,0
1555010182,3,1
1555012127,3,0
1555014043,1,0
1555017880,1,1
1555019798,0,2
1555023218,1,0
1555025079,0,1
1555032988,0,1
1555036843,0,1
1555042604,0,1
1555044506,1,0
1555054099,1,0
1555056160,0,1
1555057973,1,0
1555059898,0,1
1555061783,1,0
1555071384,1,0
1555073306,0,1
1555077160,0,1
1555084909,1,0
1555090852,1,0
1555094689,1,0
1555098526,0,2
1555100470,1,2
1555102359,1,0
1555110172,0,1
1555133300,0,1
1555139333,0,1
1555141231,1,1
1555143145,0,1
1555145089,0,1
1555146986,0,1
1555152748,0,1
1555174107,0,1
1555176039,0,1
1555177945,1,0
1555179859,3,0
1555181795,2,1
1555193541,1,0
1555195462,1,0
1555210990,0,1
1555214913,0,1
1555226440,0,2
1555228342,0,1
1555234101,0,1
1555236982,1,2
1555246578,0,1
1555262183,0,1
1555267934,0,1
1555273699,1,0
1555278454,3,0
1555280444,0,2
1555284281,1,0
1555290164,2,0
1555292199,2,0
1555301779,1,0
1555303702,0,1
1555309496,1,0
1555311374,0,1
1555317162,2,0
1555319093,1,0
1555320976,1,0
1555338265,1,0
1555344095,1,0
1555353613,1,0
