DateTime,AddedIPs,RemovedIPs
1556339061,35,13
1556340997,31,16
1556342931,18,23
1556344951,15,32
1556346761,23,22
1556348691,18,22
1556350578,26,58
1556352498,32,31
1556354452,23,19
1556356343,19,30
1556358272,14,47
1556360090,8,59
1556361898,25,58
1556363785,21,68
1556365703,48,39
1556367657,61,49
1556369562,45,25
1556371469,26,47
1556373389,19,40
1556375320,22,37
1556377340,21,52
1556379177,14,68
1556381118,14,42
1556383005,71,60
1556384898,128,37
1556386857,115,55
1556388748,105,39
1556390661,62,76
1556392609,78,47
1556394535,85,97
1556396427,46,41
1556398339,45,21
1556400273,38,26
1556402192,29,40
1556404119,24,39
1556406126,29,39
1556407967,29,54
1556409877,40,52
1556411791,33,48
1556413709,20,31
1556415641,25,51
1556417553,28,46
1556419465,28,14
1556421384,58,24
1556423309,41,38
1556425244,23,31
1556427159,32,31
1556429068,29,17
1556431024,25,10
1556432939,26,21
1556434974,43,15
1556436997,52,24
1556438897,60,28
1556440837,48,20
1556442744,34,18
1556444676,30,13
1556446594,21,9
1556448525,20,25
1556450440,40,19
1556452359,41,45
1556454283,86,49
1556456208,112,37
1556458139,95,17
1556460166,117,19
1556461972,59,16
1556463916,52,15
1556465821,81,14
1556467729,69,17
1556469637,31,79
1556471543,64,131
1556473497,48,119
1556475418,31,101
1556477301,38,65
1556479250,42,78
1556481180,40,84
1556483062,44,57
1556485404,71,38
1556487384,39,31
1556489314,34,25
1556491221,43,23
1556493145,51,25
1556495083,26,37
1556496999,35,37
1556498910,23,27
1556500844,42,26
1556502759,24,19
1556504676,25,28
1556506575,26,35
1556508523,25,54
1556510483,30,28
1556512367,45,21
1556514281,45,33
1556516193,40,20
1556518111,29,26
1556520047,30,31
1556521941,28,39
1556523884,93,48
1556525812,129,54
1556527703,141,51
1556529632,116,37
1556531568,95,27
1556533459,66,23
1556535389,100,26
1556537301,59,41
1556539374,134,42
1556541635,356,120
1556543563,311,97
1556545462,290,120
1556547410,330,89
1556549306,298,60
1556551229,50,59
1556553162,33,100
1556555078,18,36
1556556991,32,45
1556558921,59,72
1556560967,33,33
1556562786,38,33
1556564704,76,46
1556566580,57,29
1556568510,31,44
1556570448,73,45
1556572595,111,61
1556574494,57,33
1556576440,49,36
1556578712,67,50
1556580513,43,44
1556582582,85,21
1556584605,262,36
1556586548,150,29
1556588472,107,27
1556590350,113,21
1556592299,46,23
1556594221,71,20
1556596110,71,32
1556598025,42,42
1556599958,34,41
1556601928,40,38
1556603785,80,22
1556605754,213,31
1556607749,213,26
1556609558,130,47
1556611564,42,133
1556613434,36,121
1556615629,149,116
1556617641,117,127
1556619670,115,63
1556621573,109,105
1556623470,131,53
1556625385,84,112
1556627307,36,256
1556629300,139,342
1556631176,19,264
1556633376,111,363
1556635260,107,272
1556637165,31,63
1556639085,29,35
1556641008,20,14
1556642900,32,27
1556644870,36,58
1556646766,36,28
1556648676,28,36
1556650597,17,54
1556652570,26,53
1556654502,58,45
1556656353,33,38
1556658290,25,110
1556660218,21,67
1556662158,25,40
1556664057,16,49
1556665940,21,44
1556668080,25,59
1556670021,37,170
1556671971,63,226
1556673871,77,149
1556675810,149,91
1556677734,110,104
1556679800,69,69
1556681821,121,118
1556683721,76,61
1556685651,51,40
1556687556,77,51
1556689492,54,53
1556691402,61,32
1556693321,23,40
1556695238,18,45
1556697141,15,60
1556699070,20,31
1556700998,28,125
1556702902,24,115
1556704962,46,117
1556706783,49,117
1556708703,22,104
1556710599,24,155
1556712521,20,163
1556714440,17,197
1556716356,15,231
1556718269,20,188
1556720200,12,124
1556722112,26,92
1556724056,39,32
1556725962,22,23
1556727879,21,19
1556729805,18,30
1556731703,22,34
1556733753,14,44
1556735564,24,19
1556737493,18,21
1556739393,13,31
1556741328,21,52
1556743192,20,34
1556745159,17,20
1556747078,17,30
1556750454,34,30
1556752352,6,20
1556754307,15,23
1556756194,21,36
1556758382,33,75
1556760270,21,81
1556762218,20,172
1556764111,19,113
1556766158,19,81
1556767973,18,122
1556769931,29,94
1556771805,80,49
1556773734,124,81
1556775625,139,56
1556777819,97,73
1556779712,106,18
1556781694,181,18
1556783590,200,17
1556785502,225,21
1556787428,250,30
1556789377,227,24
1556791386,123,47
1556793413,87,47
1556795301,31,19
1556797246,40,23
1556799161,27,18
1556801075,23,17
1556802987,31,18
1556806339,43,23
1556808272,15,27
1556810201,13,36
1556812106,20,24
1556814016,21,24
1556815953,23,19
1556817878,21,18
1556819781,23,21
1556821702,27,20
1556823735,28,21
1556825569,22,11
1556827516,23,21
1556829382,35,19
1556831323,19,14
1556833233,28,15
1556835682,24,26
1556837540,37,16
1556839467,34,9
1556841398,24,20
1556843309,33,18
1556845368,40,32
1556847384,41,16
1556849318,16,25
1556851236,26,13
1556853185,20,20
1556855064,15,15
1556856980,16,43
1556858919,22,115
1556860835,16,143
1556862756,26,123
1556864690,133,69
1556866577,168,101
1556868510,216,190
1556870518,251,207
1556872360,244,215
1556874174,244,241
1556876190,222,231
1556878108,196,105
1556880026,177,69
1556881938,177,33
1556883861,176,33
1556885809,173,23
1556887702,147,21
1556889658,112,36
1556891853,35,33
1556893733,22,12
