DateTime,AddedIPs,RemovedIPs
1556339063,6,1
1556340999,4,2
1556342933,7,3
1556344955,6,9
1556346763,2,3
1556348693,5,6
1556350580,9,5
1556352500,1,3
1556354455,1,7
1556356345,4,3
1556358274,0,10
1556360092,9,11
1556361900,7,3
1556363787,9,4
1556365705,9,2
1556367659,7,7
1556369564,3,4
1556371470,8,4
1556373391,3,7
1556375322,4,7
1556377343,6,2
1556379179,7,4
1556381121,6,6
1556383015,9,4
1556384900,12,3
1556386860,2,5
1556388750,8,7
1556390673,1,8
1556392611,9,4
1556394537,5,9
1556396429,6,2
1556398340,3,10
1556400275,0,7
1556402194,1,3
1556404121,5,7
1556406128,2,13
1556407969,7,3
1556409882,10,11
1556411792,1,5
1556413711,2,7
1556415643,6,7
1556417555,1,5
1556419467,2,4
1556421386,3,10
1556423311,1,2
1556425247,2,7
1556427160,6,3
1556429070,5,9
1556431027,4,3
1556432940,6,6
1556434976,13,5
1556436999,9,9
1556438915,7,1
1556440840,6,1
1556442746,6,4
1556444678,5,0
1556446596,13,9
1556448527,4,7
1556450443,6,10
1556452360,2,9
1556454285,8,6
1556456210,9,3
1556458141,5,9
1556460168,0,2
1556461974,3,4
1556463918,4,8
1556465823,2,5
1556467731,6,6
1556469655,4,10
1556471545,4,11
1556473499,14,2
1556475419,6,8
1556477303,5,1
1556479251,5,9
1556481182,10,5
1556483064,6,6
1556485421,5,3
1556487385,6,0
1556489316,13,4
1556491224,10,3
1556493147,2,3
1556495085,12,8
1556497001,2,7
1556498912,6,1
1556500846,4,5
1556502762,5,3
1556504678,10,2
1556506577,3,4
1556508526,3,0
1556510515,10,1
1556512369,3,4
1556514285,4,6
1556516195,6,3
1556518114,4,4
1556520050,3,7
1556521943,2,14
1556523901,6,7
1556525814,6,8
1556527705,3,5
1556529634,6,8
1556531570,3,5
1556533461,3,12
1556535391,6,4
1556537303,4,4
1556539377,3,6
1556541637,5,9
1556543565,3,7
1556545465,0,2
1556547413,6,2
1556549308,2,3
1556551233,1,2
1556553165,6,5
1556555080,6,6
1556556993,1,5
1556558923,4,4
1556560975,4,11
1556562788,2,7
1556564706,2,7
1556566582,4,7
1556568512,5,8
1556570450,4,4
1556572597,1,4
1556574496,1,14
1556576444,1,9
1556578714,5,7
1556580518,2,9
1556582585,8,4
1556584614,5,6
1556586551,13,5
1556588474,7,4
1556590352,9,7
1556592301,5,7
1556594224,5,3
1556596112,4,6
1556598027,2,7
1556599960,4,3
1556601939,4,6
1556603787,10,6
1556605756,10,0
1556607751,7,5
1556609560,4,3
1556611568,5,6
1556613436,5,5
1556615631,5,5
1556617656,1,5
1556619687,4,3
1556621589,2,6
1556623497,0,4
1556625387,7,2
1556627309,0,5
1556629310,1,3
1556631178,6,1
1556633392,5,5
1556635264,4,2
1556637167,2,2
1556639087,5,6
1556641018,6,6
1556642902,6,1
1556644873,2,4
1556646767,4,4
1556648677,3,1
1556650615,2,3
1556652572,6,4
1556654505,2,3
1556656355,6,4
1556658292,1,3
1556660220,1,0
1556662160,2,1
1556664059,3,2
1556665942,2,5
1556668083,2,4
1556670023,2,9
1556671973,3,7
1556673873,4,12
1556675811,6,3
1556677740,3,9
1556679802,2,8
1556681824,2,2
1556683723,4,4
1556685654,3,2
1556687558,3,5
1556689494,4,7
1556691404,5,9
1556693323,1,11
1556695241,5,3
1556697143,3,6
1556699072,9,4
1556701000,6,7
1556702904,7,1
1556704964,1,4
1556706786,7,2
1556708706,6,1
1556710601,4,3
1556712523,8,4
1556714442,3,0
1556716359,4,2
1556718271,7,6
1556720202,2,4
1556722114,8,4
1556724058,8,2
1556725964,4,7
1556727881,3,5
1556729807,3,6
1556731705,7,2
1556733756,4,5
1556735566,1,1
1556737495,4,2
1556739395,1,6
1556741330,1,2
1556743194,2,6
1556745161,5,2
1556747080,1,1
1556750456,4,4
1556752354,8,2
1556754309,4,2
1556756196,2,2
1556758384,1,3
1556760272,7,4
1556762220,1,6
1556764113,3,3
1556766162,6,2
1556767975,5,1
1556769934,8,4
1556771807,0,4
1556773736,0,3
1556775627,1,3
1556777821,4,6
1556779714,3,1
1556781708,3,6
1556783592,8,2
1556785504,5,9
1556787430,1,6
1556789378,2,7
1556791388,4,2
1556793415,1,6
1556795303,4,6
