DateTime,AddedIPs,RemovedIPs
1555645511,0,1
1555651254,1,0
1555657030,2,0
1555658918,0,1
1555662984,0,3
1555664929,2,1
1555666849,1,1
1555672611,2,5
1555676461,0,2
1555684362,0,1
1555692047,2,1
1555693951,0,1
1555699735,1,0
1555703580,0,1
1555707397,1,0
1555711362,1,0
1555718940,0,1
1555722765,0,1
1555724689,1,0
1555728515,1,0
1555732347,1,0
1555738110,0,1
1555740155,1,0
1555741983,0,1
1555743908,2,1
1555751560,1,2
1555753480,1,0
1555759245,0,1
1555764991,3,0
1555771228,1,0
1555773158,2,0
1555775096,1,0
1555778916,0,2
1555780827,1,0
1555786609,0,1
1555792377,0,1
1555794332,1,2
1555798368,0,1
1555810373,0,1
1555814196,0,1
1555818026,0,1
1555821900,1,0
1555829554,0,1
1555831462,0,1
1555837359,0,1
1555839168,0,1
1555845168,1,0
1555850973,0,2
1555852869,2,1
1555856661,1,0
1555858581,1,0
1555860515,2,2
1555862556,0,1
1555864578,1,0
1555868440,1,1
1555878013,11,1
1555879960,0,1
1555881857,1,0
1555885724,1,1
1555897236,1,0
1555901082,1,0
1555902994,2,0
1555906854,0,1
1555908746,1,0
1555912614,1,0
1555916522,1,0
1555929873,2,1
1555939473,0,1
1555941398,1,0
1555947165,0,1
1555948983,0,1
1555950983,0,1
1555954838,0,1
1555956747,1,0
1555958675,3,0
1555962521,1,0
1555964449,1,1
1555968273,1,14
1555972126,3,1
1555974107,1,0
1555978371,2,0
1555984121,0,1
1555986047,1,1
1555989873,0,2
1555993713,0,1
1555995793,2,0
1555999717,0,1
1556005469,1,0
1556007414,1,0
1556011250,2,0
1556015177,1,2
1556016997,2,0
1556022973,1,0
1556024928,1,0
1556026841,1,1
1556028748,0,1
1556036607,1,0
1556044364,1,3
1556046289,1,1
1556048179,0,1
1556050348,0,1
1556052509,3,1
1556054426,0,2
1556056377,0,1
1556059365,3,4
1556061374,1,0
1556065464,0,2
1556067477,2,0
1556069307,1,0
1556078927,1,0
1556080814,0,1
1556082755,0,1
1556084682,0,1
1556090447,1,1
1556092342,1,0
1556096184,0,1
1556098123,6,0
1556100177,0,2
1556102216,1,0
1556104141,1,1
1556106027,1,0
1556108213,1,1
1556113982,1,2
1556115867,1,0
1556118148,1,0
1556121916,25,0
1556124056,24,1
1556125962,2,0
1556129806,1,0
1556131705,0,2
1556133657,1,0
1556137491,0,1
1556139400,0,2
1556141312,1,0
1556144462,2,2
1556146376,0,1
1556148272,0,1
1556154161,0,2
1556155979,0,2
1556161740,1,0
1556163633,1,1
1556165572,1,0
1556167503,2,0
1556169400,1,0
1556173271,1,0
1556177071,0,1
1556178986,0,1
1556180937,0,1
1556182923,0,1
1556184775,0,5
1556188604,1,0
1556190493,0,1
1556192415,0,1
1556200337,1,1
1556202259,2,1
1556204201,2,1
1556208065,0,22
1556209948,1,27
1556211758,0,1
1556215838,1,1
1556220047,2,0
1556221960,0,1
1556223881,1,0
1556231442,0,1
1556233363,0,1
1556237312,1,0
1556243065,1,1
1556246909,1,0
1556248853,1,1
1556250761,0,2
1556252929,3,0
1556254929,0,2
1556256750,2,1
1556260605,1,1
1556262505,0,1
1556270187,1,0
1556274054,0,1
1556276001,0,1
1556277866,1,0
1556287646,0,1
1556289633,0,2
1556291537,0,1
1556299232,1,0
1556301153,1,1
1556303056,2,1
1556304996,0,1
1556306906,3,1
1556310743,0,1
1556317776,1,0
1556321791,1,0
1556323714,0,1
1556329470,0,1
1556333324,0,1
1556335249,0,1
1556339065,1,3
1556342935,0,1
1556344958,0,1
1556346765,0,1
1556350581,1,0
1556356347,1,1
1556358276,1,0
1556375324,2,1
1556377345,1,0
1556379181,1,0
1556384902,0,1
1556386862,1,1
1556388752,0,1
1556392613,0,1
1556394540,0,1
1556398343,1,0
1556400277,1,0
1556402196,1,0
1556404122,0,1
1556409885,1,0
1556411794,0,1
1556429072,1,0
1556437000,1,1
