DateTime,AddedIPs,RemovedIPs
1556341002,15,14
1556342936,18,6
1556344958,13,9
1556346765,3,13
1556348742,9,17
1556350582,9,6
1556352518,10,12
1556354457,7,14
1556356347,6,21
1556358276,11,29
1556360095,11,22
1556361903,9,25
1556363790,7,24
1556365707,10,9
1556367661,17,17
1556369566,23,37
1556371473,15,15
1556373393,11,16
1556375324,8,31
1556377345,8,29
1556379181,7,31
1556381126,8,19
1556383017,9,22
1556384902,12,35
1556386862,8,40
1556388752,11,23
1556390675,8,12
1556392614,3,21
1556394541,11,27
1556396431,6,14
1556398343,11,31
1556400277,9,28
1556402197,10,18
1556404123,4,18
1556406132,12,23
1556407972,8,25
1556409886,16,35
1556411795,11,31
1556413714,10,20
1556415646,6,24
1556417557,5,19
1556419469,9,14
1556421388,15,12
1556423313,7,10
1556425249,9,15
1556427163,10,20
1556429072,18,18
1556431031,7,15
1556432942,3,9
1556434978,9,9
1556437001,12,10
1556438918,13,11
1556440842,18,8
1556442749,8,5
1556444680,15,11
1556446598,10,12
1556448530,8,8
1556450445,11,6
1556452362,11,12
1556454287,16,21
1556456212,10,17
1556458143,8,12
1556460170,19,11
1556461976,7,8
1556463921,4,10
1556465825,17,5
1556467749,9,8
1556469657,9,8
1556471547,9,14
1556473501,13,7
1556475422,11,12
1556477305,6,7
1556479253,12,5
1556481184,12,10
1556483066,10,6
1556485470,21,16
1556487388,14,8
1556489318,16,10
1556491226,16,4
1556493150,11,17
1556495087,10,10
1556497004,8,12
1556498915,12,7
1556500848,9,11
1556502764,12,4
1556504681,9,9
1556506580,6,9
1556508528,4,7
1556510545,9,10
1556512371,12,11
1556514288,16,8
1556516197,12,13
1556518115,3,6
1556520052,10,6
1556521946,9,8
1556523904,10,13
1556525817,11,20
1556527707,14,14
1556529636,18,14
1556531573,13,13
1556533464,6,9
1556535394,12,11
1556537306,7,15
1556539387,104,15
1556541639,300,11
1556543568,253,10
1556545467,269,17
1556547415,230,11
1556549311,301,5
1556551235,53,8
1556553167,46,12
1556555083,15,10
1556556996,17,13
1556558926,8,11
1556560978,46,11
1556562792,53,6
1556564709,40,9
1556566585,29,14
1556568514,48,10
1556570452,43,18
1556572599,69,19
1556574499,49,11
1556576447,23,17
1556578716,51,14
1556580521,16,10
1556582588,12,12
1556584617,50,9
1556586556,84,11
1556588476,40,13
1556590354,17,11
1556592318,19,5
1556594227,26,5
1556596114,20,5
1556598029,16,14
1556599962,19,18
1556601956,22,9
1556603789,66,9
1556605765,198,7
1556607753,179,9
1556609573,84,8
1556611570,15,11
1556613449,32,16
1556615633,109,17
1556617671,118,16
1556619690,121,6
1556621592,105,10
1556623499,121,7
1556625402,83,79
1556627322,43,224
1556629313,115,268
1556631180,14,259
1556633425,111,260
1556635266,93,273
1556637169,11,58
1556639089,14,47
1556641020,46,9
1556642905,43,20
1556644875,22,9
1556646770,11,21
1556648680,19,53
1556650618,39,40
1556652574,21,31
1556654509,31,45
1556656358,28,35
1556658295,18,61
1556660222,11,45
1556662189,11,26
1556664070,20,40
1556665945,10,31
1556668086,11,8
1556670026,10,33
1556671976,17,75
1556673876,28,39
1556675814,22,35
1556677743,24,11
1556679804,4,28
1556681828,13,23
1556683726,4,17
1556685656,7,18
1556687560,13,24
1556689497,7,21
1556691407,9,19
1556693341,5,7
1556695243,13,12
1556697145,3,23
1556699075,7,14
1556701003,10,81
1556702907,15,100
1556704967,17,124
1556706790,9,106
1556708709,13,115
1556710604,12,126
1556712525,6,175
1556714444,13,197
1556716361,14,215
1556718274,7,176
1556720205,6,113
1556722117,10,77
1556724061,9,14
1556725966,14,20
1556727889,13,74
1556729810,8,26
1556731707,14,20
1556733758,15,13
1556735569,11,24
1556737498,10,37
1556739398,6,19
1556741332,9,37
1556743197,3,37
1556745164,13,17
1556747083,6,11
1556750459,11,32
1556752356,3,10
1556754312,10,12
1556756198,9,11
1556758386,5,19
1556760274,6,32
1556762222,5,24
1556764116,5,23
1556766165,5,8
1556767977,8,12
1556769937,6,5
1556771809,11,6
1556773738,12,13
1556775629,7,9
1556777824,6,11
1556779716,10,8
1556781725,85,13
1556783605,135,5
1556785507,126,10
1556787432,157,12
1556789381,144,14
1556791391,102,20
1556793417,67,13
1556795305,11,13
1556797250,9,14
1556799165,8,13
1556801094,9,14
1556802991,12,17
1556805254,17,9
1556807068,9,8
1556809309,7,14
1556811169,6,7
1556813100,12,20
1556815000,12,12
1556816907,13,8
1556818820,9,16
1556820742,9,13
1556822694,11,13
1556824590,8,13
1556826519,12,5
1556828448,8,8
1556830340,8,4
1556832280,6,13
1556834211,3,10
1556836371,10,8
1556838304,8,4
1556840210,9,10
1556842138,8,6
1556844037,6,7
1556845943,3,4
1556847892,7,6
1556849794,6,7
1556851743,11,7
1556853623,8,6
1556855555,10,6
1556857473,10,8
1556859406,9,12
1556861301,11,8
1556863373,46,1
1556865173,116,10
1556867115,124,17
1556869014,118,125
1556870963,119,128
1556872855,128,149
1556874781,101,142
1556876744,121,156
1556878613,112,96
1556880516,113,4
1556882492,105,11
1556884625,130,8
1556886841,134,9
1556888682,105,14
1556890586,52,11
1556892781,16,13
1556894665,13,8
1556896611,8,4
1556898522,8,10
1556900423,14,10
1556902373,13,9
1556904266,5,13
1556906183,10,5
1556908136,8,13
1556910169,9,6
1556911978,7,10
1556913878,10,10
1556915781,8,7
1556917726,13,8
1556919647,11,6
1556921543,11,6
1556923507,8,12
1556925394,9,5
1556927305,11,11
1556929234,6,5
1556931163,11,5
1556933069,9,2
1556934990,9,3
1556936926,18,5
1556938962,7,10
1556940793,9,11
1556942705,8,8
1556944584,4,14
1556946538,6,6
1556948436,7,10
1556950355,6,78
1556952296,8,118
1556954199,11,120
1556956142,8,127
1556958055,8,115
1556959972,9,124
1556961879,15,104
1556963793,5,123
1556965994,13,115
1556967933,8,107
1556969793,4,111
1556971661,14,108
1556973626,10,127
1556975570,8,101
1556977489,12,32
1556979405,6,5
1556981314,6,14
1556983249,9,6
1556985181,10,10
1556987067,10,13
1556988997,10,12
1556990924,7,2
1556992940,11,10
1556994774,7,6
1556996692,10,8
1556998607,12,6
1557000532,9,9
1557002443,6,7
1557004366,10,12
1557006264,7,11
1557008225,9,11
1557010132,5,9
1557012024,7,9
1557013968,9,13
1557015865,10,4
1557017794,6,12
1557019748,8,9
1557021761,18,10
1557023573,13,14
1557025501,17,7
1557027394,5,11
1557029324,17,6
1557031240,11,5
1557033171,9,7
1557035065,13,5
1557037005,3,7
1557038912,8,8
1557040823,8,9
1557042763,11,8
1557044670,3,9
1557046579,6,8
1557048509,3,12
1557050546,5,4
1557052372,4,12
1557054280,12,8
1557056204,8,4
1557058139,5,13
1557060061,12,9
1557061955,18,8
1557063865,7,10
1557065806,9,7
1557067715,12,6
1557069661,12,8
1557071543,14,10
1557073473,10,9
1557075403,10,10
1557077308,9,7
1557079362,7,11
1557081180,7,6
1557083170,8,11
1557085026,10,12
1557086937,16,10
1557088862,7,7
1557090778,9,10
1557092700,5,9
1557094608,9,8
1557096553,8,5
1557098447,7,6
1557100345,7,7
1557102298,8,12
1557104200,11,5
1557106107,15,7
1557108177,13,20
1557109979,6,13
1557111908,7,17
1557114064,6,5
1557115948,7,17
1557117878,7,10
1557119812,9,13
1557121706,11,9
1557123662,9,3
1557125575,12,8
1557127476,5,10
1557129387,10,10
1557131326,9,4
1557134210,14,9
1557136116,10,5
1557138048,9,4
1557139942,15,8
1557141889,4,10
1557143780,8,7
1557145699,11,7
1557147712,11,21
1557149591,7,7
1557151760,9,11
1557153757,46,11
1557155582,14,9
1557157494,38,16
1557159415,41,10
1557161318,34,8
1557163232,14,8
1557165119,21,9
1557167085,11,6
1557169006,16,8
1557170931,38,13
1557172950,32,10
1557174780,16,10
1557176710,29,11
1557178588,25,5
1557180540,29,7
1557182463,37,4
1557184378,12,12
1557186654,27,8
1557188806,14,9
1557190976,14,10
1557193244,20,18
1557195200,19,8
1557197120,20,6
1557199013,23,4
1557200933,13,3
1557202860,17,9
1557204900,10,5
1557206913,6,10
1557209000,24,4
1557210974,117,14
1557212916,106,7
1557214817,115,2
1557216991,121,10
1557218895,116,9
1557220829,110,8
1557222762,105,10
1557224684,107,12
1557226576,118,12
1557228526,119,3
1557230486,116,9
1557232375,100,13
1557234277,106,6
1557236219,106,8
1557238358,117,13
1557240264,116,40
1557242178,79,11
1557244110,3,31
1557246012,11,37
1557247939,7,21
1557249862,9,19
1557251785,12,19
1557253693,10,10
1557255700,14,16
1557257549,28,42
1557259517,16,28
1557261384,38,15
1557263309,34,30
1557265213,34,30
1557267145,32,38
1557269053,18,42
1557270979,21,23
1557272904,25,30
1557274840,29,16
1557276745,15,13
1557278694,32,16
1557280582,34,18
1557282505,27,23
1557285407,28,36
1557287309,23,14
1557289221,34,19
1557291142,34,11
1557293093,27,8
1557294976,27,11
1557296896,18,102
1557298895,14,121
1557300761,29,100
1557302740,15,119
1557304613,50,113
1557306623,107,119
1557308433,98,103
1557310370,50,99
