DateTime,AddedIPs,RemovedIPs
1546280654,23,46
1546302760,18,54
1546324634,29,18
1546346662,45,284
1546368742,76,16
1546390610,1818,33
1546412685,2143,22
1546434747,32,35
1546456618,24,19
1546478469,32,29
1546500744,29,10797
1546522586,33,24
1546544657,993,23
1546566514,3787,16
1546588598,21,23
1546610504,20,17
1546632789,26,31
1546654838,27,24
1546676684,27,20
1546698766,77,901
1546720831,56,31
1546742931,75,16
1546764992,21,20
1546787087,37,145
1546809191,144,26
1546831035,26,30
1546853062,43,23
1546875169,38,22
1546897329,32,18
1546919322,42,24
1546941175,38,25
1546963301,33,59
1546985576,19,19
1547007617,49,29
1547029460,21,22
1547051345,26,33
1547073674,15289,20
1547095988,12,30
1547118108,13,28
1547140135,27,30
1547162205,28,27
1547184298,30,17
1547206621,28,16
1547228685,19,24
1547250763,21,30
1547272914,19,25
1547294799,21,45
1547316746,26,76
1547338638,26,77
1547360915,48,24
1547382987,69,23
1547404828,15,25
1547426683,35,231
1547449020,224,38
1547471119,21,31
1547493161,17,31
1547515019,16,77
1547537085,18,20
1547559156,29,36
1547581236,6094,19
1547603085,761,24
1547625142,1212,12
1547658550,30,40
1547680607,18,13468
1547702682,16,13
1547724745,7961,17
1547746875,24,22
1547768920,15,26
1547790999,20,353
1547813162,351,33
1547835175,31,20
1547857267,16,20
1547879311,24,15
1547901397,27,27
1547923456,16,29
1547945320,24,24
1547967397,19,38
1547989308,8,70
1548011587,28,13
1548033456,34,13
1548055729,16,18
1548077812,20,17
1548099861,15,28
1548121739,19,17
1548143771,22,23
1548165714,13,22
1548187962,24,8049
1548209815,32,20
1548231887,19,1681
1548253959,18,16
1548276059,20,19
1548298362,22,19
1548320484,19,8132
1548342797,79,15
1548364862,17,23
1548387154,244,64
1548409215,15,29
1548431090,13,27
1548453136,15,21
1548475309,23,23
1548497307,17,16
1548519185,97,20
1548541223,19,20
1548563586,24,16
1548585432,19,29
1548607565,79,21
1548629574,28,343
1548651820,16,4019
1548673747,14,57
1548695820,26,15
1548717891,17,17
1548740215,20,23
1548762255,14,25
1548784344,21,52
1548806250,24,28
1548828104,19,24
1548850365,24,28
1548872453,16,28
1548894506,10,71
1548916588,10,20
1548938453,13,23
1548960495,27,71
1548982342,74,13
1549004497,47,82
1549026524,23,245
1549048606,14,9
1549070652,12,21
1549092741,18,19
1549114594,15,19
1549136440,41,333
1549158522,103,8
1549180591,16,25
1549202489,338,103
1549224514,26,236
1549246365,25,3274
1549268415,20,1636
1549290284,23,27
1549312377,39,14
1549334449,29,16
1549356507,12,27
1549378966,85,19
1549401093,1348,25
1549422994,15,27
1549445061,16,23
1549466912,26,23
1549488757,59,26
1549510834,36,11
1549532713,118,15
1549554739,15,17
1549576599,41,30
1549598500,71,33
1549620514,31,35
1549642575,29,84
1549664435,24,15
1549686279,41,17
1549708343,22,20
1549730437,18,16
