DateTime,Entries,UniqueIPs
1556341006,4808,4808
1556342939,4806,4806
1556344961,4825,4825
1556346770,4836,4836
1556348745,4839,4839
1556350585,4850,4850
1556352521,4833,4833
1556354462,4829,4829
1556356350,4842,4842
1556358280,4824,4824
1556360098,4830,4830
1556361907,4844,4844
1556363793,4840,4840
1556365718,4844,4844
1556367664,4833,4833
1556369569,4825,4825
1556371477,4812,4812
1556373396,4804,4804
1556375327,4816,4816
1556377349,4798,4798
1556379184,4815,4815
1556381130,4809,4809
1556383020,4813,4813
1556384905,4810,4810
1556386865,4807,4807
1556388755,4798,4798
1556390678,4803,4803
1556392617,4796,4796
1556394544,4814,4814
1556396436,4817,4817
1556398347,4795,4795
1556400280,4795,4795
1556402201,4785,4785
1556404126,4787,4787
1556406136,4786,4786
1556407975,4806,4806
1556409923,4787,4787
1556411798,4786,4786
1556413718,4768,4768
1556415649,4755,4755
1556417560,4747,4747
1556419472,4741,4741
1556421391,4749,4749
1556423316,4736,4736
1556425252,4750,4750
1556427165,4770,4770
1556429076,4780,4780
1556431035,4805,4805
1556432945,4803,4803
1556434983,4794,4794
1556437004,4789,4789
1556438921,4789,4789
1556440857,4779,4779
1556442768,4772,4772
1556444683,4767,4767
1556446601,4775,4775
1556448533,4787,4787
1556450448,4757,4757
1556452365,4769,4769
1556454290,4752,4752
1556456216,4763,4763
1556458152,4755,4755
1556460173,4738,4738
1556461980,4742,4742
1556463924,4769,4769
1556465829,4741,4741
1556467752,4750,4750
1556469661,4723,4723
1556471551,4696,4696
1556473504,4674,4674
1556475425,4643,4643
1556477308,4624,4624
1556479257,5001,5001
1556481187,5479,5479
1556483084,5455,5455
1556485475,5347,5347
1556487392,5313,5313
1556489321,5265,5265
1556491230,5222,5222
1556493153,5174,5174
1556495090,5124,5124
1556497008,5077,5077
1556498918,5032,5032
1556500852,4990,4990
1556502767,4953,4953
1556504684,4888,4888
1556506583,4821,4821
1556508532,4780,4780
1556510560,4719,4719
1556512383,4630,4630
1556514328,4573,4573
1556516201,4508,4508
1556518119,4410,4410
1556520055,4327,4327
1556521949,4251,4251
1556523909,4213,4213
1556525820,4128,4128
1556527711,4053,4053
1556529640,3954,3954
1556531584,3857,3857
1556533467,3751,3751
1556535400,3656,3656
1556537309,3562,3562
1556539391,3426,3426
1556541653,3306,3306
1556543571,3146,3146
1556545470,3066,3066
1556547427,3081,3081
1556549315,3029,3029
1556551246,3033,3033
1556553171,3005,3005
1556555086,3004,3004
1556557001,3005,3005
1556558929,3016,3016
1556560982,3020,3020
1556562795,3036,3036
1556564722,3058,3058
1556566588,2146,2146
1556568525,2127,2127
1556570463,2108,2108
1556572603,2096,2096
1556574502,2117,2117
1556576459,2117,2117
1556578742,2108,2108
1556580744,2106,2106
1556582592,2114,2114
1556584633,2110,2110
1556586559,2092,2092
1556588479,2095,2095
1556590357,2104,2104
1556592331,2093,2093
1556594230,2078,2078
1556596117,2072,2072
1556598032,2065,2065
1556599965,2061,2061
1556601973,2056,2056
1556603792,2047,2047
1556605782,2053,2053
1556607756,2055,2055
1556609576,2052,2052
1556611574,2009,2009
1556613469,1995,1995
1556615644,2002,2002
1556617674,2010,2010
1556619703,2332,2332
1556621604,3194,3194
1556623503,3902,3902
1556625405,4271,4271
1556627325,4805,4805
1556629317,5372,5372
1556631183,5864,5864
1556633441,6306,6306
1556635270,6625,6625
1556637172,7294,7294
1556639100,7992,7992
1556641025,8551,8551
1556642908,9156,9156
1556644892,9758,9758
1556646774,10435,10435
1556648684,10955,10955
1556650621,11552,11552
1556652579,12271,12271
1556654536,12452,12452
1556656361,12452,12452
1556658299,12447,12447
1556660226,12442,12442
1556662221,12436,12436
1556664075,12437,12437
1556665949,12441,12441
1556668090,12443,12443
1556670052,12425,12425
1556671979,12417,12417
1556673879,12432,12432
1556675818,12431,12431
1556677752,12428,12428
1556679822,12437,12437
1556681832,13028,13028
1556683729,14378,14378
1556685660,14386,14386
1556687564,15518,15518
1556689501,16964,16964
1556691412,17560,17560
1556693345,17566,17566
1556695247,17563,17563
1556697149,17567,17567
1556699079,17569,17569
1556701006,17572,17572
1556702911,17583,17583
1556704970,17582,17582
1556706799,17189,17189
1556708713,16829,16829
1556710609,16637,16637
1556712529,16636,16636
1556714448,16631,16631
1556716364,16629,16629
1556718278,16619,16619
1556720209,16617,16617
1556722120,16688,16688
1556724065,16690,16690
1556725970,16679,16679
1556727894,16676,16676
1556729814,16669,16669
1556731711,16688,16688
1556733762,16760,16760
1556735573,16880,16880
1556737501,17325,17325
1556739402,17632,17632
1556741335,17873,17873
1556743202,18096,18096
1556745167,18257,18257
1556747086,18366,18366
1556750464,18468,18468
1556752361,18106,18106
1556754317,17545,17545
1556756202,16996,16996
1556758390,16325,16325
1556760278,15281,15281
1556762226,14403,14403
1556764119,13811,13811
1556766168,12489,12489
1556767981,11237,11237
1556769940,9856,9856
1556771812,8761,8761
1556773757,7607,7607
1556775632,6246,6246
1556777827,5501,5501
1556779719,5519,5519
1556781786,5542,5542
1556783621,5557,5557
1556785511,5585,5585
1556787436,5625,5625
1556789392,5637,5637
1556791431,5649,5649
1556793421,5653,5653
1556795308,5661,5661
1556797253,5675,5675
1556799168,5677,5677
1556801097,5689,5689
1556802994,5709,5709
1556805268,5726,5726
1556807071,5641,5641
1556809319,5657,5657
1556811175,5669,5669
1556813104,5689,5689
1556815003,5691,5691
1556816911,5699,5699
1556818823,5659,5659
1556820745,5616,5616
1556822697,5483,5483
1556824593,5237,5237
1556826522,5001,5001
1556828452,4806,4806
1556830343,4591,4591
1556832283,4383,4383
1556834214,4194,4194
1556836373,4036,4036
1556838306,3900,3900
1556840213,3799,3799
1556842168,3706,3706
1556844040,3620,3620
1556845945,3506,3506
1556847895,3417,3417
1556849797,3316,3316
1556851754,3223,3223
1556853625,3149,3149
1556855560,3063,3063
1556857476,3020,3020
1556859409,2947,2947
1556861304,2875,2875
1556863377,2826,2826
1556865404,2772,2772
1556867315,2716,2716
1556869254,2671,2671
1556871154,2637,2637
1556873094,2586,2586
1556875006,2552,2552
1556876921,2508,2508
1556878884,2483,2483
1556880795,2466,2466
1556882692,2447,2447
1556884629,2441,2441
1556886844,2413,2413
1556888686,2399,2399
1556890589,2380,2380
1556892784,2358,2358
1556894668,2332,2332
1556896614,2298,2298
1556898525,2265,2265
1556900426,2218,2218
1556902376,2198,2198
1556904270,2219,2219
1556906186,2225,2225
1556908140,2447,2447
1556910173,2518,2518
1556911981,2548,2548
1556913882,2544,2544
1556915785,2549,2549
1556917729,2546,2546
1556919650,2544,2544
1556921546,2518,2518
1556923511,2502,2502
1556925397,2500,2500
1556927311,2540,2540
1556929238,2587,2587
1556931166,2625,2625
1556933073,2648,2648
1556934994,2662,2662
1556936929,2657,2657
1556938966,2636,2636
1556940796,2622,2622
1556942709,2620,2620
1556944588,2623,2623
1556946541,2625,2625
1556948440,2635,2635
1556950358,2634,2634
1556952299,2633,2633
1556954201,2649,2649
1556956145,2640,2640
1556958058,2641,2641
1556959975,2639,2639
1556961882,2633,2633
1556963796,2655,2655
1556965997,2647,2647
