DateTime,AddedIPs,RemovedIPs
1555697849,0,1
1555699740,1,0
1555701646,2,1
1555703585,1,2
1555709345,1,0
1555713386,1,0
1555717457,4,0
1555719400,0,1
1555721312,2,0
1555723263,1,3
1555725144,3,0
1555727082,1,0
1555728994,0,2
1555734046,0,1
1555737856,1,1
1555739799,1,2
1555741704,1,0
1555743703,1,0
1555745546,1,0
1555749374,0,1
1555751304,0,1
1555757083,0,1
1555761158,1,2
1555764996,0,1
1555767179,1,1
1555769339,1,0
1555773164,1,3
1555775104,0,1
1555777017,0,2
1555778921,0,1
1555780833,0,1
1555784737,1,0
1555786623,0,2
1555788514,0,2
1555790564,1,0
1555792382,1,0
1555794338,0,1
1555796212,1,0
1555798373,0,1
1555800845,2,0
1555802697,1,2
1555804595,0,2
1555808577,2,3
1555810378,0,1
1555812328,0,2
1555814202,2,1
1555821906,2,0
1555823787,0,1
1555825709,0,1
1555827673,0,1
1555829574,0,1
1555833414,0,1
1555835317,1,0
1555837365,1,0
1555839173,1,0
1555842989,1,0
1555847073,1,1
1555852876,2,0
1555854796,0,2
1555856666,1,0
1555858587,1,0
1555860536,0,1
1555862562,2,0
1555872259,1,1
1555876117,0,1
1555879965,0,1
1555881862,0,1
1555885729,0,1
1555887705,1,1
1555889551,0,1
1555891374,3,0
1555893401,1,0
1555895315,0,2
1555899163,1,1
1555901088,0,1
1555902999,1,0
1555906861,1,0
1555908752,0,2
1555912643,1,0
1555914525,1,0
1555916535,1,0
1555920294,1,0
1555922203,0,2
1555926046,1,1
1555927949,1,0
1555929879,1,1
1555931826,0,1
1555935693,2,0
1555939479,0,2
1555941403,1,0
1555943350,0,2
1555945342,1,0
1555947183,2,1
1555948992,2,1
1555950997,1,0
1555954852,1,0
1555956752,4,0
1555958682,2,1
1555960590,1,0
1555962527,1,0
1555970198,1,0
1555972132,2,0
1555974128,1,1
1555978376,1,4
1555980302,1,0
1555982225,1,0
1555984127,1,1
1555986053,1,0
1555987956,3,0
1555989878,0,1
1555993730,1,1
1555995804,3,0
1555997795,1,1
1555999722,1,0
1556001642,0,1
1556003542,1,1
1556007418,2,1
1556011255,1,0
1556013162,1,1
1556015182,1,2
1556017019,1,0
1556018925,1,0
1556020990,0,1
1556022996,1,1
1556024936,1,0
1556026845,0,1
1556030661,1,1
1556032617,3,0
1556034505,1,4
1556036612,0,1
1556038584,1,0
1556040510,1,1
1556042535,1,1
1556044369,1,4
1556046295,0,2
1556050352,0,1
1556054431,1,0
1556056382,1,1
1556059370,0,3
1556065469,0,2
1556069312,1,1
1556071380,0,1
1556073188,1,3
1556075098,2,1
1556076995,1,0
1556078937,0,1
1556080819,1,1
1556082761,1,2
1556084687,2,2
1556090453,0,1
1556094277,1,2
1556098127,0,1
1556100182,0,2
1556104150,0,2
1556108217,0,1
1556110110,0,1
1556112038,1,0
1556115872,0,1
1556118155,2,1
1556119989,0,2
1556121921,1,1
1556125967,1,2
1556129811,1,1
1556131710,2,1
1556133661,1,0
1556139405,1,0
1556141317,0,1
1556144467,0,1
1556146381,1,0
1556155984,0,1
1556159793,0,2
1556161745,1,1
1556163638,0,1
1556167509,1,1
1556169405,2,2
1556171331,2,1
1556180942,1,1
1556182965,2,0
1556186705,1,0
1556190507,1,0
1556194379,1,0
1556196510,1,0
1556198441,0,1
1556202264,2,0
1556204206,0,2
1556208074,0,1
1556213700,0,1
1556215843,0,1
1556217999,1,1
1556220052,0,2
1556223886,1,0
1556226142,1,1
1556228186,1,0
1556233371,0,1
1556237325,1,0
1556248858,0,1
1556250766,1,0
1556254959,0,3
1556257244,0,2
1556259134,1,0
1556266850,0,1
1556268734,0,1
1556270666,1,1
1556272747,0,1
1556276699,0,1
1556280496,1,1
1556282421,0,1
1556288186,0,1
1556290115,0,1
1556295851,1,0
1556303566,0,1
1556309294,1,1
1556311245,0,1
1556315298,0,1
1556319797,1,0
1556323719,1,1
1556327553,3,0
1556329476,1,0
1556337158,1,1
1556339070,1,0
1556346772,2,1
1556354463,2,0
1556356352,1,0
1556358281,0,1
1556360099,1,0
1556365720,1,0
1556367666,1,1
1556379186,1,0
1556383022,1,1
1556384906,1,0
1556390679,1,0
1556392618,1,0
1556394545,2,0
1556396437,1,1
1556400282,1,0
1556404127,1,0
1556406138,1,1
1556409933,0,1
1556413719,0,1
1556415650,0,3
1556417561,1,0
1556423317,0,1
1556425253,0,1
1556427167,2,0
1556429077,1,0
1556432947,1,2
1556440858,0,2
1556442769,0,1
1556446602,0,1
1556450449,1,1
1556454291,0,1
1556460174,1,0
1556463926,2,0
1556465830,0,1
1556469663,2,1
1556471552,0,1
1556477310,1,1
1556479264,0,1
1556481189,0,2
1556483085,1,1
1556485477,0,1
1556489323,1,0
1556491237,0,1
1556493154,0,1
1556498920,1,0
1556504685,0,1
1556510562,1,0
1556512385,1,0
1556514329,0,2
1556516202,0,1
1556520057,0,1
1556525822,1,0
1556537310,1,1
1556545471,0,1
1556549317,0,1
1556551248,0,1
1556553172,1,0
1556555087,0,1
1556557003,0,1
1556562797,0,1
1556566590,1,0
1556570464,0,1
1556574503,1,0
1556576461,0,1
1556578744,2,0
1556584634,1,1
1556596119,0,1
1556598034,1,1
1556611575,0,1
1556619715,2,0
1556623514,2,1
1556625407,2,0
1556629319,2,0
1556635461,1,0
1556639570,0,1
1556641460,1,0
1556643391,1,0
1556645320,1,0
1556652020,0,1
1556661803,0,1
1556663773,1,2
1556665694,1,0
1556668091,1,0
1556670053,0,1
1556673881,1,0
1556685661,0,1
1556697150,1,0
