DateTime,Entries,UniqueIPs
1547827290,15,15
1547831149,14,14
1547839230,13,13
1547841140,12,12
1547843096,11,11
1547847148,10,10
1547849072,9,9
1547850991,7,7
1547853189,4,4
1547884847,3,3
1547892777,2,2
1547898502,1,1
1547901398,1,1
1547958772,2,2
1547964768,3,3
1547983964,4,4
1547987784,3,3
1548003384,4,4
1548025521,5,5
1548044949,4,4
1548046954,5,5
1548050774,4,4
1548070622,3,3
1548090339,2,2
1548098220,3,3
1548111965,2,2
1548125787,3,3
1548133530,2,2
1548141179,3,3
1548151010,4,4
1548154937,5,5
1548183908,4,4
1548195633,5,5
1548211738,4,4
1548217475,5,5
1548227569,4,4
1548237335,3,3
1548239687,2,2
1548281566,1,1
1548301308,2,2
1548307513,1,1
1548334955,2,2
1548337009,3,3
1548355236,4,4
1548386702,4,4
1548390801,5,5
1548421976,3,3
1548439995,2,2
1548451961,3,3
1548453941,4,4
1548467574,5,5
1548473355,4,4
1548477161,3,3
1548516066,4,4
1548537637,3,3
1548541489,2,2
1548553032,1,1
1548601744,0,0
1548623792,1,1
1548647799,2,2
1548649648,4,4
1548655500,5,5
1548665135,6,6
1548669184,7,7
1548671088,8,8
1548679250,9,9
1548710208,8,8
1548714080,9,9
1548716234,10,10
1548726274,11,11
1548735890,8,8
1548741733,8,8
1548751495,7,7
1548755337,6,6
1548757257,5,5
1548764918,4,4
1548800917,3,3
1548802971,2,2
1548809576,3,3
1548811477,2,2
1548821366,3,3
1548829248,2,2
1548845075,3,3
1548877020,81,81
1548897193,80,80
1548909172,79,79
1548930780,78,78
1548936531,79,79
1548967733,80,80
1548985476,81,81
1548987691,82,82
1549024630,81,81
1549028446,3,3
1549055559,2,2
1549071396,1,1
1549073576,0,0
1549196696,1,1
1549202934,2,2
1549244000,3,3
1549284776,2,2
1549288906,1,1
1549328197,0,0
1549352676,1,1
1549437896,0,0
1549500269,1,1
1549546380,2,2
1549552157,3,3
1549587161,2,2
1549604941,3,3
1549616720,4,4
1549639995,3,3
1549649563,2,2
1549661081,3,3
1549691794,2,2
1549703347,1,1
1549705268,2,2
1549747713,1,1
1549756127,2,2
1549771741,3,3
1549775554,4,4
1549783258,5,5
1549790935,4,4
1549829561,5,5
1549843000,4,4
1549856687,5,5
1549858864,4,4
1549860777,5,5
1549862709,4,4
1549870596,3,3
1549915752,2,2
1549942862,1,1
1549946702,0,0
1550022260,1,1
1550040512,2,2
1550056399,3,3
1550081311,4,4
1550110140,3,3
1550125718,4,4
1550127745,3,3
1550143012,2,2
1550152623,3,3
1550166308,2,2
1550189801,3,3
1550214765,4,4
1550226269,3,3
1550239716,2,2
1550272853,397,397
1550274762,1537,1537
1550276697,3147,3147
1550278585,3677,3677
1550299715,3678,3678
1550352281,3679,3679
1550358357,3674,3674
1550360465,2638,2638
1550362388,1267,1267
1550364312,3,3
1550366218,2,2
1550416138,1,1
1550437489,0,0
1550447567,1,1
1550466522,3,3
1550533985,2,2
1550551477,0,0
1550623971,1,1
1550628086,2,2
1550641480,3,3
1550651056,4,4
1550670262,5,5
1550689957,6,6
1550711587,5,5
1550715392,4,4
1550727158,3,3
1550738681,2,2
1550756669,1,1
1550774186,0,0
1550785937,1,1
1550794380,3,3
1550798197,113,113
1550800119,1041,1041
1550802052,2428,2428
1550803972,3688,3688
1550845050,3689,3689
1550870415,3690,3690
1550872375,3691,3691
1550882179,3692,3692
1550886259,2822,2822
1550888197,1547,1547
1550890106,4,4
1550931177,3,3
1550956582,2,2
1550958511,1,1
1550966183,0,0
1550975066,1,1
1550982754,2,2
1551007980,3,3
1551062675,2,2
1551068697,1,1
1551092582,0,0
1551098927,1,1
1551121164,3,3
1551134933,4,4
1551136866,5,5
1551168148,6,6
1551185804,5,5
1551189764,6,6
1551208871,4,4
1551219235,5,5
1551222236,4,4
1551224175,3,3
1551252993,2,2
1551274591,1,1
1551284455,2,2
1551298429,80,80
1551306073,79,79
1551318023,705,705
1551319975,1794,1794
1551321889,3533,3533
1551323782,3758,3758
1551333408,3759,3759
1551385739,3700,3700
1551403466,3524,3524
1551405408,2491,2491
1551407348,1135,1135
1551409320,1,1
1551418604,0,0
1551426277,1,1
1551442391,2,2
1551493747,3,3
1551503808,4,4
1551513404,3,3
1551529267,2,2
1551555328,3,3
1551580836,2,2
1551592593,1,1
1551612035,2,2
1551623806,3,3
1551641319,2,2
1551697729,1,1
1551705507,0,0
1551738531,1,1
1551740726,2,2
1551817705,3,3
1551825375,2,2
