DateTime,AddedIPs,RemovedIPs
1556943633,5,1
1556944351,6,1
1556945073,5,5
1556945785,2,6
1556946524,3,6
1556947225,5,3
1556947961,4,5
1556948671,3,2
1556949390,5,2
1556950107,4,4
1556950832,6,3
1556951556,5,9
1556952275,6,3
1556952989,7,3
1556953713,3,5
1556954674,6,10
1556955390,1,4
1556956119,4,5
1556956839,11,4
1556957533,1,2
1556958265,4,2
1556958971,8,6
1556959693,5,0
1556960425,2,7
1556961138,7,6
1556961856,4,11
1556962568,8,0
1556963297,6,6
1556964030,4,5
1556964733,2,2
1556965466,4,6
1556966432,7,16
1556967146,2,3
1556967879,7,7
1556968593,8,4
1556969307,5,0
1556970030,4,9
1556970756,1,5
1556971633,8,9
1556972422,7,3
1556973134,7,0
1556973858,1,4
1556974573,2,14
1556975293,6,1
1556976006,3,11
1556976748,8,6
1556977452,10,6
1556978167,7,5
1556978912,8,5
1556979625,7,7
1556980355,6,5
1556981071,8,4
1556981797,2,7
1556982489,0,2
1556983211,7,1
1556983934,6,8
1556984655,3,10
1556985367,7,7
1556986097,6,5
1556986811,7,7
1556987549,4,5
1556988253,5,7
1556988973,6,3
1556989943,6,3
1556990650,4,4
1556991375,7,6
1556992094,3,8
1556992843,5,3
1556993533,2,6
1556994252,3,8
1556994970,4,5
1556995699,6,6
1556996421,3,2
1556997138,6,8
1556997849,6,11
1556998576,4,3
1556999290,3,3
1557000025,5,6
1557000732,9,8
1557001455,0,9
1557002170,9,4
1557003160,6,11
1557003872,2,6
1557004594,6,5
1557005316,6,12
1557006029,4,6
1557006767,3,6
1557007473,3,7
1557008192,14,20
1557008915,7,0
1557009626,4,0
1557010357,2,8
1557011078,2,10
1557011793,3,13
1557012505,6,8
1557013232,6,9
1557013947,7,5
1557015610,4,10
1557016337,3,10
1557017053,9,0
1557017772,6,13
1557018495,2,6
1557019206,7,0
1557020181,13,22
1557020899,6,10
1557021629,8,7
1557022333,10,10
1557023052,7,3
1557023768,4,8
1557024499,8,6
1557025225,7,7
1557025937,6,5
1557026650,9,3
1557027374,1,8
1557028104,4,5
1557028828,7,6
1557029534,3,3
1557030253,4,4
1557030979,4,3
1557031697,5,3
1557032419,3,2
1557033137,1,5
1557033853,2,5
1557034570,4,1
1557035291,3,1
1557036029,2,6
1557036732,3,4
1557037453,1,4
1557038180,5,1
1557038895,5,8
1557039633,2,6
1557040331,5,6
1557041052,2,0
1557041769,5,3
1557042496,5,7
1557043218,7,3
1557043937,1,11
1557044651,6,0
1557045376,7,10
1557046091,2,0
1557046823,5,6
1557047531,6,4
1557048250,7,4
1557048978,7,4
1557049701,3,1
1557050445,3,4
1557051385,5,4
1557052088,2,4
1557052811,3,0
1557053531,4,2
1557054258,5,6
1557055226,6,12
1557055934,4,5
1557056651,9,9
1557057367,1,4
1557058107,2,5
1557058961,13,3
1557059772,6,8
1557060493,2,5
1557061235,2,4
1557061933,3,9
1557062653,1,6
1557063372,4,5
1557064099,8,5
1557064820,6,9
1557065537,4,4
1557066259,9,4
1557066974,8,4
1557067696,5,2
1557068413,6,1
1557069136,8,4
1557069854,6,2
1557070570,4,3
1557071290,5,6
1557072021,5,8
1557072736,4,6
1557073454,8,6
1557074168,4,5
1557074899,1,6
1557075613,9,13
1557076335,4,0
1557077048,3,3
1557077772,4,4
1557078493,7,6
1557079225,8,6
1557079932,3,9
1557080655,7,13
1557081367,3,0
1557082104,7,8
1557082819,4,0
1557083557,2,8
1557084271,6,3
1557084991,3,2
1557085712,4,1
1557086440,6,3
1557087382,7,5
1557088090,8,6
1557088833,9,2
1557089528,5,0
1557090261,3,6
1557091216,4,13
1557091938,3,7
1557092656,7,7
1557093371,3,2
1557094098,4,10
1557094813,4,7
1557095549,1,7
1557096250,8,3
1557096972,7,3
1557097694,4,4
1557098419,9,5
1557099133,6,10
1557099852,5,4
1557100568,5,10
1557101299,2,0
1557102006,3,0
1557102736,3,7
1557103451,6,3
1557104171,12,12
1557104909,10,9
1557105633,7,15
1557106354,6,0
1557107074,8,10
1557107792,6,6
1557108517,13,4
1557109228,9,8
1557109959,0,7
1557110667,6,6
1557111388,7,8
1557112105,2,10
1557112837,12,8
1557113532,9,7
1557114251,3,7
1557114974,4,6
1557115687,11,6
1557116412,11,6
1557117136,0,2
1557117856,1,1
1557118567,0,2
1557119294,0,1
1557120010,6,4
1557120739,4,4
1557121450,2,3
1557122169,4,2
1557122891,3,3
1557123634,5,1
1557124334,7,1
1557125053,5,2
1557125772,7,4
1557126491,0,3
1557127209,5,5
1557127937,5,1
1557128662,4,2
1557129369,10,4
1557130094,8,6
1557130815,6,3
1557131547,5,4
1557132258,4,2
1557132970,4,2
1557133941,6,6
1557134650,3,5
1557135373,3,0
1557136090,10,3
1557136833,4,1
1557137531,1,6
1557138259,6,2
1557138969,2,4
1557139695,4,9
1557140670,6,11
1557141371,5,0
1557142098,9,3
1557142813,3,4
1557143533,2,4
1557144529,6,7
1557145250,10,0
1557145959,6,8
1557146671,3,6
1557147395,7,3
1557148109,1,4
1557148835,2,2
1557149561,4,6
1557150252,4,7
1557151222,6,18
1557151937,1,6
1557152667,9,5
1557153370,4,0
1557154120,7,13
1557155082,7,2
1557155793,2,4
1557156516,11,5
1557157207,4,7
1557157933,5,2
1557158653,5,2
1557159393,5,8
1557160086,7,6
1557160843,4,9
1557161550,6,3
1557162281,5,4
1557162974,5,4
1557163693,3,8
1557164410,4,7
1557165379,10,4
1557166115,2,8
1557166833,10,8
1557167564,7,2
1557168248,6,5
1557168969,6,3
1557169688,4,5
1557170410,11,4
1557171136,5,7
1557171865,4,7
1557172569,6,4
1557173319,6,6
1557174032,5,12
1557174762,7,7
1557175452,5,2
1557176169,9,1
1557177375,6,11
1557178116,5,2
1557178839,5,8
1557179533,7,6
1557180256,8,6
1557181000,1,3
1557181686,5,6
1557182437,4,5
1557183133,6,5
1557183880,2,3
1557184575,6,4
1557185291,5,5
1557186118,3,11
1557186972,7,13
1557187799,8,3
1557188786,5,5
1557189501,7,6
1557190406,8,14
1557191080,3,9
1557192464,17,14
1557193186,8,11
1557194243,10,16
1557195167,15,14
1557196365,11,14
1557197078,6,8
1557197767,9,0
1557198517,3,10
1557199207,6,0
1557199962,8,9
1557200651,6,8
1557201396,7,9
1557202092,7,5
1557202812,2,0
