DateTime,AddedIPs,RemovedIPs
1556216914,3,0
1556217770,2,2
1556219149,1,3
1556221349,7,4
1556222673,4,1
1556224262,7,1
1556225429,3,5
1556226871,0,1
1556228456,2,2
1556231668,3,5
1556234927,0,1
1556235756,1,4
1556238534,0,2
1556239832,1,3
1556241271,3,2
1556242120,0,1
1556243807,0,1
1556246019,0,2
1556247345,1,1
1556248501,1,0
1556250063,0,1
1556251783,2,0
1556253148,2,0
1556255675,0,1
1556257383,1,1
1556258584,1,0
1556260129,1,0
1556263731,2,0
1556265356,0,2
1556266493,1,0
1556267641,1,1
1556269549,1,0
1556274349,1,0
1556276205,1,0
1556280624,1,0
1556287844,1,0
1556289070,0,1
1556293554,0,9
1556295276,8,1
1556296969,0,1
1556298357,1,1
1556300558,1,0
1556302488,0,1
1556304999,1,1
1556306141,0,1
1556307751,3,1
1556308960,1,0
1556310121,0,1
1556312190,0,1
1556313284,0,2
1556317716,1,0
1556319452,4,4
1556320795,0,2
1556322052,3,1
1556324078,3,0
1556326609,1,0
1556328536,2,1
1556329379,0,1
1556331026,1,0
1556332854,1,0
1556334875,2,2
1556336586,1,0
1556338254,0,1
1556339517,1,1
1556343753,0,1
1556344595,1,0
1556345750,0,1
1556346527,1,0
1556347769,0,1
1556349269,2,0
1556350965,0,2
1556352890,1,0
1556355391,2,2
1556361760,0,2
1556366211,0,1
1556367289,1,0
1556368425,1,0
1556370082,1,0
1556374241,1,0
1556375474,0,1
1556380794,1,7
1556382517,0,1
1556383670,1,1
1556388799,1,0
1556390132,1,1
1556391406,1,1
1556392469,1,1
1556394151,0,2
1556399149,0,1
1556401681,0,1
1556403296,1,1
1556404960,2,1
1556406955,0,2
1556408557,2,0
1556409719,2,4
1556410856,1,0
1556412050,2,0
1556413537,2,0
1556414932,0,1
1556416555,1,0
1556417691,0,1
1556419360,0,1
1556423145,1,2
1556424638,1,0
1556429319,2,0
1556432089,2,0
1556434209,1,2
1556438201,1,0
1556439339,1,2
1556440968,0,1
1556446059,0,2
1556450146,0,1
1556454042,1,0
1556455246,1,0
1556459730,1,0
1556460879,2,0
1556463401,1,1
1556465740,0,11
1556468083,1,1
1556469390,1,1
1556470532,1,0
1556471742,1,1
1556473358,1,0
1556474600,2,1
1556475287,1,0
1556476116,1,1
1556478896,2,0
1556481855,1,0
1556484157,1,0
1556486872,1,1
1556487779,1,1
1556489691,2,3
1556491236,0,2
1556492193,0,2
1556493273,12,1
1556494856,11,1
1556495807,2,0
1556496876,1,1
1556498939,14,1
1556500544,2,0
1556501327,3,0
1556502739,1,0
1556504087,4,1
1556505778,1,1
1556507218,3,0
1556507757,1,0
1556509598,1,1
1556511287,0,1
1556512965,2,1
1556515901,1,1
1556518557,0,1
1556519759,1,1
1556520925,1,0
1556522148,1,0
1556523777,3,1
1556526537,1,2
1556528756,1,0
1556530529,0,1
1556535411,0,2
