DateTime,AddedIPs,RemovedIPs
1556604877,49,45
1556605997,39,76
1556607387,75,20
1556608535,34,31
1556610040,53,63
1556611169,34,67
1556612070,41,6
1556613643,56,76
1556614595,34,16
1556615734,61,48
1556616924,42,53
1556618040,46,15
1556619335,49,47
1556620951,69,51
1556621783,42,1
1556622937,61,60
1556623704,37,0
1556624552,32,78
1556625390,34,0
1556626462,37,80
1556629294,114,110
1556630422,51,5
1556631641,61,54
1556632803,42,83
1556633671,42,8
1556634931,65,74
1556636734,65,60
1556637938,57,2
1556639131,51,80
1556640635,51,55
1556641845,41,54
1556643323,76,4
1556644544,46,57
1556645303,34,0
1556646142,46,97
1556647841,58,100
1556649744,59,95
1556650580,25,1
1556651676,58,78
1556652503,42,0
1556653342,17,71
1556655269,68,50
1556656963,59,99
1556658339,47,47
1556659712,53,3
1556661102,51,93
1556662480,66,66
1556664154,65,71
1556665538,44,87
1556666074,13,1
1556666904,29,3
1556668577,40,97
1556669674,46,41
1556670503,39,3
1556672740,88,95
1556673279,22,1
1556674531,50,54
1556675784,39,23
1556676950,36,46
1556678404,61,51
1556679607,27,85
1556681304,64,8
1556682983,36,80
1556684143,37,47
1556685761,77,95
1556686585,39,1
1556687748,35,51
1556688929,61,76
1556691265,101,66
1556692847,69,80
1556693799,51,24
1556694864,37,31
1556696132,70,55
1556697339,62,26
1556698527,77,52
1556699706,57,58
1556701534,70,67
1556702082,9,0
1556703325,41,53
1556704581,38,24
1556705742,60,32
1556706514,36,1
1556708731,56,125
1556710119,48,0
1556710952,33,141
1556712862,87,101
1556713703,25,0
1556715288,49,111
1556717302,74,54
1556718996,46,76
1556720144,47,90
1556721255,31,83
1556723134,42,68
1556723662,17,0
1556724793,82,75
1556726122,59,41
1556727326,65,72
1556728116,32,0
1556728949,33,104
1556730329,86,96
1556732123,73,77
1556733654,42,96
1556734480,15,4
1556736030,69,101
1556737538,35,97
1556738920,44,2
1556740444,46,160
1556741662,37,62
1556742885,52,100
1556744139,54,35
1556745327,22,58
1556746111,28,0
1556747781,61,130
1556750440,141,578
1556750564,7,55
1556752463,35,774
1556753604,597,276
1556755843,93,271
1556757766,64,328
1556759126,95,186
1556760503,43,4
1556761363,52,293
1556763038,49,176
1556764537,34,232
1556764959,9,0
1556765784,23,0
1556766936,41,69
1556767715,40,1
1556769386,66,61
1556770469,51,67
1556772175,70,88
1556773545,77,29
1556774929,46,4
1556776232,26,64
1556777668,50,85
1556778506,47,0
1556780100,91,64
1556781276,53,61
1556782958,101,94
1556784861,77,62
1556786565,74,95
1556787701,39,51
1556789311,45,3
1556790152,22,92
1556792073,60,92
1556793766,71,127
1556795673,89,71
1556796940,62,60
1556798217,44,21
1556799334,32,60
1556800117,43,2
1556800957,41,80
1556802334,79,84
1556802870,16,1
1556803703,40,0
1556804549,67,499
1556805382,34,2
1556806474,69,51
1556807304,56,1
1556808161,51,122
1556810062,74,49
1556811330,40,76
1556812585,84,26
1556813731,71,67
1556815356,80,121
1556817261,103,48
1556818958,76,74
1556819797,53,1
1556820862,62,61
1556822544,74,123
1556823929,48,59
1556825311,48,2
1556826163,27,82
1556827830,95,45
1556829744,79,94
1556831670,79,59
1556832508,28,3
1556833822,46,77
1556835277,43,75
1556836953,68,62
1556837801,35,2
1556838929,41,54
1556840565,58,107
1556842226,63,45
1556843529,44,62
1556845378,72,64
1556846923,77,2
1556848091,31,73
1556849425,40,64
1556850672,43,66
1556852745,114,44
1556854530,59,66
1556856865,77,98
1556857729,46,0
1556858547,35,65
1556859397,31,3
1556860475,34,84
1556862151,73,116
1556862997,38,0
1556864147,51,60
1556864920,19,4
1556866761,67,166
1556868023,43,12
1556869327,48,106
1556871037,94,73
1556872955,54,72
1556873798,23,4
1556874874,56,47
1556876127,68,94
1556878235,136,58
1556880141,88,69
1556882074,105,87
1556883192,45,69
1556885661,125,68
1556887037,76,70
1556888543,66,50
1556890114,53,2
1556890963,30,76
1556892869,71,49
1556894295,61,99
1556895575,44,98
1556896477,33,9
1556897584,55,81
1556899001,89,6
1556900073,53,103
1556900912,54,1
1556903123,104,151
1556904504,71,3
1556906195,56,82
1556907331,66,34
1556908121,57,1
1556909790,58,92
1556910934,51,41
1556912422,96,66
1556914461,144,88
1556916167,101,41
1556917533,73,65
1556918922,37,3
1556920582,57,107
1556923221,67,112
1556923359,7,23
1556925263,118,66
1556926103,47,4
1556927335,49,77
1556928869,44,94
1556929722,51,3
1556932462,105,151
1556933305,37,3
1556934662,55,46
1556935838,50,29
1556937933,94,115
1556939137,49,36
1556940340,63,2
1556941541,46,92
1556943040,71,77
1556944115,39,3
1556945791,68,80
1556947715,129,38
1556948925,54,104
1556950059,57,63
1556951725,82,83
1556952158,23,40
1556953000,49,3
1556954136,53,52
1556955744,68,102
1556957381,38,45
1556958933,60,48
1556960133,44,18
1556961339,35,41
1556962961,63,84
1556963788,21,0
1556964904,39,61
1556966423,48,67
1556967940,42,76
1556969443,44,74
1556970570,37,33
1556971732,35,74
1556972071,13,0
1556973638,38,56
1556975128,40,107
1556975669,20,1
1556977238,62,105
1556979032,49,113
1556980522,34,37
1556980958,10,0
1556982347,61,118
1556983516,55,1
1556984729,34,97
1556986234,59,88
1556987455,86,93
1556989291,55,98
1556990070,21,0
1556991747,48,120
1556992582,22,2
1556993743,42,38
1556995353,57,76
1556996639,31,58
1556998111,21,2
1556998949,15,78
1557000631,56,85
1557000879,8,1
1557002439,72,63
1557003381,35,2
1557004532,19,60
1557006164,84,85
1557007840,76,44
1557008079,11,1
1557009235,46,69
1557011129,52,57
1557011680,21,2
1557013374,66,83
1557014183,21,1
1557015263,18,51
1557016117,14,1
1557018864,74,141
1557020565,55,70
1557021395,22,0
1557022496,34,66
1557024180,57,85
1557026062,93,33
1557027764,44,107
1557028603,17,1
1557029676,22,45
1557031383,81,85
1557032186,36,0
1557033346,44,65
1557034106,28,1
1557036588,84,123
1557038142,52,54
1557039393,32,23
1557040501,31,66
1557042170,34,71
1557043331,23,37
1557044099,25,3
1557044904,28,1
1557046545,46,112
1557047681,26,77
1557048997,37,91
1557050190,48,27
1557051333,52,69
1557052516,42,78
1557054268,44,93
1557054873,26,0
1557056546,45,112
1557057910,34,57
1557058477,28,0
1557059723,38,56
1557061527,70,63
1557062912,34,2
1557064731,43,106
1557065935,52,9
1557067141,42,66
1557069261,88,110
1557070121,47,2
1557072223,61,174
1557072872,14,2
1557074560,68,101
1557075383,34,1
1557076532,43,44
1557077307,16,0
1557078507,27,128
1557079807,23,40
1557080912,55,1
1557081749,16,115
1557083668,57,111
1557084848,34,87
1557086162,64,3
1557088126,55,103
1557089796,37,55
1557090948,26,56
1557092431,66,46
1557094472,91,81
1557096150,67,145
1557097531,76,25
1557098913,30,4
1557100232,25,104
1557101679,39,49
1557103377,47,84
1557104183,16,1
1557105274,14,56
1557106123,12,2
1557108627,89,158
1557108884,5,0
1557110553,42,99
1557111939,32,59
1557113306,38,5
1557114164,15,96
1557115837,59,64
1557117074,44,117
1557117780,19,30
1557119141,36,57
1557120518,20,0
1557121354,14,120
1557123044,45,75
1557124404,38,76
1557125534,16,25
1557126875,46,23
1557127719,18,1
1557128552,19,77
1557130234,73,39
1557131305,33,3
1557132151,44,81
1557132999,20,1
1557134079,52,41
1557134905,44,0
1557136582,43,80
1557137729,23,35
1557139355,61,32
1557140731,57,70
1557141924,38,2
1557142955,27,51
1557144530,57,47
1557145647,75,1
1557147936,73,129
1557149304,39,2
1557150611,43,54
1557151832,47,52
1557153055,30,77
1557154224,55,15
1557155438,60,54
1557156517,31,3
1557157352,36,103
1557159284,138,43
1557160112,35,5
1557160949,36,62
1557162877,76,52
1557163703,29,2
1557165000,23,81
1557166479,63,44
1557168168,60,36
1557168982,31,2
1557170135,25,42
1557171751,79,96
1557173242,72,47
1557173663,14,3
1557174519,22,2
1557175634,36,52
1557176859,69,70
1557178227,38,90
1557179424,31,2
1557180883,23,53
1557182138,36,62
1557183580,59,51
1557192297,94,215
1557200676,360,354
1557204822,142,148
1557205993,40,38
1557208451,59,86
1557211112,111,6
1557213009,79,51
1557214592,50,41
1557217637,105,138
1557218895,49,4
1557220225,56,19
1557222774,75,82
1557224895,92,84
1557226194,45,147
1557228353,55,1
1557229704,58,12
1557231195,66,143
1557233282,62,66
1557235065,65,1
1557236274,53,2
1557238230,46,53
1557240231,91,81
1557241855,48,76
1557243831,45,213
1557247231,196,68
1557248977,65,77
1557250155,26,2
1557252600,105,113
1557256201,154,80
1557257790,61,9
1557259701,64,84
1557262296,118,169
1557263715,75,3
1557265387,79,134
1557267293,52,2
1557269425,42,127
1557272607,113,96
1557274225,36,19
1557275836,53,3
1557277191,43,36
1557279999,66,58
1557283462,119,141
1557286378,96,9
1557287555,69,19
1557289622,106,91
1557290888,52,41
1557292160,31,82
1557293467,60,2
1557295514,115,107
1557296883,43,2
1557298175,38,60
1557301490,108,140
1557303129,39,51
1557304598,55,8
1557307086,120,116
1557309310,71,36
1557311181,126,44
