DateTime,Entries,UniqueIPs
1556604877,20885,20885
1556605997,20848,20848
1556607387,20903,20903
1556608535,20906,20906
1556610040,20896,20896
1556611169,20863,20863
1556612070,20898,20898
1556613643,20878,20878
1556614595,20896,20896
1556615734,20909,20909
1556616924,20898,20898
1556618040,20929,20929
1556619335,20931,20931
1556620951,20949,20949
1556621783,20990,20990
1556622937,20991,20991
1556623704,21028,21028
1556624552,20982,20982
1556625390,21016,21016
1556626462,20973,20973
1556629294,20977,20977
1556630422,21023,21023
1556631641,21030,21030
1556632803,20989,20989
1556633671,21023,21023
1556634931,21014,21014
1556636734,21019,21019
1556637938,21074,21074
1556639131,21045,21045
1556640635,21041,21041
1556641845,21028,21028
1556643323,21100,21100
1556644544,21089,21089
1556645303,21123,21123
1556646142,21072,21072
1556647841,21030,21030
1556649744,20994,20994
1556650580,21018,21018
1556651676,20998,20998
1556652503,21040,21040
1556653342,20986,20986
1556655269,21004,21004
1556656963,20964,20964
1556658339,20964,20964
1556659712,21014,21014
1556661102,20972,20972
1556662480,20972,20972
1556664154,20966,20966
1556665538,20923,20923
1556666074,20935,20935
1556666904,20961,20961
1556668577,20904,20904
1556669674,20909,20909
1556670503,20945,20945
1556672740,20938,20938
1556673279,20959,20959
1556674531,20955,20955
1556675784,20971,20971
1556676950,20961,20961
1556678404,20971,20971
1556679607,20913,20913
1556681304,20969,20969
1556682983,20925,20925
1556684143,20915,20915
1556685761,20897,20897
1556686585,20935,20935
1556687748,20919,20919
1556688929,20904,20904
1556691265,20939,20939
1556692847,20928,20928
1556693799,20955,20955
1556694864,20961,20961
1556696132,20976,20976
1556697339,21012,21012
1556698527,21037,21037
1556699706,21036,21036
1556701534,21039,21039
1556702082,21048,21048
1556703325,21036,21036
1556704581,21050,21050
1556705742,21078,21078
1556706514,21113,21113
1556708731,21044,21044
1556710119,21092,21092
1556710952,20984,20984
1556712862,20970,20970
1556713703,20995,20995
1556715288,20933,20933
1556717302,20953,20953
1556718996,20923,20923
1556720144,20880,20880
1556721255,20828,20828
1556723134,20802,20802
1556723662,20819,20819
1556724793,20826,20826
1556726122,20844,20844
1556727326,20837,20837
1556728116,20869,20869
1556728949,20798,20798
1556730329,20788,20788
1556732123,20784,20784
1556733654,20730,20730
1556734480,20741,20741
1556736030,20709,20709
1556737538,20647,20647
1556738920,20689,20689
1556740444,20575,20575
1556741662,20550,20550
1556742885,20502,20502
1556744139,20521,20521
1556745327,20485,20485
1556746111,20513,20513
1556747781,20444,20444
1556750440,20007,20007
1556750564,19959,19959
1556752463,19220,19220
1556753604,19541,19541
1556755843,19363,19363
1556757766,19099,19099
1556759126,19008,19008
1556760503,19047,19047
1556761363,18806,18806
1556763038,18679,18679
1556764537,18481,18481
1556764959,18490,18490
1556765784,18513,18513
1556766936,18485,18485
1556767715,18524,18524
1556769386,18529,18529
1556770469,18513,18513
1556772175,18495,18495
1556773545,18543,18543
1556774929,18585,18585
1556776232,18547,18547
1556777668,18512,18512
1556778506,18559,18559
1556780100,18586,18586
1556781276,18578,18578
1556782958,18585,18585
1556784861,18600,18600
1556786565,18579,18579
1556787701,18567,18567
1556789311,18609,18609
1556790152,18539,18539
1556792073,18507,18507
1556793766,18451,18451
1556795673,18469,18469
1556796940,18471,18471
1556798217,18494,18494
1556799334,18466,18466
1556800117,18507,18507
1556800957,18468,18468
1556802334,18463,18463
1556802870,18478,18478
1556803703,18518,18518
1556804549,18086,18086
1556805382,18118,18118
1556806474,18136,18136
1556807304,18191,18191
1556808161,18120,18120
1556810062,18145,18145
1556811330,18109,18109
1556812585,18167,18167
1556813731,18171,18171
1556815356,18130,18130
1556817261,18185,18185
1556818958,18187,18187
1556819797,18239,18239
1556820862,18240,18240
1556822544,18191,18191
1556823929,18180,18180
1556825311,18226,18226
1556826163,18171,18171
1556827830,18221,18221
1556829744,18206,18206
1556831670,18226,18226
1556832508,18251,18251
1556833822,18220,18220
1556835277,18188,18188
1556836953,18194,18194
1556837801,18227,18227
1556838929,18214,18214
1556840565,18165,18165
1556842226,18183,18183
1556843529,18165,18165
1556845378,18173,18173
1556846923,18248,18248
1556848091,18206,18206
1556849425,18182,18182
1556850672,18159,18159
1556852745,18229,18229
1556854530,18222,18222
1556856865,18201,18201
1556857729,18247,18247
1556858547,18217,18217
1556859397,18245,18245
1556860475,18195,18195
1556862151,18152,18152
1556862997,18190,18190
1556864147,18181,18181
1556864920,18196,18196
1556866761,18097,18097
1556868023,18128,18128
1556869327,18070,18070
1556871037,18091,18091
1556872955,18073,18073
1556873798,18092,18092
1556874874,18101,18101
1556876127,18075,18075
1556878235,18153,18153
1556880141,18172,18172
1556882074,18190,18190
1556883192,18166,18166
1556885661,18223,18223
1556887037,18229,18229
1556888543,18245,18245
1556890114,18296,18296
1556890963,18250,18250
1556892869,18272,18272
1556894295,18234,18234
1556895575,18180,18180
1556896477,18204,18204
1556897584,18178,18178
1556899001,18261,18261
1556900073,18211,18211
1556900912,18264,18264
1556903123,18217,18217
1556904504,18285,18285
1556906195,18259,18259
1556907331,18291,18291
1556908121,18347,18347
1556909790,18313,18313
1556910934,18323,18323
1556912422,18353,18353
1556914461,18409,18409
1556916167,18469,18469
1556917533,18477,18477
1556918922,18511,18511
1556920582,18461,18461
1556923221,18416,18416
1556923359,18400,18400
1556925263,18452,18452
1556926103,18495,18495
1556927335,18467,18467
1556928869,18417,18417
1556929722,18465,18465
1556932462,18419,18419
1556933305,18453,18453
1556934662,18462,18462
1556935838,18483,18483
1556937933,18462,18462
1556939137,18475,18475
1556940340,18536,18536
1556941541,18490,18490
1556943040,18484,18484
1556944115,18520,18520
1556945791,18508,18508
1556947715,18599,18599
