DateTime,AddedIPs,RemovedIPs
1556794831,2,26917
1556795493,26915,0
1556796212,6,7
1556797173,7,8
1556797893,5,5
1556798612,9,5
1556799333,8,7
1556800053,7,5
1556800773,7,7
1556801492,3,8
1556802453,7,13
1556803172,12,9
1556804373,18,16
1556806052,25,10
1556806772,13,6
1556807493,3,5
1556808213,9,9
1556809652,21,15
1556810372,8,3
1556811092,9,8
1556811813,5,12
1556812533,3,13
1556813492,9,21
1556814213,7,9
1556814933,1,13
1556815653,8,8
1556816373,9,12
1556817092,5,9
1556817813,9,17
1556818534,7,17
1556819253,13,11
1556820452,10,18
1556821173,4,14
1556821893,7,12
1556822613,7,19
1556823332,9,10
1556824052,12,16
1556824773,6,5
1556825493,12,11
1556826213,16,7
1556826933,8,5
1556827654,8,17
1556828372,10,4
1556829093,9,14
1556829813,11,9
1556830533,12,13
1556831253,9,7
1556831972,9,8
1556832694,9,6
1556833414,5,10
1556834133,9,7
1556836292,17,15
1556837014,4,9
1556837732,10,10
1556838452,6,7
1556839172,9,8
1556839892,4,9
1556840612,10,8
1556841332,6,8
1556842053,11,13
1556843013,10,12
1556843733,9,15
1556844934,15,15
1556845653,7,9
1556846372,8,6
1556847093,9,8
1556847813,6,3
1556848774,13,9
1556849492,5,10
1556850213,5,11
1556850934,5,7
1556851652,7,5
1556852373,9,13
1556853092,5,15
1556853812,11,10
1556854533,6,12
1556855253,6,8
1556856452,13,14
1556857173,8,7
1556857893,9,10
1556858612,8,5
1556859332,5,7
1556860052,8,9
1556860772,4,11
1556861493,9,10
1556862212,7,10
1556862933,11,4
1556863653,6,13
1556864373,6,7
1556865093,10,13
1556866293,13,15
1556867013,9,12
1556867972,3,19
1556868692,8,10
1556869413,9,11
1556870133,14,14
1556870852,6,13
1556871572,8,7
1556872292,10,16
1556873012,9,10
1556873733,8,4
1556874452,11,10
1556875173,7,18
1556875893,10,13
1556876612,6,10
1556877333,8,14
1556878053,10,8
1556878773,2,9
1556879493,8,6
1556880212,11,9
1556880933,7,5
1556881653,4,6
1556882853,15,9
1556883573,9,7
1556884533,12,12
1556885253,10,9
1556886693,17,15
1556887412,9,7
1556888133,6,4
1556888853,11,9
1556889574,8,13
1556890293,5,9
1556891013,4,16
1556892213,12,22
1556892933,8,14
1556893654,11,12
1556894373,9,8
1556895092,8,9
1556895813,6,12
1556896532,6,8
1556897253,12,10
1556897973,12,0
1556898693,9,7
1556899412,13,4
1556900133,7,10
1556900853,5,6
1556901572,6,3
1556902292,9,14
1556903013,16,8
1556903733,11,8
1556904453,4,7
1556905172,7,8
1556905893,13,11
1556906613,11,8
1556907332,7,5
1556908052,9,5
1556908772,15,8
1556909493,12,11
1556910453,16,12
1556911173,7,7
1556911893,6,8
1556912613,7,16
1556913333,9,8
1556914054,14,9
1556914773,10,9
1556915493,9,8
1556916213,9,11
1556916932,6,9
1556917653,9,14
1556918373,8,7
1556919574,14,17
1556920292,11,4
1556921013,10,8
1556921733,9,6
1556923412,18,16
1556924134,6,11
1556924852,7,8
1556925573,16,6
1556926292,6,7
1556927013,5,10
1556928213,10,17
1556928932,7,7
1556929653,5,10
1556930373,8,9
1556931093,11,10
1556931813,9,7
1556932533,10,4
1556933252,8,8
1556933972,10,7
1556934693,15,14
1556935413,5,9
1556936133,6,8
1556936853,11,8
1556937572,11,5
1556938293,10,5
1556939253,12,8
1556939973,8,11
1556940693,15,8
1556941413,5,6
1556942134,10,6
1556942853,10,8
1556943573,7,9
1556944292,9,9
1556945013,12,5
1556945732,10,5
1556946453,7,9
1556947172,8,6
1556947893,10,10
1556948612,6,6
1556949333,7,12
1556950052,10,4
1556950774,12,7
1556951492,4,11
1556952212,7,7
1556952932,10,8
1556953653,7,9
1556954613,8,8
1556955332,5,7
1556956053,12,8
1556957253,18,20
1556957972,16,7
1556958693,7,14
