DateTime,AddedIPs,RemovedIPs
1556298032,21,0
1556300200,29,27
1556302113,23,31
1556304051,18,23
1556305936,21,18
1556309794,27,30
1556311691,18,0
1556313625,35,26
1556315546,17,31
1556318226,23,31
1556320126,28,0
1556322034,25,23
1556323961,23,24
1556325878,25,20
1556327799,26,29
1556329717,21,28
1556331620,17,22
1556333548,20,23
1556335457,14,25
1556337391,33,22
1556339295,26,18
1556341237,23,25
1556343143,27,40
1556345085,27,34
1556346978,30,39
1556349143,42,34
1556351057,36,31
1556352998,22,32
1556354894,20,32
1556356813,12,27
1556358753,8,9
1556360668,15,18
1556362590,12,12
1556364494,31,24
1556366441,27,0
1556368356,28,21
1556370279,31,22
1556372175,24,0
1556374094,30,21
1556376033,24,21
1556377935,28,25
1556379856,26,22
1556381798,27,27
1556385616,28,53
1556387556,23,29
1556391373,28,41
1556393314,27,24
1556395234,19,0
1556397139,32,27
1556399330,29,22
1556401234,26,27
1556403138,29,22
1556405052,25,21
1556406976,25,22
1556408897,29,22
1556410841,28,19
1556412756,14,24
1556414657,27,24
1556416571,23,21
1556418516,21,20
1556420432,27,20
1556422362,29,19
1556424258,29,26
1556426174,27,18
1556428113,19,25
1556430015,25,34
1556431941,25,32
1556433855,30,27
1556435794,26,44
1556437700,28,41
1556439613,27,23
1556441553,22,20
1556443453,8,17
1556445397,12,12
1556447445,16,15
1556449250,31,11
1556451159,26,33
1556453324,34,23
1556455233,22,28
1556457137,24,38
1556459054,29,23
1556460989,17,27
1556462893,28,21
1556464813,23,25
1556466735,20,29
1556468659,32,23
1556470590,25,0
1556472497,23,19
1556474434,22,25
1556476363,24,0
1556478255,24,25
1556480437,30,20
1556482337,32,20
1556484257,33,22
1556486177,31,28
1556488096,33,28
1556491934,17,55
1556493854,26,24
1556497692,41,50
1556499633,23,10
1556501561,27,30
1556503456,15,17
1556505391,19,22
1556507316,25,21
1556509213,27,27
1556511139,29,26
1556513072,25,23
1556514975,20,21
1556516911,15,21
1556518829,22,28
1556520748,36,23
1556522650,21,26
1556524567,30,21
1556526761,16,31
1556528680,25,25
1556530573,12,12
1556532498,7,15
1556534436,11,12
1556536334,12,28
1556538272,21,24
1556540178,25,30
1556542096,17,18
1556544012,10,28
1556545935,20,21
1556547869,29,25
1556549777,28,32
1556551709,24,30
1556553641,22,22
1556555539,25,36
1556557479,23,29
1556559382,26,21
1556561304,28,23
1556565139,29,46
1556567054,25,30
1556568999,32,34
1556570915,28,30
1556572848,27,33
1556574730,21,32
1556576682,29,0
1556579112,22,19
1556580995,24,27
1556582924,31,0
1556585076,31,43
1556586980,30,30
1556588893,23,27
1556590823,23,24
1556592763,21,23
1556594670,32,28
1556596587,20,34
1556598508,25,36
1556600430,24,26
1556602363,19,22
1556604273,20,23
1556606176,16,29
1556608105,19,32
1556610035,31,28
1556611943,21,30
1556613857,19,21
1556616039,16,28
1556617958,17,9
1556619852,27,8
1556621774,20,15
1556623690,13,14
1556625648,21,21
1556629461,15,37
1556631375,19,11
1556633324,19,22
1556635234,19,29
1556637158,13,28
1556640998,20,54
1556644816,31,48
1556648659,29,66
1556650571,25,0
1556652514,23,27
1556654465,26,31
1556656346,25,35
1556658258,24,27
1556660194,12,32
1556662120,22,29
1556664036,21,33
1556665933,29,23
1556668387,28,23
1556670258,26,35
1556672440,29,29
1556674357,23,37
1556676277,25,31
1556678191,21,29
1556680108,27,21
1556682015,30,33
1556683939,30,26
1556685872,16,27
1556687779,26,25
1556689698,31,14
1556691637,24,28
1556693532,25,22
1556695457,23,16
1556697389,13,27
1556699298,26,13
1556701232,22,19
1556703162,9,18
1556705322,10,21
1556707212,23,25
1556709135,18,17
1556711073,28,12
1556712976,29,18
1556714893,29,0
1556716835,22,16
1556718748,17,20
1556720652,26,18
1556722590,21,19
1556724491,33,11
1556726476,22,0
1556728358,28,18
1556730256,29,0
1556732174,25,26
1556734123,18,0
1556736029,22,19
1556737941,30,16
1556741797,34,53
1556743695,16,22
1556745633,28,22
1556747559,23,9
1556752583,19,65
1556754746,21,0
1556756654,27,23
1556758591,21,25
1556760494,26,27
1556762440,30,23
1556764354,22,20
1556766259,20,20
1556768191,24,22
1556772013,26,52
1556773940,22,18
1556775872,23,24
1556777787,23,21
1556779694,33,22
1556781633,26,26
1556783532,14,21
1556785463,20,9
1556787372,18,24
1556789316,9,23
1556791238,25,6
1556793138,37,10
1556795051,33,25
1556796879,22,21
1556798680,22,27
1556800570,29,24
1556802517,19,30
1556804432,22,27
1556806333,22,16
1556808268,31,22
1556810172,20,22
1556812097,26,31
1556814006,34,27
1556815933,29,33
1556817867,30,23
1556819765,33,22
1556821692,33,25
1556823625,31,25
1556825549,21,27
1556827449,29,0
1556829373,22,28
1556831306,21,16
1556833207,24,29
1556835886,25,19
1556837787,23,0
1556839705,24,19
1556841646,27,17
1556843536,25,32
1556845456,22,20
1556847374,23,33
1556849291,26,29
1556851212,24,27
1556853154,35,22
1556855051,29,30
1556856971,32,0
1556858895,18,21
1556860825,27,28
1556862730,27,16
1556864651,35,22
1556866566,28,31
1556868487,24,27
1556870432,22,11
1556872351,26,21
1556874517,16,16
1556876410,7,10
1556878333,31,27
1556880270,30,32
1556882170,29,33
1556884235,27,23
1556886275,22,25
1556888186,26,25
1556890092,19,21
1556894168,32,42
1556896341,31,31
1556898251,34,22
1556904006,26,84
1556905946,21,28
1556907850,30,29
1556909765,23,32
1556911685,32,29
1556913629,30,21
1556915550,23,29
1556917453,26,18
1556919366,20,28
1556923489,26,47
1556925384,24,20
1556927296,28,23
1556929214,25,28
1556931151,28,21
1556933055,34,22
1556934971,29,19
1556936913,22,32
1556938839,37,25
1556940758,24,31
1556942666,21,23
1556944573,25,29
1556946521,20,20
1556948415,27,26
1556950336,28,28
1556952272,29,32
1556954176,28,24
1556956115,33,25
1556958035,29,27
1556959933,12,32
1556961853,6,16
1556963771,12,6
1556965963,29,31
1556967875,19,26
1556969774,26,29
1556971620,26,32
1556973607,28,24
1556975552,24,27
1556977448,26,21
1556979380,27,0
1556981293,32,33
1556983207,28,32
1556985163,21,35
1556987050,26,0
1556988970,24,0
1556990906,26,27
1556992839,35,21
1556994754,20,27
1556996658,29,24
1556998572,23,25
1557000511,27,29
1557002426,28,20
1557004344,25,24
1557008189,23,18
1557010091,29,28
1557012005,27,19
1557013943,35,29
1557017765,34,43
1557019710,33,29
1557021626,20,21
1557023555,31,25
1557025458,24,34
1557027371,26,19
1557029292,25,24
1557031228,24,20
1557033133,32,23
1557035052,37,27
1557036992,25,24
1557038892,23,31
1557040805,25,29
1557042745,23,28
1557044647,13,28
1557046565,26,19
1557048492,5,8
1557050442,8,8
1557052358,31,0
1557054254,23,28
1557056189,22,42
1557058102,22,27
1557060025,21,32
1557061930,32,0
1557063848,23,19
1557065791,32,59
1557067693,36,29
1557069626,26,20
1557071529,31,0
1557073451,29,46
1557075386,30,28
1557077291,35,0
1557079221,38,27
1557081156,25,50
1557083052,30,0
1557084987,27,54
1557086918,34,34
1557088830,26,22
1557090761,29,22
1557094590,25,28
1557098415,27,49
1557100330,31,0
1557102272,37,40
1557104168,28,31
1557106091,29,0
1557108041,35,53
1557109955,36,0
1557111854,28,24
1557114039,27,54
1557115935,26,29
1557117853,32,28
1557119793,29,29
1557121691,27,31
1557123631,24,28
1557127449,30,66
1557129366,23,22
1557131305,22,13
1557133217,18,22
1557135159,8,7
1557137325,6,14
1557139213,24,28
1557141158,22,28
1557143053,22,27
1557144976,29,24
1557146891,43,26
1557148831,25,27
1557150750,33,29
1557152664,24,34
1557154574,32,37
1557156513,38,30
1557158437,34,43
1557160359,34,28
1557162277,30,34
1557164192,22,41
1557166111,31,36
1557169933,27,60
1557171861,22,27
1557173774,26,33
1557175693,27,27
1557177633,30,25
1557179530,24,0
1557181475,28,28
1557183396,27,0
1557185288,30,31
1557187356,34,30
1557189498,32,36
1557191557,34,27
1557194240,28,25
1557196362,32,65
1557198250,26,0
1557200169,36,27
1557202089,19,30
1557204017,10,29
1557205936,25,35
1557207850,36,31
1557209779,15,29
1557211936,30,20
1557213849,22,0
1557215765,32,30
1557217685,27,26
1557219622,19,45
1557221531,7,0
1557223462,26,6
1557225373,22,5
1557227289,21,25
1557229211,23,23
1557231141,32,26
1557233048,44,30
1557234970,29,37
1557236890,29,26
1557238824,27,31
1557240731,30,28
1557242652,36,31
1557244569,33,39
1557246488,29,38
1557248434,25,35
1557250362,23,30
1557252257,30,33
1557254170,24,25
1557256097,30,0
1557258011,21,26
1557259934,23,19
1557261852,23,25
1557263771,22,20
1557265694,34,28
1557267609,19,23
1557269535,31,30
1557271451,36,29
1557273370,22,26
1557275397,37,30
1557277231,30,33
1557279136,34,24
1557281060,25,27
1557282971,26,29
1557284892,25,23
1557286810,35,34
1557288733,25,15
1557290648,20,17
1557292570,23,23
1557294490,40,32
1557296426,33,22
1557298343,27,32
1557300251,22,24
1557302169,22,31
1557304089,16,35
1557306023,22,0
1557307938,5,25
1557310103,22,29
