DateTime,Entries,UniqueIPs
1556298032,5845,6017
1556300200,5846,6020
1556302113,5844,6019
1556304051,5834,6006
1556305936,5830,6002
1556309794,5815,5986
1556311691,5819,5987
1556313625,5821,5991
1556315546,5812,5982
1556318226,5816,5986
1556320126,5818,5987
1556322034,5818,5987
1556323961,5821,5992
1556325878,5816,5987
1556327799,5830,6001
1556329717,5840,6013
1556331620,5837,6011
1556333548,5836,6013
1556335457,5832,6009
1556337391,5845,6022
1556339295,5848,6024
1556341237,5864,6040
1556343143,5877,6056
1556345085,5876,6055
1556346978,5887,6066
1556349143,5893,6073
1556351057,5901,6082
1556352998,5894,6075
1556354894,5894,6075
1556356813,5893,6073
1556358753,5891,6071
1556360668,5893,6073
1556362590,5888,6066
1556364494,5895,6074
1556366441,5897,6077
1556368356,5910,6090
1556370279,5920,6100
1556372175,5927,6107
1556374094,5933,6113
1556376033,5937,6115
1556377935,5929,6107
1556379856,5931,6109
1556381798,5932,6111
1556385616,5915,6094
1556387556,5903,6082
1556391373,5876,6054
1556393314,5869,6047
1556395234,5878,6056
1556397139,5878,6059
1556399330,5895,6076
1556401234,5895,6077
1556403138,5894,6074
1556405052,5897,6077
1556406976,5901,6081
1556408897,5906,6086
1556410841,5909,6089
1556412756,5901,6081
1556414657,5904,6084
1556416571,5908,6087
1556418516,5911,6090
1556420432,5908,6087
1556422362,5909,6088
1556424258,5910,6089
1556426174,5906,6085
1556428113,5906,6085
1556430015,5908,6087
1556431941,5904,6083
1556433855,5897,6079
1556435794,5898,6081
1556437700,5897,6080
1556439613,5899,6083
1556441553,5898,6082
1556443453,5894,6078
1556445397,5893,6077
1556447445,5889,6074
1556449250,5883,6068
1556451159,5882,6067
1556453324,5887,6072
1556455233,5877,6062
1556457137,5889,6074
1556459054,5891,6076
1556460989,5879,6066
1556462893,5882,6069
1556464813,5876,6063
1556466735,5856,6042
1556468659,5859,6045
1556470590,5849,6035
1556472497,5856,6042
1556474434,5838,6028
1556476363,5827,6018
1556478255,5812,6003
1556480437,5815,6007
1556482337,5813,6005
1556484257,5816,6007
1556486177,5825,6016
1556488096,5835,6026
1556491934,5819,6010
1556493854,5810,6001
1556497692,5802,5993
1556499633,5795,5988
1556501561,5790,5982
1556503456,5776,5968
1556505391,5765,5957
1556507316,5768,5960
1556509213,5765,5959
1556511139,5769,5963
1556513072,5772,5966
1556514975,5767,5961
1556516911,5762,5956
1556518829,5757,5950
1556520748,5762,5955
1556522650,5749,5942
1556524567,5750,5943
1556526761,5744,5937
1556528680,5740,5933
1556530573,5736,5929
1556532498,5730,5923
1556534436,5724,5917
1556536334,5715,5908
1556538272,5707,5900
1556540178,5720,5913
1556542096,5713,5908
1556544012,5698,5893
1556545935,5700,5895
1556547869,5701,5896
1556549777,5710,5905
1556551709,5708,5903
1556553641,5695,5890
1556555539,5690,5885
1556557479,5687,5881
1556559382,5689,5885
1556561304,5692,5888
1556565139,5676,5872
1556567054,5661,5857
1556568999,5668,5864
1556570915,5673,5869
1556572848,5679,5874
1556574730,5684,5879
1556576682,5691,5886
1556579112,5696,5894
1556580995,5706,5904
1556582924,5721,5919
1556585076,5724,5922
1556586980,5725,5923
1556588893,5721,5920
1556590823,5715,5914
1556592763,5715,5914
1556594670,5722,5921
1556596587,5715,5914
1556598508,5721,5920
1556600430,5719,5918
1556602363,5717,5914
1556604273,5716,5913
1556606176,5708,5905
1556608105,5707,5903
1556610035,5703,5899
1556611943,5713,5909
1556613857,5715,5910
1556616039,5712,5907
1556617958,5718,5913
1556619852,5729,5924
1556621774,5728,5923
1556623690,5720,5915
1556625648,5715,5910
1556629461,5704,5899
1556631375,5688,5884
1556633324,5698,5894
1556635234,5694,5890
1556637158,5683,5879
1556640998,5658,5854
1556644816,5641,5837
1556648659,5622,5818
1556650571,5625,5821
1556652514,5610,5807
1556654465,5612,5808
1556656346,5607,5803
1556658258,5606,5802
1556660194,5594,5790
1556662120,5593,5789
1556664036,5601,5797
1556665933,5596,5792
1556668387,5569,5765
1556670258,5562,5758
1556672440,5576,5772
1556674357,5575,5772
1556676277,5575,5772
1556678191,5568,5765
1556680108,5560,5757
1556682015,5553,5750
1556683939,5555,5752
1556685872,5549,5745
1556687779,5549,5745
1556689698,5560,5756
1556691637,5561,5758
1556693532,5556,5753
1556695457,5545,5742
1556697389,5532,5729
1556699298,5534,5731
1556701232,5531,5727
1556703162,5532,5728
1556705322,5513,5708
1556707212,5512,5708
1556709135,5496,5692
1556711073,5499,5696
1556712976,5495,5691
1556714893,5495,5691
1556716835,5494,5690
1556718748,5489,5686
1556720652,5486,5683
1556722590,5481,5678
1556724491,5479,5676
1556726476,5468,5668
1556728358,5465,5664
1556730256,5450,5649
1556732174,5446,5645
1556734123,5436,5635
1556736029,5429,5628
1556737941,5431,5629
1556741797,5416,5614
1556743695,5423,5621
1556745633,5430,5628
1556747559,5426,5624
1556752583,5404,5604
1556754746,5405,5605
1556756654,5408,5608
1556758591,5400,5600
1556760494,5396,5595
1556762440,5403,5603
1556764354,5398,5598
1556766259,5393,5593
1556768191,5390,5589
1556772013,5375,5574
1556773940,5375,5574
1556775872,5373,5573
1556777787,5366,5567
1556779694,5387,5588
1556781633,5388,5589
1556783532,5372,5573
1556785463,5370,5572
1556787372,5363,5564
1556789316,5360,5561
1556791238,5372,5573
1556793138,5390,5591
1556795051,5404,5605
1556796879,5400,5601
1556798680,5402,5603
1556800570,5398,5599
1556802517,5393,5594
1556804432,5396,5598
1556806333,5387,5589
1556808268,5383,5585
1556810172,5376,5578
1556812097,5368,5569
1556814006,5371,5573
1556815933,5388,5590
1556817867,5405,5607
1556819765,5410,5612
1556821692,5416,5618
1556823625,5415,5617
1556825549,5416,5617
1556827449,5423,5622
1556829373,5434,5634
1556831306,5431,5631
1556833207,5424,5624
1556835886,5418,5618
1556837787,5430,5630
1556839705,5430,5630
1556841646,5436,5636
1556843536,5439,5639
1556845456,5440,5641
1556847374,5434,5635
1556849291,5436,5636
1556851212,5432,5632
1556853154,5437,5637
1556855051,5436,5637
1556856971,5447,5648
1556858895,5436,5638
1556860825,5428,5630
1556862730,5421,5623
1556864651,5417,5619
1556866566,5414,5616
1556868487,5413,5616
1556870432,5400,5605
1556872351,5402,5607
1556874517,5392,5597
1556876410,5394,5599
1556878333,5398,5603
1556880270,5403,5607
1556882170,5409,5613
1556884235,5424,5628
1556886275,5426,5630
1556888186,5432,5635
1556890092,5442,5645
1556894168,5435,5638
1556896341,5438,5642
1556898251,5450,5654
1556904006,5428,5631
1556905946,5419,5623
1556907850,5425,5629
1556909765,5429,5633
1556911685,5429,5633
1556913629,5443,5647
1556915550,5435,5639
1556917453,5440,5644
1556919366,5436,5640
1556923489,5430,5634
1556925384,5428,5630
1556927296,5424,5626
1556929214,5421,5623
1556931151,5416,5618
1556933055,5421,5622
1556934971,5426,5626
1556936913,5426,5627
1556938839,5434,5635
1556940758,5436,5637
1556942666,5439,5640
1556944573,5443,5644
1556946521,5443,5644
1556948415,5444,5645
1556950336,5440,5642
1556952272,5432,5634
1556954176,5421,5623
1556956115,5419,5621
1556958035,5425,5628
1556959933,5426,5629
1556961853,5419,5622
1556963771,5421,5623
1556965963,5433,5635
1556967875,5443,5645
1556969774,5440,5642
1556971620,5441,5643
1556973607,5442,5644
1556975552,5437,5639
1556977448,5440,5642
1556979380,5435,5637
1556981293,5434,5636
1556983207,5439,5640
1556985163,5434,5635
1556987050,5431,5633
1556988970,5443,5645
1556990906,5441,5644
1556992839,5449,5652
1556994754,5467,5670
1556996658,5471,5674
1556998572,5477,5681
1557000511,5482,5686
1557002426,5481,5685
1557004344,5475,5679
1557008189,5456,5659
1557010091,5463,5665
1557012005,5463,5666
1557013943,5468,5671
1557017765,5467,5670
1557019710,5471,5674
1557021626,5470,5674
1557023555,5474,5679
1557025458,5469,5673
1557027371,5468,5672
1557029292,5465,5670
1557031228,5464,5669
1557033133,5474,5679
1557035052,5477,5682
1557036992,5473,5678
1557038892,5475,5680
1557040805,5473,5678
1557042745,5470,5675
1557044647,5461,5665
1557046565,5458,5662
1557048492,5455,5659
1557050442,5448,5653
1557052358,5454,5658
1557054254,5464,5666
1557056189,5467,5669
1557058102,5481,5683
1557060025,5478,5680
1557061930,5488,5690
1557063848,5488,5690
1557065791,5487,5689
1557067693,5514,5716
1557069626,5498,5700
1557071529,5518,5720
1557073451,5529,5731
1557075386,5520,5722
1557077291,5529,5731
1557079221,5545,5748
1557081156,5552,5755
