DateTime,AddedIPs,RemovedIPs
1551860113,3,2
1551871179,2,1
1551881905,0,2
1551892304,5,2
1551903069,3,4
1551914105,5,2
1551924983,2,4
1551935831,4,3
1551946661,3,4
1551957406,0,6
1551968286,1,2
1551978907,2,1
1551989724,7,5
1552000709,3,4
1552011147,2,1
1552021452,1,3
1552032506,5,2
1552043221,4,5
1552054228,2,2
1552065370,4,3
1552076401,7,3
1552086642,4,4
1552097738,3,4
1552108776,4,5
1552119807,3,4
1552130724,4,2
1552141351,10,4
1552152196,5,2
1552163126,4,4
1552174082,5,5
1552185095,2,3
1552195921,3,3
1552206968,2,1
1552217693,4,1
1552228425,3,2
1552239307,4,5
1552250362,6,2
1552261458,2,1
1552271889,5,2
1552282694,4,3
1552293793,4,3
1552304607,5,1
1552315926,7,4
1552326874,4,2
1552337414,3,4
1552348142,2,3
1552359097,5,0
1552369986,6,0
1552380761,4,0
1552391398,8,0
1552402320,6,0
1552413290,1,5
1552423904,6,3
1552434679,4,5
1552445626,4,3
1552456319,1,2
1552467035,6,1
1552478174,5,2
1552488830,1,5
1552499699,2,2
1552510531,4,3
1552521606,4,1
1552532309,2,3
1552542988,1,4
1552554252,1,2
1552565310,2,2
1552575606,3,5
1552586377,3,3
1552597082,0,2
1552607893,3,4
1552618511,3,5
1552629181,5,3
1552640076,5,3
1552650990,7,4
1552661967,8,2
1552673035,4,2
1552684009,5,3
1552695288,4,11
1552705926,2,8
1552716887,4,2
1552727698,1,6
1552737617,1,4
1552748349,2,3
1552758949,6,2
1552769458,4,7
1552780475,2,3
1552791367,3,6
1552802311,2,3
1552813198,3,5
1552824213,0,6
1552835231,1,8
1552845961,5,3
1552856882,5,4
1552868140,5,2
1552878281,3,2
1552889207,2,3
1552899696,1,3
1552910552,3,3
1552921484,2,4
1552932502,1,6
1552943782,12,7
1552954758,8,6
1552965758,4,2
1552976853,11,3
1552987832,16,4
1552998853,12,5
1553009992,22,5
1553020970,24,3
1553032079,27,2
1553043071,21,5
1553054086,17,4
1553064970,14,6
1553075742,25,2
1553086762,27,2
1553098109,18,4
1553109108,25,5
1553119938,15,6
1553130885,12,4
1553141963,15,4
1553152940,16,2
1553163997,8,3
1553175040,21,2
1553186135,9,2
1553196846,14,5
1553208012,13,7
1553218993,7,4
1553229850,7,2
1553240309,7,2
1553251462,2,6
1553262218,8,3
1553273150,7,4
1553284104,4,5
