DateTime,AddedIPs,RemovedIPs
1553605729,592,584
1553610526,476,472
1553615317,533,525
1553619401,482,489
1553622999,446,446
1553627534,480,481
1553629962,445,447
1553632361,477,473
1553635237,488,490
1553684913,912,926
1553692609,591,576
1553698337,537,542
1553705078,523,525
1553707957,471,462
1553711567,481,480
1553715162,488,491
1553719488,477,477
1553721634,400,399
1553723297,427,426
1553726935,431,432
1553727854,389,388
1553731287,482,485
1553813119,921,918
1553835612,747,742
1553852892,614,626
1553854572,405,393
1553861319,502,503
1553878347,621,627
1553946987,899,893
1553951531,421,424
1553956101,415,423
1553958537,410,401
1553961396,402,414
1553964992,453,445
1553968593,476,471
1553986335,647,647
1553988746,428,428
1553991168,382,386
1553994258,395,391
1553996922,410,413
1553999553,414,411
1554002438,408,417
1554004590,386,379
1554007723,408,412
1554014669,437,432
1554017555,379,384
1554025473,418,418
1554032678,421,420
1554036268,367,370
1554039158,366,362
1554042499,418,411
1554045625,467,473
1554048039,450,447
1554052110,455,466
1554058841,391,387
1554062521,376,373
1554064361,411,407
1554068434,427,426
1554072046,402,408
1554078508,408,407
1554082118,379,377
1554085695,424,423
1554089220,441,441
1554092432,421,429
1554095317,407,404
1554098202,411,409
1554101081,399,408
1554103968,429,418
1554107562,431,444
1554110435,411,405
1554113278,426,420
1554115952,428,429
1554118834,394,400
1554121939,421,419
1554125562,478,478
1554128428,444,446
1554145230,632,623
1554163988,708,733
1554168282,492,473
1554195614,807,809
1554254900,882,891
1554259235,409,416
1554263077,416,402
1554270770,489,493
1554281562,670,684
1554295226,578,546
1554300044,440,451
1554301686,420,419
1554305545,453,449
1554318382,489,497
1554387152,905,897
1554408031,581,580
1554411387,391,400
1554414748,439,431
1554418619,437,437
1554421227,398,407
1554426533,483,484
1554429635,422,419
1554433721,427,425
1554436848,423,430
1554441379,442,433
1554446676,456,461
1554449570,413,410
1554451480,392,397
1554454118,398,394
1554456276,397,403
1554459885,390,387
1554463229,869,858
1554465387,893,910
1554468029,869,878
1554471397,868,861
1554474281,862,870
1554477881,878,877
1554482194,899,871
1554485553,879,909
1554488436,874,880
1554493934,892,866
1554496818,896,882
1554499959,855,873
1554505024,877,865
1554508881,871,889
1554510756,872,867
1554528023,500,480
1554528742,401,402
1554529951,485,499
1554530175,397,383
1554532111,500,499
1554532343,409,413
1554536430,912,914
1554540259,908,914
1554542414,901,891
1554545794,908,911
1554624969,919,939
1554652345,891,898
1554694109,891,883
1554695055,579,557
1554699400,870,887
1554709963,861,869
1554718595,893,870
1554721244,915,912
1554724121,917,917
1554726518,888,903
1554729382,885,887
1554732758,916,904
1554735872,915,912
1554739712,875,897
1554744030,910,919
1554754826,949,920
1554756992,923,954
1554769240,892,892
1554786524,933,902
1554791557,903,918
1554795875,893,877
1554798756,924,926
1554801633,928,925
1554803784,908,932
1554895460,963,940
1554899532,907,907
1554906504,914,917
1554910576,913,912
1554913224,868,879
1554916825,850,863
1554919722,851,845
1554923796,866,847
1554925953,893,919
1554928112,923,896
1554931962,870,894
1554935081,899,872
1554976569,905,922
1554980450,898,896
1555001528,896,901
1555003228,878,879
1555006603,891,875
1555009461,921,918
1555012848,927,934
1555017858,906,912
1555021206,866,878
1555024114,868,845
1555027729,854,872
1555044976,899,877
1555066327,919,920
1555072830,841,867
1555076429,876,864
1555080030,866,876
1555097554,901,888
1555120123,918,910
1555130658,870,893
1555221629,909,891
1555290020,917,933
1555307791,900,903
1555310190,884,866
1555312329,899,897
1555314737,898,894
1555317155,887,913
1555319559,885,862
1555322922,853,879
1555326508,875,842
1555330115,906,934
1555333708,913,909
1555336833,952,934
1555340909,924,943
1555344048,931,908
1555347399,931,937
1555350280,905,896
1555352435,916,916
1555355073,919,929
1555357967,909,923
1555360105,911,890
1555364180,935,936
1555369739,900,917
1555371635,892,896
1555375478,889,870
1555379067,895,912
1555381225,918,896
1555383394,889,889
1555385315,913,924
1555387716,913,909
1555389875,910,905
1555392028,897,897
1555394912,886,904
1555397073,882,877
1555399123,876,886
1555401636,919,913
1555403787,907,908
1555406673,924,905
1555408840,937,937
1555411952,878,902
1555414357,916,913
1555416762,910,900
1555418927,867,875
1555432356,884,866
1555435704,889,891
1555440269,912,908
1555443161,904,907
1555447005,907,919
1555450368,897,909
1555453238,864,857
1555455857,863,864
1555459932,903,888
1555463533,876,873
1555469800,875,879
1555473158,919,921
1555475537,927,921
1555477959,902,914
1555479627,858,843
1555548498,892,904
1555553319,895,893
1555555457,897,887
1555561707,904,906
1555564592,903,902
1555567732,918,919
1555569883,894,905
1555570821,663,654
1555572510,893,917
1555575394,905,880
1555579959,901,918
1555584507,921,904
1555587858,901,926
1555590738,901,891
1555594353,893,902
1555596761,858,863
1555600595,906,875
1555603940,921,920
1555607314,880,893
1555610460,900,892
1555613313,900,904
1555616443,912,904
1555620757,858,878
1555624357,904,889
1555628441,886,905
1555633468,907,894
1555637798,898,891
1555660331,906,915
1555665389,900,894
1555669002,887,887
1555674027,890,889
1555677630,896,893
1555683377,904,902
1555686768,889,888
1555693000,870,898
1555702846,913,888
1555794509,905,910
1555795455,705,701
1555797875,866,887
1555801021,891,869
1555811300,896,897
1555817291,883,894
1555822594,859,858
1555836272,870,874
1555847050,913,896
1555850436,889,895
1555854040,906,903
1555856918,904,901
1555863636,891,905
1555890763,885,891
1555932018,892,884
1555965374,500,485
1555965868,386,389
1555976696,889,887
1555980261,855,871
1555984346,893,884
1555990358,876,871
1555994194,852,870
1555998749,932,924
1556001626,930,918
1556005229,912,928
1556008123,906,892
1556010746,872,904
1556013388,899,872
1556016268,894,914
1556019976,915,892
1556022763,913,912
1556026119,888,911
1556028999,866,879
1556031888,940,904
1556034774,923,929
1556036925,825,863
1556040494,891,874
1556043134,904,895
1556046735,914,894
1556049881,901,902
1556052039,898,917
1556059740,896,882
1556063071,857,859
1556065958,908,923
1556069298,937,913
1556072906,859,874
1556076508,892,883
1556079139,882,893
1556083240,862,867
1556087307,861,858
1556089939,867,875
1556097157,867,849
1556099311,850,864
1556101705,876,855
1556104585,845,871
1556107699,914,906
1556111074,950,933
1556114690,968,967
1556117540,974,973
1556120675,930,930
1556123563,968,969
1556126451,964,983
1556129318,934,946
1556132201,922,933
1556135534,938,904
1556137957,870,913
1556142030,939,905
1556155957,926,931
1556156894,754,731
1556160279,901,906
1556163868,858,875
1556166751,921,903
1556170355,927,955
1556180918,963,935
1556184767,900,927
1556187882,937,907
1556190760,934,936
1556192924,935,930
1556196041,958,961
1556198428,927,957
1556202768,949,946
1556206363,960,937
1556209244,951,966
1556213174,980,958
1556217383,983,984
1556224599,972,971
1556231942,950,970
1556234671,933,915
1556239478,896,905
1556252436,863,895
1556253406,854,814
1556256742,936,935
1556261555,908,928
1556264669,955,936
1556270426,938,968
1556274040,917,907
1556277400,925,903
1556280978,967,967
1556284352,976,975
1556287957,926,976
1556292027,983,934
1556295631,969,971
1556299697,945,970
1556309806,903,879
1556361165,927,927
1556452345,934,957
1556455236,933,935
1556459549,954,932
1556463391,905,925
1556468425,914,925
1556476568,911,902
1556479935,969,943
1556484764,938,961
1556488587,937,912
1556496510,880,897
1556501565,950,934
1556515210,927,926
1556519557,938,968
1556523153,932,937
1556526251,971,937
1556529392,985,989
1556532989,965,969
1556537553,943,967
1556541154,928,927
1556544996,985,953
1556547873,932,993
1556550735,948,923
1556559861,984,947
1556567548,991,993
1556571639,938,985
1556574734,971,942
1556584567,971,958
1556587945,965,963
1556592765,866,891
1556595375,948,922
1556599231,924,937
1556603050,931,940
1556620380,950,928
1556637618,987,984
1556651071,998,997
1556655903,954,998
1556660914,959,916
1556690188,946,977
1556694512,928,922
1556753290,948,942
1556763636,973,954
1556777312,941,957
1556781636,961,945
1556785960,939,982
1556791241,942,943
1556796280,950,942
1556803960,925,919
1556808735,984,954
1556811867,933,985
1556817153,970,935
1556830597,928,969
1556865377,987,930
1556867536,981,983
1556877388,937,974
1556880985,975,935
1556885308,916,952
1556891665,994,957
1556895877,955,985
1556899478,937,943
1556921791,988,952
1556936193,943,986
1556954179,988,950
1556967377,948,972
1556970036,973,945
1556976271,981,982
1556989479,975,980
1557002649,965,985
1557019712,982,957
1557036493,974,977
1557039640,964,962
1557044192,974,976
1557047538,962,977
1557050923,985,969
1557054759,963,983
1557057638,935,929
1557062191,983,967
1557068189,935,982
1557073228,942,946
1557086446,500,447
1557086920,484,484
1557090764,926,981
1557108043,500,445
1557108523,495,495
1557109964,479,479
1557110412,443,500
1557113538,981,927
1557116911,960,978
1557120504,943,956
1557124341,943,948
1557126989,987,948
1557130331,937,977
1557133476,949,946
1557136354,986,951
1557140197,954,980
1557144045,974,951
1557146894,983,978
1557150753,987,987
1557154577,933,987
1557157941,986,934
1557207861,931,942
1557208829,717,726
1557212901,975,954
1557216508,935,980
1557222974,979,937
1557226101,972,977
1557230445,984,976
1557233310,992,992
1557236901,988,987
1557239548,949,990
1557243378,992,951
1557260413,950,988
1557265704,986,949
1557288036,931,958
1557309619,932,937
