DateTime,Entries,UniqueIPs
1553507552,3906,3997
1553549303,1294,1314
1553554835,1292,1311
1553581711,1651,1677
1553586040,1953,1995
1553590844,2235,2280
1553595162,2166,2210
1553605729,2443,2492
1553610526,2768,2823
1553615317,3072,3130
1553619401,3343,3408
1553622999,3620,3693
1553627534,3847,3924
1553629962,4053,4144
1553632361,4336,4433
1553635237,4579,4686
1553684913,3381,3456
1553692609,3419,3502
1553698337,3392,3484
1553705078,3401,3486
1553707957,3392,3486
1553711567,3389,3473
1553715162,3421,3503
1553719488,3088,3158
1553721634,3305,3381
1553723297,3262,3339
1553726935,3494,3580
1553727854,3709,3800
1553731287,3937,4034
1553813119,1606,1638
1553835612,918,936
1553852892,1285,1315
1553854572,1612,1648
1553861319,1930,1973
1553878347,2217,2264
1553946987,1269,1297
1553951531,1217,1243
1553956101,1539,1574
1553958537,1821,1867
1553961396,2121,2171
1553964992,2144,2195
1553968593,2433,2498
1553986335,2751,2826
1553988746,3000,3084
1553991168,3230,3327
1553994258,3454,3567
1553996922,3713,3834
1553999553,3953,4081
1554002438,4189,4321
1554004590,4406,4546
1554007723,4627,4770
1554014669,4841,4993
1554017555,5072,5228
1554025473,5278,5446
1554032678,5488,5661
1554036268,5492,5667
1554039158,5498,5671
1554042499,5723,5906
1554045625,5566,5736
1554048039,5624,5788
1554052110,5570,5722
1554058841,5534,5675
1554062521,5718,5868
1554064361,5892,6050
1554068434,6076,6235
1554072046,6254,6424
1554078508,5850,6000
1554082118,5860,6004
1554085695,5834,5976
1554089220,5619,5754
1554092432,5644,5779
1554095317,5635,5777
1554098202,5829,5983
1554101081,5842,5996
1554103968,5834,6000
1554107562,6051,6230
1554110435,6249,6438
1554113278,6233,6426
1554115952,6429,6624
1554118834,6623,6820
1554121939,6656,6854
1554125562,6515,6712
1554128428,6718,6926
1554145230,6070,6253
1554163988,5373,5526
1554168282,5430,5586
1554195614,3712,3797
1554254900,898,915
1554259235,1233,1254
1554263077,1573,1597
1554270770,1899,1930
1554281562,2218,2257
1554295226,2242,2284
1554300044,2557,2601
1554301686,2862,2918
1554305545,3164,3231
1554318382,3401,3476
1554387152,1645,1678
1554408031,908,922
1554411387,1225,1248
1554414748,1574,1610
1554418619,1850,1896
1554421227,2106,2165
1554426533,2397,2465
1554429635,2662,2735
1554433721,2914,2999
1554436848,3184,3269
1554441379,3439,3532
1554446676,3691,3791
1554449570,3932,4038
1554451480,4147,4267
1554454118,4346,4489
1554456276,4563,4713
1554459885,4738,4895
1554463229,4965,5130
1554465387,5203,5369
1554468029,5446,5615
1554471397,5664,5849
1554474281,5678,5852
1554477881,5912,6089
1554482194,6165,6346
1554485553,6377,6563
1554488436,6630,6827
1554493934,6842,7043
1554496818,6845,7033
1554499959,6874,7069
1554505024,6651,6831
1554508881,6695,6877
1554510756,6911,7101
1554528742,6091,6251
1554530175,6364,6531
1554532343,6624,6796
1554536430,6456,6627
1554540259,6512,6685
1554542414,6545,6711
1554545794,6617,6774
1554624969,1659,1685
1554652345,905,925
1554694109,1279,1304
1554695055,1607,1637
1554699400,1918,1952
1554709963,2225,2263
1554718595,2198,2229
1554721244,2514,2551
1554724121,2805,2845
1554726518,3104,3149
1554729382,3384,3432
1554732758,3684,3741
1554735872,3931,3994
1554739712,3903,3965
1554744030,4174,4240
1554754826,4482,4548
1554756992,4725,4801
1554769240,4984,5064
1554786524,4517,4585
1554791557,4740,4808
1554795875,4946,5021
1554798756,4975,5050
1554801633,5264,5346
1554803784,5544,5634
1554895460,491,500
1554899532,901,911
1554906504,1271,1285
1554910576,1591,1611
1554913224,1889,1914
1554916825,2175,2208
1554919722,2442,2486
1554923796,2696,2745
1554925953,3003,3063
1554928112,3267,3337
1554931962,3529,3611
1554935081,3792,3880
1554976569,4077,4175
1554980450,4350,4457
1555001528,3355,3453
1555003228,3356,3449
1555006603,3385,3476
1555009461,3662,3760
1555012848,3428,3519
1555017858,3420,3502
1555021206,3408,3491
1555024114,3351,3430
1555027729,3599,3685
1555044976,3856,3949
1555066327,3867,3957
1555072830,3848,3939
1555076429,4089,4186
1555080030,4331,4433
1555097554,3552,3640
1555120123,2493,2533
1555130658,2798,2843
1555221629,492,500
1555290020,931,943
1555307791,1299,1321
1555310190,1258,1281
1555312329,1594,1622
1555314737,1899,1935
1555317155,2225,2266
1555319559,2522,2572
1555322922,2814,2869
1555326508,3070,3132
1555330115,3418,3483
1555333708,3704,3773
1555336833,4036,4116
1555340909,4323,4410
1555344048,4602,4700
1555347399,4829,4940
1555350280,5059,5181
1555352435,5294,5425
1555355073,5555,5692
1555357967,5753,5898
1555360105,6012,6162
1555364180,6200,6367
1555369739,6423,6601
1555371635,6672,6852
1555375478,6859,7045
1555379067,6905,7088
1555381225,7130,7321
1555383394,7350,7549
1555385315,7490,7713
1555387716,7719,7944
1555389875,7900,8131
1555392028,8085,8327
1555394912,8099,8330
1555397073,8083,8315
1555399123,8095,8323
1555401636,8104,8334
1555403787,8055,8284
1555406673,8012,8242
1555408840,8202,8441
1555411952,8157,8394
1555414357,8165,8408
1555416762,8080,8331
1555418927,8232,8489
1555432356,7439,7677
1555435704,7528,7757
1555440269,7333,7551
1555443161,7294,7513
1555447005,7098,7306
1555450368,7311,7524
1555453238,7339,7552
1555455857,7527,7746
1555459932,7321,7535
1555463533,7353,7564
1555469800,6909,7112
1555473158,6925,7134
1555475537,6911,7126
1555477959,6917,7124
1555479627,6897,7100
1555548498,2468,2524
1555553319,2488,2547
1555555457,2754,2822
1555561707,2470,2531
1555564592,2156,2212
1555567732,2163,2222
1555569883,2447,2515
1555570821,2760,2833
1555572510,3021,3096
1555575394,3262,3346
1555579959,3532,3621
1555584507,3774,3875
1555587858,4031,4137
1555590738,4285,4397
1555594353,4514,4631
1555596761,4747,4869
1555600595,4977,5109
1555603940,5189,5332
1555607314,5391,5545
1555610460,5605,5770
1555613313,5783,5963
1555616443,5982,6169
1555620757,6173,6367
1555624357,6382,6578
1555628441,6570,6777
1555633468,6779,6989
1555637798,6748,6954
1555660331,5327,5482
1555665389,5347,5500
1555669002,5330,5485
1555674027,5314,5468
1555677630,5068,5219
1555683377,4834,4987
1555686768,5067,5229
1555693000,4839,4985
1555702846,4232,4335
1555794509,491,500
1555795455,870,882
1555797875,1188,1207
1555801021,1521,1545
1555811300,1812,1843
1555817291,2105,2142
1555822594,2379,2419
1555836272,2680,2728
1555847050,2965,3018
1555850436,3213,3269
1555854040,3479,3549
1555856918,3714,3799
1555863636,3954,4052
1555890763,3233,3305
1555932018,2413,2465
1555965868,1243,1260
1555976696,1579,1602
1555980261,1530,1559
1555984346,1846,1883
1555990358,2116,2163
1555994194,2395,2445
1555998749,2709,2769
1556001626,2999,3065
1556005229,3260,3334
1556008123,3537,3613
1556010746,3781,3866
1556013388,4018,4114
1556016268,4264,4364
1556019976,4322,4418
1556022763,4565,4671
1556026119,4763,4876
1556028999,5011,5135
1556031888,5273,5411
1556034774,5471,5614
1556036925,5708,5855
1556040494,5942,6092
1556043134,6154,6311
1556046735,6355,6524
1556049881,6566,6741
1556052039,6784,6961
1556059740,6745,6921
1556063071,6928,7112
1556065958,6941,7133
1556069298,6883,7081
1556072906,6839,7039
1556076508,7008,7212
1556079139,6966,7176
1556083240,6923,7136
1556087307,6915,7123
1556089939,6875,7082
1556097157,6444,6646
1556099311,6630,6841
1556101705,6585,6798
1556104585,6555,6767
1556107699,6592,6810
1556111074,6602,6821
1556114690,6763,6971
1556117540,6808,7021
1556120675,6821,7034
1556123563,6743,6953
1556126451,6978,7199
1556129318,7031,7253
1556132201,7111,7335
1556135534,7146,7363
1556137957,7211,7422
1556142030,7256,7463
1556155957,6770,6961
1556156894,6981,7177
1556160279,7017,7206
1556163868,7013,7198
1556166751,7070,7262
1556170355,7170,7363
1556180918,7017,7207
1556184767,7094,7279
1556187882,7163,7339
1556190760,7181,7359
1556192924,7217,7395
1556196041,7199,7374
1556198428,7268,7437
1556202768,7268,7445
1556206363,7302,7471
1556209244,7281,7444
1556213174,6932,7257
1556217383,6970,7298
1556224599,6502,6819
1556231942,6489,6814
1556234671,6716,7050
1556239478,6895,7245
1556252436,6245,6587
1556253406,6228,6575
1556256742,6439,6795
1556261555,6376,6731
1556264669,6615,6986
1556270426,6622,6997
1556274040,6603,6979
1556277400,6342,6708
1556280978,6374,6746
1556284352,6392,6765
1556287957,6402,6779
1556292027,6436,6817
1556295631,6403,6785
1556299697,6187,6396
1556309806,6113,6306
1556361165,3568,3655
1556452345,497,500
1556455236,955,962
1556459549,1371,1386
1556463391,1723,1750
1556468425,2089,2126
1556476568,2441,2492
1556479935,2784,2849
1556484764,3127,3205
1556488587,3397,3485
1556496510,3674,3769
1556501565,3969,4071
1556515210,4221,4334
1556519557,4576,4698
1556523153,4912,5044
1556526251,5151,5291
