DateTime,AddedIPs,RemovedIPs
1553507552,105,184
1553549303,163,0
1553554835,145,0
1553581711,135,170
1553586040,150,0
1553590844,125,0
1553595162,129,0
1553605729,131,0
1553610526,129,0
1553615317,122,0
1553619401,118,0
1553622999,128,0
1553627534,132,208
1553629962,122,0
1553632361,140,0
1553635237,120,0
1553684913,139,0
1553692609,135,0
1553698337,143,0
1553705078,167,0
1553707957,103,0
1553711567,108,0
1553715162,122,0
1553719488,85,218
1553721634,105,0
1553723297,132,0
1553726935,129,0
1553727854,92,0
1553731287,78,0
1553813119,151,237
1553835612,146,233
1553852892,138,170
1553854572,105,0
1553861319,133,219
1553878347,123,0
1553946987,140,165
1553951531,122,0
1553956101,134,0
1553958537,130,0
1553961396,109,0
1553964992,145,0
1553968593,123,0
1553986335,129,559
1553988746,120,0
1553991168,106,0
1553994258,114,192
1553996922,114,0
1553999553,109,217
1554002438,113,0
1554004590,114,200
1554007723,112,0
1554014669,105,0
1554017555,118,0
1554025473,121,0
1554032678,89,0
1554036268,106,0
1554039158,106,0
1554042499,99,0
1554045625,106,0
1554048039,123,0
1554052110,95,0
1554058841,89,0
1554062521,94,0
1554064361,74,0
1554068434,73,0
1554072046,108,0
1554078508,109,291
1554082118,112,157
1554085695,86,177
1554089220,112,0
1554092432,114,144
1554095317,103,157
1554098202,88,149
1554101081,109,0
1554103968,97,0
1554107562,113,144
1554110435,96,141
1554113278,86,0
1554115952,100,0
1554118834,109,0
1554121939,106,132
1554125562,94,156
1554128428,100,0
1554145230,85,0
1554163988,146,602
1554168282,106,194
1554195614,129,1031
1554254900,173,201
1554259235,125,0
1554263077,116,0
1554270770,107,0
1554281562,149,0
1554295226,122,0
1554300044,107,0
1554301686,105,0
1554305545,99,0
1554318382,111,0
1554387152,131,253
1554408031,117,182
1554411387,100,0
1554414748,107,0
1554418619,96,0
1554421227,106,0
1554426533,117,0
1554429635,98,0
1554433721,92,0
1554436848,135,0
1554441379,104,0
1554446676,103,0
1554449570,105,0
1554451480,126,0
1554454118,117,0
1554456276,118,0
1554459885,92,0
1554463229,149,151
1554465387,141,0
1554468029,154,0
1554471397,130,0
1554474281,137,0
1554477881,147,0
1554482194,165,0
1554485553,140,0
1554488436,178,170
1554493934,148,0
1554496818,99,0
1554499959,126,0
1554505024,136,0
1554508881,140,0
1554510756,135,0
1554528742,126,0
1554530175,143,0
1554532343,147,0
1554536430,100,0
1554540259,106,0
1554542414,133,0
1554545794,146,0
1554624969,181,209
1554652345,168,0
1554694109,157,205
1554695055,122,0
1554699400,129,0
1554709963,148,0
1554718595,166,0
1554721244,124,192
1554724121,148,0
1554726518,155,0
1554729382,164,0
1554732758,158,0
1554735872,156,0
1554739712,143,0
1554744030,163,0
1554754826,162,0
1554756992,165,0
1554769240,154,0
1554786524,170,177
1554791557,136,0
1554795875,132,0
1554798756,163,0
1554801633,167,0
1554803784,165,0
1554895460,156,325
1554899532,131,0
1554906504,121,0
1554910576,138,151
1554913224,111,0
1554916825,147,0
1554919722,128,0
1554923796,127,0
1554925953,149,0
1554928112,148,0
1554931962,140,0
1554935081,157,0
1554976569,168,140
1554980450,120,0
1555001528,125,0
1555003228,131,0
1555006603,129,0
1555009461,148,0
1555012848,151,0
1555017858,136,118
1555021206,159,169
1555024114,143,0
1555027729,112,144
1555044976,72,156
1555066327,152,0
1555072830,143,102
1555076429,112,0
1555080030,141,0
1555097554,115,365
1555120123,178,100
1555130658,160,344
1555221629,149,1712
1555290020,171,1333
1555307791,168,243
1555310190,139,0
1555312329,173,0
1555314737,156,0
1555317155,184,0
1555319559,163,0
1555322922,191,0
1555326508,133,188
1555330115,190,115
1555333708,180,0
1555336833,218,92
1555340909,169,100
1555344048,183,255
1555347399,97,0
1555350280,126,113
1555352435,145,0
1555355073,158,139
1555357967,113,0
1555360105,177,0
1555364180,107,0
1555369739,124,0
1555371635,179,0
1555375478,119,0
1555379067,160,0
1555381225,145,0
1555383394,153,0
1555385315,88,0
1555387716,147,0
1555389875,112,0
1555392028,120,0
1555394912,132,112
1555397073,100,120
1555399123,161,0
1555401636,125,0
1555403787,97,0
1555406673,104,0
1555408840,116,0
1555411952,115,0
1555414357,141,110
1555416762,102,0
1555418927,100,97
1555432356,135,268
1555435704,151,136
1555440269,119,124
1555443161,138,0
1555447005,137,0
1555450368,142,0
1555453238,140,0
1555455857,135,0
1555459932,130,125
1555463533,114,0
1555469800,144,220
1555473158,84,0
1555475537,119,0
1555477959,108,0
1555479627,127,0
1555548498,129,485
1555553319,157,0
1555555457,121,0
1555561707,107,0
1555564592,106,0
1555567732,127,0
1555569883,139,0
1555570821,184,112
1555572510,137,104
1555575394,103,101
1555579959,167,244
1555584507,117,0
1555587858,149,0
1555590738,122,99
1555594353,138,0
1555596761,134,0
1555600595,101,119
1555603940,106,113
1555607314,118,124
1555610460,112,0
1555613313,81,0
1555616443,127,0
1555620757,105,0
1555624357,124,0
1555628441,105,0
1555633468,115,0
1555637798,78,112
1555660331,124,128
1555665389,147,0
1555669002,115,0
1555674027,99,0
1555677630,140,239
1555683377,119,103
1555686768,138,0
1555693000,128,106
1555702846,123,114
1555794509,151,143
1555795455,162,0
1555797875,138,0
1555801021,105,0
1555811300,112,137
1555817291,153,218
1555822594,138,109
1555836272,170,177
1555847050,124,107
1555850436,84,99
1555854040,158,80
1555856918,98,92
1555863636,101,0
1555890763,114,311
1555932018,108,214
1555965868,152,256
1555976696,108,375
1555980261,106,0
1555984346,117,95
1555990358,143,0
1555994194,155,0
1555998749,128,0
1556001626,147,0
1556005229,129,115
1556008123,169,210
1556010746,127,98
1556013388,122,89
1556016268,149,119
1556019976,138,195
1556022763,160,115
1556026119,106,85
1556028999,166,0
1556031888,158,128
1556034774,132,109
1556036925,163,0
1556040494,150,67
1556043134,121,101
1556046735,124,0
1556049881,149,0
1556052039,138,90
1556059740,128,224
1556063071,130,0
1556065958,120,0
1556069298,86,0
1556072906,94,0
1556076508,98,0
1556079139,96,0
1556083240,115,0
1556087307,134,0
1556089939,118,0
1556097157,116,0
1556099311,113,0
1556101705,109,110
1556104585,132,0
1556107699,137,0
1556111074,136,0
1556114690,214,0
1556117540,165,0
1556120675,157,0
1556123563,210,0
1556126451,144,0
1556129318,182,0
1556132201,203,0
1556135534,127,0
1556137957,176,0
1556142030,176,101
1556155957,162,134
1556156894,113,0
1556160279,118,0
1556163868,105,0
1556166751,144,0
1556170355,164,0
1556180918,129,177
1556184767,137,103
1556187882,151,109
1556190760,130,0
1556192924,130,0
1556196041,146,0
1556198428,182,108
1556202768,177,110
1556206363,165,0
1556209244,119,100
1556213174,308,89
1556217383,189,116
1556224599,173,352
1556231942,137,123
1556234671,117,0
1556239478,99,0
1556252436,129,0
1556253406,122,0
1556256742,132,0
1556261555,120,0
1556264669,123,0
1556270426,148,0
1556274040,117,0
1556277400,108,99
1556280978,158,0
1556284352,162,0
1556287957,204,104
1556292027,187,109
1556295631,154,0
1556299697,118,123
1556309806,126,257
1556361165,127,643
1556452345,135,417
1556455236,166,107
1556459549,137,0
1556463391,148,0
1556468425,150,0
1556476568,159,114
1556479935,165,0
1556484764,150,0
1556488587,115,0
1556496510,132,0
1556501565,132,0
1556515210,126,0
1556519557,169,0
1556523153,176,0
1556526251,113,0
1556529392,218,0
1556532989,205,0
1556537553,172,0
1556541154,166,100
1556544996,244,107
1556547873,208,0
1556550735,237,182
1556559861,236,182
1556567548,172,107
1556571639,187,0
1556574734,146,0
1556584567,176,282
1556587945,142,85
1556592765,139,188
1556595375,148,116
1556599231,124,104
1556603050,148,114
1556620380,172,288
1556637618,203,348
1556651071,379,417
1556655903,181,91
1556660914,179,168
1556690188,135,713
1556694512,162,240
1556753290,141,1225
1556763636,192,289
1556777312,131,0
1556781636,161,0
1556785960,231,0
1556791241,181,146
1556796280,188,0
1556803960,159,0
1556808735,214,0
1556811867,252,0
1556817153,129,0
1556830597,211,0
1556865377,210,517
1556867536,132,0
1556877388,206,161
1556880985,165,0
1556885308,159,0
1556891665,230,133
1556895877,159,251
1556899478,204,144
1556921791,158,127
1556936193,217,0
1556954179,151,0
1556967377,162,0
1556970036,197,0
1556976271,123,0
1556989479,207,106
1557002649,183,98
1557019712,201,530
1557036493,140,469
1557039640,152,116
1557044192,143,220
1557047538,167,114
1557050923,201,99
1557054759,133,90
1557057638,154,307
1557062191,193,144
1557068189,187,276
1557073228,212,147
1557086920,158,677
1557090764,193,131
1557108523,195,623
1557109964,195,0
1557113538,189,0
1557116911,134,0
1557120504,178,0
1557124341,174,282
1557126989,171,182
1557130331,175,162
1557133476,174,174
1557136354,191,185
1557140197,146,192
1557144045,155,0
1557146894,180,0
1557150753,192,0
1557154577,239,0
1557157941,201,0
1557207861,118,0
1557208829,138,0
1557212901,173,0
1557216508,219,0
1557222974,184,162
1557226101,178,0
1557230445,194,0
1557233310,244,0
1557236901,197,0
1557239548,212,0
1557243378,157,0
1557260413,192,134
1557265704,148,0
1557288036,143,276
1557309619,186,256
