DateTime,AddedIPs,RemovedIPs
1555304759,1,1
1555311966,0,1
1555315561,1,1
1555319165,1,0
1555333563,1,2
1555340762,1,1
1555344357,0,1
1555347957,0,1
1555351562,1,0
1555355164,0,1
1555358756,0,1
1555362353,0,2
1555365957,4,1
1555369564,2,0
1555373158,1,0
1555380350,0,18
1555387555,1,1
1555391156,2,0
1555394753,2,1
1555398359,0,1
1555401956,1,0
1555405561,1,0
1555409161,1,0
1555412758,3,2
1555416359,2,3
1555419957,0,2
1555423554,2,1
1555427167,15,0
1555430757,0,2
1555434363,1,0
1555437960,1,0
1555441562,1,0
1555445163,0,1
1555448757,0,2
1555452357,1,1
1555455959,1,1
1555459559,1,1
1555463159,1,0
1555466767,1,0
1555470367,2,1
1555481161,0,1
1555484764,1,0
1555488367,1,0
1555491962,1,1
1555495561,0,2
1555502764,2,1
1555506373,8,2
1555510011,29,1
1555513626,21,0
1555517210,1,22
1555520814,2,1
1555524410,3,0
1555528016,3,1
1555531613,3,1
1555535213,2,1
1555538812,1,2
1555542412,0,4
1555546010,0,1
1555549621,6,0
1555553217,2,0
1555556818,1,2
1555560418,6,0
1555564021,2,0
1555567641,13,0
1555571244,2,0
1555574841,1,3
1555578440,0,1
1555582044,4,1
1555585644,0,1
1555589248,2,1
1555592847,3,0
1555596451,3,0
1555600057,2,1
1555603649,3,20
1555607265,18,2
1555610852,3,5
1555614453,2,2
1555618046,2,3
1555621643,3,5
1555625246,0,2
1555628847,1,3
1555632445,1,2
1555636044,5,2
1555639642,2,1
1555650443,4,2
1555654038,1,4
1555657644,0,1
1555661232,2,5
1555664834,2,2
1555668432,1,4
1555672041,2,1
1555675632,0,1
1555679240,3,0
1555682839,0,1
1555686441,0,1
1555690041,0,1
1555693634,1,3
1555697216,0,20
1555700829,1,3
1555704416,1,2
1555708013,4,2
1555711613,1,1
1555715218,1,6
1555718809,1,1
1555722414,2,0
1555726011,1,0
1555733219,20,3
1555736823,1,0
1555740418,1,1
1555747620,2,1
1555751217,2,2
1555754819,1,0
1555758426,3,0
1555762023,2,0
1555765626,2,0
1555769229,2,1
1555772831,2,0
1555776430,1,0
1555783629,0,1
1555790833,2,1
1555794437,1,0
