DateTime,AddedIPs,RemovedIPs
1555020233,2,2
1555023845,6,0
1555027439,3,1
1555031051,5,5
1555034651,2,0
1555038247,1,0
1555045444,1,0
1555049046,1,0
1555052648,0,1
1555063446,1,0
1555070645,1,2
1555074246,1,1
1555077846,1,1
1555081447,0,1
1555088646,2,0
1555092258,22,0
1555095865,2,0
1555110263,3,1
1555113860,1,2
1555121058,0,2
1555124663,1,1
1555128243,0,23
1555131845,3,1
1555139050,0,2
1555142649,2,0
1555146247,1,1
1555149845,0,1
1555160645,0,2
1555164244,1,0
1555171442,0,2
1555175045,1,1
1555178648,0,1
1555185851,0,3
1555196646,1,3
1555200249,0,1
1555203841,0,1
1555207450,22,2
1555211058,3,0
1555214655,1,0
1555218259,2,2
1555221858,1,1
1555232654,0,3
1555239857,0,1
1555243452,1,1
1555250651,1,1
1555254251,1,2
1555257853,0,5
1555261441,1,21
1555265048,1,2
1555268642,0,2
1555272236,1,6
1555275839,1,4
1555279439,2,4
1555283044,1,6
1555286641,0,6
1555290233,0,7
1555293840,21,11
1555297443,1,0
1555304642,1,0
1555311845,0,1
1555315443,1,0
1555319044,1,0
1555362250,0,1
1555365850,3,0
1555369450,2,0
1555373047,1,0
1555380241,0,17
1555387442,1,0
1555391043,1,0
1555394642,1,1
1555401844,1,0
1555405445,1,0
1555409046,1,0
1555412651,3,1
1555416249,1,0
1555419847,0,1
1555423449,2,1
1555427060,15,0
1555430652,0,2
1555434254,1,0
1555437859,1,0
1555441458,1,0
1555452260,1,1
1555455856,0,1
1555459454,1,1
1555463060,1,0
1555466656,1,0
1555470266,2,0
1555481062,0,1
1555484662,1,0
1555491859,1,1
1555495457,0,2
1555502660,2,1
1555506262,0,2
1555509863,0,1
1555513476,21,0
1555517058,0,20
1555520658,1,1
1555524257,3,0
1555527861,3,1
1555531464,3,1
1555538658,0,1
1555542262,0,1
1555545857,0,1
1555549460,5,0
1555553061,2,0
1555556666,0,2
1555560261,3,0
1555563868,1,0
1555574662,0,1
1555581863,2,1
1555589064,1,0
1555596266,1,0
1555599871,1,1
1555603463,3,19
1555607070,15,1
1555610670,2,3
1555614277,1,0
1555617869,1,0
1555621473,2,2
1555628674,0,1
1555632271,1,2
1555635868,5,1
1555639473,2,1
1555650276,4,2
1555653867,1,4
1555657473,0,1
1555661061,2,4
1555664663,2,2
1555668264,1,6
1555671861,1,1
1555675458,0,1
1555679059,1,0
1555689857,0,1
1555693459,1,3
1555697050,0,19
1555700649,1,3
1555704243,0,1
1555707847,4,1
1555711443,0,1
1555715047,1,3
1555718645,1,1
1555722242,2,0
1555725844,1,0
1555733051,20,2
1555736652,1,0
1555740255,1,1
1555747452,2,1
1555751052,2,1
1555754652,1,0
1555758260,1,0
1555761852,1,0
1555765455,1,0
1555769059,0,1
1555772663,2,0
1555776260,1,0
1555783456,0,1
1555790655,1,1
1555794257,1,0
1555797857,1,1
1555801459,0,1
1555805059,0,1
1555808657,5,0
1555812252,9,18
1555815856,6,2
1555819461,24,2
1555826665,8,1
1555833865,2,1
1555844667,0,1
1555848264,1,2
1555851865,0,1
1555855469,1,0
1555859076,0,2
1555862666,2,3
1555866265,1,3
1555869868,4,1
1555873470,1,2
1555877071,1,3
1555880667,1,2
1555887866,2,2
1555895065,1,1
1555898660,0,17
1555902264,1,2
1555905856,1,0
1555916665,1,1
1555920261,3,1
1555923859,1,2
1555927460,0,2
1555931059,0,1
1555934656,0,1
1555938267,18,0
1555941867,1,0
1555949068,1,0
1555952672,0,1
1555956273,2,1
1555959875,3,0
1555963480,1,0
1555967069,4,2
1555970667,1,4
1555974266,0,3
1555977864,3,2
1555981464,2,1
1555985065,0,1
1555999459,0,2
1556003068,3,0
1556006662,0,1
1556010260,0,2
1556013862,0,1
1556017465,0,2
1556021054,2,2
1556024662,16,1
1556028263,1,2
1556031855,2,19
1556035453,3,0
1556039055,1,1
1556049858,0,1
1556053459,2,0
1556057059,0,1
1556060657,1,0
1556064261,3,1
1556067855,0,1
1556075056,0,2
1556078655,2,0
1556082255,1,0
1556085857,4,1
1556089461,0,1
1556093056,0,1
1556096654,0,1
1556103857,3,0
1556107459,2,1
1556111064,19,0
1556114664,2,0
1556118258,0,17
1556121857,1,0
1556132660,2,2
1556136254,0,2
1556143462,1,0
1556147062,1,0
1556150660,1,0
1556154258,1,1
1556157858,1,0
1556161462,1,0
1556165062,0,1
1556168658,0,1
1556175874,1,0
1556179458,1,0
1556183058,1,0
1556186660,2,0
1556190268,1,0
1556193857,0,1
1556197458,0,1
1556204660,0,2
1556208258,0,1
1556211851,1,18
1556215451,1,0
1556222649,0,1
1556226252,1,3
1556229855,3,0
1556233469,12,0
1556240666,0,2
1556244264,0,1
1556247866,1,1
1556255062,0,2
1556262266,1,0
1556265859,0,2
1556269461,2,0
1556273062,1,0
1556276659,1,3
1556280255,0,2
1556283860,1,2
1556287455,0,2
1556291062,2,0
1556294659,1,1
1556301862,0,1
1556309058,0,1
1556312654,0,3
1556319857,15,2
1556323467,2,0
1556327062,0,1
1556330657,1,0
1556337848,1,12
1556341447,0,1
1556348650,1,0
1556352245,0,3
1556359449,0,3
1556363045,0,2
1556373843,0,1
1556381043,0,1
1556384643,1,1
1556388249,1,0
1556391844,1,0
1556395441,0,5
1556399042,0,1
1556402643,2,1
1556406248,2,0
1556413440,0,6
1556417039,0,4
1556420642,0,5
1556424230,0,22
1556427821,1,14
1556431426,0,3
1556435026,0,1
1556438627,15,2
1556449427,1,1
1556453034,1,0
1556456632,2,0
1556460228,4,3
1556463833,5,0
1556467435,2,1
1556471032,1,0
1556474634,2,1
1556478234,1,0
1556481833,1,5
1556485432,6,1
1556489032,4,0
1556492636,2,1
1556496237,2,0
1556499844,1,0
1556503439,1,0
1556507038,2,0
1556510636,1,0
1556514237,1,0
1556517846,3,0
1556521447,6,1
1556525050,23,2
1556528652,0,1
1556532249,1,0
1556535849,0,1
1556539452,1,1
1556543044,0,20
1556546640,2,0
1556550242,4,1
1556561044,0,1
1556564640,2,2
1556568236,1,4
1556571838,1,4
1556575441,3,2
1556579039,0,4
1556582637,1,2
1556586235,1,0
1556593439,1,0
1556597041,1,0
1556604240,1,0
1556607840,2,2
1556611446,17,0
1556615051,1,1
1556618646,2,0
1556622260,13,2
1556625864,25,0
1556629453,3,19
1556633055,2,1
1556636656,0,1
1556640251,0,3
1556643854,2,2
1556647451,1,1
1556651054,2,0
1556654654,1,0
1556658254,1,3
1556661853,1,0
1556665454,0,1
1556669061,1,0
1556672669,3,0
1556676261,2,2
1556683458,3,1
1556687057,0,2
1556690669,4,2
1556694262,4,0
1556697868,1,0
1556701472,2,0
1556708672,0,2
1556715859,1,14
1556723064,3,0
1556726662,14,1
1556730279,18,0
1556733885,5,0
1556737485,0,2
1556741078,0,1
1556744688,6,0
1556748293,0,1
1556755486,2,0
1556759088,3,0
1556762682,0,1
1556766283,0,3
1556773482,4,0
1556777085,0,1
1556784282,0,1
1556787888,0,1
1556791481,0,3
1556798690,1,1
1556805880,0,1
1556813084,8,0
1556816683,5,2
1556820284,1,1
1556823888,1,0
1556827490,2,2
1556831087,0,2
1556834686,3,1
1556838280,0,15
1556841884,1,1
1556845481,1,2
1556852680,0,1
1556867080,2,0
1556874280,1,1
1556877877,0,3
1556881485,2,0
1556885083,2,1
1556888684,1,0
1556895890,1,0
1556899478,0,2
1556903083,7,1
1556906687,5,0
1556910292,3,1
1556913886,1,1
1556921088,1,0
1556924687,0,11
1556928286,1,2
1556931882,2,2
1556935482,1,0
1556939083,0,1
1556942684,2,2
1556946293,5,0
1556949889,1,2
1556953488,1,1
1556971490,2,0
1556975093,1,0
1556985892,2,0
1556989498,0,2
1556993091,0,1
1556996689,3,1
1557000289,1,1
1557003894,0,2
1557007486,1,4
1557011086,0,2
1557014690,0,1
1557025484,0,2
1557029090,19,2
1557032689,0,2
1557043481,1,17
1557050679,1,2
1557054276,1,0
1557057881,0,1
1557061483,1,2
1557065073,0,3
1557068677,0,2
1557072272,0,2
1557079468,2,3
1557083067,0,4
1557086667,0,1
1557090268,1,6
1557093871,2,3
1557097467,0,2
1557101063,0,2
1557104665,0,1
1557108265,0,1
1557111865,1,2
1557115500,38,0
1557119099,0,1
1557122701,0,4
1557126311,21,6
1557129907,14,21
1557133505,0,1
1557137101,0,1
1557144302,1,1
1557147903,2,0
1557151511,0,2
1557155104,0,2
1557158702,0,1
1557165908,0,1
1557169504,2,2
1557173101,0,1
1557176716,3,0
1557180309,4,1
1557183908,2,0
1557191112,3,1
1557194709,0,1
1557198318,3,1
1557201914,1,0
1557205514,1,0
1557209118,3,0
1557212713,0,3
1557216309,1,20
1557219906,0,2
1557223512,1,3
1557227096,0,9
1557230686,0,27
1557234280,0,7
1557237884,14,5
1557252290,2,1
1557259483,1,1
1557266684,1,0
1557270284,1,0
1557277482,0,3
1557281086,2,2
1557284687,2,1
1557288284,1,3
1557295483,0,3
1557299089,1,3
1557302679,0,1
1557306281,1,2
1557309877,1,0
