DateTime,AddedIPs,RemovedIPs
1555121294,1,0
1555125096,2,1
1555128498,0,3
1555135691,0,1
1555142893,1,0
1555150097,1,1
1555153881,3,1
1555157295,1,2
1555160904,2,0
1555164491,1,0
1555168293,0,2
1555171694,1,3
1555178898,0,2
1555182674,0,1
1555186102,2,1
1555189695,1,2
1555193292,2,4
1555197066,0,2
1555200495,1,0
1555204093,1,2
1555207692,2,3
1555211460,1,0
1555214889,4,1
1555229291,0,1
1555240269,1,0
1555247288,1,0
1555250894,4,0
1555254696,2,1
1555258099,0,1
1555261696,0,1
1555265295,0,1
1555269079,2,0
1555272510,3,0
1555276112,7,1
1555279704,2,0
1555283487,9,2
1555286911,4,1
1555290511,2,2
1555294106,1,0
1555297871,0,1
1555301302,0,2
1555304906,0,1
1555308522,1,1
1555312261,0,1
1555315704,0,1
1555322900,0,3
1555326678,0,3
1555330091,1,1
1555333688,1,6
1555337290,1,5
1555341042,1,9
1555344488,1,6
1555348096,1,1
1555351690,1,0
1555355452,0,1
1555358891,1,0
1555362493,2,1
1555366098,2,0
1555369862,2,0
1555373294,3,4
1555376895,1,3
1555380490,2,2
1555384268,0,2
1555394890,1,1
1555398680,0,1
1555405690,3,1
1555409290,0,2
1555413074,0,1
1555420082,1,4
1555423679,0,1
1555427500,1,0
1555430887,2,1
1555434486,1,3
1555438081,2,1
1555445291,2,2
1555448882,1,1
1555452482,0,1
1555456286,2,4
1555459678,1,0
1555463284,1,1
1555466877,0,2
1555470658,1,0
1555474070,0,1
1555477681,2,0
1555488471,0,1
1555492074,2,0
1555495678,2,0
1555499467,2,0
1555506480,0,2
1555510084,2,0
1555513887,0,1
1555520879,0,1
1555524478,2,4
1555528277,2,1
1555531685,2,2
1555535279,1,2
1555538876,1,2
1555542663,1,2
1555546073,1,2
1555549678,2,2
1555553272,1,2
1555557055,0,2
1555564065,0,2
1555567668,1,0
1555571489,2,0
1555574873,1,2
1555578465,0,2
1555582070,0,1
1555585834,1,0
1555589268,0,2
1555592869,0,1
1555596465,2,1
1555600267,0,3
1555603662,1,2
1555607262,0,1
1555610872,5,2
1555618076,3,2
1555621669,2,0
1555625279,2,0
1555629050,5,5
1555632476,1,1
1555636081,0,2
1555639669,0,2
1555643451,0,3
1555646871,4,0
1555650472,3,1
1555654070,1,0
1555657856,2,1
1555661274,2,1
1555664873,2,0
1555668474,2,0
1555672269,0,1
1555675673,3,1
1555679275,2,1
1555682872,3,1
1555686666,2,1
1555690076,0,2
1555693680,7,0
1555697281,3,1
1555701078,4,1
