DateTime,AddedIPs,RemovedIPs
1550574228,0,1
1550577906,0,1
1550581442,1,0
1550585061,0,1
1550592254,0,2
1550606676,0,1
1550624653,1,0
1550678628,0,1
1550693037,1,0
1550700214,1,0
1550703822,1,0
1550711031,1,0
1550743429,0,1
1550775813,1,2
1550779421,0,1
1550783015,2,0
1550786636,1,0
1550801039,1,0
1550808267,0,1
1550833446,0,1
1550840658,1,0
1550851459,1,0
1550873047,1,0
1550883835,1,0
1550901834,1,1
1550919845,0,1
1550930604,1,0
1550934227,0,1
1550941467,1,0
1550955840,0,1
1551013453,0,1
1551027829,0,2
1551031431,0,1
1551038609,1,0
1551049424,0,1
1551074625,1,0
1551096221,0,1
1551099827,0,1
1551107044,1,0
1551114241,1,0
1551117798,1,0
1551121414,2,0
1551125020,1,0
1551128644,1,0
1551135827,1,1
1551143021,0,1
1551146661,1,0
1551150263,1,0
1551171854,1,1
1551175432,0,1
1551179054,0,2
1551182622,0,2
1551186246,0,2
1551215032,0,1
1551229433,0,1
1551297858,0,1
1551319454,0,1
1551341057,1,0
1551344652,1,0
1551351857,1,0
1551366268,1,0
1551369839,1,0
1551380661,0,1
1551384275,2,0
1551387837,1,0
1551391485,0,1
1551398627,2,0
1551405834,1,0
1551409431,1,0
1551445414,0,1
1551456226,0,1
1551470633,1,0
1551477842,0,1
1551506602,0,1
1551513827,0,1
1551517405,1,0
1551524606,1,0
1551531806,1,0
1551542596,1,0
1551546211,0,1
1551553403,1,0
1551557011,0,1
1551571419,0,1
1551618214,1,0
1551629030,0,1
1551636223,1,0
1551647005,1,0
1551654200,1,0
1551657805,0,1
1551665027,1,0
1551679406,1,0
1551690206,1,0
1551693804,0,1
1551704591,1,0
1551708200,1,0
1551711804,0,1
1551715394,1,0
1551718965,1,2
1551726202,0,3
1551729816,0,1
1551733418,0,2
1551805405,1,0
1551809037,1,0
1551812617,1,0
1551819852,2,0
1551823440,1,0
1551870207,1,0
1551877445,0,1
1551888212,0,1
1551891815,0,1
1551899039,0,1
1551913416,0,1
1551931405,0,1
1551934991,0,2
1551945876,0,1
1551953024,0,3
1551963820,0,1
1551981852,0,1
1551989067,8,2
1551992608,0,1
1551999842,0,1
1552003474,0,2
1552007043,1,0
1552010680,0,1
1552053817,1,0
1552057419,0,2
1552061054,0,1
1552064630,0,1
1552075425,0,1
1552082607,0,1
1552097004,0,1
1552118641,0,1
1552122219,0,1
1552140217,0,1
1552147398,0,1
1552205042,7,0
1552219443,0,1
1552233839,0,1
1552241006,1,0
1552244615,0,1
1552251786,0,2
1552273415,0,1
1552284187,0,1
1552291431,0,1
1552295021,1,0
1552305793,0,1
1552320212,0,1
1552338211,0,1
1552345419,0,1
1552359833,1,1
1552385011,2,0
1552403022,1,0
1552410254,0,1
1552413815,0,1
1552417394,0,2
1552424613,0,1
1552428205,0,1
1552467822,0,1
1552475011,0,3
1552485811,1,0
1552550598,1,0
1552575811,0,1
1552593820,0,1
1552601026,1,0
1552658618,0,1
1552680228,1,0
1552691022,1,0
1552701801,1,0
1552737826,1,0
1552752233,0,2
1552763012,0,3
1552766626,1,0
1552770220,1,0
1552799033,0,1
1552802641,1,0
1552806258,1,0
1552809856,0,1
1552831436,2,0
1552845835,0,1
1552849413,1,0
1552856616,1,0
1552899821,0,1
1552907016,1,0
1552939437,0,1
1552943024,2,0
1552957418,1,0
1552964628,1,0
1552989829,0,3
1553033022,1,0
1553090631,0,2
1553105034,1,0
1553108615,1,0
1553126622,1,0
1553159034,1,0
1553180634,0,1
1553195021,1,1
1553241841,1,0
1553281424,1,0
1553328212,1,0
1553346221,0,1
1553360637,1,1
1553403829,0,1
1553432639,0,1
1553439833,1,0
1553447040,1,0
1553450661,1,0
1553454242,1,0
1553461461,0,1
1553465046,0,1
1553483037,0,2
1553490221,0,2
1553508236,0,1
1553511805,0,1
1553519024,1,1
1553533416,0,1
1553547800,0,1
1553573023,0,1
1553594622,2,0
1553601822,2,1
1553623440,1,0
1553637823,0,1
1553652178,1,0
1553655821,1,1
1553677438,1,0
1553688256,1,0
1553691876,0,1
1553734894,1,0
1553742098,0,1
1553745693,0,1
1553752892,1,0
1553763695,1,0
1553767297,1,0
1553796103,1,0
1553803303,0,1
1553835839,1,0
1553839307,2,0
1553846622,1,0
1553850111,1,0
1553853712,2,0
1553860912,0,1
1553871712,1,0
1553875313,1,0
1553879017,1,0
1553886112,1,1
1553900514,1,1
1553914918,0,1
1553932916,0,1
1553943819,1,0
1553961719,1,0
1553965323,1,0
1553968923,1,0
1553972521,1,0
1553979862,1,0
1554030132,1,0
1554037415,1,0
1554044527,0,1
1554048125,0,1
1554051723,1,1
1554055329,2,1
1554058927,0,1
1554084124,1,0
1554113010,1,0
1554127322,0,1
1554199319,0,1
1554206536,0,2
1554228109,0,1
1554235333,1,0
1554256914,0,1
1554260525,3,1
1554267729,2,0
1554271326,0,1
1554274933,1,1
1554278534,3,1
1554285729,0,1
1554292939,0,2
1554307329,1,0
1554310932,1,0
1554314560,2,0
1554318147,2,0
1554343338,0,1
1554346938,0,1
1554357738,0,1
1554372138,0,1
1554400931,0,1
1554415353,1,0
1554422538,0,1
1554426137,1,0
1554440627,1,1
1554444135,0,1
1554458538,1,0
1554469342,1,0
1554480152,0,1
1554483743,0,3
1554494488,1,0
1554498090,0,1
1554505466,0,1
1554512481,0,2
1554548680,4,2
1554552089,1,0
1554559288,1,0
1554566486,1,0
1554573689,0,2
1554580884,1,3
1554584485,1,1
1554602495,1,0
1554613290,1,0
1554616887,1,0
1554638490,1,1
1554642095,1,1
1554656491,0,1
1554660086,0,2
1554681691,1,0
1554688885,0,1
1554739287,1,0
1554760891,1,0
1554768093,1,0
1554843688,0,1
1554854491,1,0
1554865489,0,1
1554872491,1,0
1554883301,0,1
1554897831,1,0
1554904892,1,1
1554912087,0,3
1554915688,0,5
1554919384,0,4
1554923002,1,2
1554955272,2,0
1554958883,2,0
1554966172,1,0
1554969682,1,0
1554976879,1,0
1554980580,1,0
1554998497,1,0
1555045279,0,1
1555056080,0,1
1555059684,1,0
1555102877,0,1
1555117284,1,0
1555156875,1,4
1555160478,1,0
1555164070,0,1
1555171270,0,1
1555185676,1,1
1555221669,0,1
1555239856,0,1
1555246868,0,1
1555250468,1,0
1555268653,1,0
1555279271,1,0
1555300870,0,1
1555315278,1,0
1555329675,1,0
1555340634,0,1
1555365672,0,1
1555372869,0,1
1555401668,1,0
1555408868,1,0
1555419669,1,0
1555423271,1,0
1555430471,2,0
1555434076,2,0
1555437681,1,0
1555444880,3,0
1555473678,0,1
1555488077,0,2
1555502479,1,0
1555506081,1,0
1555509679,1,0
1555520483,1,1
1555524083,1,0
1555563684,0,1
1555578077,0,2
1555585448,0,1
1555603271,1,3
1555606871,1,1
1555610474,1,0
1555617681,1,0
1555621275,0,1
1555643057,0,1
1555664478,1,1
1555668080,2,0
1555704079,1,1
1555707687,1,0
1555711288,1,0
1555718480,0,1
1555722079,1,0
1555768876,0,1
1555779680,1,0
1555804882,1,0
1555819279,0,1
1555837283,1,0
1555876885,1,1
1555880491,1,0
1555912882,0,1
1555920080,0,1
1555963282,1,0
1555974251,0,1
1555977684,1,0
1556006483,1,1
1556010085,1,0
