DateTime,AddedIPs,RemovedIPs
1552803783,23,42
1552807350,42,42
1552810968,28,44
1552814610,32,44
1552818191,32,45
1552821776,31,42
1552825389,35,47
1552829017,28,61
1552832574,28,59
1552836167,47,47
1552839869,4,199
1552843400,270,82
1552847030,105,38
1552850635,129,52
1552854113,146,45
1552857719,78,37
1552861316,63,53
1552864915,48,45
1552868525,40,61
1552872138,46,52
1552875704,36,50
1552879326,32,55
1552882948,31,42
1552886577,39,60
1552890192,39,63
1552893819,35,54
1552897410,31,59
1552901026,32,70
1552904667,31,47
1552908222,45,48
1552911806,31,61
1552915394,43,64
1552919004,38,48
1552922630,54,56
1552926212,72,141
1552929928,149,150
1552933552,93,122
1552937136,56,63
1552940752,108,56
1552944384,74,49
1552947940,46,40
1552951535,56,40
1552955135,35,39
1552958739,38,63
1552962310,27,44
1552965873,27,40
1552969481,37,54
1552973022,34,39
1552976589,28,42
1552980179,24,64
1552983777,30,74
1552987360,36,60
1552990956,45,55
1552994514,53,40
1552998140,32,42
1553001722,30,55
1553005350,44,57
1553008932,29,66
1553012521,43,74
1553016150,29,67
1553019732,48,45
1553023347,32,47
1553026948,35,47
1553030598,48,52
1553034204,174,70
1553037847,107,51
1553041440,86,51
1553045015,67,54
1553048642,50,45
1553052197,51,50
1553055781,32,48
1553063090,60,110
1553066740,35,46
1553070298,33,65
1553073910,37,52
1553077395,37,46
1553081060,37,64
1553084643,80,72
1553088225,72,62
1553091790,55,47
1553095617,58,63
1553099273,50,49
1553102901,38,54
1553109826,70,124
1553113428,31,61
1553117017,31,60
1553120629,31,55
1553124219,36,40
1553127837,31,39
1553131416,22,57
1553135014,30,69
1553138565,30,49
1553142144,30,40
1553145741,40,52
1553149360,23,44
1553152963,23,50
1553156496,30,41
1553160106,24,61
1553163701,43,49
1553167298,38,52
1553170901,24,49
1553174519,38,42
1553178082,33,40
1553181692,36,40
1553185305,27,50
1553188935,44,44
1553192523,50,52
1553196122,33,47
1553199785,92,52
1553203386,102,40
1553206958,72,37
1553210562,35,48
1553214166,40,47
1553217771,39,50
1553221327,33,46
1553224930,54,44
1553228547,41,52
1553232121,32,43
1553235725,34,51
1553239313,34,55
1553242944,33,47
1553246564,36,34
1553250149,40,49
1553253735,38,48
1553257353,45,37
1553260936,38,43
1553264563,37,55
1553268141,32,54
1553275514,86,84
1553278992,37,33
1553282611,30,47
1553286221,59,42
1553289787,55,47
1553293398,49,44
1553296987,50,50
1553300567,31,33
1553304174,22,38
1553307749,34,23
1553311377,30,36
1553314966,27,34
1553318514,34,41
1553322092,28,42
1553325675,41,52
1553329250,49,70
1553332864,55,60
1553336441,31,35
1553340047,30,32
1553343656,28,40
1553347273,59,48
1553350881,57,40
1553354532,50,38
1553358197,64,38
1553361820,48,42
1553365425,37,49
1553369069,39,41
1553372643,50,40
1553376210,104,48
1553379856,76,33
1553383443,58,37
1553387044,42,32
1553390626,34,50
1553394189,38,34
1553397835,40,30
1553401326,41,34
1553404918,23,39
1553408531,30,32
1553412091,37,45
1553415688,28,26
1553419295,30,37
1553422906,40,32
1553426504,40,39
1553430096,48,36
1553433684,41,39
1553437321,30,39
1553440964,32,60
1553444547,32,57
1553448149,30,60
1553451702,39,44
1553455340,42,45
1553458978,140,42
1553462562,90,40
1553466143,109,38
1553469735,73,45
1553476957,91,94
1553480590,50,46
1553484141,37,39
1553487735,31,51
1553491279,29,59
1553494872,27,58
1553498473,36,54
1553502066,39,51
1553505665,42,55
1553509257,33,39
1553512842,40,52
1553516471,25,39
1553520071,28,53
1553523675,39,46
1553527254,39,53
1553530869,29,48
1553534476,136,50
1553538092,91,50
1553541684,62,57
1553545260,61,44
1553548861,39,43
1553552464,50,40
1553556066,53,44
1553559670,29,51
1553563257,38,40
1553566861,28,34
1553570462,33,41
1553574061,32,62
1553577633,20,54
1553581232,32,47
1553584832,38,32
1553588429,39,48
1553592036,32,49
1553595632,59,61
1553599243,172,60
1553602852,142,47
1553606487,112,35
1553610071,93,60
1553613708,86,47
1553617339,69,62
1553620982,47,51
1553624632,47,101
1553628281,42,56
1553631934,101,34
1553635534,99,33
1553639115,51,51
1553642711,48,45
1553646302,41,57
1553649882,33,61
1553653494,26,49
1553657052,56,67
1553660691,38,53
1553664173,17,43
1553667788,28,42
1553671355,30,47
1553674957,29,52
1553678536,33,54
1553682104,32,49
1553685710,35,51
1553689306,46,53
1553692917,61,47
1553696492,50,69
1553700090,54,52
1553703741,39,64
1553707333,48,39
1553719416,42,39
1553746739,167,110
1553775573,284,340
1553804313,270,366
1553833052,360,365
1553861693,310,362
1553890334,288,382
1553919206,285,325
1553947670,221,291
1553976423,251,310
1554005293,243,335
1554033673,241,310
1554062226,223,389
1554086789,162,621
1554111718,185,295
1554136690,211,372
1554161567,187,383
1554186698,401,411
1554211745,240,282
1554236565,207,403
1554263165,1534,579
1554288125,195,359
1554312828,197,534
1554337555,206,471
1554362813,429,364
1554387674,179,390
1554412503,166,399
1554438231,763,348
1554463228,201,302
1554487803,211,372
1554502553,188,356
1554516890,119,189
1554531201,93,149
1554545521,93,160
1554559878,86,151
1554574187,99,165
1554588642,117,164
1554603091,232,143
1554617489,140,127
1554631798,117,157
1554646139,100,151
1554660500,103,138
1554675037,112,119
1554689245,68,145
1554703674,92,139
1554717922,102,191
1554732297,131,189
1554746772,145,163
1554761246,301,138
1554775678,175,153
1554789993,98,171
1554804303,118,184
1554818694,127,172
1554833008,121,195
1554847366,122,229
1554861661,87,214
1554875994,75,164
1554886673,46,143
1554897454,116,124
1554908275,94,112
1554919062,78,126
1554929795,128,123
1554940603,152,105
1554951409,128,117
1554962308,99,100
1554972999,87,91
1554983767,83,131
1554994673,104,102
1555005952,472,128
1555020646,338,159
1555034893,229,128
1555049291,139,115
1555063681,137,132
1555078030,154,150
1555092533,199,120
1555107111,262,127
1555121478,160,299
1555135747,155,248
1555150157,142,148
1555164524,140,148
1555178893,148,164
1555193389,149,159
1555207892,176,135
1555222270,130,137
1555236761,221,152
1555251221,178,130
1555265628,229,140
1555280117,192,158
1555294489,142,124
1555308895,136,146
1555323329,119,139
1555337670,144,161
1555352209,128,155
1555366602,256,166
1555380958,143,142
1555395390,117,128
1555409725,119,154
1555424078,112,178
1555438375,123,159
1555452914,304,147
1555467607,421,109
1555482027,158,99
1555496474,135,86
1555510985,125,151
1555525456,328,146
1555539901,185,153
1555554482,276,146
1555568745,114,138
1555583106,104,133
1555597684,132,137
1555611798,111,189
1555626220,112,189
1555640562,124,208
1555654986,109,124
1555669323,99,141
1555683620,94,174
1555697946,169,189
1555712425,243,197
1555726852,124,128
1555741209,127,182
1555755500,90,148
1555769892,119,173
1555784205,124,163
1555798769,116,154
1555813035,93,157
1555827350,91,163
1555841690,119,163
1555856081,98,145
1555870409,164,201
1555884749,104,278
1555899102,98,149
1555913385,95,183
1555927888,89,180
1555942093,124,190
1555956702,605,174
1555971207,185,183
1555985607,160,148
1555999922,80,140
1556014366,142,146
1556028784,124,136
1556043067,165,169
1556057477,115,157
1556071797,145,179
1556086182,97,134
1556100445,92,164
1556114835,137,176
1556129134,125,220
1556143490,103,190
1556157919,237,193
1556172266,120,165
1556186632,137,189
1556200913,132,221
1556215354,118,176
1556229750,152,157
1556244157,163,158
1556258727,180,155
1556272895,131,175
1556287223,124,231
1556301542,99,173
1556312243,82,111
1556323088,166,135
1556333890,139,101
1556344688,84,131
1556355345,74,88
1556366161,78,100
1556377033,90,103
1556387773,67,112
1556398560,130,105
1556409358,77,80
1556420185,102,86
1556431093,94,85
1556441713,73,101
1556452475,87,101
1556463257,84,95
1556474154,149,181
1556484883,122,108
1556495646,101,108
1556506457,102,94
1556517393,92,96
1556528013,98,92
1556538809,87,111
1556549597,78,100
1556560409,73,195
1556571045,70,179
1556581852,102,120
1556592651,117,123
1556603511,88,87
1556614122,77,142
1556625008,109,138
1556635824,260,144
1556646760,142,103
1556657599,159,122
1556668390,145,103
1556679236,102,95
1556690044,88,108
1556700811,78,99
1556711632,73,115
1556722235,98,98
1556733048,84,137
1556743788,73,100
1556754578,97,97
1556765324,53,93
1556776138,55,125
1556786856,156,149
1556797645,124,159
1556808513,83,139
1556819309,74,113
1556830078,118,98
1556840840,81,117
1556851663,116,90
1556862571,104,127
1556873140,113,113
1556883895,82,127
1556894771,87,89
1556905604,87,96
1556916339,129,100
1556927270,278,129
1556938035,108,110
1556948956,154,94
1556959771,107,90
1556970474,101,94
1556981281,107,105
1556992159,95,92
1557002908,112,111
1557013885,106,88
1557024589,92,79
1557035475,101,118
1557046084,72,102
1557056913,98,140
1557067646,102,173
1557078496,79,212
1557089319,183,99
1557100121,241,127
1557110993,149,96
1557121908,125,101
1557132598,124,103
1557143444,173,142
1557154209,96,118
1557165105,151,85
1557175864,111,90
1557186688,130,94
1557197526,122,109
1557208457,118,96
1557219226,94,84
1557229947,85,113
1557240742,116,91
1557251670,105,93
1557262366,124,142
1557273410,333,109
1557284185,102,104
1557295154,181,82
1557305857,95,95
