DateTime,Entries,UniqueIPs
1552803783,17294,17294
1552807350,17294,17294
1552810968,17278,17278
1552814610,17266,17266
1552818191,17253,17253
1552821776,17242,17242
1552825389,17230,17230
1552829017,17197,17197
1552832574,17166,17166
1552836167,17166,17166
1552839869,16971,16971
1552843400,17159,17159
1552847030,17226,17226
1552850635,17303,17303
1552854113,17404,17404
1552857719,17445,17445
1552861316,17455,17455
1552864915,17458,17458
1552868525,17437,17437
1552872138,17431,17431
1552875704,17417,17417
1552879326,17394,17394
1552882948,17383,17383
1552886577,17362,17362
1552890192,17338,17338
1552893819,17319,17319
1552897410,17291,17291
1552901026,17253,17253
1552904667,17237,17237
1552908222,17234,17234
1552911806,17204,17204
1552915394,17183,17183
1552919004,17173,17173
1552922630,17171,17171
1552926212,17102,17102
1552929928,17101,17101
1552933552,17072,17072
1552937136,17065,17065
1552940752,17117,17117
1552944384,17142,17142
1552947940,17148,17148
1552951535,17164,17164
1552955135,17160,17160
1552958739,17135,17135
1552962310,17118,17118
1552965873,17105,17105
1552969481,17088,17088
1552973022,17083,17083
1552976589,17069,17069
1552980179,17029,17029
1552983777,16985,16985
1552987360,16961,16961
1552990956,16951,16951
1552994514,16964,16964
1552998140,16954,16954
1553001722,16929,16929
1553005350,16916,16916
1553008932,16879,16879
1553012521,16848,16848
1553016150,16810,16810
1553019732,16813,16813
1553023347,16798,16798
1553026948,16786,16786
1553030598,16782,16782
1553034204,16886,16886
1553037847,16942,16942
1553041440,16977,16977
1553045015,16990,16990
1553048642,16995,16995
1553052197,16996,16996
1553055781,16980,16980
1553063090,16930,16930
1553066740,16919,16919
1553070298,16887,16887
1553073910,16872,16872
1553077395,16863,16863
1553081060,16836,16836
1553084643,16844,16844
1553088225,16854,16854
1553091790,16862,16862
1553095617,16857,16857
1553099273,16858,16858
1553102901,16842,16842
1553109826,16788,16788
1553113428,16758,16758
1553117017,16729,16729
1553120629,16705,16705
1553124219,16701,16701
1553127837,16693,16693
1553131416,16658,16658
1553135014,16619,16619
1553138565,16600,16600
1553142144,16590,16590
1553145741,16578,16578
1553149360,16557,16557
1553152963,16530,16530
1553156496,16519,16519
1553160106,16482,16482
1553163701,16476,16476
1553167298,16462,16462
1553170901,16437,16437
1553174519,16433,16433
1553178082,16426,16426
1553181692,16422,16422
1553185305,16399,16399
1553188935,16399,16399
1553192523,16397,16397
1553196122,16383,16383
1553199785,16423,16423
1553203386,16485,16485
1553206958,16520,16520
1553210562,16507,16507
1553214166,16500,16500
1553217771,16489,16489
1553221327,16476,16476
1553224930,16486,16486
1553228547,16475,16475
1553232121,16464,16464
1553235725,16447,16447
1553239313,16426,16426
1553242944,16412,16412
1553246564,16414,16414
1553250149,16405,16405
1553253735,16395,16395
1553257353,16403,16403
1553260936,16398,16398
1553264563,16380,16380
1553268141,16358,16358
1553275514,16360,16360
1553278992,16364,16364
1553282611,16347,16347
1553286221,16364,16364
1553289787,16372,16372
1553293398,16377,16377
1553296987,16377,16377
1553300567,16375,16375
1553304174,16359,16359
1553307749,16370,16370
1553311377,16364,16364
1553314966,16357,16357
1553318514,16350,16350
1553322092,16336,16336
1553325675,16325,16325
1553329250,16304,16304
1553332864,16299,16299
1553336441,16295,16295
1553340047,16293,16293
1553343656,16281,16281
1553347273,16292,16292
1553350881,16309,16309
1553354532,16321,16321
1553358197,16347,16347
1553361820,16353,16353
1553365425,16341,16341
1553369069,16339,16339
