DateTime,Entries,UniqueIPs
1555592883,6498,6498
1555594802,6493,6493
1555598643,6495,6495
1555602481,6529,6529
1555606322,6516,6516
1555608242,6532,6532
1555614014,6507,6507
1555615922,6508,6508
1555619762,6529,6529
1555623842,6502,6502
1555628413,6472,6472
1555630323,6458,6458
1555632242,6420,6420
1555636082,6430,6430
1555642083,6407,6407
1555645922,6399,6399
1555649763,6387,6387
1555653613,6385,6385
1555655522,6424,6424
1555661283,6421,6421
1555663203,6458,6458
1555667042,6450,6450
1555670882,6480,6480
1555672803,6450,6450
1555674722,6485,6485
1555678562,6484,6484
1555680483,6491,6491
1555682643,6511,6511
1555688642,6527,6527
1555692482,6529,6529
1555696322,6534,6534
1555698242,6546,6546
1555700163,6534,6534
1555702082,6546,6546
1555704007,6531,6531
1555705922,6519,6519
1555709763,6491,6491
1555713842,6465,6465
1555717682,6465,6465
1555721522,6443,6443
1555725362,6448,6448
1555729211,6405,6405
1555733282,6394,6394
1555735202,6378,6378
1555739042,6394,6394
1555740963,6394,6394
1555746722,6406,6406
1555750563,6438,6438
1555752483,6427,6427
1555754412,6438,6438
1555756322,6444,6444
1555760162,6462,6462
1555762081,6465,6465
1555764002,6479,6479
1555767843,6481,6481
1555771681,6513,6513
1555773602,6522,6522
1555777443,6513,6513
1555779363,6545,6545
1555783214,6545,6545
1555785123,6540,6540
1555788962,6563,6563
1555792802,6551,6551
1555796642,6537,6537
1555800963,6490,6490
1555804815,6473,6473
1555806721,6453,6453
1555810562,6436,6436
1555814645,6413,6413
1555816563,6401,6401
1555818481,6413,6413
1555820403,6401,6401
1555822322,6382,6382
1555826162,6393,6393
1555828083,6403,6403
1555831923,6416,6416
1555836005,6441,6441
1555839843,6460,6460
1555843682,6459,6459
1555845842,6464,6464
1555851611,6456,6456
1555853523,4632,4632
1555855442,6497,6497
1555861202,6485,6485
1555863122,6497,6497
1555865043,6499,6499
1555866963,6509,6509
1555868882,6499,6499
1555870802,6520,6520
1555874643,6509,6509
1555876562,6514,6514
1555880406,6494,6494
1555882322,6475,6475
1555888083,6430,6430
1555890003,6427,6427
1555893842,6412,6412
1555897682,6407,6407
1555901522,6396,6396
1555905363,6356,6356
1555909212,6360,6360
1555911122,6374,6374
1555914962,6373,6373
1555918802,6387,6387
1555922643,6399,6399
1555926481,6418,6418
1555930322,6442,6442
1555934412,6484,6484
1555936321,6487,6487
1555940162,6503,6503
1555944002,6504,6504
1555945922,6513,6513
1555947842,6504,6504
1555949762,6510,6510
1555951682,6505,6505
1555955522,6523,6523
1555959362,6548,6548
1555963213,6533,6533
1555965122,6511,6511
1555968962,6489,6489
1555972802,6453,6453
1555974724,6420,6420
1555980723,6402,6402
1555984816,6423,6423
1555986722,6399,6399
1555990802,6377,6377
1555994642,6367,6367
1555996563,6391,6391
1556002322,6397,6397
1556006163,6416,6416
1556010010,6406,6406
1556011923,6411,6411
1556015764,6434,6434
1556019603,6467,6467
1556023443,6460,6460
1556027284,6495,6495
1556029442,6495,6495
1556033283,6483,6483
1556037363,6501,6501
1556041202,6517,6517
1556045042,6514,6514
1556050803,6533,6533
1556052722,6528,6528
1556056563,6518,6518
1556059684,6464,6464
1556063522,6449,6449
1556067844,6421,6421
1556069763,6414,6414
1556073601,6405,6405
1556077442,6398,6398
1556081522,6382,6382
1556085362,6377,6377
1556087283,6406,6406
1556091123,6418,6418
1556094964,6448,6448
1556098804,6453,6453
1556102644,6436,6436
1556106483,6439,6439
1556110323,6445,6445
1556114164,6464,6464
1556116082,6477,6477
1556119922,6493,6493
1556121844,6486,6486
1556127845,6493,6493
1556131682,6493,6493
1556135522,6516,6516
1556139362,6491,6491
1556144643,6446,6446
1556146562,6390,6390
1556150410,6381,6381
1556152322,6357,6357
1556156402,6347,6347
1556160242,6348,6348
1556164081,6321,6321
1556167922,6310,6310
1556169842,6332,6332
1556175611,6333,6333
1556177522,6365,6365
1556179442,6382,6382
1556183282,6365,6365
1556185203,6390,6390
1556187122,6399,6399
1556189042,6390,6390
1556191203,6399,6399
1556193363,6426,6426
1556195283,6415,6415
1556201042,6430,6430
1556203203,6444,6444
1556207045,6445,6445
1556208961,6458,6458
1556217123,6473,6473
1556219042,6496,6496
1556220962,6483,6483
1556225042,6492,6492
1556228882,6442,6442
1556231763,6405,6405
1556233682,6389,6389
1556241362,6351,6351
1556243283,6344,6344
1556247124,6327,6327
1556250963,6301,6301
1556254811,6326,6326
1556256722,6310,6310
1556258643,6326,6326
1556260563,6315,6315
1556264402,6340,6340
1556266323,6352,6352
1556272082,6395,6395
1556275922,6411,6411
1556279762,6402,6402
1556283644,6408,6408
1556285522,6425,6425
1556289363,6422,6422
1556293204,6461,6461
1556297043,6462,6462
1556298962,6478,6478
1556302802,6461,6461
1556308564,6448,6448
1556312434,6463,6463
1556314324,6429,6429
1556316242,6402,6402
1556322003,6400,6400
1556323923,6429,6429
1556325845,6391,6391
1556327762,6391,6391
1556331603,6354,6354
1556337363,6342,6342
1556341220,6331,6331
1556343122,6343,6343
1556346961,6341,6341
1556351043,6354,6354
1556354881,6388,6388
1556356803,6383,6383
1556360644,6400,6400
1556366410,6393,6393
1556368324,6426,6426
1556372163,6422,6422
1556376003,6425,6425
1556377922,6431,6431
1556381762,6429,6429
1556387523,6431,6431
1556391363,6402,6402
1556395213,6426,6426
1556397123,6412,6412
1556401203,6427,6427
1556405042,6382,6382
1556408882,6372,6372
1556412722,6348,6348
1556416562,6346,6346
1556420409,6304,6304
1556422323,6279,6279
1556426163,6267,6267
1556431922,6275,6275
1556433843,6283,6283
1556437683,6305,6305
1556441522,6324,6324
1556445363,6323,6323
1556451122,6359,6359
1556453283,6369,6369
1556455202,6395,6395
1556459042,6407,6407
1556462882,6423,6423
1556466722,6429,6429
1556470562,6451,6451
1556472484,6459,6459
1556478242,6462,6462
1556480403,6468,6468
1556484243,6453,6453
1556488084,6417,6417
1556491923,6363,6363
1556495763,6362,6362
1556499611,6314,6314
1556503445,6307,6307
1556505362,6286,6286
1556509202,6278,6278
1556513042,6271,6271
1556516882,6293,6293
1556520722,6300,6300
1556524562,6307,6307
1556526725,6333,6333
1556530563,6332,6332
1556534403,6354,6354
1556538243,6383,6383
1556542084,6390,6390
1556545922,6404,6404
1556549764,6414,6414
1556553612,6404,6404
1556555522,6420,6420
1556559362,6416,6416
1556563202,6419,6419
1556567043,6453,6453
1556568963,6429,6429
1556574722,6415,6415
1556576643,6368,6368
1556580962,6362,6362
1556582882,6331,6331
1556588881,6320,6320
1556594643,6296,6296
1556596563,6287,6287
1556600410,6281,6281
