DateTime,AddedIPs,RemovedIPs
1556434518,23,0
1556436917,2,0
1556437821,6,0
1556439018,51,0
1556444420,0,1
1556445318,0,1
1556446219,3,0
1556446820,4,0
1556447718,46,0
1556450419,33,1
1556450719,1,0
1556452820,0,1
1556453118,0,1
1556454021,0,2
1556454321,0,4
1556455219,6,2
1556455519,93,0
1556456118,58,0
1556456721,41,0
1556457018,0,1
1556457921,0,1
1556460318,1,0
1556460919,2,0
1556461218,1,0
1556462421,21,0
1556462720,874,0
1556466620,3,0
1556467221,1,0
1556467518,65,0
1556472319,1,0
1556473218,5,0
1556475018,75,0
1556477118,4,0
1556478319,2,0
1556479219,6,0
1556481020,10,0
1556483718,77,0
1556484018,19,0
1556484619,2,0
1556485221,40,0
1556485520,1,0
1556487619,55,0
1556491521,0,1
1556494517,2,0
1556495718,75,0
1556502620,1,0
1556503818,2,0
1556504418,0,1
1556504720,101,0
1556512517,78,0
1556512819,17,0
1556514618,14,0
1556515219,3,0
1556516117,2,0
1556517023,15,0
1556517318,61,0
1556518218,4,0
1556522721,0,1
1556525119,2,0
1556526019,2,0
1556527820,89,0
1556528119,0,1
1556530518,48,0
1556531418,0,1
1556535019,1,0
1556536218,1,0
1556537121,138,0
1556539819,0,1
1556540720,0,5
1556541019,0,3
1556541619,3,0
1556543418,501,2
1556545819,48,0
1556546723,1,0
1556548219,5,0
1556548819,26,0
1556550618,7,0
1556554518,46,0
1556555418,30,0
1556556018,57,0
1556556320,9,0
1556566517,197,0
1556568318,10,0
1556606418,91,0
1556606718,16,3
1556607018,0,1
1556611818,13,0
1556631317,95,0
1556638818,407,0
1556639418,129,0
1556641519,16,0
1556641819,0,9
1556643019,0,1
1556644520,0,1
1556644819,2,0
1556646918,0,1
1556648117,0,1
1556650819,26,0
1556654719,1,0
1556657119,223,0
1556657418,233,0
1556663118,0,1
1556691319,140,0
1556693421,0,1
1556696718,102,0
1556697317,45,0
1556705118,30,0
1556716219,144,0
1556725221,115,0
1556745619,114,0
1556746220,0,1
1556747419,0,1
1556748318,18,0
1556748618,28,0
1556750417,227,0
1556751018,90,0
1556751919,128,0
1556753719,10,0
1556754320,0,1
1556756719,1,0
1556757618,3,0
1556759118,2,0
1556760318,56,0
1556764518,28,0
1556767518,1,0
1556769019,50,0
1556772620,52,0
1556774418,1,0
1556777119,40,0
1556778322,2,0
1556779219,1,0
1556779818,2,0
1556780117,42,0
1556780719,0,1
1556781618,25,0
1556782219,0,1
1556782517,0,1
1556784019,0,3
1556785521,0,1
1556786418,47,0
1556787019,54,0
1556789718,17,0
1556791221,0,1
1556791819,30,0
1556792419,29,0
1556793317,1,0
1556796918,2,0
1556797218,11,0
1556797820,1,1
1556800518,48,0
1556801718,52,0
1556802318,20,0
1556803220,0,1
1556803519,0,3
1556803820,0,2
1556804722,0,4
1556805621,0,2
1556805920,62,0
1556806819,1,0
1556811317,22,0
1556812820,0,1
1556813417,1,0
1556814917,10,0
1556815819,11,0
1556817017,1,0
1556819417,20,0
1556820318,1,0
1556823317,1,0
1556825119,1,0
1556826018,1,0
1556830517,11,0
1556832319,3,0
1556832920,34,0
1556833220,0,2
1556833819,8,0
1556835619,5,0
1556836518,5,0
1556837421,65,0
1556838021,0,1
1556839519,2,0
1556841021,0,1
1556841317,0,1
1556841622,0,1
1556841918,1,0
1556844018,151,0
1556844917,1,0
1556849118,58,0
1556850019,3,0
1556854517,1,0
1556856318,80,0
1556859018,2,0
1556859917,4,0
1556863518,3,0
1556865317,153,0
1556869217,0,1
1556869820,88,0
1556871618,1,0
1556873718,5,0
1556875520,1,0
1556877021,1,0
1556879119,1,0
1556880019,2,1
