DateTime,AddedIPs,RemovedIPs
1552407019,12,0
1552421417,15,0
1552422916,7,0
1552423217,1,0
1552436117,13,0
1552464618,9,0
1552464917,0,1
1552493718,18,0
1552522217,21,0
1552526717,1,0
1552540818,0,1
1552551017,4,0
1552575619,1,0
1552579818,18,0
1552586718,0,1
1552608617,19,0
1552635018,1,0
1552637418,14,1
1552650617,1,0
1552666219,19,0
1552666817,1,0
1552667717,1,0
1552668018,1,1
1552670718,0,3
1552671317,0,1
1552695317,27,0
1552723817,24,0
1552724419,0,1
1552737918,3,0
1552738219,0,1
1552752618,23,0
1552774217,2,0
1552781417,25,0
1552810217,6,0
1552839018,16,0
1552868117,23,0
1552896618,9,0
1552925417,14,0
1552929019,1,0
1552954220,11,0
1552982118,1,0
1552983019,5,0
1552986919,1,0
1552989317,0,1
1553002818,1,0
1553011818,18,0
1553040618,24,0
1553069417,9,0
1553071217,0,1
1553088321,0,1
1553096417,1,0
1553096719,0,1
1553098518,19,0
1553122220,1,0
1553127018,11,0
1553153118,1,0
1553155817,17,0
1553159119,0,1
1553160018,1,0
1553184618,17,0
1553193318,1,0
1553213717,21,0
1553242219,8,0
1553271317,17,0
1553279119,1,0
1553280618,1,0
1553299818,20,0
1553320217,1,0
1553328620,9,0
1553341818,1,0
1553357418,11,0
1553382318,1,0
1553386217,16,0
1553415019,4,0
1553444118,13,0
1553455217,0,1
1553467819,1,0
1553472617,9,0
1553501417,8,0
1553512820,0,1
1553524221,0,1
1553530220,12,0
1553531119,1,0
1553544318,0,1
1553548217,0,1
1553559318,21,0
1553575819,1,0
1553587819,10,0
1553592621,1,0
1553616622,20,0
1553620518,1,0
1553621419,0,1
1553643020,0,3
1553644218,0,1
1553645418,17,0
1553674217,7,3
1553674520,0,2
1553682620,1,0
1553685319,0,1
1553700920,0,1
1553703021,21,0
1553706319,1,0
1553731819,16,0
1553742618,0,1
1553746219,0,1
1553760619,6,0
1553763018,4,0
1553768721,1,0
1553785519,216,0
1553785819,156,0
1553786419,225,1
1553786720,84,0
1553787022,68,0
1553787318,16,0
1553787621,22,0
1553787922,2,0
1553788519,0,1
1553789419,19,0
1553789719,42,0
1553790020,46,0
1553790321,59,0
1553790622,54,0
1553790918,50,0
1553791220,28,0
1553791521,61,0
1553791821,34,0
1553792119,38,0
1553792422,35,0
1553792721,24,0
1553793021,24,0
1553793320,45,0
1553793619,34,0
1553793919,26,0
1553794221,23,0
1553794519,34,0
1553794822,22,0
1553795122,30,0
1553795422,26,0
1553795720,31,0
1553796023,50,0
1553796319,31,0
1553796621,10,0
1553796919,16,0
1553797219,20,0
1553797522,56,0
1553797821,61,0
1553798121,48,0
1553798420,39,0
1553798722,38,0
1553799022,42,0
1553799319,38,0
1553799627,13,0
1553799921,41,0
1553800219,47,0
1553800819,138,0
1553801120,54,0
1553801419,76,0
1553801719,44,0
1553802021,60,0
1553802320,48,0
1553802623,58,0
1553802918,50,0
1553803222,55,0
1553803519,54,0
1553803820,53,0
1553804120,57,0
1553804418,61,0
1553804719,48,0
1553805021,50,0
1553805318,38,0
1553805621,37,0
1553805920,46,0
1553806223,27,0
1553806517,38,0
1553806822,35,0
1553807118,39,0
1553807418,46,0
1553807720,35,0
1553808019,53,0
1553808320,53,0
1553808620,46,0
1553808919,45,0
1553809219,34,0
1553809519,50,0
1553809822,28,0
1553810118,18,0
1553810421,43,0
1553810719,34,0
1553812518,220,0
1553813120,77,0
1553813423,47,0
1553813719,31,0
1553814022,36,0
1553814320,25,0
1553814620,26,0
1553814918,32,0
1553815220,2,0
1553815521,3,0
1553815819,14,0
1553816118,7,0
1553816418,39,0
1553816719,42,0
1553817019,45,0
1553817318,43,0
1553817623,31,0
1553817920,27,0
1553818218,29,0
1553818519,37,0
1553818818,32,0
1553819119,30,0
1553819420,29,0
1553819717,36,0
1553820019,34,0
1553820618,47,0
1553820917,36,0
1553821222,17,0
1553821520,23,0
1553821820,21,0
1553822117,21,0
1553822418,24,0
1553822719,29,0
1553823020,29,0
1553823319,28,0
1553823618,28,0
1553823919,26,0
1553824220,38,0
1553824518,33,0
1553824823,32,0
1553825119,20,0
1553825420,31,0
1553825719,31,0
1553826020,30,0
1553826319,27,0
1553826620,22,0
1553826918,32,0
1553827217,33,0
1553827520,29,0
1553827819,31,0
1553828118,26,0
1553828420,22,0
1553828719,22,0
1553829019,22,0
1553829319,25,0
1553829619,30,0
1553829919,16,0
1553830220,25,0
1553830518,13,0
1553830818,21,0
1553831120,22,0
1553831420,19,0
1553831718,27,0
1553832021,31,0
1553832619,0,17
1553845819,1,0
1553847019,9,0
1553875818,12,0
1553892019,0,1
1553895319,1,0
1553904618,19,0
1553933419,6,0
1553962220,12,0
1553965819,1,0
1553969118,0,2
1553991019,14,0
1554002419,1,0
1554019818,9,0
1554048618,9,0
1554074718,0,1
1554077418,12,0
1554084621,0,1
1554090020,1,0
1554106219,14,0
1554129318,0,1
1554135018,15,0
1554162918,1,0
1554163819,16,0
1554165020,1,0
1554168621,1,0
1554173418,1,0
1554177019,0,1
1554192618,9,0
1554195019,1,0
1554205821,10,0
1554206119,5,0
1554206421,6,0
1554210919,1,0
1554218120,0,1
1554220821,0,1
1554221720,25,0
1554250519,13,0
1554259519,1,0
1554259820,1,0
1554260421,1,0
1554279025,5,0
1554279924,1,0
1554296123,1,0
1554297322,1,0
1554308119,8,0
1554319521,1,0
1554336619,15,0
1554365419,10,0
1554368420,0,1
1554379819,0,2
1554380421,0,7
1554394219,13,0
1554395420,0,1
1554413718,1,0
1554414018,1,0
1554418221,1,0
1554423019,24,0
1554451818,10,0
1554456619,0,1
1554456917,0,4
1554472220,16,0
1554478518,1,0
1554480618,15,0
1554499219,1,0
1554509419,23,0
1554538219,6,0
1554567020,11,0
1554570920,1,0
1554595819,27,0
1554624618,11,0
1554645022,1,0
1554653419,16,0
1554678918,0,1
1554682219,12,0
1554692420,1,0
1554710419,1,0
1554711019,15,0
1554720320,1,0
1554731121,1,0
1554739820,8,0
1554742519,1,0
1554761119,1,0
1554768619,22,0
1554797420,15,0
1554826219,28,0
1554853219,0,1
1554855018,13,0
1554873923,0,1
1554884119,13,0
1554885319,1,0
1554912619,14,0
1554924317,1,0
1554941419,17,0
1554970218,10,0
1554985220,1,0
1554999020,21,0
1555016422,1,0
1555028119,13,0
1555036517,1,0
