DateTime,AddedIPs,RemovedIPs
1556732174,15,14
1556732702,191,0
1556734123,9,0
1556736029,11,17
1556736302,207,0
1556737941,19,8
1556739902,212,0
1556741797,19,27
1556743695,230,11
1556745633,19,9
1556747102,224,0
1556747559,11,4
1556750702,165,0
1556752583,9,35
1556753290,747,4224
1556754746,192,0
1556756654,16,14
1556757901,126,3886
1556758591,45,55
1556760494,20,17
1556761502,271,0
1556762440,16,13
1556763636,830,0
1556764354,15,15
1556765102,128,0
1556766259,29,56
1556768191,15,9
1556768702,150,0
1556772013,13,30
1556772302,184,0
1556773940,15,10
1556775872,14,10
1556775902,217,0
1556777312,772,690
1556777787,14,14
1556779694,226,15
1556781636,844,782
1556783102,284,0
1556783532,7,13
1556785463,10,5
1556785960,831,0
1556786702,200,0
1556787372,9,14
1556789316,7,17
1556790301,218,0
1556791241,821,4
1556793138,19,6
1556793902,166,0
1556795051,23,13
1556796280,754,0
1556796879,16,11
1556797502,240,0
1556798680,16,11
1556800570,16,16
1556801102,242,0
1556802517,10,18
1556803960,697,0
1556804432,15,16
1556804702,232,0
1556806333,12,6
1556808268,18,12
1556808302,208,0
1556808735,830,0
1556810172,12,6
1556811867,819,0
1556812097,228,18
1556814006,16,9
1556815501,193,0
1556815933,16,18
1556817153,693,0
1556817867,19,12
1556819102,193,0
1556819765,20,12
1556821692,20,11
1556822702,164,0
1556823625,19,15
1556825549,9,17
1556826302,167,0
1556827449,17,0
1556829373,9,16
1556829902,158,0
1556830597,756,0
1556831306,10,5
1556833207,12,17
1556833502,136,0
1556835886,10,10
1556837102,133,0
1556837787,14,0
1556839705,13,9
1556840171,43,36
1556840702,135,0
1556841646,15,10
1556843536,13,17
1556844009,44,30
1556844302,144,3881
1556845456,10,6
1556847374,9,17
1556847902,181,0
1556849291,17,16
1556851212,10,11
1556851691,182,0
1556853154,17,12
1556855051,13,13
1556855102,163,0
1556856971,18,0
1556858895,202,15
1556860825,18,11
1556862302,200,0
1556862730,18,6
1556864651,23,12
1556865377,824,2226
1556865901,215,0
1556866566,20,16
1556867536,740,0
1556868487,18,17
1556869502,195,0
1556870432,13,7
1556872351,17,9
1556873102,222,0
1556874517,9,6
1556876410,4,6
1556876702,231,0
1556877388,768,1581
1556878333,22,15
1556880270,17,12
1556880302,231,0
1556880985,785,767
1556882170,23,23
1556884235,243,12
1556885308,703,736
1556886275,17,13
1556887501,238,0
1556888186,16,12
1556890092,14,7
1556891102,193,0
1556891665,825,696
1556894168,19,18
1556894701,207,0
1556895877,705,800
1556896341,19,14
1556898251,17,13
1556898302,178,0
1556899478,761,795
1556901902,201,0
1556904006,17,42
1556905502,175,0
1556905946,8,15
1556907850,18,13
1556909102,178,0
1556909765,10,20
1556911685,12,14
1556912702,195,0
1556913629,14,9
1556915550,12,13
1556916302,253,0
1556917453,13,5
1556919366,9,11
1556919902,182,0
1556921791,794,1438
1556923489,14,18
1556923502,128,0
1556924647,44,32
1556925384,10,9
1556927296,162,9
1556929214,15,12
1556930702,150,4278
1556931151,14,11
1556932326,44,81
1556933055,14,11
1556934302,167,0
1556934971,14,10
1556936193,842,14
1556936913,16,19
1556937902,168,0
1556938839,20,13
1556940758,9,20
1556941502,138,0
1556942666,13,11
1556944573,11,17
1556945102,207,0
1556946521,12,9
1556948415,17,13
1556948702,217,0
1556950336,8,18
1556952272,15,18
1556952302,189,0
1556954179,766,1561
1556956115,215,19
1556958035,20,13
1556959502,202,0
1556959933,5,18
1556961853,1,6
1556963102,213,0
1556963771,7,2
1556965963,22,16
1556966702,176,0
1556967377,782,772
1556967875,10,15
1556969774,13,21
1556970036,813,757
1556970301,174,0
1556971620,13,20
1556973607,16,16
1556973902,173,0
1556975552,13,15
1556976271,734,730
1556977448,18,13
1556977502,149,0
1556979380,18,0
1556981293,160,19
1556983207,11,22
1556984702,151,0
1556985163,12,17
1556987050,9,0
1556988302,167,0
1556988970,17,0
1556989479,830,2298
1556990906,12,13
1556991902,192,0
1556992839,13,9
