DateTime,AddedIPs,RemovedIPs
1556946123,1,0
1556946202,0,2
1556946723,3,0
1556947322,25,0
1556947923,1,0
1556948402,72,18
1556948523,0,1
1556949363,0,132
1556949741,0,1
1556950322,1,0
1556950923,4,0
1556952243,98,0
1556953322,5,1
1556953404,0,3
1556955122,1,0
1556955723,2,0
1556956083,78,54
1556956322,5,0
1556956941,21,1
1556957523,5,0
1556958004,0,60
1556958123,3,0
1556959323,8,0
1556959924,78,0
1556960607,2,3
1556960930,826,206
1556961122,6,0
1556961723,5,0
1556962322,2,0
1556962923,2,1
1556963764,93,100
1556964123,1,0
1556964204,0,2
1556965322,1,1
1556965923,100,0
1556967842,74,18
1556970122,1,0
1556971341,11,0
1556971924,0,129
1556972523,2,0
1556973843,79,0
1556974322,3,0
1556975003,1,1
1556975523,4,0
1556975763,66,64
1556976722,1,0
1556977323,2,0
1556977923,72,59
1556978523,3,0
1556978607,0,2
1556979123,2,0
1556979843,1,78
1556980323,3,0
1556980923,1,0
1556981762,89,0
1556982202,2,1
1556983323,15,0
1556983684,0,75
1556984523,1,0
1556985614,84,0
1556985723,3,0
1556985803,2,0
1556986923,24,0
1556987523,13,0
1556988123,6,0
1556989443,68,141
1556990523,1,0
1556991123,2,0
1556991361,92,0
1556991723,9,0
1556993282,73,31
1556995204,30,78
1556995323,5,0
1556996522,2,0
1556997122,1,0
1556997723,3,0
1556999044,70,75
1557000123,5,0
1557000963,0,85
1557001323,4,0
1557002523,1,0
1557003122,72,0
1557003722,2,0
1557003802,1,0
1557005041,68,11
1557006964,0,130
1557007323,2,0
1557008522,1,0
1557009123,2,0
1557009723,3,0
1557010811,55,0
1557011003,0,3
1557011523,20,0
1557012123,1,0
1557012722,64,10
1557013323,2,0
1557014525,8,0
1557015123,0,1
1557015603,0,173
1557015723,1,0
1557016562,57,0
1557016923,2,0
1557018142,1,1
1557019322,3,0
1557019923,4,0
1557020522,3,0
1557021743,4,0
1557022923,0,1
1557023283,68,75
1557024243,86,91
1557024722,1,0
1557025322,3,0
1557025402,0,2
1557025924,1,0
1557026523,31,1
1557027723,1,0
1557028082,96,8
1557028322,5,0
1557028922,7,0
1557030004,0,205
1557031923,80,0
1557032523,5,0
1557032605,0,2
1557034322,10,0
1557034923,4,0
1557035765,73,76
1557036122,2,0
1557036205,0,2
1557037322,3,0
1557037924,1,0
1557038522,1,0
1557039622,67,116
1557039743,3,1
1557040922,4,0
1557041522,86,0
1557042123,1,0
1557043323,1,0
1557044522,3,0
1557045123,1,0
1557045363,67,55
1557045722,4,0
1557046922,1,0
1557048054,827,224
1557048123,4,0
1557049201,80,12
1557049322,3,0
1557050602,5,0
1557051363,0,90
1557051722,2,0
1557052923,1,0
1557053282,87,0
1557054142,5,2
1557056523,4,0
1557057123,84,123
1557057802,6,1
1557058323,9,0
1557059283,65,0
1557060122,4,0
1557061322,2,0
1557061402,1,0
1557063123,65,50
1557063723,13,0
1557065042,74,16
1557066122,0,1
1557067323,1,0
1557067923,3,0
1557068542,1,1
1557068883,0,88
1557069722,5,0
1557070322,1,0
1557070801,88,0
1557070922,7,0
1557071522,5,0
1557072204,7,2
1557073323,8,0
1557073922,1,0
1557074644,80,145
1557075743,0,1
1557076924,3,0
1557078123,1,0
1557078482,95,0
1557078723,1,0
1557079343,4,2
1557080404,0,78
1557081722,14,0
1557082322,80,0
1557082922,4,0
1557084122,4,0
1557084724,2,0
1557085322,1,0
1557085922,4,0
1557086163,85,160
1557086607,3,3
1557087723,3,0
1557088922,1,0
1557090012,78,0
1557090204,2,3
1557090723,1,0
1557091323,5,0
1557091922,67,17
1557092523,2,0
1557093842,18,67
1557095043,68,85
1557095762,0,107
1557096123,2,0
1557097323,2,0
1557097683,71,1
1557097923,2,0
1557098522,3,0
1557099722,1,0
1557100329,4,0
1557101523,73,26
1557101762,26,111
1557102123,1,0
1557103442,43,7
1557103682,7,97
1557103923,1,0
1557104522,2,0
1557104606,0,1
1557105124,1,0
1557105362,71,9
1557105722,1,0
1557106922,1,0
1557107523,9,75
1557108722,1,0
1557109324,5,0
1557110523,2,0
1557111123,103,12
1557111804,1,0
1557112323,3,0
1557112923,2,0
1557113282,0,170
1557113523,1,0
1557114122,1,0
1557114722,1,0
1557114963,90,0
1557115403,1,1
1557117122,1,0
1557117723,1,0
1557118323,2,0
1557118811,80,9
1557118943,0,1
1557119523,6,0
1557120005,0,176
1557121323,12,0
1557122642,93,0
1557123842,4,81
1557124802,93,0
1557124922,2,0
1557126205,4,3
1557127323,5,0
1557127922,1,0
1557128642,72,19
1557129123,18,0
1557129620,0,105
1557129723,14,0
1557129803,0,1
1557130922,1,0
1557132122,14,1
1557132482,90,0
1557133322,8,0
1557133923,2,3
1557134522,0,1
1557135153,1021,190
1557135363,59,64
1557135722,6,0
1557136322,0,71
1557136944,2,0
1557138122,2,0
1557138722,2,0
1557139322,3,0
1557140163,87,0
1557140543,2,0
1557141723,6,0
1557142923,1,0
1557144011,74,18
1557144964,0,95
1557145323,1,0
1557145922,73,0
1557147723,1,0
1557147804,1,0
1557148322,4,0
1557148922,7,0
1557149762,67,11
1557150123,5,0
1557150722,11,58
1557151405,5,1
1557151923,1,0
1557152523,1,0
1557153602,71,14
1557153722,3,0
1557154563,18,102
1557155003,3,0
1557156123,22,0
1557156723,25,0
1557157442,82,2
1557157923,3,0
1557158522,4,1
1557158604,0,1
1557159363,0,69
1557159722,24,0
1557160322,20,0
1557160922,2,0
1557161282,78,0
1557162124,6,0
1557162722,2,1
1557163322,1,0
1557165364,86,147
1557165805,2,2
1557166322,4,0
1557166922,3,0
1557167282,92,0
1557167523,21,0
1557168123,16,0
1557169344,1,0
1557170523,3,0
1557171123,0,68
1557171722,1,0
1557173042,106,0
1557173522,2,2
1557174962,75,22
1557175322,0,3
1557175922,2,0
1557176523,2,0
1557176883,0,151
1557177122,1,0
1557177722,7,0
1557178323,5,0
1557178802,80,0
1557178924,4,0
1557179523,1,0
1557180123,2,0
1557181323,1,0
1557182643,62,105
1557183723,3,0
1557184923,1,0
1557185522,3,0
1557186483,85,238
1557186722,1,0
1557187346,1,2
1557187922,5,0
1557188752,56,0
1557189723,4,0
1557190322,1,0
1557190923,1,0
1557192122,13,76
1557192723,9,0
1557193923,7,1
1557194644,71,2
1557195723,2,0
1557196803,89,7
1557196923,3,0
1557197522,7,73
1557198123,2,0
1557198724,5,88
1557199323,1,0
1557200642,181,0
1557201363,0,222
1557201722,1,0
1557201744,0,2
1557202323,1,0
1557202922,3,0
1557204123,4,0
1557204482,93,0
1557205323,3,0
1557205922,0,3
1557206524,4,0
1557207723,4,0
1557208322,7,1
1557209283,105,83
1557209523,2,0
1557210243,3,80
1557211322,15,0
1557212163,84,0
1557212523,3,0
1557212605,0,3
1557213363,2,80
1557213723,5,0
1557214322,4,0
1557214922,2,0
1557215522,1,0
1557216015,71,0
1557216123,5,0
1557216205,0,2
1557216723,5,0
1557217442,2,59
1557217923,87,0
1557218522,5,0
1557219805,3,0
1557220324,3,1
1557220922,9,0
1557221764,61,11
1557222287,1427,212
1557223443,0,109
1557225842,66,0
1557226945,8,2
1557228123,1,0
1557228723,1,0
1557229323,1,0
1557229682,62,12
1557230604,1,1
1557231123,0,102
1557231722,1,0
1557232323,4,0
1557233763,79,0
1557234144,1,1
1557234723,4,0
1557235682,62,13
1557236523,6,0
1557237122,1,0
1557237745,2,2
1557238803,0,110
1557240123,2,0
1557241441,143,0
1557241922,28,1
1557242523,1,0
1557243723,19,0
1557244563,0,115
1557244923,18,1
1557245004,0,1
1557246123,1,0
1557247202,88,0
1557247323,1,0
1557248606,2,1
1557249723,1,0
1557250322,94,68
1557251043,2,74
1557252122,1,0
1557252206,0,1
1557253923,1,0
1557254523,2,0
1557254882,112,0
1557255805,0,1
1557256922,10,0
1557258004,0,72
1557258122,1,0
1557258722,81,0
1557259323,1,0
1557259405,0,1
1557261843,88,71
1557262562,0,102
1557264123,25,0
1557265322,1,0
1557265922,2,0
1557266442,79,0
1557266608,4,0
1557267604,0,90
1557270241,73,0
1557271323,1,1
1557272163,81,16
1557273123,23,1
1557273363,0,215
1557273725,1,0
1557274322,0,1
1557274923,1,0
1557275522,1,0
1557276123,4,0
1557276722,1,0
1557277407,1,0
1557277923,2,0
1557278162,66,0
1557279122,1,0
1557279722,1,0
1557280082,71,15
1557281042,0,150
1557282124,2,0
1557283923,96,0
1557286322,1,0
1557286802,0,100
1557286922,1,0
1557287523,1,0
1557287762,93,0
1557288206,5,1
1557288723,2,1
1557289923,0,1
1557290642,66,106
1557291612,0,83
1557293522,81,0
1557294123,15,0
1557295323,2,0
1557295408,0,2
1557296524,2,0
1557297362,63,9
1557297723,4,0
1557298323,4,1
1557299006,0,1
1557300242,1,124
1557301202,77,0
1557301322,3,0
1557302523,4,0
1557303723,13,0
1557305042,86,16
1557305522,1,0
1557306963,0,98
1557307323,2,0
1557307922,1,0
1557308882,87,0
1557309393,965,25
1557310324,1,0
1557310923,1,0
