DateTime,AddedIPs,RemovedIPs
1556928932,6,5
1556929214,4,11
1556929653,4,10
1556930373,413,277
1556931151,14,28
1556931813,8,6
1556932533,10,4
1556933055,12,12
1556933252,7,7
1556933972,9,6
1556934693,13,11
1556934971,8,17
1556935413,4,9
1556936133,6,7
1556936913,15,22
1556937572,10,5
1556938086,2,0
1556938293,10,5
1556938839,11,13
1556939253,11,7
1556939973,6,9
1556940758,21,21
1556941413,4,6
1556942134,9,5
1556942666,11,18
1556942853,9,8
1556943573,6,8
1556944292,9,8
1556944573,8,19
1556945013,12,5
1556945732,8,5
1556946521,13,29
1556947172,7,5
1556947893,10,8
1556948415,9,0
1556948612,6,4
1556949333,7,10
1556950052,9,4
1556950336,8,23
1556950774,11,7
1556951492,4,10
1556952272,12,19
1556952744,1,0
1556952932,9,6
1556953653,7,9
1556954176,9,17
1556954613,8,8
1556955332,4,6
1556956115,24,19
1556957253,17,19
1556958035,21,7
1556958693,7,13
1556959414,6,7
1556959933,7,9
1556960134,10,8
1556960853,10,12
1556961572,15,5
1556961853,1,14
1556962773,12,17
1556963493,6,7
1556963771,2,9
1556964212,8,13
1556964933,7,11
1556965963,14,23
1556966373,8,14
1556967093,8,11
1556967372,1,0
1556967875,20,22
1556968533,8,9
1556969253,9,14
1556969775,25,26
1556969973,5,16
1556970692,1,10
1556971620,11,9
1556971892,10,23
1556972614,6,7
1556973333,10,9
1556973607,16,11
1556974053,12,12
1556974772,12,9
1556975552,17,21
1556976212,10,6
1556976933,6,8
1556977448,10,12
1556978853,33,13
1556979380,14,9
1556979572,9,10
1556980293,8,11
1556981013,8,13
1556981293,6,11
1556982012,6,1
1556982213,11,21
1556982934,6,12
1556983207,10,12
1556983653,8,14
1556984373,15,14
1556985163,22,14
1556985813,10,15
1556986533,4,9
1556987050,6,6
1556987252,3,6
1556987972,9,5
1556988693,12,12
1556988970,8,14
1556989412,12,15
1556990134,8,11
1556990906,13,14
1556991573,7,12
1556992839,21,18
1556993252,23,21
1556993973,12,12
1556994754,26,9
1556995412,11,10
1556996133,14,15
1556996658,15,13
1556996853,13,14
1556997572,13,9
1556998292,10,6
1556998572,13,26
1556999013,12,11
1556999732,7,7
1557000511,18,21
1557001653,11,17
1557002426,11,30
1557003092,11,5
1557003813,6,13
1557004344,8,26
1557004533,12,6
1557005252,11,12
1557005972,7,6
1557006693,13,10
1557007413,8,12
1557008189,17,13
1557008853,6,14
1557009573,7,5
1557010091,16,13
1557010292,8,10
1557011013,11,5
1557011294,6,0
1557011733,10,13
1557012005,8,10
1557012453,5,8
1557013173,9,7
1557013943,24,25
1557014612,12,5
1557015333,11,9
1557016053,11,4
1557016773,276,49
1557017493,7,9
1557017765,19,32
1557018212,2,12
1557018932,8,8
1557019710,18,23
1557020373,6,6
1557021092,5,12
1557021626,4,9
1557022053,9,7
1557022773,11,6
1557023555,21,23
1557024213,11,11
1557024933,10,9
1557025458,7,13
1557025653,11,6
1557025930,2,0
1557026853,11,12
1557027371,14,15
1557027572,13,12
1557028292,8,5
1557029012,4,12
1557029292,8,0
1557029732,10,7
1557030452,18,4
1557031228,22,19
1557031893,22,10
1557032613,12,9
1557033133,13,13
1557033333,20,4
1557034053,10,10
1557034773,15,6
1557035052,8,13
1557035494,14,8
1557035771,1,0
1557036212,4,10
1557036992,19,32
1557037652,15,6
1557038372,16,9
1557038892,9,0
1557039092,13,7
1557040586,26,15
1557040805,7,12
1557041252,15,9
1557041972,13,4
1557042745,16,22
1557043413,17,10
1557044133,12,11
1557044647,3,12
1557044853,11,11
1557045572,18,6
1557046292,15,12
1557046565,11,10
1557047012,12,9
1557047973,24,18
1557048492,2,0
1557048693,11,8
1557049413,12,9
1557050132,7,7
1557050442,3,0
1557050853,9,12
1557051572,22,5
1557052358,26,6
1557053012,15,8
1557053733,14,9
1557054254,13,14
1557054693,19,5
1557055217,2,0
1557055413,10,6
1557056189,21,29
1557056910,22,11
1557057573,9,8
1557058102,12,0
1557058533,14,3
1557059253,11,8
1557060025,22,23
1557060692,6,9
1557061412,21,12
1557061930,15,4
1557062133,8,12
1557062852,11,7
1557063573,10,10
1557063848,11,14
1557064293,6,16
1557065013,8,7
1557065791,22,19
1557066692,19,12
1557067412,8,9
1557067693,15,15
1557068133,15,10
1557068852,12,6
1557069626,15,161
1557069850,5,0
1557070293,12,9
1557071014,14,14
1557071529,14,9
1557071732,11,11
1557072453,6,8
1557073173,6,1
1557073451,12,8
1557073893,6,4
1557074613,11,12
1557075386,26,23
1557076053,11,11
1557076773,14,6
1557077291,18,16
1557077972,29,10
1557078693,17,11
1557079221,17,12
1557079717,23,8
1557080373,23,13
1557081156,37,26
1557081813,16,10
1557082533,23,13
1557083052,14,13
1557083492,22,13
1557084213,19,15
