DateTime,AddedIPs,RemovedIPs
1556343143,11,33
1556345085,18,16
1556346977,23,23
1556349142,22,33
1556351057,7,19
1556352997,20,24
1556354893,32,27
1556356812,24,28
1556358753,12,26
1556360667,25,1599
1556362590,47,87
1556364493,710,0
1556366440,36,40
1556368355,27,18
1556370278,44,28
1556372174,47,19
1556374093,34,26
1556376032,54,23
1556377934,45,18
1556379855,29,25
1556381797,27,46
1556383693,20,28
1556385615,19,33
1556387554,22,26
1556389453,14,20
1556391372,39,27
1556393312,27,29
1556395233,34,53
1556397138,19,30
1556399328,15,25
1556401233,25,31
1556403136,16,36
1556405052,14,57
1556406976,636,0
1556408897,14,23
1556410841,23,29
1556412756,9,23
1556414656,17,20
1556416570,16,21
1556418515,13,19
1556420431,12,18
1556422361,16,25
1556424257,22,33
1556426173,38,34
1556428113,18,32
1556430014,28,28
1556431940,16,24
1556433854,40,13
1556435793,46,33
1556437698,33,34
1556439611,44,42
1556441552,34,26
1556443451,36,25
1556445396,34,30
1556447443,72,1556
1556449248,467,0
1556451158,53,14
1556453323,63,23
1556455232,37,18
1556457135,47,15
1556459053,43,13
1556460987,38,11
1556462892,47,22
1556464812,34,27
1556466733,37,20
1556468657,34,19
1556470588,47,25
1556472495,26,14
1556474432,36,23
1556476360,32,18
1556478253,28,23
1556480434,49,8
1556482335,59,19
1556484254,57,23
1556486174,38,16
1556488094,39,18
1556490031,38,25
1556491934,17,38
1556493854,408,0
1556495796,30,17
1556497692,47,14
1556499632,15,14
1556501561,19,14
1556503456,18,11
1556505391,18,17
1556507315,11,20
1556509213,27,20
1556511138,20,22
1556513071,10,17
1556514974,22,12
1556516910,22,14
1556518828,17,20
1556520747,23,21
1556522649,30,8
1556524566,17,9
1556526760,18,26
1556528679,17,20
1556530572,21,16
1556532497,15,1326
1556534435,47,53
1556536333,670,0
1556538271,45,24
1556540177,34,17
1556542095,48,14
1556544010,30,18
1556545933,33,12
1556547868,32,15
1556549775,43,13
1556551707,31,21
1556553639,33,22
1556555537,27,29
1556557477,28,32
1556559380,34,34
1556561302,29,20
1556563232,37,50
1556565137,36,37
1556567052,35,35
1556568997,31,46
1556570913,23,36
1556572845,33,45
1556574728,20,35
1556576680,27,40
1556579111,593,0
1556580994,14,19
1556582923,33,10
1556585075,37,14
1556586980,17,14
1556588892,17,10
1556590822,25,14
1556592762,27,11
1556594669,25,17
1556596587,30,20
1556598507,35,26
1556600429,40,35
1556602362,39,27
1556604272,34,16
1556606175,22,44
1556608104,27,45
1556610033,26,36
1556611941,15,39
1556613855,16,36
1556616037,25,46
1556617957,26,35
1556619850,22,1506
1556621772,44,37
1556623688,529,0
1556625647,65,37
1556627555,41,30
1556629459,48,11
1556631373,55,23
1556633322,22,18
1556635232,22,17
1556637156,25,16
1556639052,44,24
1556640996,54,26
1556642891,38,11
1556644814,59,25
1556646747,55,21
1556648656,82,27
1556650569,40,22
1556652512,36,31
1556654463,37,22
1556656343,34,20
1556658256,30,17
1556660191,15,23
1556662118,14,132
1556664036,23,26
1556665932,421,0
1556668387,20,23
1556670258,36,31
1556672440,21,17
1556674357,14,15
1556676276,27,19
1556678190,20,12
1556680108,13,12
1556682014,23,25
1556683938,33,20
1556685871,21,8
1556687779,23,20
1556689697,15,21
1556691636,15,21
1556693532,14,14
1556695456,25,32
1556697388,20,21
1556699297,20,19
1556701231,31,16
1556703160,16,18
1556705321,26,1302
1556707211,22,34
1556709134,596,0
1556711072,20,17
1556712974,32,22
1556714892,31,24
1556716834,26,18
1556718746,15,17
1556720650,12,21
1556722589,33,28
1556724489,12,20
1556726474,34,39
1556728356,30,30
1556730254,25,31
1556732173,36,51
1556734121,29,41
1556736028,38,20
1556737939,32,24
1556739851,32,24
1556741795,29,17
1556743693,18,18
1556745631,20,15
1556747557,37,32
1556750703,44,42
1556752582,547,0
1556754746,18,23
1556756654,32,18
1556758591,29,20
1556760494,30,18
1556762439,32,24
1556764353,6,16
1556766259,22,22
1556768190,15,20
1556770115,20,31
1556772012,44,38
1556773940,21,32
1556775871,21,44
1556777786,44,31
1556779693,41,24
1556781632,56,23
1556783532,42,23
1556785462,24,11
1556787371,14,17
1556789314,22,20
1556791237,24,1347
1556793137,28,14
1556795050,477,0
1556796878,38,11
1556798679,25,26
1556800568,33,20
1556802516,26,25
1556804431,31,14
1556806332,40,20
1556808266,55,13
1556810171,64,15
1556812096,42,19
1556814005,41,33
1556815931,45,21
1556817865,24,23
1556819763,29,15
1556821690,17,15
1556823623,23,20
1556825547,32,25
1556827447,19,17
1556829371,23,26
1556831304,23,30
1556833204,25,14
1556835884,27,33
1556837786,26,27
1556839704,451,0
1556841645,23,23
1556843535,35,14
1556845455,32,21
1556847373,19,17
1556849290,21,19
1556851211,19,14
1556853153,19,12
1556855050,24,16
1556856970,25,37
1556858894,13,17
1556860824,23,24
1556862728,15,12
1556864650,17,13
1556866565,29,19
1556868486,22,22
1556870431,25,20
1556872350,20,22
1556874515,29,32
1556876408,20,18
1556878332,45,1277
1556880269,49,24
1556882168,638,0
1556884233,70,11
1556886273,59,40
1556888185,42,26
1556890091,26,27
1556892277,28,30
1556894166,26,13
1556896339,27,25
1556898249,26,16
1556900188,29,30
1556902087,26,40
1556904004,20,24
1556905943,30,24
1556907848,11,43
1556909763,35,57
1556911683,23,32
1556913626,32,47
1556915547,11,19
1556917450,43,8
1556919363,41,23
1556921285,12,26
1556923489,26,27
1556925384,562,0
1556927296,39,17
1556929214,22,28
1556931151,9,19
1556933055,18,26
1556934971,11,24
1556936912,12,14
1556938838,12,22
1556940758,20,13
1556942666,10,20
1556944573,30,39
1556946520,24,27
1556948414,15,20
1556950336,16,30
1556952271,36,38
1556954175,36,52
1556956114,29,32
1556958035,29,35
1556959932,15,10
1556961852,17,18
1556963770,16,22
1556965962,18,1329
1556967874,565,0
1556969773,58,24
1556971619,46,24
1556973606,43,22
1556975550,50,24
1556977447,24,27
1556979379,20,18
1556981291,22,16
1556983206,23,22
1556985161,20,25
1556987048,19,19
1556988968,24,23
1556990904,19,19
1556992837,36,20
1556994752,36,18
1556996656,29,26
1556998570,30,34
1557000509,24,19
1557002424,37,28
1557004342,42,21
1557006245,17,14
1557008187,28,58
1557010091,16,43
1557012005,508,0
1557013943,24,21
1557015847,29,20
1557017765,27,21
1557019709,42,16
1557021625,45,27
1557023554,34,13
1557025457,31,19
1557027370,29,18
1557029292,22,20
1557031227,23,22
1557033132,25,13
1557035051,14,17
1557036991,34,27
1557038890,22,15
1557040804,17,27
1557042744,20,19
1557044646,20,23
1557046564,19,24
1557048491,18,18
1557050440,14,1211
1557052357,36,26
1557054253,510,0
1557056187,49,23
1557058100,40,17
1557060023,35,17
1557061928,20,15
1557063846,50,15
1557065789,39,12
1557067691,31,12
1557069625,43,19
1557071527,21,12
1557073448,38,19
1557075384,38,22
1557077289,30,16
1557079219,30,18
1557081154,20,31
1557083049,27,30
1557084985,17,45
1557086915,25,27
1557088827,45,23
1557090758,27,19
1557092650,33,13
1557094588,27,15
1557096495,13,29
1557098415,430,0
1557100330,26,22
1557102271,28,14
1557104167,34,13
1557106090,20,15
1557108041,22,6
1557109955,15,12
1557111854,14,10
1557114039,35,19
1557115934,37,12
1557117852,38,22
1557119792,56,16
1557121690,35,13
1557123630,41,30
1557125559,29,30
1557127449,40,37
1557129365,35,28
1557131303,52,27
1557133216,44,18
1557135157,28,15
1557137324,38,1283
1557139212,59,49
1557141157,657,0
1557143052,42,21
1557144974,50,27
1557146890,45,25
1557148829,50,42
1557150748,54,47
1557152662,37,26
1557154573,64,52
1557156511,36,20
1557158435,44,26
1557160357,32,17
1557162275,39,21
1557164190,42,23
1557166109,41,26
1557168035,50,26
1557169931,33,20
1557171859,33,17
1557173772,39,23
1557175690,32,14
1557177631,14,29
1557179528,24,16
1557181473,42,23
1557183396,36,49
1557185288,529,0
1557187356,38,17
1557189497,50,19
1557191557,25,24
1557194240,46,49
1557196362,34,36
1557198249,17,25
1557200169,22,18
1557202088,32,20
1557204017,30,18
1557205935,23,26
1557207849,22,9
1557209779,33,31
1557211935,33,26
1557213849,42,14
1557215764,30,22
1557217684,36,16
1557219621,50,14
1557221530,25,23
1557223460,38,1488
1557225372,46,53
1557227287,790,0
1557229210,56,20
1557231140,52,15
1557233047,30,28
