DateTime,Entries,UniqueIPs
1556343143,3370,3370
1556345085,3372,3372
1556346977,3372,3372
1556349142,3361,3361
1556351057,3349,3349
1556352997,3345,3345
1556354893,3350,3350
1556356812,3346,3346
1556358753,3332,3332
1556360667,1758,1758
1556362590,1718,1718
1556364493,2428,2428
1556366440,2424,2424
1556368355,2433,2433
1556370278,2449,2449
1556372174,2477,2477
1556374093,2485,2485
1556376032,2516,2516
1556377934,2543,2543
1556379855,2547,2547
1556381797,2528,2528
1556383693,2520,2520
1556385615,2506,2506
1556387554,2502,2502
1556389453,2496,2496
1556391372,2508,2508
1556393312,2506,2506
1556395233,2487,2487
1556397138,2476,2476
1556399328,2466,2466
1556401233,2460,2460
1556403136,2440,2440
1556405052,2397,2397
1556406976,3033,3033
1556408897,3024,3024
1556410841,3018,3018
1556412756,3004,3004
1556414656,3001,3001
1556416570,2996,2996
1556418515,2990,2990
1556420431,2984,2984
1556422361,2975,2975
1556424257,2964,2964
1556426173,2968,2968
1556428113,2954,2954
1556430014,2954,2954
1556431940,2946,2946
1556433854,2973,2973
1556435793,2986,2986
1556437698,2985,2985
1556439611,2987,2987
1556441552,2995,2995
1556443451,3006,3006
1556445396,3010,3010
1556447443,1526,1526
1556449248,1993,1993
1556451158,2032,2032
1556453323,2072,2072
1556455232,2091,2091
1556457135,2123,2123
1556459053,2153,2153
1556460987,2180,2180
1556462892,2205,2205
1556464812,2212,2212
1556466733,2229,2229
1556468657,2244,2244
1556470588,2266,2266
1556472495,2278,2278
1556474432,2291,2291
1556476360,2305,2305
1556478253,2310,2310
1556480434,2351,2351
1556482335,2391,2391
1556484254,2425,2425
1556486174,2447,2447
1556488094,2468,2468
1556490031,2481,2481
1556491934,2460,2460
1556493854,2868,2868
1556495796,2881,2881
1556497692,2914,2914
1556499632,2915,2915
1556501561,2920,2920
1556503456,2927,2927
1556505391,2928,2928
1556507315,2919,2919
1556509213,2926,2926
1556511138,2924,2924
1556513071,2917,2917
1556514974,2927,2927
1556516910,2935,2935
1556518828,2932,2932
1556520747,2934,2934
1556522649,2956,2956
1556524566,2964,2964
1556526760,2956,2956
1556528679,2953,2953
1556530572,2958,2958
1556532497,1647,1647
1556534435,1641,1641
1556536333,2311,2311
1556538271,2332,2332
1556540177,2349,2349
1556542095,2383,2383
1556544010,2395,2395
1556545933,2416,2416
1556547868,2433,2433
1556549775,2463,2463
1556551707,2473,2473
1556553639,2484,2484
1556555537,2482,2482
1556557477,2478,2478
1556559380,2478,2478
1556561302,2487,2487
1556563232,2474,2474
1556565137,2473,2473
1556567052,2473,2473
1556568997,2458,2458
1556570913,2445,2445
1556572845,2433,2433
1556574728,2418,2418
1556576680,2405,2405
1556579111,2998,2998
1556580994,2993,2993
1556582923,3016,3016
1556585075,3039,3039
1556586980,3042,3042
1556588892,3049,3049
1556590822,3060,3060
1556592762,3076,3076
1556594669,3084,3084
1556596587,3094,3094
1556598507,3103,3103
1556600429,3108,3108
1556602362,3120,3120
1556604272,3138,3138
1556606175,3116,3116
1556608104,3098,3098
1556610033,3088,3088
1556611941,3064,3064
1556613855,3044,3044
1556616037,3023,3023
1556617957,3014,3014
1556619850,1530,1530
1556621772,1537,1537
1556623688,2066,2066
1556625647,2094,2094
1556627555,2105,2105
1556629459,2142,2142
1556631373,2174,2174
1556633322,2178,2178
1556635232,2183,2183
1556637156,2192,2192
1556639052,2212,2212
1556640996,2240,2240
1556642891,2267,2267
1556644814,2301,2301
1556646747,2335,2335
1556648656,2390,2390
1556650569,2408,2408
1556652512,2413,2413
1556654463,2428,2428
1556656343,2442,2442
1556658256,2455,2455
1556660191,2447,2447
1556662118,2329,2329
1556664036,2326,2326
1556665932,2747,2747
1556668387,2744,2744
1556670258,2749,2749
1556672440,2753,2753
1556674357,2752,2752
1556676276,2760,2760
1556678190,2768,2768
1556680108,2769,2769
1556682014,2767,2767
1556683938,2780,2780
1556685871,2793,2793
1556687779,2796,2796
1556689697,2790,2790
1556691636,2784,2784
1556693532,2784,2784
1556695456,2777,2777
1556697388,2776,2776
1556699297,2777,2777
1556701231,2792,2792
1556703160,2790,2790
1556705321,1514,1514
1556707211,1502,1502
1556709134,2098,2098
1556711072,2101,2101
1556712974,2111,2111
1556714892,2118,2118
1556716834,2126,2126
1556718746,2124,2124
1556720650,2115,2115
1556722589,2120,2120
1556724489,2112,2112
1556726474,2107,2107
1556728356,2107,2107
1556730254,2101,2101
1556732173,2086,2086
1556734121,2074,2074
1556736028,2092,2092
1556737939,2100,2100
1556739851,2108,2108
1556741795,2120,2120
1556743693,2120,2120
1556745631,2125,2125
1556747557,2130,2130
1556750703,2132,2132
1556752582,2679,2679
1556754746,2674,2674
1556756654,2688,2688
1556758591,2697,2697
1556760494,2709,2709
1556762439,2717,2717
1556764353,2707,2707
1556766259,2707,2707
1556768190,2702,2702
1556770115,2691,2691
1556772012,2697,2697
1556773940,2686,2686
1556775871,2663,2663
1556777786,2676,2676
1556779693,2693,2693
1556781632,2726,2726
1556783532,2745,2745
1556785462,2758,2758
1556787371,2755,2755
1556789314,2757,2757
1556791237,1434,1434
1556793137,1448,1448
1556795050,1925,1925
1556796878,1952,1952
1556798679,1951,1951
1556800568,1964,1964
1556802516,1965,1965
1556804431,1982,1982
1556806332,2002,2002
1556808266,2044,2044
1556810171,2093,2093
1556812096,2116,2116
1556814005,2124,2124
1556815931,2148,2148
1556817865,2149,2149
1556819763,2163,2163
1556821690,2165,2165
1556823623,2168,2168
1556825547,2175,2175
1556827447,2177,2177
1556829371,2174,2174
1556831304,2167,2167
1556833204,2178,2178
1556835884,2172,2172
1556837786,2171,2171
1556839704,2622,2622
1556841645,2622,2622
1556843535,2643,2643
1556845455,2654,2654
1556847373,2656,2656
1556849290,2658,2658
1556851211,2663,2663
1556853153,2670,2670
1556855050,2678,2678
1556856970,2666,2666
1556858894,2662,2662
1556860824,2661,2661
1556862728,2664,2664
1556864650,2668,2668
1556866565,2678,2678
1556868486,2678,2678
1556870431,2683,2683
1556872350,2681,2681
1556874515,2678,2678
1556876408,2680,2680
1556878332,1448,1448
1556880269,1473,1473
1556882168,2111,2111
1556884233,2170,2170
1556886273,2189,2189
1556888185,2205,2205
1556890091,2204,2204
1556892277,2202,2202
1556894166,2215,2215
1556896339,2217,2217
1556898249,2227,2227
1556900188,2226,2226
1556902087,2212,2212
1556904004,2208,2208
1556905943,2214,2214
1556907848,2182,2182
1556909763,2160,2160
1556911683,2151,2151
1556913626,2136,2136
1556915547,2128,2128
1556917450,2163,2163
1556919363,2181,2181
1556921285,2167,2167
1556923489,2166,2166
1556925384,2728,2728
1556927296,2750,2750
1556929214,2744,2744
1556931151,2734,2734
1556933055,2726,2726
1556934971,2713,2713
1556936912,2711,2711
1556938838,2701,2701
1556940758,2708,2708
1556942666,2698,2698
1556944573,2689,2689
1556946520,2686,2686
1556948414,2681,2681
1556950336,2667,2667
1556952271,2665,2665
1556954175,2649,2649
1556956114,2646,2646
1556958035,2640,2640
1556959932,2645,2645
1556961852,2644,2644
1556963770,2638,2638
1556965962,1327,1327
1556967874,1892,1892
1556969773,1926,1926
1556971619,1948,1948
1556973606,1969,1969
1556975550,1995,1995
1556977447,1992,1992
1556979379,1994,1994
1556981291,2000,2000
1556983206,2001,2001
1556985161,1996,1996
1556987048,1996,1996
1556988968,1997,1997
1556990904,1997,1997
1556992837,2013,2013
1556994752,2031,2031
1556996656,2034,2034
1556998570,2030,2030
1557000509,2035,2035
1557002424,2044,2044
1557004342,2065,2065
1557006245,2068,2068
1557008187,2038,2038
1557010091,2011,2011
1557012005,2519,2519
1557013943,2522,2522
1557015847,2531,2531
1557017765,2537,2537
1557019709,2563,2563
1557021625,2581,2581
1557023554,2602,2602
1557025457,2614,2614
1557027370,2625,2625
1557029292,2627,2627
1557031227,2628,2628
1557033132,2640,2640
1557035051,2637,2637
1557036991,2644,2644
1557038890,2651,2651
1557040804,2641,2641
1557042744,2642,2642
1557044646,2639,2639
1557046564,2634,2634
1557048491,2634,2634
1557050440,1437,1437
1557052357,1447,1447
1557054253,1957,1957
1557056187,1983,1983
1557058100,2006,2006
1557060023,2024,2024
1557061928,2029,2029
1557063846,2064,2064
1557065789,2091,2091
1557067691,2110,2110
1557069625,2134,2134
1557071527,2143,2143
1557073448,2162,2162
1557075384,2178,2178
1557077289,2192,2192
1557079219,2204,2204
1557081154,2193,2193
1557083049,2190,2190
1557084985,2162,2162
1557086915,2160,2160
1557088827,2182,2182
1557090758,2190,2190
1557092650,2210,2210
1557094588,2222,2222
1557096495,2206,2206
1557098415,2636,2636
1557100330,2640,2640
1557102271,2654,2654
1557104167,2675,2675
1557106090,2680,2680
1557108041,2696,2696
1557109955,2699,2699
1557111854,2703,2703
1557114039,2719,2719
1557115934,2744,2744
1557117852,2760,2760
1557119792,2800,2800
1557121690,2822,2822
1557123630,2833,2833
1557125559,2832,2832
1557127449,2835,2835
1557129365,2842,2842
1557131303,2867,2867
1557133216,2893,2893
1557135157,2906,2906
1557137324,1661,1661
1557139212,1671,1671
1557141157,2328,2328
1557143052,2349,2349
1557144974,2372,2372
1557146890,2392,2392
1557148829,2400,2400
1557150748,2407,2407
1557152662,2418,2418
1557154573,2430,2430
1557156511,2446,2446
1557158435,2464,2464
1557160357,2479,2479
1557162275,2497,2497
1557164190,2516,2516
1557166109,2531,2531
1557168035,2555,2555
1557169931,2568,2568
1557171859,2584,2584
1557173772,2600,2600
1557175690,2618,2618
1557177631,2603,2603
1557179528,2611,2611
1557181473,2630,2630
1557183396,2617,2617
1557185288,3146,3146
1557187356,3167,3167
1557189497,3198,3198
1557191557,3199,3199
1557194240,3196,3196
1557196362,3194,3194
1557198249,3186,3186
1557200169,3190,3190
