DateTime,AddedIPs,RemovedIPs
1549939470,2,4
1549954329,3,2
1549968967,2,3
1549983738,2,7
1549998513,3,5
1550013126,2,2
1550027794,4,4
1550042406,3,0
1550057073,2,2
1550071694,5,1
1550086348,4,0
1550100970,3,1
1550115609,3,2
1550130248,1,0
1550144888,1,1
1550159528,4,1
1550174188,3,3
1550188838,7,2
1550203472,2,2
1550218351,1,0
1550232991,4,1
1550247606,6,0
1550262248,4,1
1550277154,3,3
1550291773,1,1
1550306411,6,2
1550321048,3,6
1550335691,4,5
1550350355,3,1
1550364985,3,2
1550379613,3,2
1550394248,1,3
1550408894,5,2
1550423528,2,6
1550438190,4,0
1550452833,0,4
1550467448,5,3
1550482087,1,4
1550496753,2,3
1550511365,1,1
1550526008,4,0
1550540650,2,1
1550555289,5,4
1550569927,3,1
1550584569,0,4
1550599233,3,2
1550613854,2,3
1550628753,0,4
1550643375,3,2
1550658026,6,3
1550672651,3,2
1550687289,1,0
1550701941,2,0
1550716587,1,2
1550731206,1,2
1550745850,2,1
1550760486,1,3
1550775154,5,3
1550789765,3,1
1550804410,12,0
1550819048,12,0
1550833716,13,0
1550848328,6,0
1550862985,7,2
1550877612,39,0
1550892274,24,1
1550907154,23,0
1550921786,8,3
1550936406,14,2
1550951068,25,4
1550965687,13,0
1550980351,10,2
1550994990,5,3
1551009614,5,0
1551024269,6,1
1551038914,6,2
1551053533,11,2
1551068174,6,2
1551082828,5,2
1551097470,6,5
1551112086,8,1
1551126750,17,0
1551141365,15,3
1551156007,10,2
1551170651,5,3
1551185289,6,0
1551199956,2,1
1551214570,3,2
1551229207,7,1
1551243854,11,1
1551258752,7,1
1551273365,6,2
1551288008,7,1
1551302670,11,1
1551317284,13,0
1551331955,9,1
1551346575,7,1
1551361206,11,1
1551375849,5,0
1551390489,6,1
1551405133,9,0
1551419766,2,0
1551434413,4,0
1551449049,6,5
1551464553,5,0
1551479290,6,0
1551494178,3,2
1551508805,2,2
1551523451,8,1
1551538088,8,2
1551552747,5,0
1551567368,10,0
1551582007,6,1
1551596914,10,0
1551611531,4,0
1551626168,8,0
1551640811,6,1
1551655451,1,1
1551670108,5,3
1551684756,3,1
1551699365,5,0
1551714005,4,1
1551728648,2,3
1551743287,1,0
1551757930,6,0
1551772569,4,2
1551787209,3,0
1551801852,9,0
1551816505,10,0
1551831132,5,0
1551845768,7,1
1551860424,5,0
1551875048,3,2
1551889709,3,1
1551904463,7,1
1551918985,5,2
1551933628,4,1
1551948275,3,1
1551963150,3,1
1551977785,6,4
1551992428,2,1
1552007074,5,1
1552021709,5,1
1552036329,3,0
1552050986,5,2
1552065611,3,0
1552080250,5,1
1552094893,5,0
1552109527,1,2
1552124169,2,1
1552138805,3,1
1552153469,2,2
1552168092,7,2
1552182745,5,2
1552197368,2,0
1552212009,3,0
1552226914,4,0
1552241530,3,1
1552256191,2,0
1552270819,6,2
1552285450,4,1
1552300085,5,0
1552314752,1,1
1552329371,4,0
1552344031,2,2
1552358651,4,1
1552373292,2,2
1552387927,5,3
1552402588,4,1
1552417215,3,1
1552431847,5,4
1552446506,3,2
1552461130,5,16
1552475765,7,12
1552490429,1,10
1552505291,2,1
1552519948,3,0
1552534567,4,0
1552549225,6,7
1552563869,7,6
1552578491,6,2
1552593392,2,2
1552608030,3,1
1552622650,2,3
1552637311,3,0
1552651930,2,2
1552666564,3,0
1552681227,4,0
1552695849,1,1
1552710511,1,1
1552725133,3,2
1552739767,2,2
1552754416,3,1
1552769073,1,2
1552783685,2,2
1552812965,1,1
1552827644,8,0
1552842260,2,0
1552856914,3,2
1552871529,3,0
1552886165,1,1
1552900825,2,3
1552915467,4,8
1552930087,7,5
1552944995,9,2
1552959613,10,4
1552974268,1,2
1552988888,5,0
1553003793,4,2
1553018435,3,12
1553033050,4,17
1553047714,6,4
1553062330,2,3
1553076987,5,6
1553091605,4,7
1553106251,6,5
1553120885,4,5
1553135551,3,2
1553150166,3,4
1553164811,1,4
1553179454,1,3
1553194353,2,2
1553208968,4,1
1553223621,7,2
1553238518,6,0
1553253129,5,1
1553267768,3,0
1553282409,2,0
1553297054,3,0
1553311706,4,2
1553326340,2,0
1553340966,4,1
1553355629,3,0
1553370268,0,2
1553384887,4,0
1553399552,1,0
1553414175,1,4
1553428843,2,3
1553443714,1,2
1553458572,3,5
1553473228,1,2
1553487847,5,1
1553502514,3,2
1553517132,3,4
1553531769,6,4
1553547157,8,4
1553561768,9,3
1553576423,4,0
1553591297,7,0
1553606192,4,4
1553620833,8,7
1553635692,6,3
1553650327,7,2
1553664965,7,2
1553679609,7,1
1553694252,5,1
1553708892,7,0
1553723548,5,0
1553738165,7,0
1553752817,3,3
1553767451,4,0
1553782086,3,2
1553796727,4,1
1553813077,6,1
1553827697,6,3
1553842330,3,2
1553856983,8,0
1553871618,5,2
1553886247,4,1
1553900911,10,0
1553915530,2,0
1553930171,1,1
1553944826,2,3
1553959451,3,0
1553974085,1,3
1553988737,3,0
1554003367,4,1
1554018011,6,0
1554032674,1,6
1554047308,3,11
1554062497,3,4
1554091710,4,4
1554106329,2,1
1554120969,1,6
1554135609,4,3
1554150281,0,3
1554164891,1,0
1554179536,5,6
1554194167,1,0
1554208826,2,2
1554223449,8,5
