DateTime,AddedIPs,RemovedIPs
1556860510,495,415
1556861411,570,518
1556862310,525,686
1556863211,504,706
1556864110,508,737
1556865011,610,719
1556865911,607,719
1556866811,642,360
1556867710,633,533
1556868610,786,600
1556869510,662,603
1556870411,553,654
1556871311,557,422
1556872211,551,461
1556873111,644,557
1556874010,534,467
1556874910,543,397
1556875809,542,384
1556876710,530,360
1556877610,492,432
1556878510,546,485
1556879412,528,510
1556880310,542,705
1556881210,520,662
1556882109,645,626
1556883009,779,622
1556883909,633,446
1556884809,557,570
1556885709,681,656
1556886609,728,663
1556887510,673,680
1556888410,689,672
1556889309,657,621
1556890210,600,618
1556891110,650,533
1556892011,608,663
1556892909,668,778
1556893811,689,669
1556894709,743,883
1556895611,696,904
1556896510,625,582
1556897410,948,852
1556898310,914,783
1556899210,856,693
1556900110,834,683
1556901009,848,735
1556901910,835,685
1556902810,641,587
1556903710,710,651
1556904609,735,711
1556905510,728,725
1556906411,734,694
1556907309,764,640
1556908209,714,794
1556909110,773,795
1556910009,688,626
1556910910,768,747
1556911810,771,759
1556912708,805,833
1556913608,796,783
1556914510,703,704
1556915409,700,610
1556916309,648,521
1556917211,811,644
1556918110,733,687
1556919009,665,599
1556919909,748,654
1556920809,777,622
1556921709,641,836
1556923508,1148,1562
1556924409,582,838
1556925309,612,687
1556926208,594,813
1556927110,665,698
1556928010,627,896
1556928909,550,738
1556929810,683,727
1556930709,681,729
1556931609,667,961
1556932509,565,584
1556933409,520,619
1556934309,646,540
1556935210,524,604
1556936137,523,526
1556937030,443,500
1556937921,500,593
1556938826,490,581
1556939720,510,587
1556940637,523,551
1556941537,604,426
1556942418,608,485
1556943314,680,605
1556944211,506,596
1556945108,507,488
1556946009,491,426
1556946910,491,556
1556947810,407,531
1556948709,534,543
1556949609,510,468
1556950510,508,520
1556951410,777,565
1556952310,961,696
1556953209,803,569
1556954109,807,613
1556955010,691,834
1556955910,622,770
1556956810,684,667
1556957710,708,573
1556958610,637,601
1556959510,615,604
1556960409,623,614
1556961309,705,647
1556962210,560,599
1556963110,608,873
1556964008,642,1075
1556964910,645,1004
1556965809,577,567
1556966710,673,501
1556967609,640,529
1556968509,647,768
1556969410,685,621
1556970310,675,563
1556971209,751,536
1556972111,834,609
1556973010,723,664
1556973910,676,501
1556974808,729,474
1556975710,782,485
1556976610,704,560
1556977509,596,609
1556978409,689,757
1556979310,727,780
1556980210,693,800
1556981110,639,835
1556982009,625,830
1556982909,610,905
1556983810,689,865
1556984710,635,767
1556985609,729,868
1556986510,758,834
1556987410,785,690
1556988309,723,518
1556989210,771,471
1556990110,605,639
1556991010,664,679
1556991909,729,627
1556992810,672,614
1556993710,722,617
1556994609,667,692
1556995510,733,975
1556996410,678,777
1556997309,692,679
1556998210,784,863
1556999109,824,785
1557000010,813,808
1557000910,750,550
1557001810,733,645
1557002709,787,724
1557003609,776,650
1557004509,770,571
1557005410,718,774
1557006310,746,538
1557007209,678,514
1557008111,782,626
1557009010,717,786
1557009910,777,777
1557010809,745,859
1557011709,686,957
1557012610,636,695
1557013510,786,863
1557014410,628,803
1557015308,687,968
1557016210,743,781
1557017109,667,810
1557018009,670,725
1557018909,704,790
1557019809,690,633
1557020709,666,812
1557021610,591,709
1557022537,711,669
1557023442,629,606
1557024330,614,613
1557025236,667,598
1557026125,668,494
1557027029,637,547
1557027912,738,600
1557028811,594,574
1557029711,693,503
1557030610,719,666
1557031510,649,665
1557032410,703,804
1557033309,576,601
1557034211,571,529
1557035110,662,814
1557036009,569,711
1557036911,528,753
1557037811,575,757
1557038710,537,620
1557039611,590,741
1557040511,582,513
1557041409,611,562
1557042311,689,712
1557043210,780,529
1557044108,637,456
1557045011,676,583
1557045911,650,514
1557046809,696,651
1557047709,658,567
1557048610,617,495
1557049511,562,504
1557050410,506,502
1557051309,581,583
1557052210,585,555
1557053109,503,720
1557054011,545,885
1557054910,515,794
1557055811,656,931
1557056709,542,874
1557057610,573,917
1557058511,533,839
1557059411,443,770
1557060309,479,664
1557061209,484,500
1557062111,507,597
1557063010,486,638
1557063910,509,489
1557064809,463,440
1557065710,481,564
1557066611,478,491
1557067510,478,597
1557068410,529,375
1557069310,477,431
1557070209,522,430
1557071110,540,464
1557072011,522,381
1557072910,559,614
1557073810,570,506
1557074711,630,523
1557075611,659,523
1557076509,725,490
1557077410,1316,607
1557078310,954,468
1557079209,111,23
1557080110,135,32
1557081009,119,25
1557081910,133,24
1557082808,112,19
1557083708,93,23
1557084610,121,19
1557085509,111,22
1557086408,133,24
1557087308,150,25
1557088209,154,28
1557089109,179,25
1557090008,281,47
