DateTime,Entries,UniqueIPs
1556860510,8179,8179
1556861411,8231,8231
1556862310,8070,8070
1556863211,7868,7868
1556864110,7639,7639
1556865011,7530,7530
1556865911,7418,7418
1556866811,7700,7700
1556867710,7800,7800
1556868610,7986,7986
1556869510,8045,8045
1556870411,7944,7944
1556871311,8079,8079
1556872211,8169,8169
1556873111,8256,8256
1556874010,8323,8323
1556874910,8469,8469
1556875809,8627,8627
1556876710,8797,8797
1556877610,8857,8857
1556878510,8918,8918
1556879412,8936,8936
1556880310,8773,8773
1556881210,8631,8631
1556882109,8650,8650
1556883009,8807,8807
1556883909,8994,8994
1556884809,8981,8981
1556885709,9006,9006
1556886609,9071,9071
1556887510,9064,9064
1556888410,9081,9081
1556889309,9117,9117
1556890210,9099,9099
1556891110,9216,9216
1556892011,9161,9161
1556892909,9051,9051
1556893811,9071,9071
1556894709,8931,8931
1556895611,8723,8723
1556896510,8766,8766
1556897410,8862,8862
1556898310,8993,8993
1556899210,9156,9156
1556900110,9307,9307
1556901009,9420,9420
1556901910,9570,9570
1556902810,9624,9624
1556903710,9683,9683
1556904609,9707,9707
1556905510,9710,9710
1556906411,9750,9750
1556907309,9874,9874
1556908209,9794,9794
1556909110,9772,9772
1556910009,9834,9834
1556910910,9855,9855
1556911810,9867,9867
1556912708,9839,9839
1556913608,9852,9852
1556914510,9851,9851
1556915409,9941,9941
1556916309,10068,10068
1556917211,10235,10235
1556918110,10281,10281
1556919009,10347,10347
1556919909,10441,10441
1556920809,10596,10596
1556921709,10401,10401
1556923508,9987,9987
1556924409,9731,9731
1556925309,9656,9656
1556926208,9437,9437
1556927110,9404,9404
1556928010,9135,9135
1556928909,8947,8947
1556929810,8903,8903
1556930709,8855,8855
1556931609,8561,8561
1556932509,8542,8542
1556933409,8443,8443
1556934309,8549,8549
1556935210,8469,8469
1556936137,8466,8466
1556937030,8409,8409
1556937921,8316,8316
1556938826,8225,8225
1556939720,8148,8148
1556940637,8120,8120
1556941537,8298,8298
1556942418,8421,8421
1556943314,8496,8496
1556944211,8406,8406
1556945108,8425,8425
1556946009,8490,8490
1556946910,8425,8425
1556947810,8301,8301
1556948709,8292,8292
1556949609,8334,8334
1556950510,8322,8322
1556951410,8534,8534
1556952310,8799,8799
1556953209,9033,9033
1556954109,9227,9227
1556955010,9084,9084
1556955910,8936,8936
1556956810,8953,8953
1556957710,9088,9088
1556958610,9124,9124
1556959510,9135,9135
1556960409,9144,9144
1556961309,9202,9202
1556962210,9163,9163
1556963110,8898,8898
1556964008,8465,8465
1556964910,8106,8106
1556965809,8116,8116
1556966710,8288,8288
1556967609,8399,8399
1556968509,8278,8278
1556969410,8342,8342
1556970310,8454,8454
1556971209,8669,8669
1556972111,8894,8894
1556973010,8953,8953
1556973910,9128,9128
1556974808,9383,9383
1556975710,9680,9680
1556976610,9824,9824
1556977509,9811,9811
1556978409,9743,9743
1556979310,9690,9690
1556980210,9583,9583
1556981110,9387,9387
1556982009,9182,9182
1556982909,8887,8887
1556983810,8711,8711
1556984710,8579,8579
1556985609,8440,8440
1556986510,8364,8364
1556987410,8459,8459
1556988309,8664,8664
1556989210,8964,8964
1556990110,8930,8930
1556991010,8915,8915
1556991909,9017,9017
1556992810,9075,9075
1556993710,9180,9180
1556994609,9155,9155
1556995510,8913,8913
1556996410,8814,8814
1556997309,8827,8827
1556998210,8748,8748
1556999109,8787,8787
1557000010,8792,8792
1557000910,8992,8992
1557001810,9080,9080
1557002709,9143,9143
1557003609,9269,9269
1557004509,9468,9468
1557005410,9412,9412
1557006310,9620,9620
1557007209,9784,9784
1557008111,9940,9940
1557009010,9871,9871
1557009910,9871,9871
1557010809,9757,9757
1557011709,9486,9486
1557012610,9427,9427
1557013510,9350,9350
1557014410,9175,9175
1557015308,8894,8894
1557016210,8856,8856
1557017109,8713,8713
1557018009,8658,8658
1557018909,8572,8572
1557019809,8629,8629
1557020709,8483,8483
1557021610,8365,8365
1557022537,8407,8407
1557023442,8430,8430
1557024330,8431,8431
1557025236,8500,8500
1557026125,8674,8674
1557027029,8764,8764
1557027912,8902,8902
1557028811,8922,8922
1557029711,9112,9112
1557030610,9165,9165
1557031510,9149,9149
1557032410,9048,9048
1557033309,9023,9023
1557034211,9065,9065
1557035110,8913,8913
1557036009,8771,8771
1557036911,8546,8546
1557037811,8364,8364
1557038710,8281,8281
1557039611,8130,8130
1557040511,8199,8199
1557041409,8248,8248
1557042311,8225,8225
1557043210,8476,8476
1557044108,8657,8657
1557045011,8750,8750
1557045911,8886,8886
1557046809,8931,8931
1557047709,9022,9022
1557048610,9144,9144
1557049511,9202,9202
1557050410,9206,9206
1557051309,9204,9204
1557052210,9234,9234
1557053109,9017,9017
1557054011,8677,8677
1557054910,8398,8398
1557055811,8123,8123
1557056709,7791,7791
1557057610,7447,7447
1557058511,7141,7141
1557059411,6814,6814
1557060309,6629,6629
1557061209,6613,6613
1557062111,6523,6523
1557063010,6371,6371
1557063910,6391,6391
1557064809,6414,6414
1557065710,6331,6331
1557066611,6318,6318
1557067510,6199,6199
1557068410,6353,6353
1557069310,6399,6399
1557070209,6491,6491
1557071110,6567,6567
1557072011,6708,6708
1557072910,6653,6653
1557073810,6717,6717
1557074711,6824,6824
1557075611,6960,6960
1557076509,7195,7195
1557077410,7904,7904
1557078310,8390,8390
1557079209,8478,8478
1557080110,8581,8581
1557081009,8675,8675
1557081910,8784,8784
1557082808,8877,8877
1557083708,8947,8947
1557084610,9049,9049
1557085509,9138,9138
1557086408,9247,9247
1557087308,9372,9372
1557088209,9498,9498
1557089109,9652,9652
1557090008,9886,9886
1557090908,10520,10520
1557091808,11389,11389
1557092709,12115,12115
1557093608,12748,12748
1557094507,13248,13248
1557095408,13756,13756
1557096309,14207,14207
1557097208,14593,14593
1557098107,14978,14978
1557099008,15344,15344
1557099907,15600,15600
1557100808,15701,15701
1557101708,15881,15881
1557102608,16121,16121
1557103507,16353,16353
1557104406,16174,16174
1557105307,16189,16189
1557106207,16078,16078
1557107107,15930,15930
1557108007,15978,15978
1557108910,15812,15812
1557109810,15204,15204
1557110709,14704,14704
1557111607,14348,14348
1557112507,13912,13912
1557113406,13679,13679
1557114308,13376,13376
1557115206,13220,13220
1557116107,12838,12838
1557117006,12559,12559
1557117907,12339,12339
1557118806,12185,12185
1557119707,12049,12049
1557120606,11814,11814
1557121507,11782,11782
1557122406,11997,11997
1557123305,11804,11804
1557124205,11711,11711
1557125107,11465,11465
1557126006,11053,11053
1557126906,10644,10644
1557127806,10240,10240
1557128707,9766,9766
1557129607,9576,9576
1557130507,9454,9454
1557131408,9122,9122
1557132308,8640,8640
1557133207,8609,8609
1557134109,8257,8257
1557135008,8035,8035
1557135909,7738,7738
1557136808,7797,7797
1557137709,7731,7731
1557138608,7660,7660
1557139508,7553,7553
1557140408,7752,7752
1557141308,7945,7945
1557142208,8121,8121
1557143108,8179,8179
1557144008,8119,8119
1557144909,8266,8266
1557145809,8847,8847
1557146708,9139,9139
1557147609,9601,9601
1557148509,10095,10095
1557149409,10743,10743
1557150309,11360,11360
1557151210,11972,11972
1557152110,12332,12332
1557153008,12818,12818
1557153908,13049,13049
1557154809,13447,13447
1557155709,13917,13917
1557156608,14136,14136
1557157509,14290,14290
1557158409,14482,14482
1557159308,14762,14762
1557160209,14949,14949
1557161108,15105,15105
1557162010,15312,15312
1557162909,15185,15185
1557163808,15080,15080
1557164708,15257,15257
1557165609,15595,15595
1557166509,15633,15633
1557167409,15466,15466
1557168309,14966,14966
1557169208,14472,14472
1557170108,13923,13923
1557171009,13651,13651
