DateTime,AddedIPs,RemovedIPs
1551271251,19,0
1551280850,12,0
1551292249,7,0
1551301250,8,33
1551310251,5,79
1551318654,6,0
1551328852,7,0
1551337851,13,0
1551348052,11,0
1551358250,10,33
1551366054,20,0
1551424249,48,255
1551438646,15,38
1551453645,24,42
1551466844,11,17
1551479443,8,94
1551490241,10,0
1551500441,7,0
1551511840,280,0
1551522040,45,54
1551533439,19,0
1551544240,9,46
1551555039,10,27
1551564640,8,0
1551574241,74,11
1551579646,13,17
1551586248,11,0
1551591650,11,23
1551599451,11,37
1551606653,3,0
1551613854,10,20
1551621659,41,34
1551628856,5,0
1551636057,7,37
1551643857,6,0
1551724250,42,157
1551736252,15,57
1551757255,30,109
1551773448,17,96
1551783048,22,0
1551797446,58,66
1551811843,27,19
1551823842,9,22
1551833444,9,27
1551844843,9,20
1551855643,11,33
1551866442,5,20
1551876643,51,19
1551888043,27,49
1551897644,18,19
1551908444,18,12
1551919845,231,15
1551930646,17,19
1551943245,14,44
1551955245,11,32
1551967843,3,35
1551979241,9,104
1551990640,15,0
1552000839,10,0
1552011642,15,0
1552022441,19,0
1552032640,28,30
1552044646,15,42
1552056039,12,34
1552067439,13,0
1552078238,8,37
1552088438,5,20
1552099239,14,12
1552108238,10,14
1552119640,6,10
1552130439,9,16
1552140640,16,18
1552152040,12,21
1552163440,89,17
1552173040,9,12
1552183841,7,6
1552194642,9,28
1552205441,9,30
1552216842,8,27
1552227641,12,0
1552237840,10,40
1552248641,7,39
1552259441,4,224
1552270242,16,0
1552281042,11,0
1552291842,15,0
1552303842,13,0
1552314043,16,0
1552324842,10,0
1552335642,11,30
1552346442,8,50
1552357244,10,0
1552368042,47,82
1552378844,239,0
1552389644,20,94
1552401645,15,53
1552413043,19,0
1552424444,17,32
1552434044,14,16
1552445445,17,27
1552455644,14,27
1552466446,24,24
1552478444,24,42
1552488644,17,42
1552499443,8,49
1552510844,13,22
1552521042,7,26
1552531844,11,27
1552542043,12,46
1552552843,32,36
1552564243,13,39
1552575043,18,0
1552585842,19,65
1552596643,10,39
1552607443,13,25
