DateTime,Entries,UniqueIPs
1552424421,2498,2498
1552434021,2501,2501
1552445420,2536,2536
1552455620,2543,2543
1552466423,2605,2605
1552478423,2413,2413
1552488623,2407,2407
1552499422,2394,2394
1552510823,2386,2386
1552521021,2348,2348
1552531822,2346,2346
1552542021,2381,2381
1552552824,2326,2326
1552564223,2327,2327
1552575023,2255,2255
1552585822,2273,2273
1552596623,2294,2294
1552607422,2259,2259
1552617621,2320,2320
1552626620,2358,2358
1552637424,2341,2341
1552647023,2397,2397
1552657823,2322,2322
1552669223,2363,2363
1552680023,2275,2275
1552689023,2324,2324
1552698623,2374,2374
1552709421,2348,2348
1552720225,2379,2379
1552731624,2350,2350
1552743024,2164,2164
1552752023,2222,2222
1552762224,2308,2308
1552773023,2305,2305
1552783223,2327,2327
1552794622,2378,2378
1552804822,2312,2312
1552816224,2211,2211
1552826423,2185,2185
1552836023,2166,2166
1552846823,2146,2146
1552857022,2102,2102
1552867224,2201,2201
1552876222,2267,2267
1552885822,2175,2175
1552896624,2147,2147
1552907425,2152,2152
1552918223,2083,2083
1552929024,2087,2087
1552939224,2060,2060
1552947623,2057,2057
1552956623,2084,2084
1552966822,2132,2132
1552975222,2118,2118
1552985425,2078,2078
1552995025,2048,2048
1553004624,2109,2109
1553014823,2189,2189
1553025024,2146,2146
1553034023,2279,2279
1553044222,2216,2216
1553055622,2192,2192
1553065825,2181,2181
1553077224,2157,2157
1553086825,2153,2153
1553096424,2198,2198
1553106624,2116,2116
1553116823,2082,2082
1553127023,2049,2049
1553136022,2084,2084
1553144422,2068,2068
1553153424,2093,2093
1553161824,2215,2215
1553172023,2272,2272
1553182823,2307,2307
1553194823,2310,2310
1553204423,2310,2310
1553215822,2239,2239
1553226021,2240,2240
1553235621,2297,2297
1553246424,2241,2241
1553256624,2126,2126
1553267424,2092,2092
1553277623,2144,2144
1553287223,2186,2186
1553295623,2222,2222
1553305223,2331,2331
1553314822,2220,2220
1553325024,2116,2116
1553335825,2073,2073
1553344225,2045,2045
1553353223,2043,2043
1553362224,1988,1988
1553371823,2022,2022
1553382023,1898,1898
1553390422,1852,1852
1553399422,1889,1889
1553408422,1840,1840
1553417424,1831,1831
1553425824,1804,1804
1553435424,1844,1844
1553443823,1862,1862
1553454023,1875,1875
1553462422,1891,1891
1553471422,2042,2042
1553481022,2100,2100
1553494221,2416,2416
1553505623,2844,2844
1553514623,2911,2911
1553525422,2624,2624
1553533223,2742,2742
1553541023,3256,3256
1553550623,3349,3349
1553559621,3441,3441
1553572821,3210,3210
1553586624,2923,2923
1553599224,2929,2929
1553611825,2948,2948
1553623824,2811,2811
1553635822,2821,2821
1553646622,2875,2875
1553655622,3055,3055
1553665221,3164,3164
1553674823,3104,3104
1553686224,2929,2929
1553695823,3012,3012
1553706623,3087,3087
1553717422,3229,3229
1553727023,3298,3298
1553736621,3411,3411
1553746822,3425,3425
1553774423,2719,2719
1553786423,2721,2721
1553799022,2674,2674
1553811622,2544,2544
1553822422,2515,2515
1553833221,2367,2367
1553844024,2407,2407
1553854823,2258,2258
1553865024,2266,2266
1553875223,2432,2432
1553884823,2489,2489
1553896230,2469,2469
1553907622,2419,2419
1553917822,2547,2547
1553928621,2663,2663
1553941223,2617,2617
1553953823,2470,2470
1553964623,2551,2551
1553976623,2571,2571
1553989821,2437,2437
1554001821,2429,2429
1554012021,2500,2500
1554024023,2437,2437
1554035423,2330,2330
1554045622,2301,2301
1554056422,2322,2322
