DateTime,AddedIPs,RemovedIPs
1552752028,8,8
1552762229,6,8
1552773028,5,9
1552783229,5,0
1552794629,6,14
1552804830,13,0
1552816230,9,6
1552826430,7,9
1552836030,9,6
1552846831,9,7
1552857031,10,0
1552867233,6,14
1552876231,7,0
1552885832,8,7
1552896630,7,10
1552907431,9,0
1552918230,10,12
1552929032,8,5
1552939231,12,9
1552947631,3,4
1552956631,5,7
1552966831,8,0
1552975231,4,8
1552985431,8,6
1552995031,6,0
1553004631,10,18
1553014830,7,0
1553025031,6,5
1553034030,8,9
1553044231,6,7
1553055630,7,12
1553065830,8,9
1553077230,7,6
1553086831,6,0
1553096430,8,8
1553106631,8,7
1553116830,9,8
1553127030,3,8
1553136030,6,7
1553144430,9,6
1553153430,8,0
1553161831,5,7
1553172030,5,10
1553182830,7,9
1553194831,5,9
1553204431,8,8
1553215830,9,8
1553226031,7,6
1553235630,7,6
1553246430,5,0
1553256631,10,4
1553267431,8,7
1553277631,9,6
1553287230,4,8
1553295630,7,7
1553305231,9,7
1553314830,5,9
1553325030,9,6
1553335831,3,10
1553344231,10,6
1553353230,7,0
1553362231,8,7
1553371830,7,7
1553382030,6,0
1553390430,6,14
1553399430,7,0
1553408430,8,10
1553417429,8,8
1553425830,8,11
1553435430,10,9
1553443830,8,0
1553454030,12,8
1553462429,7,8
1553471429,7,5
1553481030,8,8
1553486430,8,0
1553494229,4,10
1553500230,9,9
1553505630,3,0
1553514630,7,6
1553525429,7,10
1553533237,11,6
1553541031,5,0
1553550633,7,7
1553559630,6,7
1553572830,6,9
1553586630,9,17
1553599237,13,11
1553611831,7,10
1553623831,10,11
1553635830,4,11
1553646630,12,0
1553655630,8,5
1553665230,12,17
1553674830,10,0
1553686231,8,9
1553695830,9,8
1553706631,7,5
1553717430,8,11
1553727031,8,10
1553736635,11,6
1553746833,4,7
1553761830,7,8
1553774430,8,17
1553786430,8,8
1553799030,8,7
1553811630,8,8
1553822430,9,9
1553833229,7,8
1553844045,8,6
1553854829,10,14
1553865030,6,9
1553875230,5,8
1553884830,11,6
1553896237,10,8
1553907630,7,10
1553917830,5,8
1553928629,10,10
1553941229,8,16
1553953830,8,8
1553964635,8,11
1553976630,7,17
1553989829,7,9
1554001830,8,12
1554012030,6,0
1554024029,6,10
1554035430,8,10
1554045629,7,9
1554056430,9,0
1554067830,11,9
1554078030,4,8
1554088829,6,6
1554100229,9,11
1554110442,6,8
1554121230,5,6
1554132030,8,9
1554142830,7,10
1554153630,12,7
1554164429,7,7
1554174629,7,16
1554186029,5,13
1554196240,5,6
1554208230,5,17
1554219032,8,18
1554229229,7,9
1554240629,8,8
1554251429,9,8
1554261030,7,12
1554271829,6,7
1554282629,7,8
1554293429,9,11
1554304229,5,10
1554315029,7,0
1554325830,8,10
1554334228,8,20
1554343829,8,0
1554356429,7,6
1554366629,8,0
1554374429,7,15
1554384029,5,0
1554393029,10,6
1554402029,5,0
1554410429,7,9
1554418830,7,7
1554426628,8,0
1554432629,5,10
1554440429,7,10
1554448229,6,0
1554456028,8,12
1554462629,8,0
1554470429,5,6
1554477043,11,0
1554484228,8,10
1554489633,2,0
1554497428,5,7
1554504029,8,5
1554511828,4,9
1554519028,6,0
1554526828,7,6
1554533429,7,0
1554541235,9,8
1554548429,5,0
1554555028,2,7
1554561628,4,0
1554567629,6,9
1554574829,7,10
1554582028,6,0
1554588629,6,8
1554595828,4,3
1554602429,5,0
1554608428,9,8
1554616228,7,9
1554623429,6,0
1554630028,7,8
1554637228,7,0
1554645028,7,11
1554651628,7,7
1554658829,6,0
1554666030,9,8
1554671429,8,4
1554676828,8,0
1554682229,5,10
1554690028,8,9
1554697228,4,0
1554705028,6,5
1554712828,5,6
1554721828,6,5
1554731429,7,0
1554740429,7,7
1554748829,7,11
1554759028,8,7
1554767430,4,6
1554775828,8,9
1554783028,8,0
1554792629,11,6
1554801029,5,6
1554810030,5,0
1554817829,8,18
1554826829,8,0
1554835230,8,8
1554844228,7,5
1554853828,8,6
1554862228,7,10
1554871230,5,7
1554881428,8,0
1554889829,7,9
1554899428,9,9
1554909029,9,8
1554918629,8,7
1554928829,6,8
1554936628,6,6
1554945633,5,0
1554955827,7,7
1554964229,6,5
1554973828,6,8
1554982229,4,6
1554991233,5,0
1555000229,8,9
1555008628,8,9
1555017629,7,0
1555026028,9,16
1555035629,4,7
1555045234,6,0
1555054228,9,10
1555063228,4,6
1555071629,6,9
1555081228,8,3
1555090229,8,6
1555098628,9,0
1555107629,6,4
1555116028,8,6
1555126229,7,7
1555135228,7,8
1555144843,4,5
1555154429,6,0
1555163429,7,8
1555172429,6,6
1555181430,9,4
1555189829,4,9
1555199430,8,7
1555208428,10,0
1555217429,8,10
1555226428,6,7
1555235429,8,10
1555243829,5,4
1555254030,5,7
1555263029,6,7
1555271430,6,5
1555280429,9,0
1555288829,7,10
1555299029,7,6
1555308030,11,7
1555317029,6,10
1555323630,5,0
1555331430,7,8
1555338030,7,9
1555345829,10,6
1555353030,7,0
1555360829,5,10
1555366830,3,3
1555374639,6,7
1555381831,9,0
1555389631,9,7
1555401630,8,8
1555413029,8,9
1555423831,6,8
1555435237,8,9
1555444229,7,10
1555453834,4,8
1555462229,7,6
1555469436,5,0
1555477229,10,18
1555485029,10,0
1555494029,7,6
1555502429,5,7
1555511429,7,11
1555520431,7,10
1555528830,9,0
1555536629,6,11
1555543229,6,8
1555551030,8,5
1555558833,3,9
1555566029,6,0
1555575629,5,5
1555585829,6,5
1555597830,8,17
1555607429,7,7
1555617030,9,9
1555626029,8,9
1555634429,4,8
1555644629,6,0
1555653029,6,11
1555662628,6,8
1555671028,5,9
1555680628,7,7
1555689029,3,7
1555698029,5,6
1555707029,8,0
1555715429,8,9
1555724428,7,6
1555733428,7,10
1555743029,8,8
1555752029,8,10
1555761029,5,4
1555770629,3,7
1555779029,5,7
1555786833,9,7
1555794630,3,0
1555803629,6,6
1555810828,4,10
1555818028,9,0
1555828229,6,6
1555837228,5,13
1555844429,8,0
1555852229,8,9
1555862429,7,9
1555870829,5,6
1555879228,7,3
1555888230,7,0
1555897829,7,12
1555906828,9,8
1555915828,7,0
1555924828,8,10
1555935029,6,7
1555942829,7,7
1555951229,7,5
1555960228,7,5
1555969229,9,7
1555978229,6,3
1555985428,6,0
1555995628,5,15
1556004028,8,8
1556016628,7,8
1556026828,7,10
1556037028,8,8
1556046628,6,16
1556056829,9,6
1556065828,6,3
1556074229,5,9
1556080827,6,5
1556086228,3,7
1556094028,10,8
1556101228,8,7
1556109028,5,10
1556116229,6,0
1556123429,8,9
1556131228,7,15
1556139629,10,0
1556146828,7,9
1556154029,4,9
1556162428,5,0
1556171428,11,7
1556181630,6,6
1556193629,7,6
1556206228,9,5
1556217029,11,8
1556227831,11,0
1556237433,6,13
1556248829,8,8
1556258429,9,10
1556268629,9,8
1556278229,8,6
1556286029,8,0
1556295630,5,11
1556305229,3,8
1556313029,7,9
1556322028,4,10
1556331029,9,7
1556338828,9,5
1556347829,5,0
1556356829,8,8
1556365830,7,0
1556376629,6,8
1556386230,9,8
1556394029,7,8
1556403630,9,0
1556412029,4,13
1556421629,6,0
1556430629,7,6
1556440229,8,8
1556449230,8,5
1556458830,8,6
1556467829,4,7
1556476230,9,9
1556484630,9,0
1556494230,5,9
1556502629,4,7
1556512230,5,5
1556521829,9,5
1556531431,6,0
1556541628,6,6
1556550029,5,5
1556559029,7,8
1556567429,7,0
1556575829,6,8
1556583629,6,5
1556592629,6,0
1556601038,5,9
1556608832,8,8
1556616629,8,6
1556624429,4,0
1556634030,5,8
1556643028,7,5
1556652030,8,5
1556659828,6,6
1556667629,7,0
1556674229,7,5
1556681429,7,0
1556689228,8,16
1556697029,9,0
1556706029,8,6
1556715028,7,6
1556724028,5,4
1556733028,7,0
1556742028,8,6
1556750429,3,9
1556757628,7,5
1556765428,8,0
1556774427,7,8
1556783427,9,6
1556792428,6,6
1556800829,6,3
1556811028,6,0
1556819428,7,11
1556827828,7,0
1556836828,6,9
1556845828,7,9
1556853028,4,0
1556862628,10,6
1556871028,8,3
1556880028,5,6
1556889628,6,7
1556898629,6,4
1556907629,6,9
1556916028,6,7
1556925628,8,0
1556934027,10,6
1556941228,5,5
1556950828,6,6
1556959828,4,8
1556970027,6,7
1556980827,7,5
1556989827,6,7
1556997628,6,8
1557006628,7,8
1557015028,6,8
1557023428,8,11
1557030627,7,0
1557037827,6,3
1557045628,10,7
1557054628,6,13
1557066028,7,4
1557074427,7,13
1557084028,7,8
1557093028,8,5
1557101428,7,7
1557110427,9,13
1557120028,9,0
1557129045,8,13
1557138028,5,10
1557147628,7,11
1557156027,4,6
1557163828,6,12
1557171028,5,0
1557178828,8,13
1557185428,7,0
1557192028,6,5
1557202228,6,14
1557210628,8,8
1557219629,5,5
1557228028,6,14
1557237628,8,0
1557246027,6,13
1557255027,7,6
1557263428,6,15
1557272427,7,7
1557281427,7,1
