DateTime,AddedIPs,RemovedIPs
1556596324,5,3
1556596815,3,8
1556597297,7,6
1556597766,8,4
1556598244,2,7
1556598725,8,4
1556599206,7,10
1556599686,11,10
1556600166,6,8
1556600884,9,8
1556601368,7,8
1556601845,7,8
1556602330,8,3
1556602804,1,6
1556603524,10,9
1556604018,5,6
1556604725,10,11
1556605206,6,9
1556605710,11,6
1556606166,4,7
1556606644,9,7
1556607126,7,7
1556607609,8,7
1556608089,6,11
1556608564,10,6
1556609045,8,6
1556609526,6,11
1556610007,10,9
1556610488,7,8
1556610966,11,11
1556611447,8,9
1556611932,8,6
1556612404,5,3
1556612886,5,2
1556613365,1,0
1556672887,1,14
1556673369,9,7
1556673846,8,7
1556674328,10,6
1556674804,7,12
1556675289,13,9
1556675766,7,6
1556676247,7,6
1556676728,7,10
1556677205,10,7
1556677685,7,7
1556678166,7,7
1556678645,7,8
1556679128,5,4
1556679642,8,6
1556680088,4,7
1556680565,8,9
1556681046,10,5
1556681526,4,6
1556682009,9,5
1556682484,5,4
1556682965,5,2
1556683444,1,6
1556683927,8,7
1556684405,4,9
1556684891,10,10
1556685365,7,6
1556685847,6,7
1556686324,10,10
1556686818,9,6
1556687286,6,8
1556687766,9,8
1556688244,6,6
1556688727,6,3
1556689204,3,9
1556697367,1,1
1556698326,1,1
1556701224,1,1
1556701688,1,1
1556710085,0,1
1556711048,1,0
1556720404,0,1
1556721130,1,0
1556726889,1,1
1556727845,1,1
1556759048,1,9
1556759525,10,5
1556760008,5,7
1556760490,7,8
1556760964,9,11
1556761447,8,10
1556761924,11,8
1556762429,8,9
1556762886,8,4
1556763365,8,13
1556764086,9,9
1556764565,9,6
1556765048,9,9
1556765526,10,5
1556766016,5,9
1556766728,10,8
1556767204,6,5
1556767688,5,8
1556768166,7,8
1556768646,11,8
1556769125,6,5
1556769617,6,8
1556770087,7,10
1556770564,10,5
1556771045,6,7
1556771525,6,9
1556772007,9,8
1556772489,10,6
1556772965,6,10
1556773444,9,7
1556773928,8,10
1556774410,8,9
1556774885,9,5
1556775365,10,9
1556775847,9,6
1556776324,9,9
1556776817,7,4
1556777287,6,9
1556777767,9,10
1556778248,12,12
1556778728,8,5
1556779204,6,6
1556779687,7,9
1556780165,8,7
1556780645,8,8
1556781125,6,9
1556781606,10,9
1556782089,6,8
1556782564,8,5
1556783045,8,4
1556783526,7,6
1556784016,10,9
1556784487,5,5
1556784966,5,7
1556785446,7,4
1556785925,2,0
1556786888,1,0
1556791927,1,1
1556792887,1,1
1556836327,1,1
1556836805,1,1
1556845445,0,7
1556845926,10,9
1556846406,6,5
1556846887,6,7
1556847369,7,6
1556847847,9,14
1556848325,11,11
1556848812,12,10
1556849286,8,11
1556849765,9,7
1556850247,6,7
1556850727,7,4
1556851207,6,9
1556851689,8,5
1556852167,6,9
1556852646,9,9
1556853128,7,5
1556853608,7,9
1556854086,8,6
1556854564,11,11
1556855046,8,7
1556855527,7,8
